customer_id,event_time,interaction_type,next_action
C_015746,2022-06-09,خدمات فنی,بدون اقدام
C_015746,2021-05-02,خدمات فنی,بدون اقدام
C_015746,2022-06-29,وصول مطالبات,پیگیری تلفنی
C_016617,2020-06-17,خدمات فنی,بدون اقدام
C_016617,2022-06-04,خدمات فنی,بدون اقدام
C_016617,2022-05-17,وصول مطالبات,پیگیری تلفنی
C_016617,2022-06-24,نمونه محصول,جلسه قیمت
C_016617,2022-06-29,برنامه خرید,بازدید فنی
C_018229,2020-01-13,قیمت و تخفیف,بدون اقدام
C_018229,2020-11-11,خدمات فنی,بدون اقدام
C_018229,2020-11-15,خدمات فنی,بدون اقدام
C_018229,2020-10-29,کیفیت محصول,بدون اقدام
C_018229,2020-11-02,پیگیری سفارش,بازدید فنی
C_018593,2020-06-08,قیمت و تخفیف,ارسال نمونه
C_018593,2020-05-08,پیگیری سفارش,بدون اقدام
C_018593,2020-06-09,نمونه محصول,بازدید فنی
C_018593,2020-05-09,قیمت و تخفیف,جلسه قیمت
C_018593,2020-05-29,پیگیری سفارش,ارسال نمونه
C_021668,2020-09-15,قیمت و تخفیف,جلسه قیمت
C_021668,2020-10-09,کیفیت محصول,پیگیری تلفنی
C_021668,2020-08-26,نمونه محصول,ارسال نمونه
C_021668,2020-09-26,قیمت و تخفیف,بازدید فنی
C_021668,2020-08-13,قیمت و تخفیف,ارسال نمونه
C_021985,2022-01-16,خدمات فنی,پیگیری تلفنی
C_021985,2021-08-25,برنامه خرید,بدون اقدام
C_021985,2021-03-22,خدمات فنی,بازدید فنی
C_021985,2021-04-22,کیفیت محصول,پیگیری تلفنی
C_021985,2021-06-09,قیمت و تخفیف,بازدید فنی
C_021985,2021-05-29,پیگیری سفارش,بدون اقدام
C_022240,2021-05-22,کیفیت محصول,پیگیری تلفنی
C_022240,2021-07-21,قیمت و تخفیف,بازدید فنی
C_022240,2021-04-02,پیگیری سفارش,بدون اقدام
C_022240,2021-04-13,پیگیری سفارش,پیگیری تلفنی
C_022240,2021-07-19,قیمت و تخفیف,بازدید فنی
C_022240,2021-01-27,وصول مطالبات,بدون اقدام
C_022240,2020-12-06,قیمت و تخفیف,ارسال نمونه
C_022240,2020-12-06,قیمت و تخفیف,ارسال نمونه
C_022240,2020-10-13,پیگیری سفارش,جلسه قیمت
C_022240,2021-04-08,نمونه محصول,پیگیری تلفنی
C_022746,2021-11-20,کیفیت محصول,پیگیری تلفنی
C_022746,2021-10-22,قیمت و تخفیف,جلسه قیمت
C_022746,2021-10-22,قیمت و تخفیف,جلسه قیمت
C_022746,2021-11-22,کیفیت محصول,پیگیری تلفنی
C_022746,2021-11-04,کیفیت محصول,بازدید فنی
C_022746,2021-09-21,قیمت و تخفیف,پیگیری تلفنی
C_023073,2020-09-16,پیگیری سفارش,جلسه قیمت
C_023073,2020-08-03,نمونه محصول,پیگیری تلفنی
C_023073,2021-12-14,قیمت و تخفیف,بدون اقدام
C_023073,2021-07-11,قیمت و تخفیف,جلسه قیمت
C_023073,2021-07-11,قیمت و تخفیف,جلسه قیمت
C_023073,2020-09-13,قیمت و تخفیف,بدون اقدام
C_023073,2021-08-13,خدمات فنی,بازدید فنی
C_027096,2020-05-24,قیمت و تخفیف,جلسه قیمت
C_027096,2020-10-29,قیمت و تخفیف,بدون اقدام
C_027096,2020-03-16,خدمات فنی,بازدید فنی
C_027096,2020-08-12,نمونه محصول,بدون اقدام
C_027096,2020-09-15,قیمت و تخفیف,پیگیری تلفنی
C_028208,2021-01-28,خدمات فنی,بدون اقدام
C_028208,2020-12-02,پیگیری سفارش,ارسال نمونه
C_028208,2021-01-01,نمونه محصول,بدون اقدام
C_028208,2020-12-04,برنامه خرید,بازدید فنی
C_028208,2021-01-31,کیفیت محصول,ارسال نمونه
C_029626,2020-07-18,خدمات فنی,بدون اقدام
C_029626,2020-08-31,قیمت و تخفیف,بدون اقدام
C_029626,2020-07-31,پیگیری سفارش,بازدید فنی
C_029626,2020-09-13,کیفیت محصول,بدون اقدام
C_029626,2020-08-13,نمونه محصول,بازدید فنی
C_031511,2022-05-23,نمونه محصول,پیگیری تلفنی
C_031511,2022-07-06,خدمات فنی,جلسه قیمت
C_031511,2022-06-05,برنامه خرید,ارسال نمونه
C_031511,2022-06-20,قیمت و تخفیف,جلسه قیمت
C_031511,2022-08-03,کیفیت محصول,بازدید فنی
C_034287,2020-06-30,نمونه محصول,جلسه قیمت
C_034287,2020-08-09,برنامه خرید,ارسال نمونه
C_034287,2020-09-09,قیمت و تخفیف,پیگیری تلفنی
C_034287,2020-05-04,برنامه خرید,پیگیری تلفنی
C_034287,2020-05-12,نمونه محصول,بازدید فنی
C_035154,2021-09-10,قیمت و تخفیف,ارسال نمونه
C_035154,2021-07-28,پیگیری سفارش,جلسه قیمت
C_035154,2021-08-28,قیمت و تخفیف,بازدید فنی
C_035154,2021-08-07,پیگیری سفارش,بدون اقدام
C_035154,2021-09-07,قیمت و تخفیف,بدون اقدام
C_035718,2020-06-07,قیمت و تخفیف,ارسال نمونه
C_035718,2020-05-07,قیمت و تخفیف,بدون اقدام
C_035718,2020-05-25,کیفیت محصول,بازدید فنی
C_035718,2020-04-24,برنامه خرید,بدون اقدام
C_035718,2020-02-25,پیگیری سفارش,بازدید فنی
C_039413,2020-06-11,برنامه خرید,بدون اقدام
C_039413,2020-01-29,قیمت و تخفیف,بدون اقدام
C_039413,2020-03-13,پیگیری سفارش,جلسه قیمت
C_039413,2020-03-13,پیگیری سفارش,جلسه قیمت
C_039413,2020-06-30,برنامه خرید,ارسال نمونه
C_039413,2020-05-30,برنامه خرید,جلسه قیمت
C_040673,2021-03-29,کیفیت محصول,بدون اقدام
C_040673,2021-02-13,برنامه خرید,جلسه قیمت
C_040673,2020-03-01,پیگیری سفارش,جلسه قیمت
C_040673,2021-07-23,کیفیت محصول,پیگیری تلفنی
C_040673,2021-09-20,وصول مطالبات,بدون اقدام
C_040673,2021-09-20,وصول مطالبات,بدون اقدام
C_040673,2020-04-02,کیفیت محصول,جلسه قیمت
C_042732,2022-06-05,کیفیت محصول,پیگیری تلفنی
C_042732,2021-11-10,وصول مطالبات,بدون اقدام
C_042732,2022-03-12,کیفیت محصول,جلسه قیمت
C_042732,2021-12-07,قیمت و تخفیف,ارسال نمونه
C_042732,2021-10-30,کیفیت محصول,جلسه قیمت
C_049314,2020-08-05,قیمت و تخفیف,پیگیری تلفنی
C_049314,2020-09-18,کیفیت محصول,پیگیری تلفنی
C_049314,2020-08-18,خدمات فنی,جلسه قیمت
C_049314,2020-08-10,پیگیری سفارش,بازدید فنی
C_049314,2020-09-23,وصول مطالبات,جلسه قیمت
C_050237,2021-12-05,برنامه خرید,ارسال نمونه
C_050237,2021-12-05,برنامه خرید,ارسال نمونه
C_050237,2021-09-28,وصول مطالبات,بدون اقدام
C_050237,2021-02-25,قیمت و تخفیف,جلسه قیمت
C_050237,2022-02-05,وصول مطالبات,ارسال نمونه
C_050237,2022-06-16,پیگیری سفارش,جلسه قیمت
C_050237,2021-08-08,برنامه خرید,جلسه قیمت
C_050237,2021-02-26,قیمت و تخفیف,ارسال نمونه
C_050237,2020-12-07,پیگیری سفارش,ارسال نمونه
C_050237,2021-07-01,قیمت و تخفیف,ارسال نمونه
C_050237,2021-09-07,پیگیری سفارش,ارسال نمونه
C_050237,2021-10-08,پیگیری سفارش,بازدید فنی
C_050237,2021-08-25,نمونه محصول,جلسه قیمت
C_050237,2022-05-10,وصول مطالبات,بازدید فنی
C_050237,2022-05-10,وصول مطالبات,بازدید فنی
C_050237,2021-12-24,برنامه خرید,پیگیری تلفنی
C_050237,2021-03-03,قیمت و تخفیف,بدون اقدام
C_051392,2020-07-05,پیگیری سفارش,ارسال نمونه
C_051392,2021-03-04,خدمات فنی,پیگیری تلفنی
C_051392,2021-02-01,وصول مطالبات,ارسال نمونه
C_051392,2020-08-31,نمونه محصول,پیگیری تلفنی
C_051392,2020-07-31,پیگیری سفارش,بازدید فنی
C_051535,2020-09-29,پیگیری سفارش,بازدید فنی
C_051535,2020-07-04,نمونه محصول,جلسه قیمت
C_051535,2021-05-21,وصول مطالبات,بازدید فنی
C_051535,2020-09-08,برنامه خرید,پیگیری تلفنی
C_051535,2021-05-03,قیمت و تخفیف,بدون اقدام
C_051535,2021-05-03,قیمت و تخفیف,بدون اقدام
C_051535,2021-07-01,کیفیت محصول,پیگیری تلفنی
C_051535,2022-05-15,پیگیری سفارش,پیگیری تلفنی
C_051535,2020-05-06,قیمت و تخفیف,ارسال نمونه
C_051535,2020-09-23,قیمت و تخفیف,ارسال نمونه
C_051535,2021-11-13,وصول مطالبات,بازدید فنی
C_051535,2021-06-15,پیگیری سفارش,پیگیری تلفنی
C_051535,2021-08-06,پیگیری سفارش,جلسه قیمت
C_051535,2021-01-13,کیفیت محصول,بدون اقدام
C_051535,2020-05-04,کیفیت محصول,پیگیری تلفنی
C_051535,2021-01-21,پیگیری سفارش,بدون اقدام
C_051706,2021-12-27,نمونه محصول,پیگیری تلفنی
C_051706,2020-06-05,وصول مطالبات,بازدید فنی
C_051706,2020-09-20,وصول مطالبات,جلسه قیمت
C_051706,2020-09-20,وصول مطالبات,جلسه قیمت
C_051706,2021-04-01,قیمت و تخفیف,بازدید فنی
C_051706,2020-08-29,کیفیت محصول,جلسه قیمت
C_051706,2021-02-10,خدمات فنی,بدون اقدام
C_051706,2020-12-13,قیمت و تخفیف,پیگیری تلفنی
C_051706,2021-02-16,نمونه محصول,جلسه قیمت
C_051706,2021-02-16,نمونه محصول,جلسه قیمت
C_051706,2020-02-08,قیمت و تخفیف,جلسه قیمت
C_051706,2020-10-27,برنامه خرید,پیگیری تلفنی
C_051706,2020-03-01,نمونه محصول,جلسه قیمت
C_051706,2020-07-08,پیگیری سفارش,بازدید فنی
C_051706,2020-12-14,پیگیری سفارش,پیگیری تلفنی
C_051706,2020-12-14,پیگیری سفارش,پیگیری تلفنی
C_051706,2020-03-03,نمونه محصول,جلسه قیمت
C_051706,2022-06-10,نمونه محصول,پیگیری تلفنی
C_054476,2022-07-11,نمونه محصول,بدون اقدام
C_054476,2022-05-28,پیگیری سفارش,بدون اقدام
C_054476,2022-06-05,کیفیت محصول,ارسال نمونه
C_054476,2022-07-06,نمونه محصول,بازدید فنی
C_054476,2022-07-09,نمونه محصول,پیگیری تلفنی
C_054737,2021-07-08,نمونه محصول,جلسه قیمت
C_054737,2021-08-08,پیگیری سفارش,بازدید فنی
C_054737,2021-07-09,پیگیری سفارش,پیگیری تلفنی
C_054737,2021-07-17,نمونه محصول,جلسه قیمت
C_054737,2021-08-03,نمونه محصول,پیگیری تلفنی
C_058218,2021-10-17,پیگیری سفارش,پیگیری تلفنی
C_058218,2021-12-22,پیگیری سفارش,پیگیری تلفنی
C_058218,2021-12-30,خدمات فنی,پیگیری تلفنی
C_058218,2022-02-15,وصول مطالبات,بازدید فنی
C_058218,2021-09-22,قیمت و تخفیف,بازدید فنی
C_058218,2022-01-07,خدمات فنی,ارسال نمونه
C_058218,2022-01-07,خدمات فنی,ارسال نمونه
C_058218,2020-07-07,کیفیت محصول,پیگیری تلفنی
C_058218,2021-09-30,پیگیری سفارش,جلسه قیمت
C_058218,2020-07-20,وصول مطالبات,پیگیری تلفنی
C_058685,2020-08-21,برنامه خرید,بدون اقدام
C_058685,2020-10-04,پیگیری سفارش,بدون اقدام
C_058685,2020-09-03,وصول مطالبات,بدون اقدام
C_058685,2020-10-17,پیگیری سفارش,پیگیری تلفنی
C_058685,2020-09-16,قیمت و تخفیف,بازدید فنی
C_059511,2021-03-23,پیگیری سفارش,جلسه قیمت
C_059511,2021-04-30,وصول مطالبات,پیگیری تلفنی
C_059511,2021-04-05,قیمت و تخفیف,بازدید فنی
C_059511,2021-02-20,نمونه محصول,پیگیری تلفنی
C_059511,2021-04-25,وصول مطالبات,پیگیری تلفنی
C_063809,2020-11-27,وصول مطالبات,جلسه قیمت
C_063809,2020-11-23,قیمت و تخفیف,بدون اقدام
C_063809,2022-04-28,پیگیری سفارش,ارسال نمونه
C_063809,2022-04-28,پیگیری سفارش,ارسال نمونه
C_063809,2022-01-20,برنامه خرید,بدون اقدام
C_063809,2020-03-17,نمونه محصول,جلسه قیمت
C_063809,2021-11-04,کیفیت محصول,بدون اقدام
C_063809,2021-11-04,کیفیت محصول,بدون اقدام
C_063809,2022-05-09,خدمات فنی,ارسال نمونه
C_063926,2020-05-01,وصول مطالبات,پیگیری تلفنی
C_063926,2020-08-11,وصول مطالبات,جلسه قیمت
C_063926,2020-04-18,خدمات فنی,ارسال نمونه
C_063926,2020-10-12,پیگیری سفارش,بازدید فنی
C_063926,2020-04-05,خدمات فنی,بدون اقدام
C_063926,2020-09-29,پیگیری سفارش,بدون اقدام
C_063926,2020-09-29,پیگیری سفارش,بدون اقدام
C_063926,2020-07-28,پیگیری سفارش,بدون اقدام
C_063926,2020-10-15,قیمت و تخفیف,پیگیری تلفنی
C_063926,2021-05-08,پیگیری سفارش,بازدید فنی
C_066978,2022-03-22,پیگیری سفارش,بدون اقدام
C_066978,2021-01-31,وصول مطالبات,ارسال نمونه
C_066978,2022-03-09,وصول مطالبات,بدون اقدام
C_066978,2022-01-24,وصول مطالبات,بدون اقدام
C_066978,2021-02-18,پیگیری سفارش,بازدید فنی
C_069492,2021-10-12,قیمت و تخفیف,پیگیری تلفنی
C_069492,2021-04-16,پیگیری سفارش,بازدید فنی
C_069492,2021-10-11,نمونه محصول,پیگیری تلفنی
C_069492,2021-10-02,پیگیری سفارش,جلسه قیمت
C_069492,2021-05-03,وصول مطالبات,پیگیری تلفنی
C_069492,2021-08-27,کیفیت محصول,پیگیری تلفنی
C_069492,2021-04-04,نمونه محصول,جلسه قیمت
C_069492,2021-11-11,برنامه خرید,بدون اقدام
C_069492,2020-11-11,برنامه خرید,بازدید فنی
C_069492,2022-07-22,وصول مطالبات,بدون اقدام
C_070220,2021-05-04,کیفیت محصول,پیگیری تلفنی
C_070220,2021-04-03,نمونه محصول,جلسه قیمت
C_070220,2021-03-26,برنامه خرید,بدون اقدام
C_070220,2021-03-26,برنامه خرید,بدون اقدام
C_070220,2021-05-23,برنامه خرید,بازدید فنی
C_070220,2021-05-07,وصول مطالبات,بدون اقدام
C_070220,2021-05-07,وصول مطالبات,بدون اقدام
C_070712,2022-01-03,پیگیری سفارش,بدون اقدام
C_070712,2021-10-21,خدمات فنی,بازدید فنی
C_070712,2021-11-02,کیفیت محصول,پیگیری تلفنی
C_070712,2021-09-26,نمونه محصول,بدون اقدام
C_070712,2022-02-16,وصول مطالبات,بازدید فنی
C_070712,2021-10-09,خدمات فنی,بدون اقدام
C_074947,2021-12-21,نمونه محصول,بدون اقدام
C_074947,2021-06-30,وصول مطالبات,بازدید فنی
C_074947,2020-04-11,خدمات فنی,بدون اقدام
C_074947,2020-11-01,وصول مطالبات,بازدید فنی
C_074947,2021-07-01,کیفیت محصول,ارسال نمونه
C_074947,2021-10-04,نمونه محصول,ارسال نمونه
C_074947,2021-06-30,نمونه محصول,جلسه قیمت
C_074947,2021-08-27,پیگیری سفارش,بازدید فنی
C_074947,2021-04-20,وصول مطالبات,پیگیری تلفنی
C_074947,2021-10-02,خدمات فنی,بدون اقدام
C_074947,2021-10-02,خدمات فنی,بدون اقدام
C_074947,2022-06-01,کیفیت محصول,ارسال نمونه
C_076411,2021-03-05,نمونه محصول,ارسال نمونه
C_076411,2021-05-02,نمونه محصول,بدون اقدام
C_076411,2021-03-01,برنامه خرید,ارسال نمونه
C_076411,2021-03-04,پیگیری سفارش,بدون اقدام
C_076411,2021-03-04,پیگیری سفارش,بدون اقدام
C_076411,2021-04-04,کیفیت محصول,ارسال نمونه
C_077505,2021-05-14,وصول مطالبات,پیگیری تلفنی
C_077505,2021-05-22,خدمات فنی,بدون اقدام
C_077505,2021-05-22,خدمات فنی,بدون اقدام
C_077505,2021-06-22,کیفیت محصول,ارسال نمونه
C_077505,2021-05-09,وصول مطالبات,ارسال نمونه
C_077505,2021-06-09,پیگیری سفارش,ارسال نمونه
C_080312,2020-04-29,پیگیری سفارش,بدون اقدام
C_080312,2020-05-30,خدمات فنی,ارسال نمونه
C_080312,2020-04-22,قیمت و تخفیف,پیگیری تلفنی
C_080312,2020-06-05,وصول مطالبات,ارسال نمونه
C_080312,2020-05-05,پیگیری سفارش,پیگیری تلفنی
C_081235,2022-04-28,قیمت و تخفیف,بدون اقدام
C_081235,2022-03-28,قیمت و تخفیف,پیگیری تلفنی
C_081235,2022-02-25,قیمت و تخفیف,بدون اقدام
C_081235,2022-04-10,کیفیت محصول,بدون اقدام
C_081235,2022-03-10,نمونه محصول,پیگیری تلفنی
C_081456,2020-10-16,وصول مطالبات,پیگیری تلفنی
C_081456,2020-09-15,کیفیت محصول,جلسه قیمت
C_081456,2021-06-28,خدمات فنی,ارسال نمونه
C_081456,2021-05-28,برنامه خرید,بازدید فنی
C_081456,2021-09-20,قیمت و تخفیف,بدون اقدام
C_081456,2021-09-20,قیمت و تخفیف,بدون اقدام
C_082643,2021-02-18,پیگیری سفارش,پیگیری تلفنی
C_082643,2021-02-13,پیگیری سفارش,پیگیری تلفنی
C_082643,2021-01-13,قیمت و تخفیف,بدون اقدام
C_082643,2021-01-31,قیمت و تخفیف,پیگیری تلفنی
C_082643,2020-12-31,برنامه خرید,جلسه قیمت
C_083552,2020-10-20,کیفیت محصول,بازدید فنی
C_083552,2020-05-02,کیفیت محصول,جلسه قیمت
C_083552,2020-05-02,کیفیت محصول,جلسه قیمت
C_083552,2020-10-17,قیمت و تخفیف,ارسال نمونه
C_083552,2020-03-10,قیمت و تخفیف,پیگیری تلفنی
C_083552,2020-07-10,پیگیری سفارش,پیگیری تلفنی
C_083552,2021-05-24,خدمات فنی,پیگیری تلفنی
C_086403,2021-10-04,قیمت و تخفیف,پیگیری تلفنی
C_086403,2020-04-02,پیگیری سفارش,پیگیری تلفنی
C_086403,2020-03-01,خدمات فنی,پیگیری تلفنی
C_086403,2021-06-02,کیفیت محصول,جلسه قیمت
C_086403,2020-07-19,نمونه محصول,ارسال نمونه
C_086403,2021-06-09,وصول مطالبات,ارسال نمونه
C_086403,2021-06-03,نمونه محصول,پیگیری تلفنی
C_086972,2020-02-17,برنامه خرید,جلسه قیمت
C_086972,2020-04-01,کیفیت محصول,پیگیری تلفنی
C_086972,2020-03-01,پیگیری سفارش,بدون اقدام
C_086972,2020-02-22,پیگیری سفارش,پیگیری تلفنی
C_086972,2020-04-06,کیفیت محصول,ارسال نمونه
C_091932,2020-07-17,نمونه محصول,پیگیری تلفنی
C_091932,2020-06-16,برنامه خرید,بدون اقدام
C_091932,2020-06-16,برنامه خرید,بدون اقدام
C_091932,2020-07-07,قیمت و تخفیف,ارسال نمونه
C_091932,2020-08-20,وصول مطالبات,بدون اقدام
C_091932,2020-07-14,قیمت و تخفیف,پیگیری تلفنی
C_091997,2021-04-02,خدمات فنی,پیگیری تلفنی
C_091997,2020-07-29,قیمت و تخفیف,جلسه قیمت
C_091997,2021-03-20,نمونه محصول,بازدید فنی
C_091997,2020-10-08,نمونه محصول,ارسال نمونه
C_091997,2020-09-20,پیگیری سفارش,ارسال نمونه
C_091997,2020-09-23,پیگیری سفارش,بازدید فنی
C_094312,2021-12-27,نمونه محصول,ارسال نمونه
C_094312,2021-12-20,پیگیری سفارش,ارسال نمونه
C_094312,2022-02-10,پیگیری سفارش,بازدید فنی
C_094312,2022-01-07,پیگیری سفارش,بازدید فنی
C_094312,2021-12-28,قیمت و تخفیف,ارسال نمونه
C_095017,2020-02-22,پیگیری سفارش,بدون اقدام
C_095017,2021-12-08,پیگیری سفارش,پیگیری تلفنی
C_095017,2020-06-28,کیفیت محصول,بازدید فنی
C_095017,2020-06-28,کیفیت محصول,بازدید فنی
C_095017,2020-08-11,پیگیری سفارش,پیگیری تلفنی
C_095017,2022-05-09,نمونه محصول,پیگیری تلفنی
C_095017,2020-07-29,برنامه خرید,پیگیری تلفنی
C_097158,2020-07-21,پیگیری سفارش,پیگیری تلفنی
C_097158,2020-09-03,نمونه محصول,پیگیری تلفنی
C_097158,2020-10-03,برنامه خرید,پیگیری تلفنی
C_097158,2020-08-20,برنامه خرید,جلسه قیمت
C_097158,2020-10-16,پیگیری سفارش,پیگیری تلفنی
C_099163,2020-07-01,برنامه خرید,بدون اقدام
C_099163,2020-08-08,پیگیری سفارش,جلسه قیمت
C_099163,2020-06-02,وصول مطالبات,پیگیری تلفنی
C_099163,2020-05-15,کیفیت محصول,بدون اقدام
C_099163,2020-09-21,وصول مطالبات,ارسال نمونه
C_101421,2021-09-09,کیفیت محصول,ارسال نمونه
C_101421,2021-05-16,پیگیری سفارش,بازدید فنی
C_101421,2021-05-03,پیگیری سفارش,جلسه قیمت
C_101421,2021-04-02,پیگیری سفارش,بدون اقدام
C_101421,2021-05-16,خدمات فنی,پیگیری تلفنی
C_101842,2022-03-18,کیفیت محصول,پیگیری تلفنی
C_101842,2020-12-29,برنامه خرید,جلسه قیمت
C_101842,2020-12-29,برنامه خرید,جلسه قیمت
C_101842,2021-05-06,پیگیری سفارش,ارسال نمونه
C_101842,2022-04-18,پیگیری سفارش,جلسه قیمت
C_101842,2020-05-15,کیفیت محصول,بدون اقدام
C_101842,2022-05-04,نمونه محصول,بدون اقدام
C_101842,2022-04-10,برنامه خرید,پیگیری تلفنی
C_101842,2022-05-22,پیگیری سفارش,پیگیری تلفنی
C_101842,2021-11-26,پیگیری سفارش,پیگیری تلفنی
C_101842,2020-02-17,پیگیری سفارش,بازدید فنی
C_101842,2022-04-09,نمونه محصول,پیگیری تلفنی
C_110846,2020-05-31,وصول مطالبات,جلسه قیمت
C_110846,2020-07-01,وصول مطالبات,بدون اقدام
C_110846,2020-05-18,قیمت و تخفیف,ارسال نمونه
C_110846,2020-05-18,قیمت و تخفیف,ارسال نمونه
C_110846,2020-06-18,کیفیت محصول,ارسال نمونه
C_110846,2020-05-28,پیگیری سفارش,بازدید فنی
C_113139,2022-04-03,پیگیری سفارش,پیگیری تلفنی
C_113139,2021-11-07,پیگیری سفارش,بازدید فنی
C_113139,2021-11-07,پیگیری سفارش,بازدید فنی
C_113139,2021-08-31,نمونه محصول,پیگیری تلفنی
C_113139,2020-09-19,پیگیری سفارش,بازدید فنی
C_113139,2021-08-04,وصول مطالبات,بدون اقدام
C_113139,2021-08-20,پیگیری سفارش,ارسال نمونه
C_113139,2021-11-23,برنامه خرید,پیگیری تلفنی
C_113139,2021-11-23,برنامه خرید,پیگیری تلفنی
C_113139,2022-05-07,برنامه خرید,بازدید فنی
C_113139,2022-02-28,وصول مطالبات,بازدید فنی
C_113139,2020-11-11,قیمت و تخفیف,پیگیری تلفنی
C_113139,2021-09-05,برنامه خرید,پیگیری تلفنی
C_113139,2020-08-26,کیفیت محصول,پیگیری تلفنی
C_113139,2020-10-12,برنامه خرید,جلسه قیمت
C_113139,2020-04-09,پیگیری سفارش,ارسال نمونه
C_113139,2021-08-08,پیگیری سفارش,پیگیری تلفنی
C_117580,2020-09-18,برنامه خرید,ارسال نمونه
C_117580,2020-10-19,وصول مطالبات,بدون اقدام
C_117580,2020-10-08,پیگیری سفارش,پیگیری تلفنی
C_117580,2020-06-30,کیفیت محصول,پیگیری تلفنی
C_117580,2020-07-20,وصول مطالبات,بدون اقدام
C_117580,2020-07-02,پیگیری سفارش,بازدید فنی
C_117580,2020-10-07,پیگیری سفارش,بازدید فنی
C_117580,2020-09-19,برنامه خرید,بدون اقدام
C_117580,2020-09-29,پیگیری سفارش,بدون اقدام
C_117580,2020-08-14,برنامه خرید,بازدید فنی
C_117580,2020-05-22,وصول مطالبات,پیگیری تلفنی
C_117580,2020-08-24,خدمات فنی,پیگیری تلفنی
C_117580,2020-06-04,قیمت و تخفیف,بدون اقدام
C_117580,2020-09-20,خدمات فنی,بازدید فنی
C_117580,2020-07-13,پیگیری سفارش,ارسال نمونه
C_117580,2020-07-13,پیگیری سفارش,ارسال نمونه
C_118223,2022-05-26,وصول مطالبات,پیگیری تلفنی
C_118223,2021-12-17,وصول مطالبات,بدون اقدام
C_118223,2022-04-05,نمونه محصول,ارسال نمونه
C_118223,2022-05-21,قیمت و تخفیف,پیگیری تلفنی
C_118223,2021-09-29,خدمات فنی,پیگیری تلفنی
C_118223,2022-01-19,برنامه خرید,پیگیری تلفنی
C_119382,2021-05-30,قیمت و تخفیف,پیگیری تلفنی
C_119382,2021-06-17,خدمات فنی,پیگیری تلفنی
C_119382,2020-02-24,برنامه خرید,پیگیری تلفنی
C_119382,2020-02-24,برنامه خرید,پیگیری تلفنی
C_119382,2020-08-26,برنامه خرید,پیگیری تلفنی
C_119382,2021-08-13,پیگیری سفارش,پیگیری تلفنی
C_119382,2021-05-27,پیگیری سفارش,جلسه قیمت
C_120272,2021-10-10,برنامه خرید,پیگیری تلفنی
C_120272,2021-08-27,پیگیری سفارش,پیگیری تلفنی
C_120272,2021-09-27,پیگیری سفارش,جلسه قیمت
C_120272,2021-08-14,نمونه محصول,پیگیری تلفنی
C_120272,2021-09-14,پیگیری سفارش,ارسال نمونه
C_121437,2021-01-15,کیفیت محصول,ارسال نمونه
C_121437,2021-03-31,پیگیری سفارش,بازدید فنی
