invoice_no,invoice_date,customer_id
T_003509,2021-06-14,C_258325
T_003588,2020-09-14,C_683666
T_003596,2021-02-15,C_943171
T_003778,2020-11-23,C_806376
T_003789,2021-06-21,C_197461
T_003792,2020-07-20,C_866894
T_003895,2021-09-27,C_728285
T_003922,2021-10-18,C_939370
T_003926,2022-05-02,C_948070
T_003946,2020-12-14,C_806376
T_003987,2020-09-28,C_113139
T_004044,2020-01-13,C_040673
T_004144,2021-06-21,C_728285
T_004362,2021-11-15,C_472366
T_004423,2021-11-15,C_691869
T_004457,2020-06-01,C_421536
T_004615,2020-12-14,C_806376
T_004700,2021-03-08,C_980626
T_004792,2020-06-15,C_705572
T_004829,2020-08-10,C_117580
T_004835,2020-06-01,C_150182
T_004918,2021-01-25,C_190305
T_005037,2020-02-03,C_245948
T_005043,2021-06-21,C_862106
T_005159,2021-03-29,C_051706
T_005240,2021-08-16,C_749821
T_005363,2021-07-05,C_258325
T_005399,2022-04-25,C_276262
T_005440,2020-11-30,C_593639
T_005478,2021-01-04,C_938531
T_005519,2021-09-27,C_155990
T_005582,2020-02-10,C_039413
T_005607,2020-01-27,C_514467
T_005768,2020-08-10,C_739258
T_005789,2020-01-06,C_746892
T_005839,2020-10-26,C_336021
T_005851,2021-03-08,C_728285
T_005960,2021-02-22,C_245948
T_005969,2020-03-16,C_683666
T_005996,2021-08-16,C_862106
T_006017,2020-12-14,C_172705
T_006090,2021-02-08,C_385527
T_006309,2021-04-12,C_582486
T_006314,2020-08-17,C_263291
T_006398,2020-09-28,C_387172
T_006466,2021-03-01,C_282979
T_006623,2021-06-21,C_412635
T_006751,2020-10-19,C_535756
T_006896,2021-05-17,C_763443
T_006920,2021-06-14,C_705572
T_007209,2021-05-03,C_692721
T_007261,2021-10-25,C_739947
T_007350,2022-03-07,C_698497
T_007479,2021-06-21,C_258325
T_007536,2020-07-20,C_022240
T_007651,2020-09-21,C_943921
T_007726,2021-07-26,C_342153
T_007851,2020-12-07,C_698497
T_007895,2020-04-27,C_740649
T_007916,2020-12-14,C_937594
T_007952,2020-07-20,C_915518
T_007964,2020-04-13,C_027096
T_008005,2020-09-07,C_117580
T_008018,2020-08-17,C_575381
T_008123,2020-08-17,C_411261
T_008170,2021-11-01,C_334474
T_008232,2021-12-27,C_113139
T_008456,2020-05-04,C_593639
T_008527,2021-11-08,C_218295
T_008719,2020-10-05,C_603877
T_008722,2020-02-24,C_980626
T_008751,2021-11-08,C_042732
T_008825,2020-01-27,C_838088
T_008960,2021-12-06,C_472366
T_008974,2020-03-09,C_799217
T_009000,2020-06-22,C_421536
T_009023,2022-04-04,C_728285
T_009055,2021-03-15,C_806376
T_009209,2020-12-21,C_762928
T_009238,2021-08-23,C_878590
T_009384,2022-04-25,C_683666
T_009535,2021-06-28,C_806376
T_009707,2021-03-22,C_683666
T_009770,2020-12-28,C_848211
T_009932,2021-02-15,C_862106
T_009952,2020-04-27,C_980626
T_009981,2020-06-08,C_565612
T_010009,2020-05-04,C_258325
T_010038,2020-08-10,C_314119
T_010112,2022-05-09,C_951507
T_010153,2020-10-19,C_806376
T_010308,2021-04-26,C_939370
T_010430,2020-10-26,C_739947
T_010496,2020-04-27,C_714619
T_010538,2021-11-15,C_472366
T_010561,2020-08-24,C_758522
T_010585,2021-11-22,C_710912
T_010689,2020-08-03,C_113139
T_010700,2020-03-09,C_691869
T_010742,2020-08-03,C_420849
T_010786,2020-02-03,C_086403
T_011071,2020-03-30,C_113139
T_011143,2021-05-17,C_233299
T_011184,2020-11-16,C_939370
T_011212,2021-05-24,C_101842
T_011271,2020-09-28,C_900728
T_011352,2020-01-20,C_330550
T_011385,2020-05-04,C_322219
T_011442,2020-03-23,C_862106
T_011459,2021-10-25,C_746892
T_011543,2019-12-16,C_932446
T_011556,2021-09-27,C_170045
T_011630,2020-04-20,C_603968
T_011639,2022-01-31,C_265923
T_011665,2021-01-11,C_672256
T_011669,2020-04-20,C_593639
T_011794,2021-08-09,C_336021
T_011811,2022-05-02,C_412635
T_011845,2020-11-09,C_739258
T_011941,2021-05-03,C_806376
T_012009,2021-06-28,C_969414
T_012017,2020-11-02,C_180745
T_012027,2020-11-02,C_862106
T_012030,2022-01-24,C_672256
T_012074,2020-04-27,C_274912
T_012107,2020-06-29,C_117580
T_012123,2021-09-27,C_633661
T_012322,2021-07-19,C_932446
T_012330,2021-08-09,C_329432
T_012564,2021-07-19,C_806376
T_012660,2020-11-02,C_897743
T_012672,2021-11-08,C_185126
T_012688,2021-11-22,C_113139
T_012712,2020-09-28,C_535756
T_012798,2020-08-24,C_862106
T_012824,2020-04-13,C_633661
T_012832,2020-07-27,C_117580
T_012849,2020-12-07,C_144468
T_012920,2021-10-04,C_258325
T_013165,2021-08-16,C_937594
T_013215,2020-01-20,C_245948
T_013247,2020-04-13,C_144468
T_013290,2021-10-11,C_113139
T_013291,2020-04-20,C_244106
T_013323,2021-03-15,C_806376
T_013342,2021-02-22,C_937594
T_013350,2021-02-08,C_249135
T_013401,2021-03-01,C_980626
T_013405,2021-06-28,C_172705
T_013433,2020-06-01,C_980626
T_013440,2020-10-26,C_683666
T_013468,2021-11-15,C_937594
T_013622,2020-06-08,C_633661
T_013713,2020-09-14,C_603968
T_013815,2021-09-06,C_058218
T_013959,2020-09-21,C_915518
T_014014,2021-01-04,C_633661
T_014032,2022-04-04,C_888956
T_014039,2021-08-23,C_806376
T_014073,2020-08-10,C_117580
T_014142,2021-03-22,C_051706
T_014194,2021-08-16,C_746892
T_014231,2021-07-12,C_806376
T_014413,2022-03-14,C_419410
T_014415,2021-04-26,C_800815
T_014489,2020-04-27,C_185126
T_014513,2020-01-27,C_258325
T_014538,2020-01-20,C_249788
T_014544,2021-03-08,C_196572
T_014578,2021-06-28,C_514318
T_014652,2020-07-13,C_117580
T_014702,2020-07-20,C_310107
T_014753,2021-07-12,C_593639
T_014895,2020-10-26,C_113139
T_014966,2021-11-08,C_603968
T_015004,2021-08-23,C_465481
T_015029,2021-06-28,C_739947
T_015112,2020-07-13,C_746892
T_015264,2021-07-12,C_698497
T_015331,2020-03-16,C_705572
T_015451,2020-05-04,C_172705
T_015522,2021-02-22,C_594561
T_015524,2021-12-13,C_420849
T_015758,2021-07-26,C_023073
T_015779,2020-11-30,C_633661
T_015839,2020-08-17,C_600979
T_015841,2020-03-30,C_322315
T_016289,2021-12-20,C_352205
T_016349,2020-11-30,C_939370
T_016412,2020-04-27,C_155990
T_016559,2020-11-02,C_731802
T_016590,2020-04-27,C_051706
T_016640,2020-03-02,C_074947
T_016659,2021-08-23,C_691869
T_016825,2020-08-24,C_519849
T_016855,2020-04-20,C_862106
T_016893,2020-12-07,C_806376
T_016905,2021-10-11,C_858384
T_016916,2021-08-16,C_465481
T_017059,2020-03-23,C_797326
T_017130,2020-10-26,C_746892
T_017256,2021-04-19,C_603968
T_017401,2021-03-22,C_633661
T_017439,2020-06-08,C_421536
T_017589,2021-03-15,C_352205
T_017676,2021-11-22,C_535756
T_017769,2021-03-01,C_535756
T_017817,2020-11-09,C_683666
T_017857,2021-03-22,C_245948
T_017962,2021-11-15,C_051706
T_018029,2020-03-09,C_051706
T_018264,2021-06-28,C_909326
T_018277,2020-08-10,C_101842
T_018413,2021-04-12,C_937594
T_018480,2020-01-27,C_172705
T_018585,2020-11-16,C_951507
T_018589,2020-09-07,C_314119
T_018606,2020-01-13,C_357434
T_018675,2021-12-06,C_951507
T_018763,2020-09-28,C_633661
T_018768,2022-02-28,C_440132
T_018782,2021-06-21,C_806376
T_018793,2021-03-15,C_800815
T_018795,2021-02-15,C_113139
T_018824,2020-09-14,C_412635
T_018989,2021-05-10,C_398853
T_019109,2020-05-04,C_051706
T_019300,2020-11-16,C_891574
T_019304,2020-08-10,C_593639
T_019509,2021-11-01,C_740649
T_019591,2020-12-07,C_282979
T_019610,2021-03-22,C_937594
T_019630,2021-05-10,C_683666
T_019733,2021-06-21,C_806376
T_019759,2021-11-08,C_746892
T_019822,2020-08-24,C_768792
T_019901,2021-04-19,C_705572
T_019961,2020-08-31,C_622797
T_019990,2021-10-11,C_603968
T_020016,2021-11-29,C_664019
T_020031,2021-09-27,C_479796
T_020038,2020-08-31,C_939370
T_020043,2020-02-17,C_172705
T_020164,2020-08-10,C_086403
T_020292,2020-05-18,C_357434
T_020322,2020-03-09,C_126481
T_020401,2020-11-23,C_590257
T_020547,2021-03-22,C_705680
T_020635,2022-04-18,C_703200
T_020637,2020-03-16,C_282979
T_020664,2020-08-03,C_113139
T_020712,2021-03-22,C_382534
T_020784,2022-04-04,C_473035
T_020819,2021-11-08,C_472366
T_020920,2021-05-03,C_746892
T_021141,2020-02-17,C_126481
T_021154,2020-01-06,C_233724
T_021204,2021-10-25,C_806376
T_021290,2022-05-30,C_937594
T_021561,2021-11-01,C_677190
T_021601,2022-02-14,C_336021
T_021710,2021-06-14,C_705572
T_021711,2022-04-25,C_352205
T_021741,2022-04-25,C_827200
T_021797,2020-05-11,C_633661
T_021802,2020-02-17,C_342564
T_021922,2021-04-05,C_853926
T_021963,2020-04-13,C_672706
T_022170,2020-02-17,C_473035
T_022205,2021-04-12,C_282979
T_022306,2021-12-06,C_180817
T_022335,2021-02-15,C_376594
T_022346,2021-02-01,C_914687
T_022460,2021-07-05,C_119382
T_022497,2021-09-20,C_042732
T_022708,2021-06-28,C_632933
T_022722,2021-04-05,C_730174
T_022752,2021-09-06,C_074947
T_022908,2020-08-31,C_698497
T_022976,2020-02-24,C_776671
T_023020,2021-10-11,C_829082
T_023041,2021-03-01,C_465481
T_023064,2022-05-09,C_016617
T_023157,2022-02-21,C_101842
T_023190,2020-08-31,C_258325
T_023254,2020-01-27,C_705572
T_023335,2020-06-22,C_502843
T_023374,2020-02-17,C_482570
T_023398,2022-02-28,C_050237
T_023408,2020-11-16,C_806376
T_023645,2021-03-01,C_633661
T_023682,2021-09-27,C_812674
T_023687,2022-05-16,C_245948
T_024012,2021-05-24,C_706708
T_024018,2020-03-30,C_420287
T_024177,2021-09-13,C_352205
T_024250,2020-10-26,C_981891
T_024313,2020-11-09,C_502843
T_024567,2022-05-30,C_419410
T_024571,2020-10-12,C_705572
T_024638,2020-05-11,C_603968
T_024674,2020-04-06,C_633661
T_024694,2021-05-17,C_769450
T_024849,2021-05-10,C_745897
T_024899,2021-01-18,C_769491
T_024972,2021-04-05,C_284990
T_025009,2020-11-23,C_672706
T_025021,2021-05-24,C_479796
T_025033,2020-06-29,C_705572
T_025045,2022-03-28,C_984759
T_025153,2020-06-22,C_739947
T_025215,2021-10-11,C_672256
T_025297,2021-02-15,C_848211
T_025424,2020-11-30,C_519849
T_025753,2021-04-05,C_746892
T_025922,2021-01-18,C_603877
T_025937,2021-07-19,C_633661
T_026028,2020-03-09,C_117580
T_026083,2021-04-05,C_317216
T_026086,2021-02-01,C_603968
T_026139,2020-07-13,C_086403
T_026402,2021-05-17,C_888956
T_026511,2020-02-03,C_164398
T_026571,2022-04-04,C_951507
T_026594,2021-07-26,C_258325
T_026694,2021-11-22,C_829082
T_026701,2020-10-05,C_519849
T_026789,2020-10-26,C_806376
T_026799,2020-09-14,C_728285
T_026821,2021-12-13,C_258325
T_026897,2022-01-24,C_657627
T_026912,2021-03-29,C_180817
T_026957,2020-10-05,C_328236
T_027050,2020-11-16,C_758522
T_027055,2022-01-24,C_245948
T_027123,2020-08-31,C_473035
T_027152,2020-06-29,C_698497
T_027269,2021-05-17,C_401016
T_027345,2020-08-24,C_624339
T_027370,2021-09-13,C_806376
T_027400,2022-05-09,C_245948
T_027427,2021-06-14,C_848211
T_027435,2021-10-11,C_683666
T_027443,2022-04-04,C_058218
T_027568,2020-09-21,C_172705
T_027599,2022-03-14,C_980626
T_027824,2021-11-22,C_762928
T_027872,2020-07-13,C_717003
T_027949,2020-07-06,C_473035
T_027965,2020-02-10,C_258325
T_028017,2020-01-20,C_705680
T_028045,2021-06-07,C_806376
T_028123,2022-02-21,C_871835
T_028128,2021-06-28,C_848211
T_028172,2020-06-08,C_838088
T_028230,2020-02-17,C_126481
T_028304,2021-11-15,C_445916
T_028422,2020-01-27,C_385862
T_028430,2020-12-07,C_633661
T_028486,2020-12-07,C_729868
T_028498,2020-11-09,C_421536
T_028546,2020-08-31,C_245948
T_028561,2020-06-29,C_897743
T_028666,2022-04-04,C_848211
T_028676,2021-09-06,C_527060
T_028700,2022-04-18,C_899372
T_028712,2021-03-15,C_245948
T_028900,2021-09-27,C_739947
T_028919,2020-12-28,C_152471
T_028978,2021-02-08,C_182241
T_029057,2021-05-10,C_769027
T_029162,2022-01-17,C_862106
T_029227,2021-03-15,C_535756
T_029269,2021-07-05,C_806376
T_029315,2020-05-11,C_117580
T_029318,2021-07-26,C_633661
T_029539,2022-04-18,C_692721
T_029607,2021-04-05,C_633514
T_029612,2021-06-07,C_696763
T_029793,2020-05-11,C_969414
T_029795,2021-01-25,C_050237
T_029886,2020-06-15,C_117580
T_029970,2021-03-29,C_749821
T_030022,2020-01-20,C_590257
T_030066,2021-09-27,C_633661
T_030104,2020-06-22,C_034287
T_030394,2022-05-09,C_939370
T_030448,2020-06-15,C_672706
T_030495,2020-04-13,C_336021
T_030553,2021-11-08,C_603877
T_030596,2020-10-05,C_519849
T_030638,2020-06-08,C_117580
T_030656,2020-09-21,C_519849
T_030704,2021-05-03,C_412635
T_030709,2020-11-30,C_698497
T_030747,2020-03-23,C_126481
T_030812,2022-05-02,C_417601
T_030830,2021-04-05,C_951507
T_030919,2022-01-03,C_792125
T_030944,2019-12-23,C_412635
T_031038,2021-11-15,C_746892
T_031108,2021-06-07,C_746892
T_031153,2020-07-27,C_117580
T_031178,2021-09-27,C_806376
T_031492,2020-07-13,C_603877
T_031527,2020-02-17,C_245948
T_031688,2021-01-25,C_862106
T_031874,2020-09-28,C_421536
T_031961,2020-07-06,C_535756
T_032072,2021-03-22,C_937594
T_032085,2020-10-12,C_421536
T_032104,2022-02-21,C_594561
T_032129,2020-09-07,C_117580
T_032162,2020-09-21,C_746892
T_032489,2021-05-03,C_633661
T_032677,2021-08-16,C_806376
T_032684,2020-11-09,C_382534
T_032722,2020-06-15,C_113139
T_032793,2020-06-15,C_465481
T_032933,2020-06-08,C_593639
T_033187,2022-02-21,C_591112
T_033238,2022-05-02,C_986633
T_033438,2021-07-12,C_479796
T_033445,2021-02-08,C_705680
T_033472,2020-09-21,C_603877
T_033485,2021-02-01,C_361181
T_033509,2020-08-24,C_258325
T_033543,2021-07-19,C_899372
T_033882,2021-11-08,C_746892
T_033907,2020-09-14,C_051706
T_033958,2021-04-12,C_938531
T_034032,2021-11-15,C_258325
T_034040,2021-12-13,C_633661
T_034076,2021-11-01,C_888956
T_034079,2020-05-25,C_603968
T_034143,2021-02-08,C_731802
T_034205,2021-08-16,C_299317
T_034253,2021-07-05,C_806376
T_034475,2020-08-31,C_593639
T_034511,2021-08-02,C_806376
T_034535,2020-11-09,C_664019
T_034740,2020-12-07,C_465481
T_034902,2021-07-26,C_465481
T_034944,2020-02-17,C_646025
T_034965,2021-04-05,C_822722
T_034990,2021-11-22,C_317124
T_035106,2020-08-31,C_117580
T_035132,2021-10-25,C_113139
T_035158,2020-03-09,C_144468
T_035231,2021-07-05,C_806376
T_035280,2020-08-24,C_117580
T_035312,2021-10-18,C_101842
T_035324,2020-08-03,C_980626
T_035430,2021-08-23,C_015746
T_035619,2020-09-28,C_426816
T_035663,2021-02-08,C_790639
T_035673,2020-12-21,C_762928
T_035722,2020-08-10,C_147153
T_035907,2020-10-19,C_310107
T_035960,2020-09-07,C_433939
T_036070,2022-05-23,C_472366
T_036088,2020-04-27,C_589300
T_036225,2022-01-24,C_479796
T_036265,2021-07-19,C_172705
T_036404,2021-02-01,C_336021
T_036419,2020-09-28,C_769450
T_036605,2021-07-19,C_806376
T_036717,2020-10-26,C_806376
T_036862,2021-06-28,C_419410
T_036887,2020-07-27,C_117580
T_036983,2021-04-05,C_937594
T_036991,2020-01-13,C_385862
T_037083,2020-02-10,C_646025
T_037157,2021-04-05,C_876791
T_037215,2021-02-22,C_705572
T_037223,2020-05-04,C_938531
T_037328,2021-09-20,C_768792
T_037349,2021-07-12,C_806376
T_037541,2020-11-30,C_769491
T_037700,2021-08-30,C_806376
T_037710,2021-05-10,C_575212
T_037823,2020-07-20,C_514318
T_037955,2020-08-10,C_939370
T_038210,2021-05-24,C_749821
T_038304,2021-09-27,C_806376
T_038375,2022-01-31,C_282979
T_038457,2021-03-22,C_866894
T_038595,2021-10-18,C_101842
T_038657,2022-02-21,C_915518
T_039013,2021-08-09,C_937594
T_039015,2020-05-25,C_812674
T_039044,2020-10-19,C_185126
T_039069,2020-03-16,C_245948
T_039071,2021-09-27,C_762928
T_039140,2021-03-01,C_329432
T_039173,2021-11-15,C_482570
T_039190,2021-08-02,C_150182
T_039197,2021-03-01,C_746892
T_039285,2020-10-12,C_412635
T_039347,2021-03-01,C_951507
T_039364,2022-05-23,C_472366
T_039385,2020-10-19,C_101842
T_039406,2020-03-02,C_258325
T_039412,2020-09-07,C_690888
T_039540,2020-08-10,C_117580
T_039595,2021-11-22,C_603968
T_039656,2022-05-16,C_937594
T_039810,2020-04-13,C_866894
T_039816,2020-08-17,C_117580
T_039835,2021-08-16,C_746892
T_039884,2020-09-07,C_746892
T_039921,2020-11-16,C_603968
T_040051,2021-11-01,C_113139
T_040196,2020-05-04,C_672256
T_040310,2020-04-20,C_421536
T_040463,2020-08-17,C_117580
T_040568,2021-01-25,C_473035
T_040639,2021-05-03,C_862106
T_040786,2020-01-27,C_113139
T_040815,2021-08-16,C_150182
T_040823,2022-03-21,C_900728
T_040870,2020-05-04,C_703801
T_040890,2020-08-03,C_274912
T_041017,2020-07-27,C_746892
T_041024,2021-11-15,C_683666
T_041093,2021-01-04,C_727451
T_041095,2020-04-13,C_421536
T_041109,2020-08-10,C_117580
T_041136,2020-10-26,C_382534
T_041185,2020-06-01,C_739947
T_041187,2020-08-31,C_401016
T_041192,2021-05-10,C_746892
T_041224,2021-05-17,C_806376
T_041278,2020-03-16,C_691869
T_041345,2020-10-05,C_051706
T_041578,2022-03-28,C_780887
T_041683,2021-11-15,C_445916
T_041730,2021-10-25,C_063926
T_041760,2021-02-08,C_698497
T_041790,2020-04-06,C_566726
T_041842,2021-06-28,C_113139
T_041890,2022-03-14,C_150182
T_041909,2021-04-05,C_603877
T_041961,2021-11-08,C_951507
T_041984,2021-04-12,C_274912
T_042114,2021-07-26,C_593639
T_042146,2022-03-21,C_245948
T_042294,2021-09-27,C_806376
T_042318,2021-09-27,C_806376
T_042351,2021-08-02,C_984759
T_042358,2020-08-10,C_871835
T_042415,2020-06-15,C_185126
T_042440,2021-07-26,C_800815
T_042627,2021-11-08,C_672256
T_042696,2021-04-26,C_268031
T_042855,2021-09-20,C_871835
T_043074,2022-04-11,C_329432
T_043099,2021-04-26,C_398853
T_043181,2020-02-03,C_877858
T_043226,2021-06-07,C_412635
T_043271,2021-08-23,C_806376
T_043338,2020-10-12,C_940986
T_043347,2020-01-27,C_412635
T_043455,2021-08-16,C_769491
T_043471,2020-09-07,C_336021
T_043499,2020-01-13,C_190305
T_043615,2020-07-06,C_714619
T_043650,2020-11-09,C_063809
T_043725,2020-08-17,C_245948
T_043807,2021-10-11,C_342153
T_043808,2021-03-01,C_021985
T_043828,2020-09-21,C_512037
T_043992,2020-08-31,C_117580
T_044292,2021-10-04,C_244560
T_044302,2021-05-31,C_937594
T_044304,2020-11-23,C_683666
T_044372,2021-08-30,C_258818
T_044397,2021-11-08,C_683666
T_044460,2021-06-07,C_317124
T_044465,2020-11-30,C_906263
T_044719,2020-04-06,C_839421
T_044730,2019-12-30,C_746892
T_044793,2021-10-18,C_799217
T_044805,2020-11-09,C_731802
T_044983,2020-08-03,C_258325
T_045019,2020-03-02,C_050237
T_045149,2020-08-03,C_117580
T_045235,2020-06-08,C_714619
T_045293,2020-02-03,C_051535
T_045311,2020-12-07,C_888956
T_045315,2021-03-01,C_113139
T_045438,2022-04-04,C_245948
T_045633,2021-08-16,C_419410
T_045655,2020-07-13,C_593639
T_045695,2021-05-31,C_806376
T_045709,2020-08-10,C_117580
T_045733,2020-08-31,C_937594
T_045738,2021-05-03,C_245948
T_045927,2021-08-09,C_740903
T_045950,2020-03-30,C_144468
T_046194,2020-03-09,C_662193
T_046200,2020-11-02,C_731802
T_046206,2021-11-01,C_672256
T_046249,2020-07-06,C_590554
T_046252,2020-06-08,C_117580
T_046363,2020-04-06,C_862106
T_046381,2021-08-09,C_806376
T_046520,2020-03-16,C_528949
T_046585,2021-05-24,C_806376
T_046680,2020-06-15,C_117580
T_046705,2021-07-19,C_276262
T_046722,2020-10-05,C_848211
T_046773,2021-09-13,C_284990
T_046780,2021-11-08,C_691869
T_046802,2020-04-06,C_185126
T_046838,2022-04-18,C_571164
T_046894,2020-01-27,C_915518
T_046909,2020-08-10,C_299317
T_047014,2022-05-02,C_472366
T_047128,2020-02-24,C_792125
T_047191,2021-02-22,C_172705
T_047266,2020-02-03,C_245948
T_047300,2021-03-01,C_086403
T_047439,2020-08-24,C_411261
T_047474,2022-05-02,C_185126
T_047525,2021-03-08,C_401016
T_047640,2020-09-28,C_943921
T_047642,2020-11-23,C_519849
T_047646,2020-04-27,C_593639
T_047696,2021-01-25,C_662193
T_047721,2021-02-01,C_245948
T_047801,2020-01-13,C_769491
T_047855,2022-04-18,C_118223
T_047858,2020-02-17,C_310107
T_047861,2020-06-15,C_705572
T_047892,2021-08-02,C_276262
T_047915,2021-12-13,C_113139
T_047986,2020-12-21,C_565612
T_048052,2020-08-03,C_051706
T_048114,2021-05-17,C_673190
T_048133,2020-08-10,C_398853
T_048148,2020-05-25,C_117580
T_048151,2020-08-03,C_479796
T_048156,2020-10-26,C_746892
T_048158,2021-10-25,C_431655
T_048224,2020-06-22,C_235625
T_048231,2021-03-29,C_762928
T_048606,2020-07-13,C_937594
T_048691,2021-03-01,C_848211
T_048782,2021-05-24,C_769450
T_048831,2022-04-11,C_150182
T_048908,2021-01-25,C_746892
T_048959,2020-08-03,C_551361
T_049100,2020-08-31,C_117580
T_049381,2020-07-13,C_691869
T_049503,2021-06-21,C_172705
T_049587,2020-07-13,C_714619
T_049604,2020-07-20,C_915518
T_049625,2020-06-01,C_117580
T_049729,2021-08-30,C_479796
T_049820,2020-11-23,C_051535
T_049955,2021-08-23,C_980626
T_050095,2020-11-02,C_871835
T_050231,2020-04-13,C_245948
T_050293,2020-08-24,C_590257
T_050311,2021-03-01,C_838088
T_050321,2021-05-31,C_806376
T_050397,2020-02-17,C_633661
T_050402,2020-09-14,C_877858
T_050413,2021-03-08,C_603968
T_050432,2020-12-07,C_245948
T_050472,2020-04-27,C_479796
T_050540,2021-03-15,C_227683
T_050584,2022-04-18,C_848211
T_050631,2021-04-12,C_806376
T_050703,2020-06-01,C_938531
T_050754,2022-02-07,C_058218
T_050809,2020-08-17,C_117580
T_050950,2021-07-12,C_937594
T_050993,2020-01-20,C_352205
T_051080,2020-07-20,C_938531
T_051356,2020-08-10,C_117580
T_051423,2020-03-30,C_051706
T_051589,2021-07-05,C_240236
T_051828,2022-03-07,C_749821
T_051834,2021-11-15,C_428127
T_051947,2020-05-11,C_633661
T_051975,2021-08-23,C_980626
T_052103,2020-08-24,C_117580
T_052233,2020-10-26,C_746892
T_052322,2021-11-22,C_746892
T_052451,2022-04-04,C_361181
T_052615,2021-08-16,C_551361
T_052618,2020-09-07,C_672256
T_052652,2021-11-01,C_412635
T_052656,2021-08-16,C_334474
T_052691,2021-11-15,C_746892
T_052693,2022-01-31,C_870695
T_052897,2021-11-29,C_633661
T_052921,2020-02-03,C_086403
T_052961,2021-11-01,C_591411
T_053025,2020-08-10,C_415428
T_053040,2021-02-08,C_050237
T_053094,2021-05-31,C_923612
T_053099,2020-01-20,C_838088
T_053123,2021-09-20,C_866805
T_053135,2020-11-16,C_328236
T_053144,2020-10-26,C_698497
T_053196,2021-02-22,C_705572
T_053204,2021-08-30,C_746892
T_053243,2021-09-13,C_806376
T_053397,2020-02-10,C_831485
T_053410,2021-01-18,C_568392
T_053520,2020-10-26,C_421536
T_053585,2020-12-14,C_806376
T_053625,2022-02-07,C_472366
T_053651,2021-06-07,C_465208
T_053731,2021-08-02,C_862106
T_053784,2020-06-29,C_762928
T_053811,2021-05-31,C_376594
T_053986,2020-07-06,C_117580
T_054029,2021-09-20,C_042732
T_054160,2021-05-17,C_806376
T_054268,2020-10-05,C_642833
T_054284,2020-10-05,C_806376
T_054286,2022-05-09,C_951507
T_054354,2020-06-01,C_401016
T_054513,2020-08-31,C_769450
T_054599,2020-09-28,C_051706
T_054710,2022-04-25,C_299317
T_054780,2020-09-14,C_848211
T_054801,2020-08-24,C_117580
T_054838,2021-10-18,C_862106
T_055158,2021-09-13,C_021985
T_055348,2020-11-30,C_268031
T_055368,2021-12-20,C_328511
T_055394,2021-02-08,C_172705
T_055405,2022-05-09,C_739474
T_055438,2021-05-03,C_937594
T_055443,2021-08-02,C_565612
T_055458,2021-03-22,C_535756
T_055470,2020-03-09,C_117580
T_055579,2021-04-05,C_086403
T_055626,2021-12-13,C_900728
T_055660,2020-05-25,C_150182
T_055779,2022-02-21,C_683666
T_055803,2020-12-07,C_945055
T_055925,2020-05-04,C_878590
T_055951,2020-08-03,C_915518
T_056016,2020-12-28,C_842603
T_056096,2020-07-27,C_479796
T_056407,2020-08-10,C_739947
T_056415,2021-04-19,C_317216
T_056595,2020-12-14,C_808695
T_056621,2021-05-31,C_746892
T_056820,2021-05-17,C_390208
T_056870,2021-09-06,C_739258
T_056921,2021-04-26,C_658292
T_057037,2021-03-15,C_010649
T_057127,2020-02-03,C_172705
T_057313,2022-04-25,C_083552
