customer_id,invoice_no,invoice_date,collection_date,collected_amount,delay_days,bounced_check
C_683666,T_003588,2020-09-14,2020-09-27,79116.78,13.0,0
C_943171,T_003596,2021-02-15,2021-02-28,18644.93,13.0,0
C_806376,T_003778,2020-11-23,2021-01-11,38709.96,49.0,0
C_806376,T_003778,2020-11-23,2020-12-22,38709.97,29.0,0
C_197461,T_003789,2021-06-21,2021-06-21,168908.65,0.0,0
C_197461,T_003789,2021-06-21,2021-07-22,168908.64,31.0,0
C_866894,T_003792,2020-07-20,2020-08-19,109882.13,30.0,0
C_728285,T_003895,2021-09-27,2021-12-02,1452723.12,36.0,0
C_939370,T_003922,2021-10-18,2021-11-22,20565.03,35.0,0
C_948070,T_003926,2022-05-02,2022-05-03,687517.08,1.0,0
C_806376,T_003946,2020-12-14,2020-12-20,79015.29,6.0,0
C_113139,T_003987,2020-09-28,2021-01-12,61360.61,16.0,0
C_113139,T_003987,2020-09-28,2021-01-08,61360.6,12.0,0
C_040673,T_004044,2020-01-13,2020-02-05,48454.13,23.0,0
C_728285,T_004144,2021-06-21,2021-07-24,378970.31,3.0,0
C_421536,T_004457,2020-06-01,2020-06-30,41556.31,29.0,0
C_980626,T_004700,2021-03-08,2021-07-24,43106.74,48.0,0
C_705572,T_004792,2020-06-15,2020-06-15,18486.55,0.0,0
C_117580,T_004829,2020-08-10,2020-09-22,54375.05,43.0,0
C_150182,T_004835,2020-06-01,2020-06-01,327.1,0.0,0
C_190305,T_004918,2021-01-25,2021-01-25,94869.3,0.0,0
C_245948,T_005037,2020-02-03,2020-05-17,399692.18,14.0,0
C_862106,T_005043,2021-06-21,2021-06-22,729030.75,1.0,0
C_051706,T_005159,2021-03-29,2021-06-27,218684.48,0.0,0
C_749821,T_005240,2021-08-16,2021-12-19,663277.45,35.0,0
C_258325,T_005363,2021-07-05,2021-08-18,52416.86,44.0,0
C_276262,T_005399,2022-04-25,2022-06-06,4366.84,42.0,0
C_155990,T_005519,2021-09-27,2021-10-06,45252.9,9.0,0
C_514467,T_005607,2020-01-27,2020-03-18,33767.9,21.0,0
C_739258,T_005768,2020-08-10,2020-09-28,15841.92,49.0,0
C_746892,T_005789,2020-01-06,2020-05-24,188094.11,49.0,0
C_336021,T_005839,2020-10-26,2020-11-25,380.0,30.0,0
C_336021,T_005839,2020-10-26,2020-11-14,379.99,19.0,0
C_728285,T_005851,2021-03-08,2021-05-16,338291.82,39.0,0
C_245948,T_005960,2021-02-22,2021-06-11,786746.3,19.0,0
C_683666,T_005969,2020-03-16,2020-04-12,386415.1,27.0,0
C_862106,T_005996,2021-08-16,2021-09-05,947626.04,20.0,0
C_172705,T_006017,2020-12-14,2021-01-16,7513.26,33.0,0
C_385527,T_006090,2021-02-08,2021-02-13,43549.47,5.0,0
C_582486,T_006309,2021-04-12,2021-05-06,219299.84,24.0,0
C_282979,T_006466,2021-03-01,2021-03-28,34880.16,0.0,0
C_412635,T_006623,2021-06-21,2021-07-25,2080.18,34.0,0
C_535756,T_006751,2020-10-19,2020-11-21,463670.09,33.0,0
C_763443,T_006896,2021-05-17,2021-05-17,2617.95,0.0,0
C_763443,T_006896,2021-05-17,2021-06-18,2617.95,32.0,0
C_705572,T_006920,2021-06-14,2021-07-11,109334.83,27.0,0
C_692721,T_007209,2021-05-03,2021-05-05,177311.67,2.0,0
C_692721,T_007209,2021-05-03,2021-05-08,177311.67,5.0,0
C_739947,T_007261,2021-10-25,2021-11-12,501289.61,18.0,0
C_698497,T_007350,2022-03-07,2022-05-19,890570.19,43.0,0
C_258325,T_007479,2021-06-21,2021-07-16,50779.12,25.0,0
C_258325,T_007479,2021-06-21,2021-07-08,50779.11,17.0,0
C_022240,T_007536,2020-07-20,2020-08-27,76648.69,38.0,0
C_943921,T_007651,2020-09-21,2020-10-13,28432.77,22.0,0
C_698497,T_007851,2020-12-07,2021-03-05,87425.32,0.0,0
C_740649,T_007895,2020-04-27,2020-04-30,3390.54,3.0,0
C_937594,T_007916,2020-12-14,2021-03-11,301089.8,0.0,0
C_915518,T_007952,2020-07-20,2020-08-28,587.7,39.0,0
C_027096,T_007964,2020-04-13,2020-05-10,75546.18,0.0,0
C_117580,T_008005,2020-09-07,2020-10-07,64062.08,30.0,0
C_575381,T_008018,2020-08-17,2020-09-18,124485.55,32.0,0
C_411261,T_008123,2020-08-17,2020-08-19,364838.04,2.0,0
C_334474,T_008170,2021-11-01,2021-11-01,378418.1,0.0,0
C_334474,T_008170,2021-11-01,2021-12-01,378418.09,30.0,0
C_218295,T_008527,2021-11-08,2021-12-22,21871.19,44.0,0
C_603877,T_008719,2020-10-05,2020-10-10,3212.99,5.0,0
C_603877,T_008719,2020-10-05,2020-11-08,3212.98,34.0,0
C_042732,T_008751,2021-11-08,2021-12-05,276646.49,27.0,0
C_838088,T_008825,2020-01-27,2020-03-07,62746.19,40.0,0
C_472366,T_008960,2021-12-06,2021-12-15,502299.61,9.0,0
C_799217,T_008974,2020-03-09,2020-04-06,51868.1,28.0,0
C_421536,T_009000,2020-06-22,2020-08-03,23467.44,42.0,0
C_728285,T_009023,2022-04-04,2022-05-15,4256213.04,11.0,0
C_762928,T_009209,2020-12-21,2021-04-02,607310.75,12.0,0
C_878590,T_009238,2021-08-23,2021-09-01,5039.8,9.0,0
C_683666,T_009384,2022-04-25,2022-06-04,4308403.13,40.0,0
C_806376,T_009535,2021-06-28,2021-09-08,99426.79,42.0,0
C_683666,T_009707,2021-03-22,2021-04-11,928740.28,20.0,0
C_848211,T_009770,2020-12-28,2021-03-12,28460.96,44.0,0
C_862106,T_009932,2021-02-15,2021-03-29,643382.94,42.0,0
C_565612,T_009981,2020-06-08,2020-07-09,298831.33,31.0,0
C_258325,T_010009,2020-05-04,2020-08-15,19815.52,13.0,0
C_314119,T_010038,2020-08-10,2020-09-18,277687.45,39.0,0
C_951507,T_010112,2022-05-09,2022-06-22,390940.89,44.0,0
C_806376,T_010153,2020-10-19,2020-10-31,73349.55,12.0,0
C_939370,T_010308,2021-04-26,2021-07-08,25184.52,43.0,0
C_739947,T_010430,2020-10-26,2020-12-09,140960.28,14.0,0
C_714619,T_010496,2020-04-27,2020-05-05,167194.01,8.0,0
C_472366,T_010538,2021-11-15,2021-12-23,211776.55,38.0,0
C_758522,T_010561,2020-08-24,2020-08-24,398325.75,0.0,0
C_710912,T_010585,2021-11-22,2021-12-30,499828.66,38.0,0
C_710912,T_010585,2021-11-22,2021-12-15,499828.65,23.0,0
C_113139,T_010689,2020-08-03,2020-08-04,89584.16,1.0,0
C_113139,T_010689,2020-08-03,2020-08-08,89584.16,5.0,0
C_691869,T_010700,2020-03-09,2020-06-02,193271.24,0.0,0
C_691869,T_010700,2020-03-09,2020-06-09,193271.23,2.0,0
C_420849,T_010742,2020-08-03,2020-09-20,142278.77,48.0,0
C_086403,T_010786,2020-02-03,2020-02-03,49993.4,0.0,0
C_113139,T_011071,2020-03-30,2020-08-16,33747.14,49.0,0
C_939370,T_011184,2020-11-16,2021-01-03,17806.83,18.0,0
C_939370,T_011184,2020-11-16,2021-01-26,17806.83,41.0,0
C_101842,T_011212,2021-05-24,2021-06-29,94490.82,6.0,0
C_101842,T_011212,2021-05-24,2021-07-28,94490.81,35.0,0
C_900728,T_011271,2020-09-28,2020-11-14,28241.54,47.0,0
C_330550,T_011352,2020-01-20,2020-02-07,126644.89,18.0,0
C_322219,T_011385,2020-05-04,2020-05-06,80548.58,2.0,0
C_862106,T_011442,2020-03-23,2020-04-21,250085.65,29.0,0
C_746892,T_011459,2021-10-25,2022-02-06,132087.8,14.0,0
C_746892,T_011459,2021-10-25,2022-03-03,132087.79,39.0,0
C_932446,T_011543,2019-12-16,2020-01-17,351.58,32.0,0
C_932446,T_011543,2019-12-16,2020-02-02,351.57,48.0,0
C_170045,T_011556,2021-09-27,2021-10-22,3301.63,25.0,0
C_603968,T_011630,2020-04-20,2020-08-03,18325.51,15.0,0
C_265923,T_011639,2022-01-31,2022-03-05,76453.59,33.0,0
C_672256,T_011665,2021-01-11,2021-01-31,300974.83,20.0,0
C_593639,T_011669,2020-04-20,2020-06-17,101162.82,28.0,0
C_336021,T_011794,2021-08-09,2021-08-18,5593.37,9.0,0
C_412635,T_011811,2022-05-02,2022-05-15,130861.72,13.0,0
C_739258,T_011845,2020-11-09,2020-11-22,686.96,13.0,0
C_806376,T_011941,2021-05-03,2021-06-21,75243.83,19.0,0
C_969414,T_012009,2021-06-28,2021-08-09,48846.86,42.0,0
C_969414,T_012009,2021-06-28,2021-07-23,48846.86,25.0,0
C_180745,T_012017,2020-11-02,2021-01-02,217074.84,31.0,0
C_862106,T_012027,2020-11-02,2020-11-29,227429.02,27.0,0
C_862106,T_012027,2020-11-02,2020-11-20,227429.02,18.0,0
C_672256,T_012030,2022-01-24,2022-02-27,1664611.07,34.0,0
C_274912,T_012074,2020-04-27,2020-05-10,223132.98,13.0,0
C_117580,T_012107,2020-06-29,2020-07-28,59697.51,29.0,0
C_633661,T_012123,2021-09-27,2021-11-08,687502.83,42.0,0
C_932446,T_012322,2021-07-19,2021-09-06,1274.91,49.0,0
C_932446,T_012322,2021-07-19,2021-09-13,1274.9,56.0,0
C_329432,T_012330,2021-08-09,2021-08-25,874078.3,16.0,0
C_806376,T_012564,2021-07-19,2021-10-02,32432.72,45.0,0
C_897743,T_012660,2020-11-02,2020-11-04,205781.91,2.0,0
C_185126,T_012672,2021-11-08,2021-12-01,1023041.77,23.0,0
C_113139,T_012688,2021-11-22,2022-01-30,360527.83,39.0,0
C_535756,T_012712,2020-09-28,2020-10-02,404697.08,4.0,0
C_862106,T_012798,2020-08-24,2020-09-12,157339.92,19.0,0
C_862106,T_012798,2020-08-24,2020-10-04,157339.92,41.0,0
C_633661,T_012824,2020-04-13,2020-05-06,192776.99,23.0,0
C_633661,T_012824,2020-04-13,2020-04-29,192776.98,16.0,0
C_117580,T_012832,2020-07-27,2020-07-28,63067.39,1.0,0
C_144468,T_012849,2020-12-07,2020-12-09,306742.72,2.0,0
C_144468,T_012849,2020-12-07,2021-01-09,306742.71,33.0,0
C_258325,T_012920,2021-10-04,2021-11-28,398495.26,25.0,0
C_937594,T_013165,2021-08-16,2021-12-15,228443.59,31.0,0
C_937594,T_013165,2021-08-16,2021-12-04,228443.58,20.0,0
C_245948,T_013215,2020-01-20,2020-05-27,236362.5,38.0,0
C_113139,T_013290,2021-10-11,2022-01-26,595897.71,17.0,0
C_244106,T_013291,2020-04-20,2020-05-12,1107.71,22.0,0
C_806376,T_013323,2021-03-15,2021-03-15,116254.12,0.0,1
C_937594,T_013342,2021-02-22,2021-07-01,376101.38,39.0,0
C_249135,T_013350,2021-02-08,2021-03-18,798.84,38.0,0
C_980626,T_013401,2021-03-01,2021-06-02,80176.33,3.0,1
C_980626,T_013401,2021-03-01,2021-07-02,80176.33,33.0,0
C_172705,T_013405,2021-06-28,2021-07-22,2274.0,24.0,0
C_172705,T_013405,2021-06-28,2021-08-11,2273.99,44.0,0
C_980626,T_013433,2020-06-01,2020-09-12,104705.95,13.0,0
C_683666,T_013440,2020-10-26,2020-11-03,411859.16,8.0,0
C_937594,T_013468,2021-11-15,2021-12-15,924555.66,0.0,0
C_633661,T_013622,2020-06-08,2020-06-08,290094.62,0.0,0
C_603968,T_013713,2020-09-14,2020-12-27,36249.43,14.0,0
C_603968,T_013713,2020-09-14,2021-01-21,36249.43,39.0,0
C_058218,T_013815,2021-09-06,2021-10-26,370253.72,20.0,0
C_915518,T_013959,2020-09-21,2020-11-06,2597.88,46.0,0
C_633661,T_014014,2021-01-04,2021-02-06,187912.63,33.0,0
C_888956,T_014032,2022-04-04,2022-04-18,66864.2,14.0,0
C_888956,T_014032,2022-04-04,2022-04-15,66864.19,11.0,0
C_806376,T_014039,2021-08-23,2021-11-01,123114.28,40.0,0
C_117580,T_014073,2020-08-10,2020-08-27,63687.13,17.0,0
C_051706,T_014142,2021-03-22,2021-07-04,31253.77,14.0,0
C_746892,T_014194,2021-08-16,2021-11-12,111759.48,0.0,0
C_806376,T_014231,2021-07-12,2021-08-13,102178.68,2.0,0
C_800815,T_014415,2021-04-26,2021-06-13,25598.44,48.0,0
C_185126,T_014489,2020-04-27,2020-05-25,468814.95,28.0,0
C_258325,T_014513,2020-01-27,2020-05-23,15719.21,27.0,0
C_249788,T_014538,2020-01-20,2020-03-01,21700.3,41.0,0
C_196572,T_014544,2021-03-08,2021-03-17,3290.4,9.0,0
C_196572,T_014544,2021-03-08,2021-03-17,3290.4,9.0,0
C_117580,T_014652,2020-07-13,2020-08-31,64835.35,49.0,0
C_310107,T_014702,2020-07-20,2020-07-20,83246.97,0.0,0
C_593639,T_014753,2021-07-12,2021-09-07,421494.95,27.0,0
C_113139,T_014895,2020-10-26,2021-02-26,211579.69,33.0,0
C_465481,T_015004,2021-08-23,2021-11-04,157587.22,43.0,0
C_739947,T_015029,2021-06-28,2021-08-18,229656.44,21.0,0
C_739947,T_015029,2021-06-28,2021-09-08,229656.44,42.0,0
C_746892,T_015112,2020-07-13,2020-11-14,20030.74,34.0,0
C_746892,T_015112,2020-07-13,2020-11-01,20030.74,21.0,0
C_698497,T_015264,2021-07-12,2021-09-15,24445.24,35.0,0
C_705572,T_015331,2020-03-16,2020-05-28,8977.94,43.0,0
C_705572,T_015331,2020-03-16,2020-06-07,8977.94,53.0,0
C_172705,T_015451,2020-05-04,2020-06-06,849.65,33.0,0
C_172705,T_015451,2020-05-04,2020-06-21,849.65,48.0,0
C_594561,T_015522,2021-02-22,2021-03-26,131170.59,2.0,0
C_420849,T_015524,2021-12-13,2021-12-26,429995.92,13.0,0
C_023073,T_015758,2021-07-26,2021-08-06,1101.8,11.0,0
C_600979,T_015839,2020-08-17,2020-09-28,3949.01,42.0,0
C_322315,T_015841,2020-03-30,2020-04-19,58634.25,20.0,0
C_352205,T_016289,2021-12-20,2022-01-30,1071867.73,41.0,0
C_939370,T_016349,2020-11-30,2021-02-12,18249.02,44.0,0
C_155990,T_016412,2020-04-27,2020-06-11,46322.68,45.0,0
C_731802,T_016559,2020-11-02,2020-12-06,37289.46,4.0,0
C_051706,T_016590,2020-04-27,2020-08-08,31441.0,13.0,0
C_051706,T_016590,2020-04-27,2020-09-02,31441.0,38.0,0
C_074947,T_016640,2020-03-02,2020-04-19,590.0,48.0,0
C_691869,T_016659,2021-08-23,2021-10-19,600856.77,27.0,0
C_519849,T_016825,2020-08-24,2020-09-29,22333.92,36.0,0
C_862106,T_016855,2020-04-20,2020-06-08,156584.92,49.0,0
C_862106,T_016855,2020-04-20,2020-06-15,156584.93,56.0,0
C_806376,T_016893,2020-12-07,2020-12-29,53090.25,22.0,0
C_806376,T_016893,2020-12-07,2020-12-22,53090.25,15.0,0
C_858384,T_016905,2021-10-11,2021-10-11,871.27,0.0,0
C_858384,T_016905,2021-10-11,2021-10-14,871.27,3.0,0
C_465481,T_016916,2021-08-16,2021-09-19,45221.19,4.0,0
C_797326,T_017059,2020-03-23,2020-03-24,1864.93,1.0,0
C_746892,T_017130,2020-10-26,2021-02-10,158426.29,17.0,0
C_603968,T_017256,2021-04-19,2021-08-19,345670.13,32.0,0
C_633661,T_017401,2021-03-22,2021-05-03,244404.27,42.0,0
C_421536,T_017439,2020-06-08,2020-07-12,40587.77,34.0,0
C_421536,T_017439,2020-06-08,2020-07-27,40587.77,49.0,0
C_352205,T_017589,2021-03-15,2021-03-15,446477.29,0.0,0
C_535756,T_017676,2021-11-22,2022-02-01,556749.37,41.0,0
C_535756,T_017769,2021-03-01,2021-03-01,617508.79,0.0,0
C_683666,T_017817,2020-11-09,2020-12-16,179433.25,37.0,0
C_683666,T_017817,2020-11-09,2020-12-02,179433.24,23.0,0
C_245948,T_017857,2021-03-22,2021-08-01,300296.62,42.0,0
C_245948,T_017857,2021-03-22,2021-07-15,300296.61,25.0,0
C_051706,T_017962,2021-11-15,2022-01-28,61577.32,44.0,0
C_051706,T_018029,2020-03-09,2020-06-16,6145.22,9.0,0
C_909326,T_018264,2021-06-28,2021-07-28,29748.82,30.0,0
C_909326,T_018264,2021-06-28,2021-07-17,29748.82,19.0,0
C_101842,T_018277,2020-08-10,2020-09-21,128743.2,12.0,0
C_937594,T_018413,2021-04-12,2021-06-22,29508.27,26.0,0
C_951507,T_018585,2020-11-16,2021-01-02,50341.85,47.0,0
C_314119,T_018589,2020-09-07,2020-09-07,528452.86,0.0,0
C_357434,T_018606,2020-01-13,2020-01-20,237643.8,7.0,0
C_951507,T_018675,2021-12-06,2022-01-19,97770.15,44.0,0
C_633661,T_018763,2020-09-28,2020-10-02,437802.84,4.0,0
C_440132,T_018768,2022-02-28,2022-03-12,185853.15,12.0,0
C_806376,T_018782,2021-06-21,2021-07-23,94332.91,2.0,0
C_800815,T_018793,2021-03-15,2021-04-15,4256.48,31.0,0
C_113139,T_018795,2021-02-15,2021-05-15,96417.16,0.0,0
C_412635,T_018824,2020-09-14,2020-09-23,27604.7,9.0,0
C_398853,T_018989,2021-05-10,2021-07-19,108701.46,40.0,0
C_051706,T_019109,2020-05-04,2020-09-18,82138.86,47.0,0
C_891574,T_019300,2020-11-16,2020-12-26,2664.52,40.0,0
C_593639,T_019304,2020-08-10,2020-09-15,142632.07,6.0,0
C_740649,T_019509,2021-11-01,2021-11-22,7853.4,21.0,0
C_282979,T_019591,2020-12-07,2021-02-14,159199.9,39.0,0
C_937594,T_019610,2021-03-22,2021-07-09,187749.99,19.0,0
C_937594,T_019610,2021-03-22,2021-07-31,187749.99,41.0,0
C_683666,T_019630,2021-05-10,2021-05-13,236239.67,3.0,0
C_806376,T_019733,2021-06-21,2021-08-19,99124.88,29.0,0
C_746892,T_019759,2021-11-08,2022-03-17,174532.15,39.0,0
C_746892,T_019759,2021-11-08,2022-03-29,174532.15,51.0,0
C_768792,T_019822,2020-08-24,2020-08-24,349726.91,0.0,0
C_705572,T_019901,2021-04-19,2021-05-03,161380.16,14.0,0
C_622797,T_019961,2020-08-31,2020-08-31,118879.95,0.0,0
C_622797,T_019961,2020-08-31,2020-09-04,118879.95,4.0,0
C_603968,T_019990,2021-10-11,2022-02-02,93608.95,24.0,0
C_664019,T_020016,2021-11-29,2021-11-29,792118.96,0.0,0
C_479796,T_020031,2021-09-27,2021-10-26,8762.07,29.0,0
C_479796,T_020031,2021-09-27,2021-11-12,8762.07,46.0,0
C_939370,T_020038,2020-08-31,2020-10-10,29904.78,10.0,0
C_172705,T_020043,2020-02-17,2020-04-04,4273.0,47.0,0
C_086403,T_020164,2020-08-10,2020-08-24,55569.62,14.0,0
C_357434,T_020292,2020-05-18,2020-05-21,15768.42,3.0,0
C_126481,T_020322,2020-03-09,2020-03-28,18672.44,19.0,0
C_126481,T_020322,2020-03-09,2020-04-19,18672.44,41.0,0
C_590257,T_020401,2020-11-23,2020-12-12,5566.68,19.0,0
C_590257,T_020401,2020-11-23,2020-12-07,5566.67,14.0,0
C_705680,T_020547,2021-03-22,2021-05-29,159372.29,38.0,0
C_703200,T_020635,2022-04-18,2022-05-11,1033533.52,23.0,0
C_282979,T_020637,2020-03-16,2020-05-19,156981.79,34.0,0
C_113139,T_020664,2020-08-03,2020-09-04,33950.97,32.0,0
C_382534,T_020712,2021-03-22,2021-04-06,331337.16,15.0,0
C_473035,T_020784,2022-04-04,2022-05-18,1600584.18,44.0,0
C_472366,T_020819,2021-11-08,2021-12-01,215003.49,23.0,0
C_746892,T_020920,2021-05-03,2021-09-11,270894.3,41.0,0
C_126481,T_021141,2020-02-17,2020-02-17,11030.62,0.0,0
C_126481,T_021141,2020-02-17,2020-02-19,11030.61,2.0,0
C_233724,T_021154,2020-01-06,2020-01-29,270623.05,23.0,0
C_806376,T_021204,2021-10-25,2021-11-18,117456.81,24.0,0
C_937594,T_021290,2022-05-30,2022-08-12,2309674.86,29.0,0
C_677190,T_021561,2021-11-01,2021-12-01,571825.15,30.0,0
C_336021,T_021601,2022-02-14,2022-03-24,24354.43,38.0,0
C_705572,T_021710,2021-06-14,2021-07-30,828756.12,46.0,0
C_827200,T_021741,2022-04-25,2022-06-11,14334.46,47.0,0
C_633661,T_021797,2020-05-11,2020-05-15,436727.19,4.0,0
C_342564,T_021802,2020-02-17,2020-03-22,174473.73,34.0,0
C_342564,T_021802,2020-02-17,2020-03-09,174473.73,21.0,0
C_853926,T_021922,2021-04-05,2021-08-02,65136.17,29.0,0
C_672706,T_021963,2020-04-13,2020-05-07,100418.88,24.0,0
C_282979,T_022205,2021-04-12,2021-06-25,15397.58,44.0,0
C_180817,T_022306,2021-12-06,2021-12-25,1028236.29,19.0,0
C_180817,T_022306,2021-12-06,2022-01-16,1028236.28,41.0,0
C_376594,T_022335,2021-02-15,2021-04-12,186811.65,26.0,0
C_914687,T_022346,2021-02-01,2021-02-25,13315.65,24.0,0
C_914687,T_022346,2021-02-01,2021-03-17,13315.64,44.0,0
C_119382,T_022460,2021-07-05,2021-07-05,1225.83,0.0,0
C_042732,T_022497,2021-09-20,2021-10-02,419524.74,12.0,0
C_632933,T_022708,2021-06-28,2021-07-12,31917.46,14.0,0
C_730174,T_022722,2021-04-05,2021-04-09,32400.3,4.0,0
C_698497,T_022908,2020-08-31,2020-12-22,27019.24,23.0,0
C_698497,T_022908,2020-08-31,2020-12-15,27019.24,16.0,0
C_776671,T_022976,2020-02-24,2020-03-23,8031.83,28.0,0
C_829082,T_023020,2021-10-11,2021-11-14,338234.53,4.0,0
C_465481,T_023041,2021-03-01,2021-04-17,26296.65,17.0,0
C_465481,T_023041,2021-03-01,2021-04-13,26296.64,13.0,0
C_016617,T_023064,2022-05-09,2022-06-19,2952561.15,41.0,0
C_101842,T_023157,2022-02-21,2022-04-12,1115176.55,20.0,0
C_101842,T_023157,2022-02-21,2022-04-06,1115176.54,14.0,0
C_258325,T_023190,2020-08-31,2021-01-11,27084.43,43.0,0
C_705572,T_023254,2020-01-27,2020-02-24,873.22,28.0,0
C_502843,T_023335,2020-06-22,2020-07-11,22446.32,19.0,0
C_482570,T_023374,2020-02-17,2020-04-01,3263.37,44.0,0
C_050237,T_023398,2022-02-28,2022-02-28,4064028.43,0.0,0
C_806376,T_023408,2020-11-16,2020-11-22,77560.46,6.0,0
C_633661,T_023645,2021-03-01,2021-03-24,170040.99,23.0,0
C_812674,T_023682,2021-09-27,2021-10-13,513434.6,16.0,0
C_706708,T_024012,2021-05-24,2021-06-21,726838.65,28.0,0
C_420287,T_024018,2020-03-30,2020-05-04,45446.08,5.0,0
C_352205,T_024177,2021-09-13,2021-09-16,116156.23,3.0,0
C_352205,T_024177,2021-09-13,2021-09-19,116156.23,6.0,0
C_981891,T_024250,2020-10-26,2020-12-27,370580.54,32.0,0
C_502843,T_024313,2020-11-09,2020-11-27,35784.63,18.0,0
C_419410,T_024567,2022-05-30,2022-06-03,254997.36,4.0,0
C_705572,T_024571,2020-10-12,2020-10-13,22201.4,1.0,0
C_603968,T_024638,2020-05-11,2020-09-02,9221.83,24.0,0
C_633661,T_024674,2020-04-06,2020-04-18,349376.59,12.0,0
C_769450,T_024694,2021-05-17,2021-07-31,149990.47,45.0,0
