sales_line_id,actual_unit_cost,returned_qty,returned_amount,cost_close_date
SL-00000151,210.64,0.0,0.0,2021-04-04
SL-00000155,75.38,0.0,0.0,2020-12-12
SL-00000156,228.13,0.0,0.0,2021-08-05
SL-00000165,45.08,0.0,0.0,2020-04-16
SL-00000168,98.87,0.0,0.0,2020-03-09
SL-00000172,64.95,0.0,0.0,2020-08-30
SL-00000175,135.76,0.0,0.0,2020-10-27
SL-00000178,106.6,0.0,0.0,2020-05-22
SL-00000179,356.61,0.0,0.0,2021-12-08
SL-00000182,180.1,0.0,0.0,2021-09-07
SL-00000187,125.86,0.0,0.0,2020-09-11
SL-00000188,61.71,0.0,0.0,2020-08-02
SL-00000193,179.45,0.0,0.0,2021-04-18
SL-00000196,146.8,0.0,0.0,2020-04-29
SL-00000197,246.24,0.0,0.0,2021-09-06
SL-00000199,88.24,0.0,0.0,2020-11-07
SL-00000200,360.82,0.0,0.0,2022-01-31
SL-00000212,69.78,0.0,0.0,2020-07-05
SL-00000213,138.3,0.0,0.0,2020-12-01
SL-00000217,138.47,0.0,0.0,2021-09-08
SL-00000218,1059.17,0.0,0.0,2022-05-06
SL-00000222,48.13,0.0,0.0,2020-04-26
SL-00000227,261.59,0.0,0.0,2021-11-11
SL-00000228,123.12,0.0,0.0,2021-09-06
SL-00000229,424.85,0.0,0.0,2021-12-25
SL-00000232,197.79,0.0,0.0,2021-05-21
SL-00000236,56.39,0.0,0.0,2020-08-15
SL-00000237,91.46,0.0,0.0,2020-09-07
SL-00000238,322.97,0.0,0.0,2022-01-09
SL-00000239,114.53,0.0,0.0,2020-02-25
SL-00000243,411.46,0.0,0.0,2022-01-02
SL-00000244,77.78,0.0,0.0,2020-02-07
SL-00000249,306.47,0.0,0.0,2021-12-07
SL-00000256,69.6,0.0,0.0,2020-11-01
SL-00000257,40.19,0.0,0.0,2020-09-15
SL-00000259,247.14,0.0,0.0,2021-07-29
SL-00000261,67.73,0.0,0.0,2020-11-02
SL-00000264,304.61,0.0,0.0,2021-09-02
SL-00000267,92.05,0.0,0.0,2021-08-28
SL-00000270,364.14,0.0,0.0,2021-12-07
SL-00000273,33.41,0.0,0.0,2020-04-05
SL-00000276,103.38,0.0,0.0,2021-06-24
SL-00000277,150.97,0.0,0.0,2020-09-05
SL-00000282,220.21,0.0,0.0,2021-04-14
SL-00000283,230.41,0.0,0.0,2021-02-01
SL-00000285,254.79,0.0,0.0,2021-10-02
SL-00000288,48.42,0.0,0.0,2020-07-03
SL-00000293,58.73,0.0,0.0,2021-04-23
SL-00000294,125.32,0.0,0.0,2020-08-23
SL-00000299,52.6,0.0,0.0,2021-02-27
SL-00000306,101.62,0.0,0.0,2020-05-19
SL-00000308,323.34,0.0,0.0,2022-01-19
SL-00000310,127.39,0.0,0.0,2021-04-25
SL-00000311,122.64,0.0,0.0,2020-05-15
SL-00000315,1023.98,0.0,0.0,2022-04-14
SL-00000320,172.21,0.0,0.0,2021-06-27
SL-00000324,112.28,0.0,0.0,2020-08-03
SL-00000325,103.13,0.0,0.0,2020-05-27
SL-00000331,407.7,0.0,0.0,2021-11-27
SL-00000334,58.02,0.0,0.0,2021-06-29
SL-00000344,182.94,0.0,0.0,2021-11-05
SL-00000345,161.63,0.0,0.0,2021-11-21
SL-00000348,88.88,0.0,0.0,2021-07-26
SL-00000352,533.31,0.0,0.0,2021-12-09
SL-00000353,102.91,0.0,0.0,2020-03-17
SL-00000359,138.76,0.0,0.0,2021-05-12
SL-00000361,113.21,0.0,0.0,2020-04-08
SL-00000364,94.0,0.0,0.0,2020-11-22
SL-00000370,296.62,0.0,0.0,2021-07-27
SL-00000374,324.75,0.0,0.0,2021-12-27
SL-00000375,253.22,0.0,0.0,2021-11-20
SL-00000382,221.68,0.0,0.0,2021-12-15
SL-00000383,442.91,0.0,0.0,2021-12-03
SL-00000384,181.13,0.0,0.0,2021-03-15
SL-00000387,92.57,0.0,0.0,2020-05-09
SL-00000388,87.87,0.0,0.0,2021-04-27
SL-00000389,327.48,0.0,0.0,2021-04-29
SL-00000396,158.21,0.0,0.0,2020-12-10
SL-00000397,116.44,0.0,0.0,2020-07-14
SL-00000398,149.57,0.0,0.0,2021-03-03
SL-00000403,913.37,0.0,0.0,2022-03-19
SL-00000404,131.48,0.0,0.0,2021-06-30
SL-00000405,985.46,0.0,0.0,2022-03-14
SL-00000409,955.34,0.0,0.0,2022-04-07
SL-00000411,205.87,0.0,0.0,2021-11-12
SL-00000416,322.84,0.0,0.0,2021-10-31
SL-00000422,96.51,0.0,0.0,2021-02-03
SL-00000424,504.25,0.0,0.0,2022-05-23
SL-00000425,171.56,0.0,0.0,2021-07-17
SL-00000434,106.02,0.0,0.0,2020-11-22
SL-00000439,154.28,0.0,0.0,2021-04-03
SL-00000442,91.55,0.0,0.0,2020-04-21
SL-00000443,72.92,0.0,0.0,2020-12-13
SL-00000446,218.2,0.0,0.0,2020-12-23
SL-00000449,67.84,0.0,0.0,2020-09-11
SL-00000452,159.41,0.0,0.0,2021-05-13
SL-00000455,54.08,0.0,0.0,2020-07-21
SL-00000458,338.38,0.0,0.0,2022-01-01
SL-00000459,139.03,0.0,0.0,2020-09-21
SL-00000460,95.27,0.0,0.0,2021-08-08
SL-00000465,283.39,0.0,0.0,2021-11-25
SL-00000470,108.73,0.0,0.0,2020-05-02
SL-00000471,118.5,0.0,0.0,2020-05-18
SL-00000474,116.33,0.0,0.0,2020-07-24
SL-00000482,86.49,0.0,0.0,2020-02-16
SL-00000486,174.63,0.0,0.0,2021-04-10
SL-00000487,46.98,0.0,0.0,2020-02-06
SL-00000488,274.88,0.0,0.0,2021-11-01
SL-00000490,69.54,0.0,0.0,2020-09-14
SL-00000493,72.99,0.0,0.0,2020-09-19
SL-00000495,205.71,0.0,0.0,2021-07-08
SL-00000500,179.23,0.0,0.0,2021-02-08
SL-00000507,237.51,0.0,0.0,2021-11-27
SL-00000511,92.8,0.0,0.0,2020-11-29
SL-00000516,132.7,0.0,0.0,2020-10-08
SL-00000517,104.4,0.0,0.0,2021-09-21
SL-00000525,1002.96,0.0,0.0,2022-05-14
SL-00000528,78.06,0.0,0.0,2020-05-17
SL-00000532,726.21,0.0,0.0,2022-04-06
SL-00000533,131.88,0.0,0.0,2020-12-28
SL-00000538,64.35,0.0,0.0,2020-04-09
SL-00000539,177.4,0.0,0.0,2021-10-12
SL-00000543,61.36,0.0,0.0,2020-07-14
SL-00000544,118.51,0.0,0.0,2020-06-04
SL-00000548,163.56,0.0,0.0,2021-01-22
SL-00000549,92.39,0.0,0.0,2020-08-30
SL-00000552,173.84,0.0,0.0,2021-07-25
SL-00000553,94.52,0.0,0.0,2021-05-07
SL-00000555,195.32,0.0,0.0,2021-06-30
SL-00000556,64.35,0.0,0.0,2020-06-29
SL-00000558,183.96,0.0,0.0,2021-08-14
SL-00000560,74.69,0.0,0.0,2020-07-17
SL-00000561,85.34,0.0,0.0,2020-11-15
SL-00000565,151.18,0.0,0.0,2021-03-01
SL-00000570,656.57,0.0,0.0,2022-05-14
SL-00000571,45.46,0.0,0.0,2020-11-05
SL-00000575,83.49,0.0,0.0,2020-08-05
SL-00000583,169.47,0.0,0.0,2021-03-08
SL-00000585,114.24,0.0,0.0,2020-09-30
SL-00000586,120.0,0.0,0.0,2020-04-24
SL-00000588,81.23,0.0,0.0,2020-04-02
SL-00000589,97.97,0.0,0.0,2020-10-03
SL-00000590,194.7,0.0,0.0,2021-07-01
SL-00000594,94.06,0.0,0.0,2020-10-07
SL-00000595,109.17,0.0,0.0,2021-01-11
SL-00000601,347.02,0.0,0.0,2021-09-20
SL-00000602,105.08,0.0,0.0,2020-08-08
SL-00000606,156.77,0.0,0.0,2020-11-20
SL-00000607,44.5,0.0,0.0,2020-06-17
SL-00000611,100.65,52.74,5438.55,2020-07-12
SL-00000614,54.81,0.0,0.0,2021-03-25
SL-00000622,33.71,0.0,0.0,2020-03-23
SL-00000623,431.99,0.0,0.0,2022-01-15
SL-00000626,274.05,0.0,0.0,2021-10-19
SL-00000629,390.9,0.0,0.0,2022-03-17
SL-00000631,114.58,0.0,0.0,2020-08-22
SL-00000634,75.17,0.0,0.0,2020-08-19
SL-00000635,87.95,0.0,0.0,2021-01-08
SL-00000641,81.7,0.0,0.0,2020-07-05
SL-00000642,86.46,0.0,0.0,2021-02-12
SL-00000644,776.31,0.0,0.0,2022-04-20
SL-00000645,463.44,0.0,0.0,2022-06-13
SL-00000654,212.57,0.0,0.0,2021-11-02
SL-00000655,112.21,0.0,0.0,2020-05-07
SL-00000659,226.69,0.0,0.0,2021-10-18
SL-00000660,48.13,0.0,0.0,2020-10-25
SL-00000661,313.91,0.0,0.0,2021-11-12
SL-00000665,892.23,0.0,0.0,2022-03-31
SL-00000670,206.85,0.0,0.0,2021-08-07
SL-00000675,216.53,0.0,0.0,2021-08-10
SL-00000683,137.86,0.0,0.0,2021-05-18
SL-00000688,533.25,0.0,0.0,2022-03-05
SL-00000689,116.04,0.0,0.0,2021-04-29
SL-00000692,99.24,0.0,0.0,2020-02-06
SL-00000693,107.24,0.0,0.0,2020-09-26
SL-00000695,915.48,0.0,0.0,2022-03-14
SL-00000696,50.46,0.0,0.0,2020-09-16
SL-00000698,164.24,0.0,0.0,2020-12-11
SL-00000699,75.54,0.0,0.0,2020-08-02
SL-00000700,459.21,0.0,0.0,2021-11-25
SL-00000701,98.42,0.0,0.0,2020-07-18
SL-00000707,145.47,0.0,0.0,2020-12-14
SL-00000711,60.43,0.0,0.0,2020-07-04
SL-00000714,205.7,0.0,0.0,2021-09-28
SL-00000723,77.25,0.0,0.0,2020-05-25
SL-00000726,264.93,0.0,0.0,2021-10-08
SL-00000727,414.18,0.0,0.0,2021-11-14
SL-00000728,736.41,0.0,0.0,2022-03-31
SL-00000729,51.53,0.0,0.0,2020-03-14
SL-00000732,72.63,0.0,0.0,2020-02-29
SL-00000733,156.15,0.0,0.0,2020-06-11
SL-00000737,353.23,38.68,13245.97,2022-01-19
SL-00000738,114.17,0.0,0.0,2020-08-21
SL-00000743,81.43,0.0,0.0,2020-08-06
SL-00000744,220.85,0.0,0.0,2021-09-26
SL-00000745,233.08,0.0,0.0,2021-06-29
SL-00000749,163.38,0.0,0.0,2020-11-25
SL-00000752,107.47,0.0,0.0,2020-08-31
SL-00000754,77.28,0.0,0.0,2020-08-05
SL-00000757,175.94,0.0,0.0,2021-08-27
SL-00000759,111.91,0.0,0.0,2020-08-24
SL-00000761,88.19,0.0,0.0,2020-11-05
SL-00000762,97.6,0.0,0.0,2021-10-09
SL-00000766,266.28,0.0,0.0,2021-11-14
SL-00000767,250.12,0.0,0.0,2021-09-21
SL-00000777,378.61,0.0,0.0,2021-11-12
SL-00000779,201.73,116.43,26112.92,2021-10-09
SL-00000782,77.34,0.0,0.0,2020-07-13
SL-00000785,163.73,0.0,0.0,2021-10-02
SL-00000788,175.85,0.0,0.0,2021-07-25
SL-00000792,155.14,0.0,0.0,2021-04-28
SL-00000795,69.57,0.0,0.0,2020-08-07
SL-00000798,188.08,0.0,0.0,2021-07-08
SL-00000799,84.2,0.0,0.0,2020-07-07
SL-00000800,132.5,0.0,0.0,2020-08-24
SL-00000803,154.79,0.0,0.0,2021-10-13
SL-00000806,81.62,0.0,0.0,2020-05-16
SL-00000809,38.04,0.0,0.0,2020-04-30
SL-00000811,239.46,0.0,0.0,2021-09-21
SL-00000814,247.24,0.0,0.0,2021-10-16
SL-00000820,120.34,0.0,0.0,2020-09-16
SL-00000821,59.05,0.0,0.0,2020-04-06
SL-00000825,92.79,0.0,0.0,2020-03-01
SL-00000826,446.59,0.0,0.0,2022-05-06
SL-00000830,77.47,0.0,0.0,2020-08-25
SL-00000831,187.27,0.0,0.0,2021-06-10
SL-00000841,102.02,0.0,0.0,2020-04-25
SL-00000846,276.54,0.0,0.0,2021-11-04
SL-00000851,55.28,0.0,0.0,2020-04-27
SL-00000862,124.67,0.0,0.0,2020-08-21
SL-00000864,214.53,0.0,0.0,2021-08-25
SL-00000865,108.56,0.0,0.0,2021-06-07
SL-00000868,99.4,0.0,0.0,2020-07-09
SL-00000874,160.7,0.0,0.0,2021-06-22
SL-00000879,476.81,0.0,0.0,2021-11-26
SL-00000882,206.95,0.0,0.0,2021-01-17
SL-00000885,53.92,0.0,0.0,2020-09-29
SL-00000888,46.48,0.0,0.0,2020-05-22
SL-00000889,118.77,0.0,0.0,2020-04-15
SL-00000893,172.06,0.0,0.0,2021-04-15
SL-00000896,30.24,0.0,0.0,2020-04-27
SL-00000899,729.26,0.0,0.0,2022-03-19
SL-00000904,57.62,0.0,0.0,2020-11-18
SL-00000909,268.12,0.0,0.0,2021-10-23
SL-00000912,296.01,0.0,0.0,2021-11-13
SL-00000914,212.84,0.0,0.0,2021-09-09
SL-00000915,223.53,0.0,0.0,2021-01-19
SL-00000918,140.04,0.0,0.0,2021-04-02
SL-00000921,162.15,0.0,0.0,2020-11-03
SL-00000930,594.13,0.0,0.0,2022-05-16
SL-00000933,101.88,0.0,0.0,2020-02-19
SL-00000934,237.53,0.0,0.0,2021-09-19
SL-00000935,79.34,0.0,0.0,2021-01-15
SL-00000940,227.49,0.0,0.0,2021-10-06
SL-00000941,112.14,0.0,0.0,2020-10-16
SL-00000950,601.17,0.0,0.0,2022-05-12
SL-00000951,101.94,0.0,0.0,2020-09-22
SL-00000955,148.6,0.0,0.0,2021-01-11
SL-00000956,801.16,0.0,0.0,2022-05-14
SL-00000962,165.69,0.0,0.0,2021-08-15
SL-00000965,232.16,0.0,0.0,2021-09-10
SL-00000968,142.1,35.52,5503.11,2020-11-07
SL-00000969,159.67,0.0,0.0,2021-05-03
SL-00000970,274.08,0.0,0.0,2021-10-12
SL-00000973,121.25,0.0,0.0,2020-08-06
SL-00000976,92.79,0.0,0.0,2020-05-17
SL-00000979,859.58,0.0,0.0,2022-03-25
SL-00000981,244.15,0.0,0.0,2021-11-13
SL-00000982,142.43,0.0,0.0,2021-05-03
SL-00000987,142.66,0.0,0.0,2020-04-16
SL-00000988,663.24,0.0,0.0,2022-03-15
SL-00000990,362.93,0.0,0.0,2022-01-29
SL-00000991,41.86,0.0,0.0,2020-07-02
SL-00000994,182.29,0.0,0.0,2021-08-29
SL-00001000,88.58,0.0,0.0,2020-07-16
SL-00001006,204.26,0.0,0.0,2021-08-14
SL-00001007,146.73,0.0,0.0,2021-03-22
SL-00001010,239.47,0.0,0.0,2021-07-16
SL-00001011,110.37,0.0,0.0,2021-08-25
SL-00001014,81.39,0.0,0.0,2020-12-19
SL-00001017,119.03,0.0,0.0,2020-12-28
SL-00001027,64.21,0.0,0.0,2020-09-10
SL-00001029,245.58,0.0,0.0,2021-06-12
SL-00001031,35.3,0.0,0.0,2020-07-31
SL-00001032,1168.81,0.0,0.0,2022-02-23
SL-00001036,64.81,0.0,0.0,2020-06-30
SL-00001037,71.71,0.0,0.0,2020-08-16
SL-00001040,34.23,0.0,0.0,2020-08-19
SL-00001043,191.0,0.0,0.0,2021-08-23
SL-00001045,726.59,0.0,0.0,2022-02-26
SL-00001052,98.8,0.0,0.0,2020-03-10
SL-00001056,808.73,0.0,0.0,2022-03-28
SL-00001057,625.31,0.0,0.0,2022-05-28
SL-00001058,153.54,0.0,0.0,2021-02-10
SL-00001062,220.97,0.0,0.0,2021-08-17
SL-00001063,303.41,0.0,0.0,2021-09-30
SL-00001068,141.56,0.0,0.0,2020-12-06
SL-00001073,81.02,0.0,0.0,2020-03-29
SL-00001076,101.14,0.0,0.0,2021-08-11
SL-00001078,55.25,0.0,0.0,2021-07-12
SL-00001079,42.49,0.0,0.0,2020-09-05
SL-00001082,1035.62,0.0,0.0,2022-04-02
SL-00001085,36.44,0.0,0.0,2020-07-23
SL-00001088,92.14,0.0,0.0,2021-06-28
SL-00001089,110.11,0.0,0.0,2021-04-07
SL-00001092,86.11,0.0,0.0,2020-06-18
SL-00001093,645.28,0.0,0.0,2022-05-17
SL-00001096,418.89,0.0,0.0,2022-04-29
SL-00001099,150.92,0.0,0.0,2021-02-21
SL-00001100,186.01,0.0,0.0,2021-08-05
SL-00001101,182.29,0.0,0.0,2021-07-27
SL-00001106,170.74,0.0,0.0,2021-02-06
SL-00001111,782.93,0.0,0.0,2022-03-31
SL-00001112,195.48,0.0,0.0,2021-07-10
SL-00001114,752.57,0.0,0.0,2022-05-30
SL-00001115,155.47,0.0,0.0,2020-01-22
SL-00001118,106.57,0.0,0.0,2020-05-24
SL-00001122,820.96,0.0,0.0,2022-06-10
SL-00001125,120.03,0.0,0.0,2020-08-30
SL-00001128,337.17,0.0,0.0,2021-10-16
SL-00001129,62.56,0.0,0.0,2020-08-27
SL-00001132,192.93,0.0,0.0,2021-07-07
SL-00001135,106.48,0.0,0.0,2021-08-09
SL-00001138,100.05,0.0,0.0,2020-06-16
SL-00001142,167.59,0.0,0.0,2021-08-03
SL-00001144,120.51,0.0,0.0,2020-06-28
SL-00001145,107.23,0.0,0.0,2020-05-15
SL-00001148,141.4,0.0,0.0,2020-09-28
SL-00001150,84.76,0.0,0.0,2020-06-01
SL-00001155,96.3,0.0,0.0,2020-06-18
SL-00001156,243.17,0.0,0.0,2021-12-11
SL-00001160,50.33,0.0,0.0,2020-09-07
SL-00001165,110.1,0.0,0.0,2020-02-07
SL-00001170,77.82,0.0,0.0,2021-08-01
SL-00001171,81.71,0.0,0.0,2021-06-29
SL-00001182,194.57,0.0,0.0,2021-09-13
SL-00001183,146.07,0.0,0.0,2021-06-12
SL-00001187,81.33,0.0,0.0,2020-08-14
SL-00001188,701.49,0.0,0.0,2022-02-13
SL-00001193,114.16,0.0,0.0,2020-08-12
SL-00001196,252.75,0.0,0.0,2021-03-28
SL-00001197,70.48,0.0,0.0,2020-10-06
SL-00001198,173.75,0.0,0.0,2021-10-16
SL-00001199,87.65,0.0,0.0,2020-08-10
SL-00001200,52.7,0.0,0.0,2020-04-28
SL-00001207,138.48,0.0,0.0,2020-12-06
SL-00001212,408.7,0.0,0.0,2021-11-21
SL-00001213,175.18,0.0,0.0,2021-09-17
SL-00001218,205.46,0.0,0.0,2021-07-24
SL-00001219,235.91,0.0,0.0,2021-10-21
SL-00001220,97.83,0.0,0.0,2021-07-26
SL-00001221,107.62,0.0,0.0,2020-04-15
SL-00001227,147.78,0.0,0.0,2021-10-08
SL-00001230,184.5,0.0,0.0,2020-12-28
SL-00001236,99.31,0.0,0.0,2020-07-04
SL-00001237,139.57,0.0,0.0,2021-07-01
SL-00001242,135.74,0.0,0.0,2020-03-21
SL-00001243,276.97,0.0,0.0,2021-05-10
SL-00001248,45.84,0.0,0.0,2020-05-03
SL-00001249,340.15,0.0,0.0,2021-11-02
SL-00001253,90.08,0.0,0.0,2021-02-25
SL-00001255,130.99,0.0,0.0,2020-09-15
SL-00001256,149.65,0.0,0.0,2021-03-14
SL-00001258,121.33,0.0,0.0,2020-11-16
SL-00001259,151.37,0.0,0.0,2021-06-05
SL-00001262,97.18,0.0,0.0,2020-06-03
SL-00001263,93.99,0.0,0.0,2020-07-03
SL-00001264,185.36,0.0,0.0,2021-08-16
SL-00001267,174.02,0.0,0.0,2021-05-01
SL-00001269,303.04,0.0,0.0,2021-10-14
SL-00001276,629.16,0.0,0.0,2022-06-02
SL-00001278,47.2,0.0,0.0,2020-10-21
SL-00001281,305.33,0.0,0.0,2021-10-27
SL-00001282,151.79,0.0,0.0,2021-03-05
SL-00001284,197.07,0.0,0.0,2021-10-17
SL-00001294,46.87,0.0,0.0,2020-02-17
SL-00001295,77.8,0.0,0.0,2020-05-30
SL-00001299,254.55,0.0,0.0,2021-02-19
SL-00001301,106.68,0.0,0.0,2021-05-09
SL-00001310,53.61,0.0,0.0,2020-03-23
SL-00001313,563.77,0.0,0.0,2021-12-04
SL-00001314,65.22,0.0,0.0,2020-10-20
SL-00001315,86.9,0.0,0.0,2020-10-01
SL-00001323,301.78,0.0,0.0,2021-09-20
SL-00001326,168.48,0.0,0.0,2021-05-13
SL-00001328,195.14,0.0,0.0,2021-06-15
SL-00001329,87.84,0.0,0.0,2020-04-05
SL-00001332,149.05,0.0,0.0,2021-02-24
SL-00001333,111.1,0.0,0.0,2020-09-18
SL-00001338,54.57,0.0,0.0,2020-10-26
SL-00001340,70.61,0.0,0.0,2020-04-15
SL-00001341,130.52,0.0,0.0,2020-12-21
SL-00001344,411.94,0.0,0.0,2021-12-09
SL-00001347,145.64,0.0,0.0,2021-06-19
SL-00001351,40.4,0.0,0.0,2020-03-18
SL-00001354,81.33,0.0,0.0,2020-03-22
SL-00001355,232.18,0.0,0.0,2021-03-02
SL-00001361,366.42,0.0,0.0,2021-11-10
SL-00001362,139.01,0.0,0.0,2020-12-07
SL-00001367,187.47,0.0,0.0,2021-07-30
SL-00001376,109.64,0.0,0.0,2020-08-16
SL-00001377,211.28,0.0,0.0,2021-03-02
SL-00001379,216.21,0.0,0.0,2021-09-09
SL-00001383,504.87,0.0,0.0,2021-11-09
SL-00001384,52.61,0.0,0.0,2020-03-14
SL-00001385,170.37,0.0,0.0,2021-07-22
SL-00001391,208.02,0.0,0.0,2021-08-02
SL-00001396,154.14,0.0,0.0,2021-04-14
SL-00001400,93.4,0.0,0.0,2020-04-26
SL-00001401,106.83,0.0,0.0,2020-09-22
SL-00001405,825.34,0.0,0.0,2022-05-18
SL-00001410,75.49,0.0,0.0,2020-02-17
SL-00001411,64.68,0.0,0.0,2021-06-05
SL-00001415,67.4,0.0,0.0,2020-09-25
SL-00001422,148.18,0.0,0.0,2020-12-20
SL-00001423,710.71,0.0,0.0,2022-02-22
SL-00001428,79.38,0.0,0.0,2021-06-21
SL-00001433,104.6,0.0,0.0,2020-08-28
SL-00001436,83.89,0.0,0.0,2021-02-08
SL-00001438,118.38,0.0,0.0,2021-02-23
SL-00001439,92.58,0.0,0.0,2022-01-30
SL-00001441,122.6,0.0,0.0,2020-12-06
SL-00001444,492.83,0.0,0.0,2022-05-12
SL-00001445,102.28,0.0,0.0,2020-03-14
SL-00001450,106.86,0.0,0.0,2020-07-07
SL-00001456,127.78,0.0,0.0,2021-08-15
SL-00001457,95.44,0.0,0.0,2020-09-04
SL-00001460,164.94,0.0,0.0,2021-09-01
SL-00001467,211.64,0.0,0.0,2020-11-16
SL-00001471,188.98,0.0,0.0,2021-09-21
SL-00001476,103.79,0.0,0.0,2020-05-23
SL-00001477,103.78,0.0,0.0,2021-01-21
SL-00001482,165.14,0.0,0.0,2021-08-02
SL-00001483,159.04,0.0,0.0,2020-05-20
SL-00001484,47.23,0.0,0.0,2020-09-19
SL-00001487,230.48,0.0,0.0,2021-10-21
SL-00001489,48.07,0.0,0.0,2020-10-09
SL-00001492,226.82,0.0,0.0,2021-03-11
SL-00001493,397.62,0.0,0.0,2021-11-30
SL-00001494,519.63,0.0,0.0,2022-06-25
SL-00001499,122.98,0.0,0.0,2020-07-22
SL-00001500,79.05,0.0,0.0,2020-12-06
SL-00001501,271.53,0.0,0.0,2021-10-01
SL-00001510,135.66,0.0,0.0,2021-03-13
SL-00001515,376.28,0.0,0.0,2021-11-30
SL-00001516,150.95,0.0,0.0,2020-12-03
SL-00001520,74.57,0.0,0.0,2020-09-11
SL-00001523,106.88,0.0,0.0,2020-04-19
SL-00001524,231.69,0.0,0.0,2021-05-20
SL-00001525,724.3,0.0,0.0,2022-04-26
SL-00001532,133.04,0.0,0.0,2020-10-17
SL-00001537,83.11,0.0,0.0,2020-05-12
SL-00001538,469.43,0.0,0.0,2022-02-25
SL-00001539,66.26,0.0,0.0,2020-06-07
SL-00001543,72.27,0.0,0.0,2020-08-24
SL-00001544,80.06,0.0,0.0,2020-07-18
SL-00001549,60.64,0.0,0.0,2020-03-01
SL-00001552,51.53,0.0,0.0,2020-09-09
SL-00001553,313.52,0.0,0.0,2021-11-26
SL-00001555,93.78,0.0,0.0,2021-05-30
SL-00001558,54.29,0.0,0.0,2020-06-29
SL-00001562,141.95,0.0,0.0,2021-02-23
SL-00001565,54.83,0.0,0.0,2020-06-11
SL-00001568,75.05,0.0,0.0,2021-03-14
SL-00001573,191.27,0.0,0.0,2021-07-17
SL-00001576,148.95,0.0,0.0,2020-10-14
SL-00001583,189.61,0.0,0.0,2021-10-12
SL-00001586,120.37,0.0,0.0,2020-10-30
SL-00001588,123.03,0.0,0.0,2020-11-25
SL-00001589,51.58,0.0,0.0,2020-03-09
SL-00001594,119.11,0.0,0.0,2020-07-16
SL-00001599,156.89,0.0,0.0,2021-10-24
SL-00001601,98.41,0.0,0.0,2020-05-12
SL-00001606,263.94,0.0,0.0,2021-10-08
SL-00001607,84.65,0.0,0.0,2020-10-11
SL-00001611,79.79,0.0,0.0,2020-07-22
SL-00001612,238.49,0.0,0.0,2021-10-04
SL-00001614,471.95,0.0,0.0,2022-01-08
SL-00001621,111.91,0.0,0.0,2020-09-07
SL-00001626,79.88,0.0,0.0,2020-03-18
SL-00001633,123.11,0.0,0.0,2020-09-22
SL-00001634,79.93,0.0,0.0,2020-08-15
SL-00001635,101.13,0.0,0.0,2020-07-30
SL-00001639,128.71,0.0,0.0,2021-03-24
SL-00001642,81.34,0.0,0.0,2020-06-19
