customer_id,severity,created_at,status,resolved_at
C_479796,متوسط,2020-11-30,بسته,2020-12-30
C_812674,زیاد,2021-03-20,درحال بررسی,
C_342564,کم,2020-10-12,بسته,2020-11-12
C_582486,متوسط,2020-04-11,بسته,2020-04-23
C_672706,زیاد,2021-10-09,درحال بررسی,
C_683666,زیاد,2021-11-06,بسته,2021-11-23
C_948070,کم,2021-10-30,درحال بررسی,
C_866894,متوسط,2020-04-01,بسته,2020-05-05
C_683666,کم,2020-11-16,بسته,2020-12-10
C_762928,متوسط,2021-01-18,درحال بررسی,
C_342564,متوسط,2022-04-25,بسته,2022-06-01
C_479796,متوسط,2021-07-05,بسته,2021-07-20
C_683666,متوسط,2022-03-07,بسته,2022-04-02
C_317124,بحرانی,2021-06-12,درحال بررسی,
C_473035,متوسط,2021-08-28,درحال بررسی,
C_502843,متوسط,2021-06-04,بسته,2021-07-06
C_984759,زیاد,2020-12-04,بسته,2021-01-01
C_705572,متوسط,2020-09-11,بسته,2020-09-19
C_633661,کم,2021-01-22,بسته,2021-01-31
C_361181,زیاد,2021-04-16,بسته,2021-04-24
C_848211,کم,2021-05-07,درحال بررسی,
C_683666,متوسط,2021-01-13,بسته,2021-02-03
C_871835,زیاد,2021-09-29,بسته,2021-10-09
C_361181,بحرانی,2021-12-01,بسته,2022-01-14
C_535756,زیاد,2022-03-09,بسته,2022-04-21
C_051706,زیاد,2021-06-13,بسته,2021-07-20
C_598080,متوسط,2022-02-27,بسته,2022-03-06
C_376594,متوسط,2020-11-20,بسته,2021-01-01
C_245948,متوسط,2020-05-22,بسته,2020-05-28
C_843031,متوسط,2022-06-10,بسته,2022-07-05
C_866894,متوسط,2020-12-11,بسته,2021-01-20
C_317124,کم,2021-04-21,بسته,2021-05-27
C_477520,متوسط,2020-07-22,بسته,2020-08-25
C_419410,متوسط,2021-12-22,درحال بررسی,
C_357434,بحرانی,2021-01-13,درحال بررسی,
C_245948,کم,2020-12-21,درحال بررسی,
C_633661,متوسط,2021-07-12,بسته,2021-07-27
C_746892,زیاد,2021-03-27,بسته,2021-04-03
C_317124,کم,2021-10-18,بسته,2021-11-18
C_312584,متوسط,2021-05-08,بسته,2021-05-31
C_126481,کم,2020-05-16,بسته,2020-05-23
C_672706,متوسط,2021-11-01,بسته,2021-11-07
C_593639,زیاد,2021-05-17,درحال بررسی,
C_274912,متوسط,2020-08-24,بسته,2020-10-09
C_258325,متوسط,2020-11-23,درحال بررسی,
C_479796,متوسط,2020-09-03,بسته,2020-10-08
C_603968,کم,2022-02-10,درحال بررسی,
C_144468,متوسط,2020-06-15,بسته,2020-06-25
C_172705,متوسط,2021-05-12,بسته,2021-05-29
C_842281,متوسط,2020-09-02,بسته,2020-10-10
C_117580,کم,2020-09-09,بسته,2020-10-10
C_317124,بحرانی,2021-06-14,درحال بررسی,
C_117580,متوسط,2020-07-20,بسته,2020-08-08
C_746892,بحرانی,2021-02-01,بسته,2021-02-18
C_986633,متوسط,2022-07-04,بسته,2022-08-08
C_113139,زیاد,2022-05-28,بسته,2022-07-05
C_838088,زیاد,2021-01-16,بسته,2021-02-02
C_691869,کم,2020-09-26,درحال بررسی,
C_683666,زیاد,2020-07-18,بسته,2020-08-30
C_421536,متوسط,2020-06-06,درحال بررسی,
C_683666,زیاد,2021-09-11,بسته,2021-10-09
C_113139,متوسط,2020-07-23,درحال بررسی,
C_245948,زیاد,2020-05-21,بسته,2020-06-13
C_672706,متوسط,2021-09-23,درحال بررسی,
C_603968,بحرانی,2021-11-11,بسته,2021-11-16
C_117580,زیاد,2020-06-25,بسته,2020-07-23
C_877858,متوسط,2020-07-16,بسته,2020-08-29
C_042732,متوسط,2022-07-23,درحال بررسی,
C_069492,کم,2021-10-30,بسته,2021-12-01
C_792125,متوسط,2020-04-04,بسته,2020-04-16
C_113139,زیاد,2020-09-05,بسته,2020-09-11
C_746892,متوسط,2021-02-25,درحال بررسی,
C_519849,زیاد,2020-11-19,درحال بررسی,
C_806376,زیاد,2021-02-11,درحال بررسی,
C_746892,زیاد,2021-11-04,بسته,2021-12-16
C_672256,کم,2020-05-27,بسته,2020-06-12
C_317124,کم,2021-11-17,بسته,2021-12-10
C_465208,متوسط,2021-11-18,بسته,2021-12-28
C_672706,متوسط,2020-03-05,بسته,2020-03-28
C_862106,زیاد,2021-11-25,بسته,2022-01-10
C_806376,کم,2021-07-29,بسته,2021-08-09
C_023073,کم,2020-08-29,درحال بررسی,
C_144468,زیاد,2020-03-21,بسته,2020-04-26
C_746892,متوسط,2021-04-03,بسته,2021-05-01
C_113139,متوسط,2020-07-18,بسته,2020-08-11
C_866894,زیاد,2021-03-07,بسته,2021-04-16
C_683666,کم,2020-10-25,بسته,2020-12-02
C_662193,متوسط,2021-05-12,درحال بررسی,
C_113139,کم,2020-05-27,بسته,2020-07-09
C_322315,متوسط,2020-05-01,بسته,2020-05-09
C_258325,متوسط,2021-09-24,درحال بررسی,
C_317124,متوسط,2021-09-03,بسته,2021-10-18
C_479796,کم,2021-09-24,درحال بررسی,
C_051706,کم,2022-03-18,درحال بررسی,
C_126481,متوسط,2020-02-23,درحال بررسی,
C_984759,زیاد,2020-05-10,درحال بررسی,
C_593639,زیاد,2021-04-11,درحال بررسی,
C_342564,متوسط,2022-06-27,بسته,2022-07-10
C_015746,متوسط,2022-05-09,بسته,2022-06-21
C_258325,متوسط,2021-06-21,درحال بررسی,
C_657627,کم,2022-04-04,بسته,2022-05-03
C_421083,متوسط,2022-07-13,بسته,2022-08-08
C_683666,متوسط,2020-08-05,بسته,2020-08-30
C_862106,زیاد,2020-08-26,بسته,2020-09-07
C_117580,متوسط,2020-09-21,بسته,2020-10-15
C_385527,زیاد,2020-12-25,درحال بررسی,
C_746892,زیاد,2022-06-08,بسته,2022-06-29
C_633661,کم,2020-04-27,درحال بررسی,
C_342564,متوسط,2020-07-13,درحال بررسی,
C_512037,متوسط,2021-09-18,درحال بررسی,
C_857626,متوسط,2021-08-09,بسته,2021-08-25
C_739474,زیاد,2022-05-25,بسته,2022-06-16
C_980626,متوسط,2022-04-06,بسته,2022-04-25
C_468898,بحرانی,2021-11-15,بسته,2021-12-06
C_222193,کم,2020-12-21,بسته,2021-01-12
C_190305,کم,2022-07-28,بسته,2022-08-11
C_683666,متوسط,2022-08-25,بسته,2022-09-07
C_265163,زیاد,2021-09-04,درحال بررسی,
C_937594,متوسط,2022-06-04,بسته,2022-06-13
C_698497,کم,2021-04-24,بسته,2021-06-10
C_698497,بحرانی,2020-05-16,بسته,2020-06-28
C_299317,کم,2020-10-01,بسته,2020-10-22
C_376594,کم,2021-07-15,بسته,2021-08-25
C_883391,متوسط,2020-12-03,بسته,2020-12-24
C_479796,زیاد,2021-01-28,بسته,2021-02-12
C_172705,متوسط,2020-09-01,درحال بررسی,
C_472366,متوسط,2022-02-08,بسته,2022-02-15
C_444616,کم,2020-08-15,بسته,2020-08-26
C_746892,متوسط,2021-09-11,بسته,2021-10-26
C_937594,متوسط,2020-10-03,بسته,2020-10-14
C_401016,کم,2021-06-19,بسته,2021-07-17
C_731802,متوسط,2020-12-31,بسته,2021-01-17
C_243568,متوسط,2022-07-14,بسته,2022-08-16
C_745897,کم,2020-10-29,بسته,2020-11-29
C_274912,زیاد,2020-08-20,درحال بررسی,
C_806376,زیاد,2021-09-20,بسته,2021-10-19
C_317124,متوسط,2022-01-10,بسته,2022-02-23
C_113139,زیاد,2021-07-07,بسته,2021-07-16
C_519849,بحرانی,2020-12-09,درحال بررسی,
C_465208,متوسط,2021-11-10,درحال بررسی,
C_421536,متوسط,2021-06-07,بسته,2021-06-24
C_746892,متوسط,2020-03-23,بسته,2020-04-19
C_683666,بحرانی,2021-02-01,بسته,2021-02-06
C_117580,متوسط,2020-06-01,بسته,2020-07-18
C_806376,متوسط,2021-02-22,درحال بررسی,
C_444616,کم,2021-11-12,درحال بررسی,
C_672706,زیاد,2021-04-30,بسته,2021-05-17
C_806376,متوسط,2021-01-11,بسته,2021-01-31
C_603968,کم,2021-02-08,بسته,2021-02-24
C_768792,زیاد,2022-07-04,بسته,2022-07-28
C_806376,متوسط,2021-10-25,بسته,2021-11-21
C_746892,زیاد,2021-06-14,بسته,2021-06-26
C_274912,زیاد,2021-06-26,بسته,2021-07-31
C_683666,متوسط,2021-10-02,درحال بررسی,
C_633661,کم,2020-06-06,بسته,2020-07-06
C_245948,زیاد,2020-03-27,درحال بررسی,
C_519849,زیاد,2020-08-28,بسته,2020-10-05
C_806376,متوسط,2021-11-18,بسته,2021-12-02
C_419410,متوسط,2021-10-28,بسته,2021-11-09
C_683666,کم,2021-10-28,بسته,2021-11-30
C_593639,زیاد,2020-10-08,درحال بررسی,
C_117580,متوسط,2020-11-17,بسته,2020-12-17
C_683666,زیاد,2021-04-13,درحال بررسی,
C_746892,کم,2020-07-23,بسته,2020-08-25
C_870695,زیاد,2020-10-29,بسته,2020-11-15
C_376594,متوسط,2020-09-19,بسته,2020-11-02
C_317124,کم,2021-07-26,درحال بررسی,
C_951507,زیاد,2021-06-19,درحال بررسی,
C_051535,متوسط,2022-05-14,بسته,2022-06-23
C_749821,متوسط,2022-04-30,بسته,2022-05-13
C_600979,کم,2020-07-11,بسته,2020-08-04
C_705572,زیاد,2020-12-07,بسته,2021-01-20
C_633661,کم,2020-04-20,درحال بررسی,
C_624339,متوسط,2020-10-12,بسته,2020-11-27
C_361181,بحرانی,2021-03-22,بسته,2021-04-13
C_390208,متوسط,2021-06-30,درحال بررسی,
C_180745,زیاد,2021-09-13,بسته,2021-09-23
C_317124,کم,2021-07-10,درحال بررسی,
C_155990,کم,2021-06-19,بسته,2021-06-25
C_937594,زیاد,2021-10-02,درحال بررسی,
C_479796,کم,2021-01-23,درحال بررسی,
C_338236,زیاد,2022-09-01,بسته,2022-10-08
C_150182,کم,2022-03-26,درحال بررسی,
C_746892,کم,2020-09-03,بسته,2020-10-09
C_444616,کم,2020-11-26,درحال بررسی,
C_705572,متوسط,2020-04-16,بسته,2020-04-30
C_745468,کم,2021-11-25,درحال بررسی,
C_180817,کم,2021-09-16,بسته,2021-09-23
C_683666,متوسط,2022-08-23,بسته,2022-09-09
C_265163,بحرانی,2021-08-03,بسته,2021-08-18
C_603968,متوسط,2022-01-25,بسته,2022-03-09
C_472366,بحرانی,2022-03-31,بسته,2022-05-04
C_866894,متوسط,2020-10-22,بسته,2020-11-21
C_915518,زیاد,2020-10-22,بسته,2020-11-17
C_507964,زیاد,2021-08-26,بسته,2021-09-06
C_152471,متوسط,2021-04-25,بسته,2021-05-10
C_915518,زیاد,2021-11-28,بسته,2021-12-11
C_172705,کم,2021-07-17,بسته,2021-07-27
C_551361,متوسط,2020-08-29,بسته,2020-09-27
C_633661,زیاد,2020-10-17,درحال بررسی,
C_051706,زیاد,2021-01-02,بسته,2021-01-31
C_042732,کم,2022-01-08,درحال بررسی,
C_848211,متوسط,2021-03-08,بسته,2021-04-05
C_317124,کم,2021-07-26,بسته,2021-08-31
C_113139,متوسط,2022-06-27,بسته,2022-07-26
C_806376,متوسط,2021-09-07,بسته,2021-09-12
C_683666,متوسط,2020-08-11,بسته,2020-08-28
C_575381,متوسط,2022-05-02,درحال بررسی,
C_465481,بحرانی,2020-02-17,درحال بررسی,
C_806376,متوسط,2021-08-30,درحال بررسی,
C_342564,متوسط,2021-12-06,درحال بررسی,
C_117580,زیاد,2020-07-18,بسته,2020-07-24
C_245948,متوسط,2020-10-17,درحال بررسی,
C_126481,کم,2020-08-01,بسته,2020-09-03
C_842281,زیاد,2020-11-28,بسته,2020-12-16
C_317124,کم,2021-04-07,درحال بررسی,
C_227779,متوسط,2022-05-04,درحال بررسی,
C_245948,زیاد,2020-12-16,درحال بررسی,
C_746892,بحرانی,2021-09-22,بسته,2021-10-28
C_412635,زیاد,2022-02-07,بسته,2022-03-02
C_745468,زیاد,2020-11-11,بسته,2020-11-29
C_419410,متوسط,2021-07-09,بسته,2021-08-18
C_698497,متوسط,2020-10-09,بسته,2020-11-22
C_245948,متوسط,2020-11-18,درحال بررسی,
C_183105,متوسط,2022-07-06,بسته,2022-07-23
C_465481,متوسط,2020-08-14,بسته,2020-08-17
C_465481,کم,2020-05-10,بسته,2020-06-19
C_806376,متوسط,2021-01-02,بسته,2021-01-10
C_180745,متوسط,2020-06-04,بسته,2020-06-08
C_746892,بحرانی,2021-01-07,بسته,2021-01-27
C_746892,کم,2020-04-30,بسته,2020-06-03
C_117580,متوسط,2020-09-24,درحال بررسی,
C_126481,زیاد,2020-05-14,درحال بررسی,
C_445916,کم,2020-07-14,درحال بررسی,
C_746892,متوسط,2022-05-24,درحال بررسی,
C_815913,کم,2020-12-15,بسته,2021-01-13
C_829082,متوسط,2021-11-30,بسته,2021-12-28
C_672256,زیاد,2020-10-12,بسته,2020-11-06
C_672706,متوسط,2021-08-30,بسته,2021-09-15
C_627716,متوسط,2022-04-11,بسته,2022-04-25
C_099163,متوسط,2020-11-02,بسته,2020-12-02
C_472366,کم,2022-01-01,بسته,2022-02-09
C_746892,متوسط,2021-11-13,بسته,2021-11-23
C_769491,متوسط,2020-10-17,درحال بررسی,
C_365277,متوسط,2020-06-22,درحال بررسی,
C_829082,کم,2021-10-28,بسته,2021-12-01
C_245948,بحرانی,2021-08-26,درحال بررسی,
C_398853,متوسط,2020-03-27,بسته,2020-04-04
C_593639,بحرانی,2021-11-05,درحال بررسی,
C_762928,متوسط,2021-12-01,بسته,2022-01-04
C_611705,زیاد,2021-12-17,بسته,2022-01-08
C_051706,زیاد,2022-07-13,بسته,2022-08-22
C_683666,کم,2021-06-02,درحال بررسی,
C_806376,زیاد,2021-08-04,درحال بررسی,
C_566726,متوسط,2020-11-25,درحال بررسی,
C_746892,زیاد,2021-10-11,بسته,2021-11-03
C_117580,متوسط,2020-07-08,بسته,2020-07-28
C_683666,زیاد,2021-02-23,درحال بررسی,
C_691869,متوسط,2020-06-02,بسته,2020-07-19
C_235625,بحرانی,2020-07-23,بسته,2020-08-23
C_155990,زیاد,2020-08-13,بسته,2020-08-29
C_672256,متوسط,2020-05-07,بسته,2020-06-06
C_465481,متوسط,2021-04-01,بسته,2021-05-13
C_317124,کم,2021-05-27,بسته,2021-07-10
C_746892,متوسط,2021-03-11,درحال بررسی,
C_672706,زیاد,2020-10-10,بسته,2020-10-14
C_746892,متوسط,2020-06-27,بسته,2020-07-17
C_134962,زیاد,2021-01-17,بسته,2021-02-16
C_479796,زیاد,2022-03-13,بسته,2022-04-06
C_535756,زیاد,2020-12-08,بسته,2020-12-21
C_126481,کم,2020-06-09,بسته,2020-06-14
C_997228,کم,2021-08-27,درحال بررسی,
C_113139,متوسط,2021-03-21,بسته,2021-04-05
C_126481,متوسط,2020-06-14,بسته,2020-07-02
C_054476,زیاد,2022-07-10,بسته,2022-07-22
C_746892,کم,2020-03-19,بسته,2020-05-03
C_421536,کم,2020-12-03,درحال بررسی,
C_862106,زیاد,2020-10-30,بسته,2020-11-07
C_444616,متوسط,2020-06-05,درحال بررسی,
C_328236,متوسط,2020-01-24,بسته,2020-03-03
C_117580,زیاد,2020-07-17,بسته,2020-08-22
C_479796,کم,2020-07-29,بسته,2020-08-11
C_806376,متوسط,2021-07-21,بسته,2021-08-15
C_245948,کم,2022-07-06,بسته,2022-07-19
C_705680,متوسط,2021-03-10,بسته,2021-03-21
C_023073,متوسط,2021-02-23,بسته,2021-04-10
C_155990,متوسط,2020-06-16,بسته,2020-07-14
C_126481,کم,2020-05-10,بسته,2020-05-14
C_589300,کم,2020-03-29,درحال بررسی,
C_756222,متوسط,2020-08-28,بسته,2020-10-02
C_519849,زیاد,2020-08-09,بسته,2020-08-15
C_535756,زیاد,2020-11-03,بسته,2020-12-02
C_683666,متوسط,2020-03-24,بسته,2020-05-09
C_746892,متوسط,2020-06-21,بسته,2020-07-06
C_361181,متوسط,2021-10-17,بسته,2021-11-04
C_915518,کم,2022-01-18,درحال بررسی,
C_633661,متوسط,2020-07-07,بسته,2020-08-19
C_050237,متوسط,2020-12-31,بسته,2021-01-28
C_815913,زیاد,2020-04-23,بسته,2020-05-28
C_866894,متوسط,2021-12-02,بسته,2021-12-29
C_155990,زیاد,2021-01-14,درحال بررسی,
C_113139,زیاد,2020-11-17,بسته,2020-12-07
C_762928,کم,2021-03-16,درحال بررسی,
C_117580,متوسط,2020-10-01,بسته,2020-11-15
C_746892,متوسط,2020-05-14,بسته,2020-06-06
C_113139,متوسط,2020-08-03,بسته,2020-08-17
C_172705,زیاد,2020-09-05,بسته,2020-09-12
C_117580,متوسط,2020-06-30,درحال بررسی,
C_547873,بحرانی,2021-08-24,بسته,2021-09-27
C_317124,کم,2021-08-03,بسته,2021-09-06
C_310107,کم,2020-10-22,درحال بررسی,
C_317124,متوسط,2021-08-26,بسته,2021-09-20
C_245948,زیاد,2020-11-19,درحال بررسی,
C_806376,متوسط,2021-09-02,بسته,2021-10-12
C_051535,کم,2020-11-26,درحال بررسی,
C_022240,بحرانی,2022-02-11,درحال بررسی,
C_806376,کم,2021-10-03,درحال بررسی,
C_683666,کم,2020-12-06,بسته,2021-01-14
C_773326,متوسط,2020-08-16,بسته,2020-09-18
C_756222,زیاد,2020-11-15,بسته,2020-12-24
C_746892,متوسط,2021-01-01,درحال بررسی,
C_113139,متوسط,2020-11-24,بسته,2020-12-14
C_155990,کم,2021-07-13,بسته,2021-07-29
C_683666,متوسط,2020-06-28,بسته,2020-07-04
C_691869,متوسط,2020-09-13,درحال بررسی,
C_117580,کم,2020-09-30,بسته,2020-10-03
C_950113,متوسط,2021-06-30,بسته,2021-07-14
C_245948,متوسط,2020-06-30,بسته,2020-07-19
C_877858,کم,2021-04-20,درحال بررسی,
C_683666,زیاد,2022-01-16,درحال بررسی,
C_412635,زیاد,2020-10-06,درحال بررسی,
C_698497,متوسط,2022-07-10,بسته,2022-08-16
C_317124,زیاد,2021-08-01,بسته,2021-08-08
C_258325,بحرانی,2020-08-30,درحال بررسی,
C_870695,متوسط,2020-11-08,بسته,2020-12-03
C_672706,متوسط,2020-11-19,بسته,2020-12-29
C_746892,متوسط,2021-09-16,بسته,2021-10-30
C_398853,بحرانی,2020-07-12,بسته,2020-07-15
C_180745,متوسط,2020-07-03,بسته,2020-08-01
C_317124,متوسط,2021-06-13,بسته,2021-06-16
C_603968,کم,2020-07-19,درحال بررسی,
C_422697,زیاد,2020-07-26,بسته,2020-09-11
C_566726,متوسط,2021-01-03,درحال بررسی,
C_954731,کم,2021-04-06,بسته,2021-04-09
C_870695,زیاد,2022-02-22,بسته,2022-03-04
C_514318,متوسط,2021-12-15,بسته,2022-01-20
C_426816,زیاد,2020-08-26,بسته,2020-09-19
C_683666,زیاد,2021-09-20,درحال بررسی,
C_117580,متوسط,2020-08-31,بسته,2020-10-14
C_853926,کم,2021-02-15,بسته,2021-03-02
C_878590,زیاد,2020-04-06,بسته,2020-04-19
C_624339,زیاد,2020-09-02,درحال بررسی,
C_746892,متوسط,2020-05-27,درحال بررسی,
C_937594,متوسط,2021-10-18,بسته,2021-10-28
C_746892,کم,2020-07-06,بسته,2020-08-13
C_799217,زیاد,2021-12-22,بسته,2022-01-06
C_298468,متوسط,2020-05-20,بسته,2020-07-02
C_258325,زیاد,2022-02-05,بسته,2022-03-11
C_387172,کم,2020-08-10,بسته,2020-09-17
C_172705,زیاد,2021-11-13,درحال بررسی,
C_245948,متوسط,2021-07-31,درحال بررسی,
C_185126,کم,2020-02-01,بسته,2020-03-12
C_664019,زیاد,2021-03-06,بسته,2021-04-18
C_117580,متوسط,2020-07-16,بسته,2020-08-06
C_172705,متوسط,2021-07-08,بسته,2021-07-13
C_117580,کم,2020-09-24,درحال بررسی,
C_113139,زیاد,2021-06-03,درحال بررسی,
C_265163,کم,2021-05-19,درحال بررسی,
C_749821,متوسط,2022-04-11,درحال بررسی,
C_683666,بحرانی,2021-10-25,بسته,2021-11-14
C_421536,متوسط,2021-04-12,بسته,2021-04-17
C_172705,زیاد,2021-09-06,درحال بررسی,
C_698497,کم,2020-11-09,درحال بررسی,
C_113139,کم,2022-02-26,بسته,2022-03-19
C_683666,زیاد,2020-04-25,بسته,2020-05-27
C_627716,کم,2021-07-16,بسته,2021-08-31
C_535756,زیاد,2021-09-03,درحال بررسی,
C_126481,کم,2020-05-08,درحال بررسی,
C_444616,کم,2020-10-16,بسته,2020-11-22
C_117580,کم,2020-08-21,بسته,2020-09-04
C_594561,متوسط,2021-05-14,درحال بررسی,
C_598080,کم,2020-05-06,بسته,2020-06-02
C_683666,کم,2020-12-02,بسته,2020-12-31
C_317124,متوسط,2021-10-27,درحال بررسی,
C_951507,بحرانی,2021-08-25,بسته,2021-09-03
C_683666,متوسط,2021-01-31,درحال بررسی,
C_401016,بحرانی,2020-09-20,درحال بررسی,
C_884864,متوسط,2021-06-28,بسته,2021-08-03
C_705572,زیاد,2020-05-04,بسته,2020-05-31
C_245948,زیاد,2021-08-02,بسته,2021-09-09
C_240236,متوسط,2021-10-11,بسته,2021-10-25
C_746892,زیاد,2021-10-02,بسته,2021-10-07
C_806376,کم,2022-01-01,بسته,2022-02-02
C_258325,متوسط,2021-08-16,درحال بررسی,
C_683666,زیاد,2020-11-14,درحال بررسی,
C_603877,زیاد,2021-01-22,بسته,2021-01-30
C_482570,کم,2020-07-15,بسته,2020-08-13
C_705572,متوسط,2021-10-13,بسته,2021-11-16
C_969414,کم,2020-06-10,بسته,2020-07-13
C_683666,متوسط,2022-02-02,بسته,2022-02-13
C_063926,متوسط,2021-03-03,بسته,2021-04-17
C_683666,متوسط,2020-05-15,بسته,2020-06-27
C_361181,متوسط,2020-07-24,بسته,2020-08-20
C_172705,بحرانی,2021-08-25,درحال بررسی,
C_937594,متوسط,2020-11-27,درحال بررسی,
C_746892,متوسط,2020-09-13,بسته,2020-10-05
C_773326,زیاد,2020-07-26,بسته,2020-08-07
C_095017,متوسط,2020-01-22,بسته,2020-01-30
C_593639,کم,2020-11-30,بسته,2021-01-16
C_282979,زیاد,2021-02-22,بسته,2021-03-20
C_385527,کم,2020-10-05,بسته,2020-10-29
C_908293,متوسط,2021-01-27,بسته,2021-02-11
C_126481,زیاد,2020-05-13,درحال بررسی,
C_746892,بحرانی,2021-03-03,بسته,2021-04-04
C_502843,زیاد,2020-08-19,بسته,2020-09-29
C_772501,زیاد,2022-06-18,بسته,2022-06-22
C_113139,متوسط,2021-09-18,درحال بررسی,
C_683666,متوسط,2020-05-09,بسته,2020-05-22
C_117580,متوسط,2020-10-10,بسته,2020-11-21
C_806376,متوسط,2021-12-18,بسته,2022-01-29
C_698497,متوسط,2022-05-23,بسته,2022-06-13
C_317124,کم,2022-05-30,درحال بررسی,
C_514318,متوسط,2021-04-26,بسته,2021-05-20
C_746892,متوسط,2021-11-08,بسته,2021-12-19
C_117580,بحرانی,2020-11-09,بسته,2020-12-25
C_683666,کم,2021-12-28,بسته,2022-01-19
C_338236,متوسط,2021-11-25,بسته,2021-12-21
C_980626,زیاد,2020-09-16,بسته,2020-11-01
C_126481,کم,2020-05-20,بسته,2020-06-01
C_426424,متوسط,2022-04-20,بسته,2022-05-07
C_069492,کم,2021-12-08,بسته,2022-01-21
C_683666,متوسط,2021-07-30,بسته,2021-09-12
C_948070,زیاد,2020-11-13,بسته,2020-12-20
C_683666,متوسط,2020-07-17,درحال بررسی,
C_042732,متوسط,2022-04-08,بسته,2022-04-28
C_749821,متوسط,2021-08-23,بسته,2021-08-28
C_969414,کم,2022-01-22,درحال بررسی,
C_683666,متوسط,2022-01-22,بسته,2022-03-08
C_317124,متوسط,2021-08-21,درحال بررسی,
C_101842,متوسط,2021-01-14,بسته,2021-02-28
C_594561,کم,2021-06-17,بسته,2021-06-20
C_683666,بحرانی,2020-10-08,درحال بررسی,
C_317124,متوسط,2021-08-19,بسته,2021-09-10
C_465481,بحرانی,2021-09-02,درحال بررسی,
C_069492,متوسط,2021-08-12,بسته,2021-09-17
C_746892,زیاد,2021-07-12,درحال بررسی,
C_691869,زیاد,2022-01-24,درحال بررسی,
C_245948,کم,2021-05-18,درحال بررسی,
C_746892,زیاد,2021-05-18,بسته,2021-06-20
C_683666,متوسط,2020-03-05,بسته,2020-04-17
C_603968,زیاد,2021-11-04,بسته,2021-11-23
C_705572,متوسط,2020-05-28,بسته,2020-07-04
C_746892,زیاد,2020-07-30,بسته,2020-08-31
C_551361,متوسط,2020-06-11,بسته,2020-07-07
C_877858,بحرانی,2021-03-27,بسته,2021-04-29
C_051706,زیاد,2020-08-30,بسته,2020-09-08
C_698497,متوسط,2020-09-20,درحال بررسی,
C_848211,متوسط,2020-12-06,بسته,2020-12-17
C_672256,کم,2020-07-12,درحال بررسی,
