customer_id,offer_date,discount_pct,result,offer_type,offer_reason,validity_days
C_317124,2021-01-31,6.8,منقضی,قیمتی,افزایش حجم سفارش,11
C_147153,2021-10-29,7.3,قبول,قیمتی,رقابت قیمتی,29
C_245948,2020-09-18,7.8,رد,حجمی,افزایش حجم سفارش,21
C_703801,2020-05-06,8.3,درحال مذاکره,مدت,تسویه سریع,13
C_479796,2020-02-12,1.3,قبول,مدت,تسویه سریع,5
C_746892,2020-10-02,1.2,منقضی,قیمتی,افزایش سهم از سبد,20
C_593639,2020-06-24,1.7,رد,حجمی,تسویه سریع,13
C_746892,2022-03-26,1.8,درحال مذاکره,مدت,رقابت قیمتی,17
C_465481,2020-02-01,1.3,رد,قیمتی,آزمون محصول,25
C_150182,2021-08-09,8.3,قبول,قیمتی,تسویه سریع,7
C_155990,2020-03-16,7.8,منقضی,مدت,افزایش حجم سفارش,15
C_806376,2020-11-15,3.8,قبول,حجمی,حفظ مشتری کلیدی,11
C_346978,2020-04-28,3.3,منقضی,حجمی,رقابت قیمتی,19
C_969414,2021-07-27,2.8,رد,حجمی,افزایش سهم از سبد,27
C_593639,2020-01-09,2.3,قبول,قیمتی,حفظ مشتری کلیدی,9
C_465481,2020-09-13,5.2,قبول,قیمتی,حفظ مشتری کلیدی,29
C_746892,2020-11-01,4.7,منقضی,قیمتی,حفظ مشتری کلیدی,11
C_806376,2021-08-23,5.8,درحال مذاکره,مدت,معرفی محصول جدید,26
C_568392,2020-09-26,6.3,رد,مدت,آزمون محصول,18
C_444616,2020-04-08,4.8,رد,قیمتی,معرفی محصول جدید,16
C_672706,2021-12-06,5.3,منقضی,مدت,حفظ مشتری کلیدی,8
C_473035,2022-03-11,3.8,منقضی,قیمتی,معرفی محصول جدید,6
C_683666,2020-07-22,4.3,قبول,حجمی,حفظ مشتری کلیدی,24
C_444616,2020-09-13,2.7,قبول,مدت,آزمون محصول,22
C_951507,2022-06-03,3.2,درحال مذاکره,حجمی,حفظ مشتری کلیدی,14
C_317216,2021-06-01,1.7,رد,حجمی,تسویه سریع,12
C_150182,2022-05-01,2.2,منقضی,مدت,افزایش سهم از سبد,30
C_683666,2020-03-30,5.9,قبول,مدت,تسویه سریع,21
C_258325,2021-06-21,5.3,منقضی,حجمی,تسویه سریع,29
C_050237,2020-12-05,6.9,منقضی,قیمتی,حفظ مشتری کلیدی,5
C_282979,2020-05-09,6.4,رد,قیمتی,رقابت قیمتی,13
C_937594,2020-12-29,7.9,درحال مذاکره,قیمتی,افزایش حجم سفارش,16
C_479796,2020-04-02,7.4,درحال مذاکره,مدت,معرفی محصول جدید,23
C_412635,2021-05-23,1.4,قبول,حجمی,معرفی محصول جدید,26
C_937594,2021-07-20,8.4,منقضی,حجمی,آزمون محصول,8
C_683666,2020-07-17,2.4,منقضی,حجمی,افزایش سهم از سبد,10
C_022240,2022-04-10,1.9,رد,قیمتی,معرفی محصول جدید,18
C_749821,2022-04-09,3.2,رد,قیمتی,افزایش سهم از سبد,28
C_969414,2020-10-17,3.7,درحال مذاکره,مدت,آزمون محصول,20
C_672256,2020-11-12,4.2,قبول,قیمتی,افزایش حجم سفارش,12
C_937594,2021-10-14,4.7,رد,حجمی,معرفی محصول جدید,30
C_593639,2020-07-17,1.2,قبول,حجمی,افزایش سهم از سبد,8
C_126481,2020-05-20,1.7,رد,مدت,معرفی محصول جدید,26
C_412635,2021-05-17,2.2,منقضی,مدت,تسویه سریع,18
C_683666,2020-11-30,2.7,قبول,قیمتی,افزایش حجم سفارش,10
C_361181,2022-04-12,6.7,منقضی,مدت,آزمون محصول,13
C_303006,2020-12-20,7.2,قبول,مدت,افزایش سهم از سبد,5
C_117580,2020-08-07,4.7,قبول,قیمتی,آزمون محصول,22
C_746892,2020-05-12,4.0,درحال مذاکره,حجمی,معرفی محصول جدید,10
C_317124,2021-07-27,3.5,درحال مذاکره,مدت,افزایش سهم از سبد,18
C_282979,2020-05-07,2.9,رد,قیمتی,حفظ مشتری کلیدی,26
C_683666,2020-07-18,2.5,قبول,قیمتی,حفظ مشتری کلیدی,8
C_317124,2021-07-10,1.9,منقضی,قیمتی,آزمون محصول,16
C_683666,2021-08-16,1.4,رد,حجمی,حفظ مشتری کلیدی,24
C_746892,2020-11-30,8.4,درحال مذاکره,قیمتی,افزایش سهم از سبد,6
C_691158,2020-10-28,7.9,منقضی,حجمی,افزایش سهم از سبد,14
C_862106,2020-12-02,7.4,رد,قیمتی,افزایش حجم سفارش,22
C_113139,2021-04-04,6.2,رد,حجمی,افزایش سهم از سبد,29
C_117580,2020-06-30,5.7,قبول,مدت,افزایش حجم سفارش,11
C_969414,2020-08-11,5.2,منقضی,قیمتی,افزایش سهم از سبد,19
C_101842,2021-04-01,4.7,رد,حجمی,تسویه سریع,27
C_336021,2021-12-04,4.2,درحال مذاکره,حجمی,معرفی محصول جدید,9
C_063926,2021-07-10,3.6,منقضی,قیمتی,افزایش سهم از سبد,17
C_672706,2020-04-06,3.1,رد,قیمتی,آزمون محصول,25
C_299317,2021-10-04,2.6,قبول,مدت,افزایش حجم سفارش,7
C_519849,2020-09-23,2.1,منقضی,مدت,افزایش حجم سفارش,15
C_113139,2020-07-15,1.6,درحال مذاکره,قیمتی,افزایش حجم سفارش,23
C_245948,2020-03-28,4.9,رد,حجمی,افزایش حجم سفارش,28
C_746892,2020-06-20,5.4,منقضی,قیمتی,رقابت قیمتی,20
C_717003,2020-08-06,5.9,قبول,مدت,حفظ مشتری کلیدی,13
C_317124,2021-09-30,6.4,رد,قیمتی,افزایش سهم از سبد,5
C_746892,2020-04-24,2.9,قبول,مدت,حفظ مشتری کلیدی,8
C_245948,2020-04-22,3.4,رد,مدت,رقابت قیمتی,26
C_603968,2021-11-15,3.9,درحال مذاکره,قیمتی,افزایش سهم از سبد,18
C_884864,2022-05-09,4.4,درحال مذاکره,قیمتی,افزایش سهم از سبد,10
C_746892,2022-02-15,8.4,منقضی,حجمی,معرفی محصول جدید,14
C_705572,2020-09-27,1.4,درحال مذاکره,حجمی,حفظ مشتری کلیدی,6
C_117580,2020-09-04,5.5,قبول,مدت,معرفی محصول جدید,15
C_806376,2021-11-19,5.0,منقضی,مدت,تسویه سریع,23
C_519849,2020-07-01,6.5,منقضی,قیمتی,تسویه سریع,25
C_698497,2021-02-24,6.0,درحال مذاکره,قیمتی,رقابت قیمتی,7
C_951507,2021-01-26,3.5,درحال مذاکره,مدت,افزایش حجم سفارش,21
C_069492,2021-08-03,3.0,رد,قیمتی,رقابت قیمتی,29
C_421536,2020-06-28,4.5,رد,مدت,معرفی محصول جدید,5
C_468189,2022-03-06,4.0,قبول,مدت,معرفی محصول جدید,13
C_421536,2020-07-21,2.0,منقضی,مدت,افزایش سهم از سبد,29
C_361181,2022-04-28,1.5,رد,قیمتی,تسویه سریع,11
C_746892,2020-11-30,1.5,قبول,قیمتی,افزایش حجم سفارش,7
C_593639,2020-07-13,2.0,رد,مدت,افزایش سهم از سبد,25
C_590257,2020-02-07,8.0,رد,حجمی,تسویه سریع,23
C_806376,2021-07-14,8.5,منقضی,قیمتی,افزایش سهم از سبد,15
C_459713,2021-12-30,3.5,رد,قیمتی,افزایش حجم سفارش,27
C_808695,2022-03-24,4.0,منقضی,قیمتی,افزایش حجم سفارش,19
C_594561,2020-08-08,2.5,درحال مذاکره,حجمی,افزایش حجم سفارش,17
C_806376,2021-10-30,3.0,قبول,مدت,افزایش سهم از سبد,9
C_740903,2022-02-20,5.5,منقضی,قیمتی,آزمون محصول,21
C_535756,2021-08-01,6.0,قبول,حجمی,آزمون محصول,13
C_806376,2021-06-27,7.9,درحال مذاکره,مدت,حفظ مشتری کلیدی,29
C_245948,2020-10-25,7.4,منقضی,مدت,افزایش سهم از سبد,11
C_746892,2020-02-11,6.9,رد,قیمتی,حفظ مشتری کلیدی,19
C_930788,2020-05-12,6.4,قبول,مدت,تسویه سریع,27
C_342564,2020-08-12,2.4,رد,قیمتی,رقابت قیمتی,23
C_465481,2021-01-27,1.9,قبول,قیمتی,رقابت قیمتی,5
C_519849,2020-11-27,1.4,منقضی,حجمی,حفظ مشتری کلیدی,13
C_593639,2020-12-18,8.4,رد,حجمی,افزایش حجم سفارش,21
C_317124,2022-03-19,4.5,منقضی,قیمتی,رقابت قیمتی,17
C_502843,2020-11-21,3.9,رد,مدت,افزایش سهم از سبد,25
C_746892,2021-11-08,6.4,رد,حجمی,حفظ مشتری کلیدی,9
C_951507,2021-11-08,6.9,منقضی,مدت,رقابت قیمتی,27
C_683666,2020-09-19,7.4,درحال مذاکره,مدت,افزایش حجم سفارش,19
C_265163,2021-05-29,7.9,رد,حجمی,تسویه سریع,11
C_980626,2021-02-11,8.4,منقضی,قیمتی,آزمون محصول,29
C_806376,2021-08-31,1.4,قبول,قیمتی,تسویه سریع,21
C_862106,2020-11-24,2.0,رد,قیمتی,افزایش حجم سفارش,13
C_063926,2020-07-19,2.5,منقضی,حجمی,معرفی محصول جدید,5
C_245948,2020-05-31,3.0,درحال مذاکره,مدت,حفظ مشتری کلیدی,23
C_258325,2020-05-22,3.5,رد,قیمتی,آزمون محصول,15
C_683666,2021-01-07,8.4,رد,مدت,افزایش حجم سفارش,20
C_867370,2020-08-15,7.9,درحال مذاکره,حجمی,حفظ مشتری کلیدی,28
C_514318,2020-08-04,1.9,قبول,مدت,آزمون محصول,30
C_548964,2021-01-28,1.4,منقضی,مدت,رقابت قیمتی,12
C_150182,2022-05-08,2.9,درحال مذاکره,مدت,تسویه سریع,14
C_806376,2021-08-17,2.4,رد,مدت,افزایش سهم از سبد,22
C_317124,2021-03-19,3.9,رد,قیمتی,آزمون محصول,24
C_773326,2020-05-24,3.4,قبول,حجمی,رقابت قیمتی,6
C_113139,2021-12-10,4.4,منقضی,قیمتی,معرفی محصول جدید,6
C_746892,2020-10-11,3.9,رد,مدت,آزمون محصول,14
C_245948,2020-12-08,4.4,درحال مذاکره,حجمی,تسویه سریع,11
C_180745,2021-07-25,4.9,رد,حجمی,تسویه سریع,29
C_746892,2020-05-21,3.4,رد,قیمتی,رقابت قیمتی,27
C_209453,2021-01-12,3.9,درحال مذاکره,قیمتی,افزایش سهم از سبد,19
C_858494,2022-06-18,2.4,منقضی,قیمتی,معرفی محصول جدید,17
C_155990,2020-10-31,2.9,قبول,قیمتی,افزایش سهم از سبد,9
C_806376,2021-05-10,1.4,درحال مذاکره,حجمی,افزایش حجم سفارش,7
C_101842,2021-06-21,1.9,رد,مدت,افزایش حجم سفارش,25
C_317124,2021-06-14,8.5,منقضی,مدت,معرفی محصول جدید,25
C_565612,2021-10-02,1.5,قبول,مدت,آزمون محصول,17
C_113139,2021-11-26,8.1,درحال مذاکره,مدت,افزایش سهم از سبد,13
C_282979,2020-11-29,7.6,رد,قیمتی,افزایش حجم سفارش,21
C_627716,2021-01-31,7.0,قبول,حجمی,افزایش سهم از سبد,29
C_155990,2021-09-21,6.5,منقضی,حجمی,افزایش حجم سفارش,11
C_705572,2021-02-23,6.0,رد,قیمتی,افزایش سهم از سبد,19
C_465481,2021-01-07,5.5,درحال مذاکره,قیمتی,افزایش حجم سفارش,27
C_117580,2020-06-18,5.0,منقضی,قیمتی,معرفی محصول جدید,9
C_866894,2020-08-15,4.5,رد,حجمی,افزایش حجم سفارش,17
C_245948,2022-03-10,4.6,رد,قیمتی,افزایش حجم سفارش,28
C_117580,2020-09-10,4.1,قبول,مدت,تسویه سریع,10
C_117580,2020-07-15,4.1,رد,حجمی,آزمون محصول,5
C_853926,2020-08-31,4.6,درحال مذاکره,حجمی,افزایش سهم از سبد,23
C_746892,2020-04-06,5.1,قبول,حجمی,رقابت قیمتی,15
C_117580,2020-03-28,5.6,رد,حجمی,تسویه سریع,7
C_479796,2021-04-25,2.0,درحال مذاکره,حجمی,افزایش حجم سفارش,11
C_117580,2020-07-17,2.5,رد,قیمتی,افزایش سهم از سبد,29
C_937594,2020-05-15,3.0,منقضی,قیمتی,آزمون محصول,21
C_258325,2021-09-29,3.5,قبول,قیمتی,تسویه سریع,13
C_190305,2021-03-02,8.1,قبول,مدت,معرفی محصول جدید,19
C_058218,2021-08-29,1.1,رد,قیمتی,حفظ مشتری کلیدی,11
C_603968,2021-10-18,7.6,منقضی,قیمتی,تسویه سریع,6
C_317124,2021-12-11,8.1,قبول,مدت,افزایش حجم سفارش,24
C_769491,2021-08-25,6.6,قبول,قیمتی,رقابت قیمتی,22
C_258325,2021-08-23,7.1,رد,قیمتی,حفظ مشتری کلیدی,14
C_074947,2021-06-25,5.6,رد,قیمتی,معرفی محصول جدید,12
C_806376,2020-11-18,6.1,درحال مذاکره,حجمی,آزمون محصول,30
C_691869,2020-07-05,4.6,منقضی,حجمی,معرفی محصول جدید,28
C_334474,2022-04-08,5.1,قبول,قیمتی,افزایش سهم از سبد,20
C_126481,2020-02-09,4.2,رد,مدت,معرفی محصول جدید,20
C_117580,2020-07-17,4.7,منقضی,حجمی,حفظ مشتری کلیدی,12
C_258325,2020-09-30,4.1,قبول,مدت,تسویه سریع,14
C_746892,2021-11-05,3.6,منقضی,حجمی,افزایش حجم سفارش,22
C_806376,2021-08-09,5.1,درحال مذاکره,مدت,آزمون محصول,24
C_069492,2021-05-03,4.6,درحال مذاکره,مدت,معرفی محصول جدید,6
C_023073,2020-08-01,6.2,رد,حجمی,رقابت قیمتی,8
C_806376,2021-06-05,5.7,قبول,حجمی,حفظ مشتری کلیدی,16
C_672706,2022-04-21,7.2,قبول,قیمتی,حفظ مشتری کلیدی,18
C_342564,2020-10-15,6.7,منقضی,مدت,افزایش سهم از سبد,26
C_698497,2022-05-26,7.6,رد,قیمتی,افزایش سهم از سبد,26
C_551361,2019-12-28,7.1,درحال مذاکره,قیمتی,معرفی محصول جدید,8
C_683666,2021-10-03,2.2,درحال مذاکره,حجمی,افزایش حجم سفارش,29
C_698497,2022-05-13,2.7,رد,قیمتی,افزایش حجم سفارش,21
C_265163,2021-07-23,3.2,منقضی,مدت,افزایش سهم از سبد,13
C_806376,2021-06-30,3.7,قبول,حجمی,معرفی محصول جدید,5
C_444616,2020-09-09,4.2,رد,قیمتی,رقابت قیمتی,23
C_514318,2021-03-29,4.7,درحال مذاکره,مدت,معرفی محصول جدید,15
C_683666,2020-06-29,5.2,قبول,مدت,تسویه سریع,7
C_843031,2022-04-09,5.7,رد,قیمتی,رقابت قیمتی,25
C_479796,2020-02-01,6.2,منقضی,قیمتی,معرفی محصول جدید,17
C_806530,2020-04-23,6.7,قبول,مدت,آزمون محصول,9
C_180745,2021-11-02,6.2,قبول,حجمی,تسویه سریع,12
C_866894,2021-06-17,5.7,درحال مذاکره,حجمی,معرفی محصول جدید,20
C_063809,2020-04-30,5.1,رد,مدت,آزمون محصول,28
C_365032,2021-04-03,4.6,قبول,قیمتی,افزایش حجم سفارش,10
C_937594,2022-01-14,8.2,درحال مذاکره,حجمی,تسویه سریع,6
C_746892,2021-10-31,7.7,قبول,حجمی,آزمون محصول,14
C_334474,2021-12-19,7.2,منقضی,حجمی,افزایش سهم از سبد,22
C_317124,2021-03-02,6.7,رد,مدت,رقابت قیمتی,30
C_411261,2021-08-30,2.7,منقضی,قیمتی,حفظ مشتری کلیدی,26
C_705680,2021-03-22,2.2,رد,قیمتی,افزایش حجم سفارش,8
C_672256,2020-07-05,4.7,منقضی,حجمی,آزمون محصول,27
C_980626,2021-01-24,5.2,قبول,مدت,حفظ مشتری کلیدی,19
C_479796,2020-12-15,3.7,قبول,مدت,افزایش سهم از سبد,17
C_746892,2020-04-07,4.2,درحال مذاکره,مدت,افزایش سهم از سبد,9
C_172705,2020-03-04,6.7,درحال مذاکره,مدت,معرفی محصول جدید,21
C_633661,2020-02-19,7.2,رد,حجمی,رقابت قیمتی,13
C_672706,2021-12-03,5.7,رد,مدت,آزمون محصول,11
C_683666,2020-02-07,6.2,منقضی,قیمتی,آزمون محصول,29
C_661757,2020-08-22,1.3,رد,مدت,تسویه سریع,15
C_705680,2020-06-13,1.8,درحال مذاکره,مدت,آزمون محصول,7
C_317124,2021-07-06,1.2,منقضی,مدت,معرفی محصول جدید,10
C_317124,2021-03-04,8.2,رد,مدت,رقابت قیمتی,18
C_739474,2020-08-23,2.2,رد,مدت,حفظ مشتری کلیدی,20
C_070220,2021-03-30,1.7,قبول,حجمی,افزایش سهم از سبد,28
C_594561,2021-10-11,6.7,رد,قیمتی,حفظ مشتری کلیدی,16
C_698497,2022-05-23,6.2,قبول,حجمی,آزمون محصول,24
C_848211,2020-01-18,7.7,درحال مذاکره,قیمتی,افزایش سهم از سبد,26
C_683666,2020-05-16,7.2,منقضی,قیمتی,آزمون محصول,8
C_858384,2021-03-01,5.3,رد,قیمتی,افزایش حجم سفارش,24
C_365032,2021-11-17,4.8,قبول,حجمی,تسویه سریع,6
C_074947,2021-11-12,8.1,قبول,مدت,معرفی محصول جدید,23
