Estimate_ID,Product_ID,Month_Key,Available_At,هزینه کل برآوردی به ازای واحد,Estimate_Version,Source_System
EST-201912-P_591650,P_591650,2019-12,2019-12-01,125.22,PLAN_V1,COSTING_PLAN
EST-201912-P_593409,P_593409,2019-12,2019-12-01,96.00,PLAN_V1,COSTING_PLAN
EST-201912-P_615273,P_615273,2019-12,2019-12-01,85.57,PLAN_V1,COSTING_PLAN
EST-201912-P_616945,P_616945,2019-12,2019-12-01,42.48,PLAN_V1,COSTING_PLAN
EST-201912-P_623690,P_623690,2019-12,2019-12-01,79.29,PLAN_V1,COSTING_PLAN
EST-201912-P_635050,P_635050,2019-12,2019-12-01,78.98,PLAN_V1,COSTING_PLAN
EST-201912-P_642538,P_642538,2019-12,2019-12-01,78.30,PLAN_V1,COSTING_PLAN
EST-201912-P_644608,P_644608,2019-12,2019-12-01,107.75,PLAN_V1,COSTING_PLAN
EST-201912-P_650055,P_650055,2019-12,2019-12-01,71.64,PLAN_V1,COSTING_PLAN
EST-201912-P_650635,P_650635,2019-12,2019-12-01,78.22,PLAN_V1,COSTING_PLAN
EST-201912-P_672805,P_672805,2019-12,2019-12-01,115.78,PLAN_V1,COSTING_PLAN
EST-201912-P_676495,P_676495,2019-12,2019-12-01,86.23,PLAN_V1,COSTING_PLAN
EST-201912-P_691393,P_691393,2019-12,2019-12-01,80.59,PLAN_V1,COSTING_PLAN
EST-201912-P_693518,P_693518,2019-12,2019-12-01,70.72,PLAN_V1,COSTING_PLAN
EST-201912-P_725327,P_725327,2019-12,2019-12-01,88.16,PLAN_V1,COSTING_PLAN
EST-201912-P_735610,P_735610,2019-12,2019-12-01,40.46,PLAN_V1,COSTING_PLAN
EST-201912-P_742720,P_742720,2019-12,2019-12-01,65.13,PLAN_V1,COSTING_PLAN
EST-201912-P_753299,P_753299,2019-12,2019-12-01,81.77,PLAN_V1,COSTING_PLAN
EST-201912-P_759510,P_759510,2019-12,2019-12-01,128.83,PLAN_V1,COSTING_PLAN
EST-201912-P_765104,P_765104,2019-12,2019-12-01,115.95,PLAN_V1,COSTING_PLAN
EST-201912-P_769459,P_769459,2019-12,2019-12-01,114.18,PLAN_V1,COSTING_PLAN
EST-201912-P_785891,P_785891,2019-12,2019-12-01,82.88,PLAN_V1,COSTING_PLAN
EST-201912-P_787809,P_787809,2019-12,2019-12-01,79.58,PLAN_V1,COSTING_PLAN
EST-201912-P_817472,P_817472,2019-12,2019-12-01,122.18,PLAN_V1,COSTING_PLAN
EST-201912-P_820083,P_820083,2019-12,2019-12-01,78.07,PLAN_V1,COSTING_PLAN
EST-201912-P_823505,P_823505,2019-12,2019-12-01,77.73,PLAN_V1,COSTING_PLAN
EST-201912-P_830231,P_830231,2019-12,2019-12-01,109.47,PLAN_V1,COSTING_PLAN
EST-201912-P_850562,P_850562,2019-12,2019-12-01,70.05,PLAN_V1,COSTING_PLAN
EST-201912-P_855046,P_855046,2019-12,2019-12-01,39.26,PLAN_V1,COSTING_PLAN
EST-201912-P_878638,P_878638,2019-12,2019-12-01,84.40,PLAN_V1,COSTING_PLAN
EST-201912-P_906847,P_906847,2019-12,2019-12-01,116.62,PLAN_V1,COSTING_PLAN
EST-201912-P_942851,P_942851,2019-12,2019-12-01,86.28,PLAN_V1,COSTING_PLAN
EST-201912-P_947367,P_947367,2019-12,2019-12-01,81.61,PLAN_V1,COSTING_PLAN
EST-201912-P_950323,P_950323,2019-12,2019-12-01,58.62,PLAN_V1,COSTING_PLAN
EST-201912-P_961834,P_961834,2019-12,2019-12-01,74.93,PLAN_V1,COSTING_PLAN
EST-201912-P_964660,P_964660,2019-12,2019-12-01,81.16,PLAN_V1,COSTING_PLAN
EST-201912-P_967448,P_967448,2019-12,2019-12-01,78.88,PLAN_V1,COSTING_PLAN
EST-201912-P_970810,P_970810,2019-12,2019-12-01,75.48,PLAN_V1,COSTING_PLAN
EST-201912-P_987950,P_987950,2019-12,2019-12-01,127.48,PLAN_V1,COSTING_PLAN
EST-201912-P_989994,P_989994,2019-12,2019-12-01,55.97,PLAN_V1,COSTING_PLAN
EST-201912-P_RARE_Product_Family_01,P_RARE_Product_Family_01,2019-12,2019-12-01,108.54,PLAN_V1,COSTING_PLAN
EST-201912-P_RARE_Product_Family_02,P_RARE_Product_Family_02,2019-12,2019-12-01,96.85,PLAN_V1,COSTING_PLAN
EST-201912-P_RARE_Product_Family_03,P_RARE_Product_Family_03,2019-12,2019-12-01,91.84,PLAN_V1,COSTING_PLAN
EST-201912-P_RARE_Product_Family_04,P_RARE_Product_Family_04,2019-12,2019-12-01,41.32,PLAN_V1,COSTING_PLAN
EST-201912-P_RARE_Product_Family_05,P_RARE_Product_Family_05,2019-12,2019-12-01,123.70,PLAN_V1,COSTING_PLAN
EST-201912-P_RARE_Product_Family_06,P_RARE_Product_Family_06,2019-12,2019-12-01,55.65,PLAN_V1,COSTING_PLAN
EST-201912-P_RARE_Product_Family_OTHER,P_RARE_Product_Family_OTHER,2019-12,2019-12-01,58.95,PLAN_V1,COSTING_PLAN
EST-202001-P_003764,P_003764,2020-01,2020-01-01,71.38,PLAN_V1,COSTING_PLAN
EST-202001-P_003843,P_003843,2020-01,2020-01-01,95.24,PLAN_V1,COSTING_PLAN
EST-202001-P_011998,P_011998,2020-01,2020-01-01,59.37,PLAN_V1,COSTING_PLAN
EST-202001-P_016117,P_016117,2020-01,2020-01-01,68.54,PLAN_V1,COSTING_PLAN
EST-202001-P_024612,P_024612,2020-01,2020-01-01,85.55,PLAN_V1,COSTING_PLAN
EST-202001-P_026901,P_026901,2020-01,2020-01-01,105.60,PLAN_V1,COSTING_PLAN
EST-202001-P_028268,P_028268,2020-01,2020-01-01,94.61,PLAN_V1,COSTING_PLAN
EST-202001-P_030365,P_030365,2020-01,2020-01-01,118.73,PLAN_V1,COSTING_PLAN
EST-202001-P_030934,P_030934,2020-01,2020-01-01,80.16,PLAN_V1,COSTING_PLAN
EST-202001-P_033867,P_033867,2020-01,2020-01-01,88.63,PLAN_V1,COSTING_PLAN
EST-202001-P_036095,P_036095,2020-01,2020-01-01,72.33,PLAN_V1,COSTING_PLAN
EST-202001-P_040280,P_040280,2020-01,2020-01-01,88.94,PLAN_V1,COSTING_PLAN
EST-202001-P_041949,P_041949,2020-01,2020-01-01,72.08,PLAN_V1,COSTING_PLAN
EST-202001-P_042769,P_042769,2020-01,2020-01-01,85.08,PLAN_V1,COSTING_PLAN
EST-202001-P_046523,P_046523,2020-01,2020-01-01,54.36,PLAN_V1,COSTING_PLAN
EST-202001-P_047402,P_047402,2020-01,2020-01-01,55.30,PLAN_V1,COSTING_PLAN
EST-202001-P_047794,P_047794,2020-01,2020-01-01,111.90,PLAN_V1,COSTING_PLAN
EST-202001-P_052026,P_052026,2020-01,2020-01-01,39.98,PLAN_V1,COSTING_PLAN
EST-202001-P_052400,P_052400,2020-01,2020-01-01,62.78,PLAN_V1,COSTING_PLAN
EST-202001-P_061764,P_061764,2020-01,2020-01-01,96.43,PLAN_V1,COSTING_PLAN
EST-202001-P_068092,P_068092,2020-01,2020-01-01,134.26,PLAN_V1,COSTING_PLAN
EST-202001-P_076426,P_076426,2020-01,2020-01-01,112.42,PLAN_V1,COSTING_PLAN
EST-202001-P_077463,P_077463,2020-01,2020-01-01,45.71,PLAN_V1,COSTING_PLAN
EST-202001-P_082228,P_082228,2020-01,2020-01-01,58.62,PLAN_V1,COSTING_PLAN
EST-202001-P_082452,P_082452,2020-01,2020-01-01,45.33,PLAN_V1,COSTING_PLAN
EST-202001-P_086593,P_086593,2020-01,2020-01-01,82.43,PLAN_V1,COSTING_PLAN
EST-202001-P_087164,P_087164,2020-01,2020-01-01,63.56,PLAN_V1,COSTING_PLAN
EST-202001-P_089402,P_089402,2020-01,2020-01-01,54.03,PLAN_V1,COSTING_PLAN
EST-202001-P_097131,P_097131,2020-01,2020-01-01,73.10,PLAN_V1,COSTING_PLAN
EST-202001-P_097341,P_097341,2020-01,2020-01-01,93.85,PLAN_V1,COSTING_PLAN
EST-202001-P_105041,P_105041,2020-01,2020-01-01,65.72,PLAN_V1,COSTING_PLAN
EST-202001-P_108987,P_108987,2020-01,2020-01-01,83.38,PLAN_V1,COSTING_PLAN
EST-202001-P_114128,P_114128,2020-01,2020-01-01,113.89,PLAN_V1,COSTING_PLAN
EST-202001-P_118397,P_118397,2020-01,2020-01-01,69.76,PLAN_V1,COSTING_PLAN
EST-202001-P_119677,P_119677,2020-01,2020-01-01,85.87,PLAN_V1,COSTING_PLAN
EST-202001-P_128326,P_128326,2020-01,2020-01-01,79.90,PLAN_V1,COSTING_PLAN
EST-202001-P_150094,P_150094,2020-01,2020-01-01,73.46,PLAN_V1,COSTING_PLAN
EST-202001-P_157284,P_157284,2020-01,2020-01-01,56.71,PLAN_V1,COSTING_PLAN
EST-202001-P_162380,P_162380,2020-01,2020-01-01,74.69,PLAN_V1,COSTING_PLAN
EST-202001-P_169818,P_169818,2020-01,2020-01-01,79.62,PLAN_V1,COSTING_PLAN
EST-202001-P_176563,P_176563,2020-01,2020-01-01,42.62,PLAN_V1,COSTING_PLAN
EST-202001-P_181786,P_181786,2020-01,2020-01-01,69.27,PLAN_V1,COSTING_PLAN
EST-202001-P_190038,P_190038,2020-01,2020-01-01,42.62,PLAN_V1,COSTING_PLAN
EST-202001-P_192131,P_192131,2020-01,2020-01-01,115.35,PLAN_V1,COSTING_PLAN
EST-202001-P_211285,P_211285,2020-01,2020-01-01,78.96,PLAN_V1,COSTING_PLAN
EST-202001-P_215807,P_215807,2020-01,2020-01-01,70.90,PLAN_V1,COSTING_PLAN
EST-202001-P_218246,P_218246,2020-01,2020-01-01,114.19,PLAN_V1,COSTING_PLAN
EST-202001-P_218456,P_218456,2020-01,2020-01-01,71.75,PLAN_V1,COSTING_PLAN
EST-202001-P_218831,P_218831,2020-01,2020-01-01,86.54,PLAN_V1,COSTING_PLAN
EST-202001-P_225065,P_225065,2020-01,2020-01-01,76.42,PLAN_V1,COSTING_PLAN
EST-202001-P_232438,P_232438,2020-01,2020-01-01,123.45,PLAN_V1,COSTING_PLAN
EST-202001-P_242632,P_242632,2020-01,2020-01-01,75.32,PLAN_V1,COSTING_PLAN
EST-202001-P_257908,P_257908,2020-01,2020-01-01,61.85,PLAN_V1,COSTING_PLAN
EST-202001-P_258227,P_258227,2020-01,2020-01-01,86.40,PLAN_V1,COSTING_PLAN
EST-202001-P_266515,P_266515,2020-01,2020-01-01,69.27,PLAN_V1,COSTING_PLAN
EST-202001-P_275491,P_275491,2020-01,2020-01-01,105.36,PLAN_V1,COSTING_PLAN
EST-202001-P_275578,P_275578,2020-01,2020-01-01,87.82,PLAN_V1,COSTING_PLAN
EST-202001-P_277759,P_277759,2020-01,2020-01-01,97.95,PLAN_V1,COSTING_PLAN
EST-202001-P_278872,P_278872,2020-01,2020-01-01,142.91,PLAN_V1,COSTING_PLAN
EST-202001-P_282386,P_282386,2020-01,2020-01-01,98.80,PLAN_V1,COSTING_PLAN
EST-202001-P_285444,P_285444,2020-01,2020-01-01,101.02,PLAN_V1,COSTING_PLAN
EST-202001-P_287998,P_287998,2020-01,2020-01-01,91.82,PLAN_V1,COSTING_PLAN
EST-202001-P_305089,P_305089,2020-01,2020-01-01,134.50,PLAN_V1,COSTING_PLAN
EST-202001-P_308873,P_308873,2020-01,2020-01-01,139.91,PLAN_V1,COSTING_PLAN
EST-202001-P_310017,P_310017,2020-01,2020-01-01,124.95,PLAN_V1,COSTING_PLAN
EST-202001-P_314550,P_314550,2020-01,2020-01-01,31.34,PLAN_V1,COSTING_PLAN
EST-202001-P_315073,P_315073,2020-01,2020-01-01,65.42,PLAN_V1,COSTING_PLAN
EST-202001-P_316068,P_316068,2020-01,2020-01-01,90.53,PLAN_V1,COSTING_PLAN
EST-202001-P_319957,P_319957,2020-01,2020-01-01,116.08,PLAN_V1,COSTING_PLAN
EST-202001-P_325027,P_325027,2020-01,2020-01-01,78.48,PLAN_V1,COSTING_PLAN
EST-202001-P_328965,P_328965,2020-01,2020-01-01,79.48,PLAN_V1,COSTING_PLAN
EST-202001-P_337281,P_337281,2020-01,2020-01-01,67.66,PLAN_V1,COSTING_PLAN
EST-202001-P_341223,P_341223,2020-01,2020-01-01,72.78,PLAN_V1,COSTING_PLAN
EST-202001-P_343377,P_343377,2020-01,2020-01-01,75.44,PLAN_V1,COSTING_PLAN
EST-202001-P_352669,P_352669,2020-01,2020-01-01,74.19,PLAN_V1,COSTING_PLAN
EST-202001-P_353119,P_353119,2020-01,2020-01-01,119.14,PLAN_V1,COSTING_PLAN
EST-202001-P_370696,P_370696,2020-01,2020-01-01,87.63,PLAN_V1,COSTING_PLAN
EST-202001-P_370788,P_370788,2020-01,2020-01-01,99.13,PLAN_V1,COSTING_PLAN
EST-202001-P_378693,P_378693,2020-01,2020-01-01,134.43,PLAN_V1,COSTING_PLAN
EST-202001-P_379523,P_379523,2020-01,2020-01-01,75.81,PLAN_V1,COSTING_PLAN
EST-202001-P_380072,P_380072,2020-01,2020-01-01,91.71,PLAN_V1,COSTING_PLAN
EST-202001-P_383500,P_383500,2020-01,2020-01-01,79.87,PLAN_V1,COSTING_PLAN
EST-202001-P_394043,P_394043,2020-01,2020-01-01,107.39,PLAN_V1,COSTING_PLAN
EST-202001-P_402520,P_402520,2020-01,2020-01-01,83.22,PLAN_V1,COSTING_PLAN
EST-202001-P_402763,P_402763,2020-01,2020-01-01,97.75,PLAN_V1,COSTING_PLAN
EST-202001-P_407390,P_407390,2020-01,2020-01-01,68.64,PLAN_V1,COSTING_PLAN
EST-202001-P_408775,P_408775,2020-01,2020-01-01,118.20,PLAN_V1,COSTING_PLAN
EST-202001-P_414822,P_414822,2020-01,2020-01-01,75.42,PLAN_V1,COSTING_PLAN
EST-202001-P_416945,P_416945,2020-01,2020-01-01,42.62,PLAN_V1,COSTING_PLAN
EST-202001-P_417970,P_417970,2020-01,2020-01-01,76.32,PLAN_V1,COSTING_PLAN
EST-202001-P_421668,P_421668,2020-01,2020-01-01,45.51,PLAN_V1,COSTING_PLAN
EST-202001-P_427325,P_427325,2020-01,2020-01-01,124.59,PLAN_V1,COSTING_PLAN
EST-202001-P_427873,P_427873,2020-01,2020-01-01,75.80,PLAN_V1,COSTING_PLAN
EST-202001-P_444327,P_444327,2020-01,2020-01-01,119.23,PLAN_V1,COSTING_PLAN
EST-202001-P_444447,P_444447,2020-01,2020-01-01,100.74,PLAN_V1,COSTING_PLAN
EST-202001-P_450677,P_450677,2020-01,2020-01-01,70.99,PLAN_V1,COSTING_PLAN
EST-202001-P_462985,P_462985,2020-01,2020-01-01,79.09,PLAN_V1,COSTING_PLAN
EST-202001-P_484354,P_484354,2020-01,2020-01-01,106.90,PLAN_V1,COSTING_PLAN
EST-202001-P_484657,P_484657,2020-01,2020-01-01,95.44,PLAN_V1,COSTING_PLAN
EST-202001-P_485043,P_485043,2020-01,2020-01-01,131.40,PLAN_V1,COSTING_PLAN
EST-202001-P_490196,P_490196,2020-01,2020-01-01,72.46,PLAN_V1,COSTING_PLAN
EST-202001-P_495337,P_495337,2020-01,2020-01-01,71.03,PLAN_V1,COSTING_PLAN
EST-202001-P_498565,P_498565,2020-01,2020-01-01,72.97,PLAN_V1,COSTING_PLAN
EST-202001-P_499026,P_499026,2020-01,2020-01-01,84.16,PLAN_V1,COSTING_PLAN
EST-202001-P_499327,P_499327,2020-01,2020-01-01,65.12,PLAN_V1,COSTING_PLAN
EST-202001-P_505032,P_505032,2020-01,2020-01-01,86.49,PLAN_V1,COSTING_PLAN
EST-202001-P_505407,P_505407,2020-01,2020-01-01,109.55,PLAN_V1,COSTING_PLAN
EST-202001-P_514119,P_514119,2020-01,2020-01-01,82.82,PLAN_V1,COSTING_PLAN
EST-202001-P_514917,P_514917,2020-01,2020-01-01,82.33,PLAN_V1,COSTING_PLAN
EST-202001-P_519878,P_519878,2020-01,2020-01-01,125.02,PLAN_V1,COSTING_PLAN
EST-202001-P_524677,P_524677,2020-01,2020-01-01,58.81,PLAN_V1,COSTING_PLAN
EST-202001-P_526655,P_526655,2020-01,2020-01-01,75.36,PLAN_V1,COSTING_PLAN
EST-202001-P_529239,P_529239,2020-01,2020-01-01,38.37,PLAN_V1,COSTING_PLAN
EST-202001-P_532651,P_532651,2020-01,2020-01-01,69.49,PLAN_V1,COSTING_PLAN
EST-202001-P_539367,P_539367,2020-01,2020-01-01,81.20,PLAN_V1,COSTING_PLAN
EST-202001-P_542809,P_542809,2020-01,2020-01-01,139.48,PLAN_V1,COSTING_PLAN
EST-202001-P_547452,P_547452,2020-01,2020-01-01,63.97,PLAN_V1,COSTING_PLAN
EST-202001-P_565736,P_565736,2020-01,2020-01-01,133.35,PLAN_V1,COSTING_PLAN
EST-202001-P_569202,P_569202,2020-01,2020-01-01,73.00,PLAN_V1,COSTING_PLAN
EST-202001-P_571374,P_571374,2020-01,2020-01-01,145.31,PLAN_V1,COSTING_PLAN
EST-202001-P_572494,P_572494,2020-01,2020-01-01,74.05,PLAN_V1,COSTING_PLAN
EST-202001-P_576643,P_576643,2020-01,2020-01-01,149.50,PLAN_V1,COSTING_PLAN
EST-202001-P_580258,P_580258,2020-01,2020-01-01,121.18,PLAN_V1,COSTING_PLAN
EST-202001-P_587662,P_587662,2020-01,2020-01-01,132.93,PLAN_V1,COSTING_PLAN
EST-202001-P_593409,P_593409,2020-01,2020-01-01,111.01,PLAN_V1,COSTING_PLAN
EST-202001-P_594446,P_594446,2020-01,2020-01-01,59.37,PLAN_V1,COSTING_PLAN
EST-202001-P_597359,P_597359,2020-01,2020-01-01,71.90,PLAN_V1,COSTING_PLAN
EST-202001-P_603156,P_603156,2020-01,2020-01-01,75.06,PLAN_V1,COSTING_PLAN
EST-202001-P_612668,P_612668,2020-01,2020-01-01,117.71,PLAN_V1,COSTING_PLAN
EST-202001-P_615273,P_615273,2020-01,2020-01-01,88.89,PLAN_V1,COSTING_PLAN
EST-202001-P_623611,P_623611,2020-01,2020-01-01,54.62,PLAN_V1,COSTING_PLAN
EST-202001-P_623690,P_623690,2020-01,2020-01-01,82.42,PLAN_V1,COSTING_PLAN
EST-202001-P_628091,P_628091,2020-01,2020-01-01,88.25,PLAN_V1,COSTING_PLAN
EST-202001-P_631577,P_631577,2020-01,2020-01-01,127.14,PLAN_V1,COSTING_PLAN
EST-202001-P_635007,P_635007,2020-01,2020-01-01,92.73,PLAN_V1,COSTING_PLAN
EST-202001-P_635050,P_635050,2020-01,2020-01-01,88.90,PLAN_V1,COSTING_PLAN
EST-202001-P_637093,P_637093,2020-01,2020-01-01,92.39,PLAN_V1,COSTING_PLAN
EST-202001-P_638660,P_638660,2020-01,2020-01-01,118.26,PLAN_V1,COSTING_PLAN
EST-202001-P_642538,P_642538,2020-01,2020-01-01,79.63,PLAN_V1,COSTING_PLAN
EST-202001-P_646920,P_646920,2020-01,2020-01-01,44.40,PLAN_V1,COSTING_PLAN
EST-202001-P_650055,P_650055,2020-01,2020-01-01,69.33,PLAN_V1,COSTING_PLAN
EST-202001-P_650635,P_650635,2020-01,2020-01-01,76.32,PLAN_V1,COSTING_PLAN
EST-202001-P_655926,P_655926,2020-01,2020-01-01,82.29,PLAN_V1,COSTING_PLAN
EST-202001-P_656451,P_656451,2020-01,2020-01-01,77.03,PLAN_V1,COSTING_PLAN
EST-202001-P_661344,P_661344,2020-01,2020-01-01,90.88,PLAN_V1,COSTING_PLAN
EST-202001-P_662576,P_662576,2020-01,2020-01-01,94.46,PLAN_V1,COSTING_PLAN
EST-202001-P_666628,P_666628,2020-01,2020-01-01,57.74,PLAN_V1,COSTING_PLAN
EST-202001-P_667237,P_667237,2020-01,2020-01-01,71.92,PLAN_V1,COSTING_PLAN
EST-202001-P_672805,P_672805,2020-01,2020-01-01,103.42,PLAN_V1,COSTING_PLAN
EST-202001-P_676495,P_676495,2020-01,2020-01-01,89.06,PLAN_V1,COSTING_PLAN
EST-202001-P_682450,P_682450,2020-01,2020-01-01,66.87,PLAN_V1,COSTING_PLAN
EST-202001-P_682478,P_682478,2020-01,2020-01-01,103.33,PLAN_V1,COSTING_PLAN
EST-202001-P_691393,P_691393,2020-01,2020-01-01,84.56,PLAN_V1,COSTING_PLAN
EST-202001-P_693439,P_693439,2020-01,2020-01-01,86.12,PLAN_V1,COSTING_PLAN
EST-202001-P_693518,P_693518,2020-01,2020-01-01,80.35,PLAN_V1,COSTING_PLAN
EST-202001-P_725327,P_725327,2020-01,2020-01-01,79.34,PLAN_V1,COSTING_PLAN
EST-202001-P_725670,P_725670,2020-01,2020-01-01,82.93,PLAN_V1,COSTING_PLAN
EST-202001-P_733144,P_733144,2020-01,2020-01-01,85.07,PLAN_V1,COSTING_PLAN
EST-202001-P_749547,P_749547,2020-01,2020-01-01,43.64,PLAN_V1,COSTING_PLAN
EST-202001-P_751530,P_751530,2020-01,2020-01-01,40.43,PLAN_V1,COSTING_PLAN
EST-202001-P_769459,P_769459,2020-01,2020-01-01,100.84,PLAN_V1,COSTING_PLAN
EST-202001-P_785891,P_785891,2020-01,2020-01-01,79.87,PLAN_V1,COSTING_PLAN
EST-202001-P_787566,P_787566,2020-01,2020-01-01,83.37,PLAN_V1,COSTING_PLAN
EST-202001-P_787809,P_787809,2020-01,2020-01-01,78.02,PLAN_V1,COSTING_PLAN
EST-202001-P_787945,P_787945,2020-01,2020-01-01,119.72,PLAN_V1,COSTING_PLAN
EST-202001-P_809117,P_809117,2020-01,2020-01-01,65.15,PLAN_V1,COSTING_PLAN
EST-202001-P_814925,P_814925,2020-01,2020-01-01,131.01,PLAN_V1,COSTING_PLAN
EST-202001-P_816043,P_816043,2020-01,2020-01-01,113.09,PLAN_V1,COSTING_PLAN
EST-202001-P_816663,P_816663,2020-01,2020-01-01,72.45,PLAN_V1,COSTING_PLAN
EST-202001-P_817472,P_817472,2020-01,2020-01-01,123.42,PLAN_V1,COSTING_PLAN
EST-202001-P_820083,P_820083,2020-01,2020-01-01,82.98,PLAN_V1,COSTING_PLAN
EST-202001-P_820647,P_820647,2020-01,2020-01-01,125.85,PLAN_V1,COSTING_PLAN
EST-202001-P_820821,P_820821,2020-01,2020-01-01,102.95,PLAN_V1,COSTING_PLAN
EST-202001-P_821814,P_821814,2020-01,2020-01-01,76.88,PLAN_V1,COSTING_PLAN
EST-202001-P_823428,P_823428,2020-01,2020-01-01,105.60,PLAN_V1,COSTING_PLAN
EST-202001-P_826872,P_826872,2020-01,2020-01-01,84.96,PLAN_V1,COSTING_PLAN
EST-202001-P_830231,P_830231,2020-01,2020-01-01,130.83,PLAN_V1,COSTING_PLAN
EST-202001-P_840489,P_840489,2020-01,2020-01-01,73.55,PLAN_V1,COSTING_PLAN
EST-202001-P_850083,P_850083,2020-01,2020-01-01,92.20,PLAN_V1,COSTING_PLAN
EST-202001-P_851820,P_851820,2020-01,2020-01-01,44.40,PLAN_V1,COSTING_PLAN
EST-202001-P_864237,P_864237,2020-01,2020-01-01,89.72,PLAN_V1,COSTING_PLAN
EST-202001-P_871076,P_871076,2020-01,2020-01-01,45.87,PLAN_V1,COSTING_PLAN
EST-202001-P_878638,P_878638,2020-01,2020-01-01,77.26,PLAN_V1,COSTING_PLAN
EST-202001-P_881226,P_881226,2020-01,2020-01-01,85.49,PLAN_V1,COSTING_PLAN
EST-202001-P_893202,P_893202,2020-01,2020-01-01,51.54,PLAN_V1,COSTING_PLAN
EST-202001-P_898933,P_898933,2020-01,2020-01-01,57.70,PLAN_V1,COSTING_PLAN
EST-202001-P_902779,P_902779,2020-01,2020-01-01,38.92,PLAN_V1,COSTING_PLAN
EST-202001-P_903530,P_903530,2020-01,2020-01-01,72.78,PLAN_V1,COSTING_PLAN
EST-202001-P_903859,P_903859,2020-01,2020-01-01,93.85,PLAN_V1,COSTING_PLAN
