Product_ID,شرح کالا,Quality_Class_ID,دسته بندی براقیت,گروه کالا,گروه رنگ,زیرگروه کالا,Source_System
P_026901,Product_Family_03 / Denier_Subgroup_03 / Luster_Class_02 / Color_Class_02,Quality_Class_03,Luster_Class_02,Product_Family_03,Color_Class_02,Denier_Subgroup_03,ERP_MASTER
P_028268,Product_Family_03 / Denier_Subgroup_04 / Luster_Class_02 / Color_Class_02,Quality_Class_01,Luster_Class_02,Product_Family_03,Color_Class_02,Denier_Subgroup_04,ERP_MASTER
P_029786,Product_Family_01 / Denier_Subgroup_01 / Luster_Class_01 / Color_Class_02,Quality_Class_04,Luster_Class_01,Product_Family_01,Color_Class_02,Denier_Subgroup_01,ERP_MASTER
P_030102,Product_Family_04 / Denier_Subgroup_04 / Luster_Class_01 / Color_Class_02,Quality_Class_03,Luster_Class_01,Product_Family_04,Color_Class_02,Denier_Subgroup_04,ERP_MASTER
P_030365,Product_Family_05 / Denier_Subgroup_01 / Luster_Class_01 / Color_Class_03,Quality_Class_06,Luster_Class_01,Product_Family_05,Color_Class_03,Denier_Subgroup_01,ERP_MASTER
P_030934,Product_Family_04 / Denier_Subgroup_04 / Luster_Class_01 / Color_Class_02,Quality_Class_03,Luster_Class_01,Product_Family_04,Color_Class_02,Denier_Subgroup_04,ERP_MASTER
P_031127,Product_Family_01 / Denier_Subgroup_03 / Luster_Class_02 / Color_Class_02,Quality_Class_01,Luster_Class_02,Product_Family_01,Color_Class_02,Denier_Subgroup_03,ERP_MASTER
P_031148,Product_Family_01 / Denier_Subgroup_01 / Luster_Class_01 / Color_Class_03,Quality_Class_03,Luster_Class_01,Product_Family_01,Color_Class_03,Denier_Subgroup_01,ERP_MASTER
P_032956,Product_Family_04 / Denier_Subgroup_04 / Luster_Class_02 / Color_Class_02,Quality_Class_07,Luster_Class_02,Product_Family_04,Color_Class_02,Denier_Subgroup_04,ERP_MASTER
P_033867,Product_Family_03 / Denier_Subgroup_01 / Luster_Class_02 / Color_Class_02,Quality_Class_03,Luster_Class_02,Product_Family_03,Color_Class_02,Denier_Subgroup_01,ERP_MASTER
P_036095,Product_Family_01 / Denier_Subgroup_04 / Luster_Class_01 / Color_Class_03,Quality_Class_01,Luster_Class_01,Product_Family_01,Color_Class_03,Denier_Subgroup_04,ERP_MASTER
P_036240,Product_Family_03 / Denier_Subgroup_02 / Luster_Class_02 / Color_Class_03,Quality_Class_06,Luster_Class_02,Product_Family_03,Color_Class_03,Denier_Subgroup_02,ERP_MASTER
P_037045,Product_Family_03 / Denier_Subgroup_01 / Luster_Class_02 / Color_Class_03,Quality_Class_02,Luster_Class_02,Product_Family_03,Color_Class_03,Denier_Subgroup_01,ERP_MASTER
P_037181,Product_Family_03 / Denier_Subgroup_01 / Luster_Class_02 / Color_Class_02,Quality_Class_08,Luster_Class_02,Product_Family_03,Color_Class_02,Denier_Subgroup_01,ERP_MASTER
P_037756,Product_Family_03 / Denier_Subgroup_04 / Luster_Class_01 / Color_Class_02,Quality_Class_04,Luster_Class_01,Product_Family_03,Color_Class_02,Denier_Subgroup_04,ERP_MASTER
P_037922,Product_Family_04 / Denier_Subgroup_01 / Luster_Class_02 / Color_Class_02,Quality_Class_07,Luster_Class_02,Product_Family_04,Color_Class_02,Denier_Subgroup_01,ERP_MASTER
P_040280,Product_Family_03 / Denier_Subgroup_04 / Luster_Class_02 / Color_Class_03,Quality_Class_06,Luster_Class_02,Product_Family_03,Color_Class_03,Denier_Subgroup_04,ERP_MASTER
P_041949,Product_Family_04 / Denier_Subgroup_04 / Luster_Class_01 / Color_Class_02,Quality_Class_04,Luster_Class_01,Product_Family_04,Color_Class_02,Denier_Subgroup_04,ERP_MASTER
P_042415,Product_Family_04 / Denier_Subgroup_04 / Luster_Class_01 / Color_Class_03,Quality_Class_06,Luster_Class_01,Product_Family_04,Color_Class_03,Denier_Subgroup_04,ERP_MASTER
P_042769,Product_Family_03 / Denier_Subgroup_04 / Luster_Class_02 / Color_Class_02,Quality_Class_08,Luster_Class_02,Product_Family_03,Color_Class_02,Denier_Subgroup_04,ERP_MASTER
P_043416,Product_Family_02 / Denier_Subgroup_03 / Luster_Class_02 / Color_Class_03,Quality_Class_04,Luster_Class_02,Product_Family_02,Color_Class_03,Denier_Subgroup_03,ERP_MASTER
P_043983,Product_Family_04 / Denier_Subgroup_04 / Luster_Class_01 / Color_Class_02,Quality_Class_06,Luster_Class_01,Product_Family_04,Color_Class_02,Denier_Subgroup_04,ERP_MASTER
P_046254,Product_Family_05 / Denier_Subgroup_01 / Luster_Class_02 / Color_Class_02,Quality_Class_06,Luster_Class_02,Product_Family_05,Color_Class_02,Denier_Subgroup_01,ERP_MASTER
P_046523,Product_Family_04 / Denier_Subgroup_04 / Luster_Class_01 / Color_Class_03,Quality_Class_01,Luster_Class_01,Product_Family_04,Color_Class_03,Denier_Subgroup_04,ERP_MASTER
P_047350,Product_Family_04 / Denier_Subgroup_01 / Luster_Class_02 / Color_Class_03,Quality_Class_01,Luster_Class_02,Product_Family_04,Color_Class_03,Denier_Subgroup_01,ERP_MASTER
P_047402,Product_Family_04 / Denier_Subgroup_01 / Luster_Class_01 / Color_Class_02,Quality_Class_04,Luster_Class_01,Product_Family_04,Color_Class_02,Denier_Subgroup_01,ERP_MASTER
P_047794,Product_Family_02 / Denier_Subgroup_03 / Luster_Class_02 / Color_Class_02,Quality_Class_01,Luster_Class_02,Product_Family_02,Color_Class_02,Denier_Subgroup_03,ERP_MASTER
P_047796,Product_Family_03 / Denier_Subgroup_03 / Luster_Class_02 / Color_Class_02,Quality_Class_03,Luster_Class_02,Product_Family_03,Color_Class_02,Denier_Subgroup_03,ERP_MASTER
P_048748,Product_Family_05 / Denier_Subgroup_01 / Luster_Class_01 / Color_Class_02,Quality_Class_06,Luster_Class_01,Product_Family_05,Color_Class_02,Denier_Subgroup_01,ERP_MASTER
P_050746,Product_Family_05 / Denier_Subgroup_01 / Luster_Class_01 / Color_Class_02,Quality_Class_08,Luster_Class_01,Product_Family_05,Color_Class_02,Denier_Subgroup_01,ERP_MASTER
P_051351,Product_Family_05 / Denier_Subgroup_01 / Luster_Class_01 / Color_Class_02,Quality_Class_01,Luster_Class_01,Product_Family_05,Color_Class_02,Denier_Subgroup_01,ERP_MASTER
P_052026,Product_Family_04 / Denier_Subgroup_03 / Luster_Class_01 / Color_Class_02,Quality_Class_GENERALIZED,Luster_Class_01,Product_Family_04,Color_Class_02,Denier_Subgroup_03,ERP_MASTER
P_052400,Product_Family_03 / Denier_Subgroup_04 / Luster_Class_02 / Color_Class_03,Quality_Class_08,Luster_Class_02,Product_Family_03,Color_Class_03,Denier_Subgroup_04,ERP_MASTER
P_054394,Product_Family_04 / Denier_Subgroup_01 / Luster_Class_01 / Color_Class_02,Quality_Class_04,Luster_Class_01,Product_Family_04,Color_Class_02,Denier_Subgroup_01,ERP_MASTER
P_054756,Product_Family_04 / Denier_Subgroup_01 / Luster_Class_02 / Color_Class_03,Quality_Class_01,Luster_Class_02,Product_Family_04,Color_Class_03,Denier_Subgroup_01,ERP_MASTER
P_061764,Product_Family_03 / Denier_Subgroup_04 / Luster_Class_02 / Color_Class_02,Quality_Class_06,Luster_Class_02,Product_Family_03,Color_Class_02,Denier_Subgroup_04,ERP_MASTER
P_062869,Product_Family_01 / Denier_Subgroup_04 / Luster_Class_01 / Color_Class_03,Quality_Class_06,Luster_Class_01,Product_Family_01,Color_Class_03,Denier_Subgroup_04,ERP_MASTER
P_064814,Product_Family_04 / Denier_Subgroup_04 / Luster_Class_01 / Color_Class_02,Quality_Class_07,Luster_Class_01,Product_Family_04,Color_Class_02,Denier_Subgroup_04,ERP_MASTER
P_064910,Product_Family_04 / Denier_Subgroup_04 / Luster_Class_01 / Color_Class_03,Quality_Class_04,Luster_Class_01,Product_Family_04,Color_Class_03,Denier_Subgroup_04,ERP_MASTER
P_067181,Product_Family_03 / Denier_Subgroup_03 / Luster_Class_02 / Color_Class_02,Quality_Class_04,Luster_Class_02,Product_Family_03,Color_Class_02,Denier_Subgroup_03,ERP_MASTER
P_068092,Product_Family_05 / Denier_Subgroup_01 / Luster_Class_02 / Color_Class_03,Quality_Class_01,Luster_Class_02,Product_Family_05,Color_Class_03,Denier_Subgroup_01,ERP_MASTER
P_068101,Product_Family_03 / Denier_Subgroup_04 / Luster_Class_01 / Color_Class_03,Quality_Class_03,Luster_Class_01,Product_Family_03,Color_Class_03,Denier_Subgroup_04,ERP_MASTER
P_070046,Product_Family_05 / Denier_Subgroup_01 / Luster_Class_02 / Color_Class_03,Quality_Class_01,Luster_Class_02,Product_Family_05,Color_Class_03,Denier_Subgroup_01,ERP_MASTER
P_070345,Product_Family_04 / Denier_Subgroup_01 / Luster_Class_02 / Color_Class_03,Quality_Class_04,Luster_Class_02,Product_Family_04,Color_Class_03,Denier_Subgroup_01,ERP_MASTER
P_074174,Product_Family_05 / Denier_Subgroup_01 / Luster_Class_01 / Color_Class_02,Quality_Class_04,Luster_Class_01,Product_Family_05,Color_Class_02,Denier_Subgroup_01,ERP_MASTER
P_076036,Product_Family_03 / Denier_Subgroup_04 / Luster_Class_02 / Color_Class_02,Quality_Class_01,Luster_Class_02,Product_Family_03,Color_Class_02,Denier_Subgroup_04,ERP_MASTER
P_076426,Product_Family_03 / Denier_Subgroup_01 / Luster_Class_02 / Color_Class_02,Quality_Class_06,Luster_Class_02,Product_Family_03,Color_Class_02,Denier_Subgroup_01,ERP_MASTER
P_077463,Product_Family_04 / Denier_Subgroup_03 / Luster_Class_01 / Color_Class_03,Quality_Class_04,Luster_Class_01,Product_Family_04,Color_Class_03,Denier_Subgroup_03,ERP_MASTER
P_080963,Product_Family_03 / Denier_Subgroup_03 / Luster_Class_01 / Color_Class_02,Quality_Class_04,Luster_Class_01,Product_Family_03,Color_Class_02,Denier_Subgroup_03,ERP_MASTER
P_082228,Product_Family_04 / Denier_GENERALIZED / Luster_GENERALIZED / Color_GENERALIZED,Quality_Class_GENERALIZED,Luster_GENERALIZED,Product_Family_04,Color_GENERALIZED,Denier_GENERALIZED,ERP_MASTER
P_082250,Product_Family_03 / Denier_Subgroup_03 / Luster_Class_01 / Color_Class_03,Quality_Class_01,Luster_Class_01,Product_Family_03,Color_Class_03,Denier_Subgroup_03,ERP_MASTER
P_082452,Product_Family_04 / Denier_Subgroup_04 / Luster_Class_01 / Color_Class_02,Quality_Class_07,Luster_Class_01,Product_Family_04,Color_Class_02,Denier_Subgroup_04,ERP_MASTER
P_086593,Product_Family_04 / Denier_Subgroup_04 / Luster_Class_01 / Color_Class_02,Quality_Class_06,Luster_Class_01,Product_Family_04,Color_Class_02,Denier_Subgroup_04,ERP_MASTER
P_086802,Product_Family_04 / Denier_Subgroup_01 / Luster_Class_01 / Color_Class_02,Quality_Class_04,Luster_Class_01,Product_Family_04,Color_Class_02,Denier_Subgroup_01,ERP_MASTER
P_087122,Product_Family_05 / Denier_Subgroup_01 / Luster_Class_01 / Color_Class_02,Quality_Class_04,Luster_Class_01,Product_Family_05,Color_Class_02,Denier_Subgroup_01,ERP_MASTER
P_087164,Product_Family_03 / Denier_Subgroup_01 / Luster_Class_02 / Color_Class_02,Quality_Class_04,Luster_Class_02,Product_Family_03,Color_Class_02,Denier_Subgroup_01,ERP_MASTER
P_087993,Product_Family_04 / Denier_Subgroup_04 / Luster_Class_01 / Color_Class_02,Quality_Class_06,Luster_Class_01,Product_Family_04,Color_Class_02,Denier_Subgroup_04,ERP_MASTER
P_089402,Product_Family_04 / Denier_Subgroup_04 / Luster_Class_02 / Color_Class_03,Quality_Class_03,Luster_Class_02,Product_Family_04,Color_Class_03,Denier_Subgroup_04,ERP_MASTER
P_089503,Product_Family_04 / Denier_Subgroup_01 / Luster_Class_01 / Color_Class_02,Quality_Class_08,Luster_Class_01,Product_Family_04,Color_Class_02,Denier_Subgroup_01,ERP_MASTER
P_091085,Product_Family_03 / Denier_Subgroup_03 / Luster_Class_02 / Color_Class_02,Quality_Class_06,Luster_Class_02,Product_Family_03,Color_Class_02,Denier_Subgroup_03,ERP_MASTER
P_093039,Product_Family_03 / Denier_Subgroup_04 / Luster_Class_02 / Color_Class_02,Quality_Class_04,Luster_Class_02,Product_Family_03,Color_Class_02,Denier_Subgroup_04,ERP_MASTER
P_093685,Product_Family_02 / Denier_Subgroup_03 / Luster_Class_02 / Color_Class_03,Quality_Class_04,Luster_Class_02,Product_Family_02,Color_Class_03,Denier_Subgroup_03,ERP_MASTER
P_096970,Product_Family_01 / Denier_Subgroup_03 / Luster_Class_02 / Color_Class_02,Quality_Class_08,Luster_Class_02,Product_Family_01,Color_Class_02,Denier_Subgroup_03,ERP_MASTER
P_097131,Product_Family_03 / Denier_Subgroup_01 / Luster_Class_02 / Color_Class_03,Quality_Class_03,Luster_Class_02,Product_Family_03,Color_Class_03,Denier_Subgroup_01,ERP_MASTER
P_097341,Product_Family_03 / Denier_Subgroup_04 / Luster_Class_01 / Color_Class_02,Quality_Class_06,Luster_Class_01,Product_Family_03,Color_Class_02,Denier_Subgroup_04,ERP_MASTER
P_102450,Product_Family_05 / Denier_Subgroup_01 / Luster_Class_01 / Color_Class_02,Quality_Class_01,Luster_Class_01,Product_Family_05,Color_Class_02,Denier_Subgroup_01,ERP_MASTER
P_102912,Product_Family_03 / Denier_Subgroup_03 / Luster_Class_02 / Color_Class_02,Quality_Class_06,Luster_Class_02,Product_Family_03,Color_Class_02,Denier_Subgroup_03,ERP_MASTER
P_103598,Product_Family_03 / Denier_Subgroup_02 / Luster_Class_02 / Color_Class_02,Quality_Class_06,Luster_Class_02,Product_Family_03,Color_Class_02,Denier_Subgroup_02,ERP_MASTER
P_105041,Product_Family_04 / Denier_Subgroup_01 / Luster_Class_01 / Color_Class_02,Quality_Class_08,Luster_Class_01,Product_Family_04,Color_Class_02,Denier_Subgroup_01,ERP_MASTER
P_107385,Product_Family_03 / Denier_Subgroup_04 / Luster_Class_02 / Color_Class_03,Quality_Class_04,Luster_Class_02,Product_Family_03,Color_Class_03,Denier_Subgroup_04,ERP_MASTER
P_108163,Product_Family_01 / Denier_Subgroup_03 / Luster_Class_02 / Color_Class_02,Quality_Class_03,Luster_Class_02,Product_Family_01,Color_Class_02,Denier_Subgroup_03,ERP_MASTER
P_108489,Product_Family_03 / Denier_Subgroup_04 / Luster_Class_02 / Color_Class_03,Quality_Class_04,Luster_Class_02,Product_Family_03,Color_Class_03,Denier_Subgroup_04,ERP_MASTER
P_108570,Product_Family_04 / Denier_Subgroup_01 / Luster_Class_02 / Color_Class_03,Quality_Class_03,Luster_Class_02,Product_Family_04,Color_Class_03,Denier_Subgroup_01,ERP_MASTER
P_108736,Product_Family_04 / Denier_Subgroup_04 / Luster_Class_01 / Color_Class_02,Quality_Class_06,Luster_Class_01,Product_Family_04,Color_Class_02,Denier_Subgroup_04,ERP_MASTER
P_108987,Product_Family_03 / Denier_Subgroup_01 / Luster_Class_02 / Color_Class_03,Quality_Class_06,Luster_Class_02,Product_Family_03,Color_Class_03,Denier_Subgroup_01,ERP_MASTER
P_113400,Product_Family_05 / Denier_Subgroup_01 / Luster_Class_01 / Color_Class_03,Quality_Class_04,Luster_Class_01,Product_Family_05,Color_Class_03,Denier_Subgroup_01,ERP_MASTER
P_114128,Product_Family_03 / Denier_Subgroup_01 / Luster_Class_02 / Color_Class_02,Quality_Class_06,Luster_Class_02,Product_Family_03,Color_Class_02,Denier_Subgroup_01,ERP_MASTER
P_115356,Product_Family_04 / Denier_Subgroup_01 / Luster_Class_01 / Color_Class_02,Quality_Class_04,Luster_Class_01,Product_Family_04,Color_Class_02,Denier_Subgroup_01,ERP_MASTER
P_116388,Product_Family_04 / Denier_Subgroup_01 / Luster_Class_02 / Color_Class_03,Quality_Class_04,Luster_Class_02,Product_Family_04,Color_Class_03,Denier_Subgroup_01,ERP_MASTER
P_117251,Product_Family_04 / Denier_Subgroup_01 / Luster_Class_01 / Color_Class_02,Quality_Class_04,Luster_Class_01,Product_Family_04,Color_Class_02,Denier_Subgroup_01,ERP_MASTER
P_118397,Product_Family_04 / Denier_Subgroup_04 / Luster_Class_01 / Color_Class_02,Quality_Class_06,Luster_Class_01,Product_Family_04,Color_Class_02,Denier_Subgroup_04,ERP_MASTER
P_119618,Product_Family_03 / Denier_Subgroup_04 / Luster_Class_02 / Color_Class_03,Quality_Class_02,Luster_Class_02,Product_Family_03,Color_Class_03,Denier_Subgroup_04,ERP_MASTER
P_119677,Product_Family_04 / Denier_Subgroup_04 / Luster_Class_01 / Color_Class_02,Quality_Class_06,Luster_Class_01,Product_Family_04,Color_Class_02,Denier_Subgroup_04,ERP_MASTER
P_128221,Product_Family_05 / Denier_Subgroup_01 / Luster_Class_02 / Color_Class_03,Quality_Class_08,Luster_Class_02,Product_Family_05,Color_Class_03,Denier_Subgroup_01,ERP_MASTER
P_128326,Product_Family_03 / Denier_Subgroup_04 / Luster_Class_02 / Color_Class_03,Quality_Class_06,Luster_Class_02,Product_Family_03,Color_Class_03,Denier_Subgroup_04,ERP_MASTER
P_133471,Product_Family_03 / Denier_Subgroup_04 / Luster_Class_02 / Color_Class_02,Quality_Class_04,Luster_Class_02,Product_Family_03,Color_Class_02,Denier_Subgroup_04,ERP_MASTER
P_138220,Product_Family_03 / Denier_Subgroup_01 / Luster_Class_02 / Color_Class_02,Quality_Class_04,Luster_Class_02,Product_Family_03,Color_Class_02,Denier_Subgroup_01,ERP_MASTER
P_140222,Product_Family_01 / Denier_Subgroup_04 / Luster_Class_01 / Color_Class_03,Quality_Class_06,Luster_Class_01,Product_Family_01,Color_Class_03,Denier_Subgroup_04,ERP_MASTER
P_140724,Product_Family_05 / Denier_Subgroup_01 / Luster_Class_01 / Color_Class_02,Quality_Class_06,Luster_Class_01,Product_Family_05,Color_Class_02,Denier_Subgroup_01,ERP_MASTER
P_142957,Product_Family_04 / Denier_Subgroup_01 / Luster_Class_02 / Color_Class_03,Quality_Class_03,Luster_Class_02,Product_Family_04,Color_Class_03,Denier_Subgroup_01,ERP_MASTER
P_145878,Product_Family_03 / Denier_Subgroup_04 / Luster_Class_02 / Color_Class_02,Quality_Class_06,Luster_Class_02,Product_Family_03,Color_Class_02,Denier_Subgroup_04,ERP_MASTER
P_146351,Product_Family_05 / Denier_Subgroup_01 / Luster_Class_01 / Color_Class_02,Quality_Class_06,Luster_Class_01,Product_Family_05,Color_Class_02,Denier_Subgroup_01,ERP_MASTER
P_149775,Product_Family_03 / Denier_Subgroup_04 / Luster_Class_02 / Color_Class_02,Quality_Class_08,Luster_Class_02,Product_Family_03,Color_Class_02,Denier_Subgroup_04,ERP_MASTER
P_150094,Product_Family_04 / Denier_Subgroup_04 / Luster_Class_01 / Color_Class_02,Quality_Class_06,Luster_Class_01,Product_Family_04,Color_Class_02,Denier_Subgroup_04,ERP_MASTER
P_150197,Product_Family_03 / Denier_Subgroup_03 / Luster_Class_01 / Color_Class_02,Quality_Class_04,Luster_Class_01,Product_Family_03,Color_Class_02,Denier_Subgroup_03,ERP_MASTER
P_150330,Product_Family_04 / Denier_Subgroup_01 / Luster_Class_01 / Color_Class_02,Quality_Class_07,Luster_Class_01,Product_Family_04,Color_Class_02,Denier_Subgroup_01,ERP_MASTER
P_156887,Product_Family_03 / Denier_Subgroup_03 / Luster_Class_01 / Color_Class_03,Quality_Class_04,Luster_Class_01,Product_Family_03,Color_Class_03,Denier_Subgroup_03,ERP_MASTER
P_157284,Product_Family_04 / Denier_Subgroup_01 / Luster_Class_01 / Color_Class_02,Quality_Class_04,Luster_Class_01,Product_Family_04,Color_Class_02,Denier_Subgroup_01,ERP_MASTER
P_159680,Product_Family_04 / Denier_Subgroup_04 / Luster_Class_02 / Color_Class_03,Quality_Class_01,Luster_Class_02,Product_Family_04,Color_Class_03,Denier_Subgroup_04,ERP_MASTER
P_160425,Product_Family_01 / Denier_Subgroup_03 / Luster_Class_01 / Color_Class_02,Quality_Class_06,Luster_Class_01,Product_Family_01,Color_Class_02,Denier_Subgroup_03,ERP_MASTER
P_160974,Product_Family_04 / Denier_Subgroup_04 / Luster_Class_02 / Color_Class_02,Quality_Class_06,Luster_Class_02,Product_Family_04,Color_Class_02,Denier_Subgroup_04,ERP_MASTER
P_161447,Product_Family_04 / Denier_Subgroup_01 / Luster_Class_02 / Color_Class_02,Quality_Class_07,Luster_Class_02,Product_Family_04,Color_Class_02,Denier_Subgroup_01,ERP_MASTER
P_162380,Product_Family_05 / Denier_Subgroup_01 / Luster_Class_02 / Color_Class_03,Quality_Class_04,Luster_Class_02,Product_Family_05,Color_Class_03,Denier_Subgroup_01,ERP_MASTER
P_165739,Product_Family_03 / Denier_Subgroup_04 / Luster_Class_01 / Color_Class_02,Quality_Class_04,Luster_Class_01,Product_Family_03,Color_Class_02,Denier_Subgroup_04,ERP_MASTER
P_165831,Product_Family_03 / Denier_Subgroup_03 / Luster_Class_02 / Color_Class_02,Quality_Class_01,Luster_Class_02,Product_Family_03,Color_Class_02,Denier_Subgroup_03,ERP_MASTER
P_166991,Product_Family_03 / Denier_Subgroup_04 / Luster_Class_02 / Color_Class_02,Quality_Class_04,Luster_Class_02,Product_Family_03,Color_Class_02,Denier_Subgroup_04,ERP_MASTER
P_169818,Product_Family_04 / Denier_Subgroup_04 / Luster_Class_01 / Color_Class_02,Quality_Class_06,Luster_Class_01,Product_Family_04,Color_Class_02,Denier_Subgroup_04,ERP_MASTER
P_170449,Product_Family_03 / Denier_Subgroup_03 / Luster_Class_02 / Color_Class_02,Quality_Class_01,Luster_Class_02,Product_Family_03,Color_Class_02,Denier_Subgroup_03,ERP_MASTER
P_174329,Product_Family_04 / Denier_Subgroup_03 / Luster_Class_02 / Color_Class_02,Quality_Class_05,Luster_Class_02,Product_Family_04,Color_Class_02,Denier_Subgroup_03,ERP_MASTER
P_174951,Product_Family_04 / Denier_Subgroup_04 / Luster_Class_01 / Color_Class_02,Quality_Class_06,Luster_Class_01,Product_Family_04,Color_Class_02,Denier_Subgroup_04,ERP_MASTER
P_176563,Product_Family_04 / Denier_Subgroup_03 / Luster_Class_02 / Color_Class_03,Quality_Class_GENERALIZED,Luster_Class_02,Product_Family_04,Color_Class_03,Denier_Subgroup_03,ERP_MASTER
P_181786,Product_Family_03 / Denier_Subgroup_01 / Luster_Class_02 / Color_Class_03,Quality_Class_06,Luster_Class_02,Product_Family_03,Color_Class_03,Denier_Subgroup_01,ERP_MASTER
P_182630,Product_Family_03 / Denier_Subgroup_04 / Luster_Class_02 / Color_Class_02,Quality_Class_03,Luster_Class_02,Product_Family_03,Color_Class_02,Denier_Subgroup_04,ERP_MASTER
P_183014,Product_Family_04 / Denier_Subgroup_01 / Luster_Class_01 / Color_Class_02,Quality_Class_04,Luster_Class_01,Product_Family_04,Color_Class_02,Denier_Subgroup_01,ERP_MASTER
P_184171,Product_Family_03 / Denier_Subgroup_02 / Luster_Class_02 / Color_Class_03,Quality_Class_06,Luster_Class_02,Product_Family_03,Color_Class_03,Denier_Subgroup_02,ERP_MASTER
P_186648,Product_Family_03 / Denier_Subgroup_01 / Luster_Class_02 / Color_Class_03,Quality_Class_04,Luster_Class_02,Product_Family_03,Color_Class_03,Denier_Subgroup_01,ERP_MASTER
P_189690,Product_Family_05 / Denier_Subgroup_01 / Luster_Class_01 / Color_Class_02,Quality_Class_06,Luster_Class_01,Product_Family_05,Color_Class_02,Denier_Subgroup_01,ERP_MASTER
P_190038,Product_Family_04 / Denier_Subgroup_04 / Luster_Class_01 / Color_Class_02,Quality_Class_07,Luster_Class_01,Product_Family_04,Color_Class_02,Denier_Subgroup_04,ERP_MASTER
P_192131,Product_Family_03 / Denier_Subgroup_01 / Luster_Class_02 / Color_Class_02,Quality_Class_06,Luster_Class_02,Product_Family_03,Color_Class_02,Denier_Subgroup_01,ERP_MASTER
P_192876,Product_Family_04 / Denier_Subgroup_04 / Luster_Class_01 / Color_Class_03,Quality_Class_06,Luster_Class_01,Product_Family_04,Color_Class_03,Denier_Subgroup_04,ERP_MASTER
P_193053,Product_Family_03 / Denier_Subgroup_04 / Luster_Class_02 / Color_Class_02,Quality_Class_04,Luster_Class_02,Product_Family_03,Color_Class_02,Denier_Subgroup_04,ERP_MASTER
P_196953,Product_Family_04 / Denier_Subgroup_04 / Luster_Class_01 / Color_Class_02,Quality_Class_01,Luster_Class_01,Product_Family_04,Color_Class_02,Denier_Subgroup_04,ERP_MASTER
P_204716,Product_Family_03 / Denier_Subgroup_01 / Luster_Class_02 / Color_Class_02,Quality_Class_02,Luster_Class_02,Product_Family_03,Color_Class_02,Denier_Subgroup_01,ERP_MASTER
P_206271,Product_Family_03 / Denier_Subgroup_04 / Luster_Class_01 / Color_Class_02,Quality_Class_08,Luster_Class_01,Product_Family_03,Color_Class_02,Denier_Subgroup_04,ERP_MASTER
P_211285,Product_Family_04 / Denier_Subgroup_04 / Luster_Class_01 / Color_Class_02,Quality_Class_01,Luster_Class_01,Product_Family_04,Color_Class_02,Denier_Subgroup_04,ERP_MASTER
P_214104,Product_Family_01 / Denier_Subgroup_04 / Luster_Class_01 / Color_Class_03,Quality_Class_04,Luster_Class_01,Product_Family_01,Color_Class_03,Denier_Subgroup_04,ERP_MASTER
P_215215,Product_Family_04 / Denier_Subgroup_04 / Luster_Class_01 / Color_Class_02,Quality_Class_01,Luster_Class_01,Product_Family_04,Color_Class_02,Denier_Subgroup_04,ERP_MASTER
