Quality_Record_ID,Sales_Line_ID,Lot_ID,Hembaft_ID,Hembaft_Lot_Key,Product_ID,Production_Date,Measured_At,Available_At,Tensile_Strength_cN_dtex,Elongation_Pct,Evenness_CV_Pct,Oil_Pickup_Pct,Sample_Count,Lab_Result,Source_System
QLT-00000023,SL-00000064,LOT-202010-048350,,,P_RARE_Product_Family_02,2020-10-17,2020-10-17,2020-10-19,4.83,19.6%,1.4%,1.2%,7,قبول,QMS_LAB
QLT-00000024,SL-00000073,LOT-202106-545973,,,P_228625,2021-06-20,2021-06-20,2021-06-21,3.71,23.9%,1.0%,1.2%,10,قبول,QMS_LAB
QLT-00000025,SL-00000076,LOT-202201-503476,,,P_898933,2022-01-28,2022-01-29,2022-01-31,4.79,31.9%,1.0%,0.7%,7,قبول,QMS_LAB
QLT-00000026,SL-00000082,LOT-202009-464519,,,P_RARE_Product_Family_04,2020-08-26,2020-08-27,2020-08-27,4,27.7%,1.8%,1.0%,9,قبول,QMS_LAB
QLT-00000027,SL-00000083,LOT-202109-452980,,,P_RARE_Product_Family_05,2021-09-09,2021-09-09,2021-09-10,3.78,29.3%,1.5%,1.1%,10,قبول,QMS_LAB
QLT-00000028,SL-00000085,LOT-202203-891078,,,P_RARE_Product_Family_03,2022-03-11,2022-03-11,2022-03-11,2.93,19.7%,1.8%,0.6%,4,قبول,QMS_LAB
QLT-00000029,SL-00000088,LOT-202111-842277,,,P_RARE_Product_Family_03,2021-11-09,2021-11-10,2021-11-12,4.86,20.4%,1.5%,0.6%,7,قبول,QMS_LAB
QLT-00000030,SL-00000093,LOT-202004-004868,,,P_881226,2020-04-03,2020-04-05,2020-04-07,2.93,32.9%,1.5%,1.1%,10,قبول,QMS_LAB
QLT-00000031,SL-00000094,LOT-202106-846916,,,P_RARE_Product_Family_03,2021-05-27,2021-05-27,2021-05-27,3.15,31.3%,1.8%,1.0%,9,قبول,QMS_LAB
QLT-00000032,SL-00000099,LOT-202002-634033,,,P_568483,2020-01-16,2020-01-17,2020-01-17,2.88,32.0%,1.5%,1.0%,4,قبول,QMS_LAB
QLT-00000033,SL-00000103,LOT-202104-292974,,,P_086593,2021-04-01,2021-04-03,2021-04-05,3.01,19.5%,1.2%,0.9%,8,قبول,QMS_LAB
QLT-00000034,SL-00000104,LOT-202202-064763,,,P_RARE_Product_Family_05,2022-02-05,2022-02-06,2022-02-07,4.13,28.4%,1.2%,0.5%,3,قبول,QMS_LAB
QLT-00000035,SL-00000105,LOT-202107-173317,,,P_RARE_Product_Family_03,2021-07-02,2021-07-04,2021-07-04,4.35,26.8%,1.5%,0.4%,10,قبول,QMS_LAB
QLT-00000036,SL-00000111,LOT-202002-977170,,,P_RARE_Product_Family_05,2020-02-13,2020-02-13,2020-02-13,3.01,23.2%,1.5%,0.4%,10,قبول,QMS_LAB
QLT-00000037,SL-00000116,LOT-202110-643313,,,P_275491,2021-10-15,2021-10-17,2021-10-18,4.98,24.8%,1.1%,0.5%,3,قبول,QMS_LAB
QLT-00000038,SL-00000122,LOT-202006-613143,,,P_341223,2020-05-30,2020-05-31,2020-06-01,3.21,20.6%,1.5%,1.0%,9,قبول,QMS_LAB
QLT-00000039,SL-00000127,LOT-202006-733723,,,P_RARE_Product_Family_02,2020-06-15,2020-06-15,2020-06-16,4.33,29.5%,1.5%,0.6%,4,قبول,QMS_LAB
QLT-00000040,SL-00000128,LOT-202204-325037,,,P_047350,2022-03-27,2022-03-28,2022-03-30,4.55,27.9%,1.8%,0.5%,3,قبول,QMS_LAB
QLT-00000041,SL-00000133,LOT-202004-764906,,,P_RARE_Product_Family_03,2020-04-16,2020-04-16,2020-04-18,4.28,32.4%,1.8%,0.9%,8,قبول,QMS_LAB
QLT-00000042,SL-00000136,LOT-202003-017397,,,P_RARE_Product_Family_03,2020-03-14,2020-03-16,2020-03-18,3.21,24.3%,1.8%,0.5%,3,قبول,QMS_LAB
QLT-00000043,SL-00000137,LOT-202003-216946,,,P_RARE_Product_Family_05,2020-03-08,2020-03-09,2020-03-09,2.98,25.9%,1.4%,0.6%,4,قبول,QMS_LAB
QLT-00000044,SL-00000139,LOT-202002-352495,,,P_RARE_Product_Family_04,2020-02-07,2020-02-08,2020-02-09,4.33,33.3%,1.8%,1.0%,6,قبول,QMS_LAB
QLT-00000045,SL-00000141,LOT-202111-334783,,,P_476864,2021-11-18,2021-11-20,2021-11-21,2.98,29.7%,1.8%,1.0%,6,قبول,QMS_LAB
QLT-00000046,SL-00000144,LOT-202107-846840,,,P_484354,2021-07-09,2021-07-09,2021-07-11,4.06,20.7%,1.8%,0.5%,3,قبول,QMS_LAB
QLT-00000047,SL-00000151,LOT-202103-266966,,,P_485043,2021-02-14,2021-02-15,2021-02-17,2.80,19.2%,2.1%,1.0%,10,قبول,QMS_LAB
QLT-00000048,SL-00000154,LOT-202110-349338,,,P_RARE_Product_Family_02,2021-10-23,2021-10-23,2021-10-24,3.92,28.2%,2.1%,0.6%,5,قبول,QMS_LAB
QLT-00000049,SL-00000163,LOT-202005-360202,,,P_850562,2020-05-03,2020-05-03,2020-05-03,3.69,33.5%,2.0%,1.1%,8,قبول,QMS_LAB
QLT-00000050,SL-00000166,LOT-202103-460110,,,P_RARE_Product_Family_03,2021-03-05,2021-03-06,2021-03-07,4.77,24.6%,2.0%,0.6%,5,قبول,QMS_LAB
QLT-00000051,SL-00000167,LOT-202005-038279,,,P_499327,2020-05-21,2020-05-23,2020-05-25,2.80,23.0%,2.4%,0.5%,4,قبول,QMS_LAB
QLT-00000052,SL-00000169,LOT-202007-568280,,,P_RARE_Product_Family_01,2020-07-11,2020-07-13,2020-07-14,3.65,32.6%,2.0%,1.0%,10,قبول,QMS_LAB
QLT-00000053,SL-00000172,LOT-202008-765320,,,P_RARE_Product_Family_02,2020-07-24,2020-07-26,2020-07-28,4.77,28.3%,2.4%,1.0%,7,قبول,QMS_LAB
QLT-00000054,SL-00000177,LOT-202006-610949,,,P_RARE_Product_Family_04,2020-06-17,2020-06-17,2020-06-19,3.65,19.4%,2.4%,0.5%,4,قبول,QMS_LAB
QLT-00000055,SL-00000178,LOT-202005-005468,,,P_RARE_Product_Family_03,2020-04-30,2020-05-02,2020-05-02,3.43,21.0%,2.0%,0.6%,5,قبول,QMS_LAB
QLT-00000056,SL-00000181,LOT-202004-433482,,,P_655926,2020-04-10,2020-04-12,2020-04-12,3.66,22.2%,1.6%,1.1%,6,قبول,QMS_LAB
QLT-00000057,SL-00000190,LOT-202005-349146,,,P_RARE_Product_Family_03,2020-04-25,2020-04-27,2020-04-29,3.44,27.6%,1.6%,0.7%,9,قبول,QMS_LAB
QLT-00000058,SL-00000195,LOT-202103-673913,,,P_672380,2021-02-25,2021-02-25,2021-02-27,4.52,18.7%,1.6%,1.1%,6,قبول,QMS_LAB
QLT-00000059,SL-00000200,LOT-202201-744307,,,P_RARE_Product_Family_02,2021-12-28,2021-12-29,2021-12-30,4.01,18.1%,2.2%,1.2%,6,قبول,QMS_LAB
QLT-00000060,SL-00000201,LOT-202007-129141,,,P_028268,2020-07-08,2020-07-08,2020-07-10,3.79,19.7%,1.9%,0.4%,7,قبول,QMS_LAB
QLT-00000061,SL-00000207,LOT-202005-282299,,,P_RARE_Product_Family_04,2020-05-14,2020-05-14,2020-05-15,2.93,27.0%,2.2%,0.8%,9,قبول,QMS_LAB
QLT-00000062,SL-00000210,LOT-202204-760109,,,P_769459,2022-04-08,2022-04-08,2022-04-10,4.75,32.4%,2.2%,0.7%,4,قبول,QMS_LAB
QLT-00000063,SL-00000213,LOT-202011-513436,,,P_913911,2020-10-24,2020-10-26,2020-10-26,4.52,34.0%,1.9%,0.8%,5,قبول,QMS_LAB
QLT-00000064,SL-00000216,LOT-202012-849095,,,P_877156,2020-11-26,2020-11-26,2020-11-27,3.40,25.1%,1.9%,1.2%,10,قبول,QMS_LAB
QLT-00000065,SL-00000223,LOT-202006-093343,,,P_376116,2020-06-03,2020-06-03,2020-06-04,3.60,30.0%,0.9%,0.9%,5,قبول,QMS_LAB
QLT-00000066,SL-00000228,LOT-202108-007772,,,P_RARE_Product_Family_03,2021-08-14,2021-08-16,2021-08-18,3.87,29.2%,1.3%,0.9%,10,قبول,QMS_LAB
QLT-00000067,SL-00000229,LOT-202111-699588,,,P_573948,2021-11-14,2021-11-15,2021-11-15,3.65,30.9%,0.9%,1.0%,3,قبول,QMS_LAB
QLT-00000068,SL-00000237,LOT-202008-212855,,,P_RARE_Product_Family_03,2020-08-19,2020-08-20,2020-08-20,3.79,23.4%,2.2%,0.8%,9,قبول,QMS_LAB
QLT-00000069,SL-00000239,LOT-202002-206845,,,P_769459,2020-01-26,2020-01-26,2020-01-26,3.99,25.9%,1.9%,0.7%,7,قبول,QMS_LAB
QLT-00000070,SL-00000246,LOT-202102-609375,,,P_RARE_Product_Family_05,2021-02-02,2021-02-03,2021-02-05,4.04,24.9%,1.6%,1.1%,8,قبول,QMS_LAB
QLT-00000071,SL-00000247,LOT-202002-671142,,,P_615273,2020-01-29,2020-01-29,2020-01-29,3.81,26.5%,1.3%,1.2%,9,قبول,QMS_LAB
QLT-00000072,SL-00000248,LOT-202102-641784,,,P_RARE_Product_Family_03,2021-01-16,2021-01-18,2021-01-19,4.08,25.8%,1.6%,1.2%,6,قبول,QMS_LAB
QLT-00000073,SL-00000252,LOT-202008-051885,,,P_421668,2020-07-24,2020-07-24,2020-07-25,4.04,21.1%,1.3%,0.7%,6,قبول,QMS_LAB
QLT-00000074,SL-00000257,LOT-202008-495639,,,P_RARE_Product_Family_04,2020-08-27,2020-08-29,2020-08-29,2.96,30.1%,1.3%,1.2%,9,قبول,QMS_LAB
QLT-00000075,SL-00000258,LOT-202112-426089,,,P_983543,2021-12-04,2021-12-05,2021-12-05,4.08,22.0%,1.3%,0.8%,4,قبول,QMS_LAB
QLT-00000076,SL-00000259,LOT-202107-486251,,,P_RARE_Product_Family_05,2021-06-25,2021-06-27,2021-06-29,4.30,20.4%,1.7%,0.7%,3,قبول,QMS_LAB
QLT-00000077,SL-00000263,LOT-202110-191080,,,P_505407,2021-10-06,2021-10-08,2021-10-10,3.81,34.0%,1.9%,1.1%,5,قبول,QMS_LAB
QLT-00000078,SL-00000266,LOT-202003-312865,,,P_565252,2020-03-03,2020-03-04,2020-03-05,4.93,25.9%,1.9%,0.7%,8,قبول,QMS_LAB
QLT-00000079,SL-00000268,LOT-202106-066425,,,P_305089,2021-05-24,2021-05-24,2021-05-26,4.89,25.0%,1.9%,0.6%,10,قبول,QMS_LAB
QLT-00000080,SL-00000269,LOT-202205-313361,,,P_742720,2022-04-19,2022-04-21,2022-04-22,4.67,26.6%,1.6%,0.7%,3,قبول,QMS_LAB
QLT-00000081,SL-00000272,LOT-202006-175268,,,P_700346,2020-05-22,2020-05-22,2020-05-22,4.93,22.2%,1.6%,1.2%,6,قبول,QMS_LAB
QLT-00000082,SL-00000273,LOT-202003-337921,,,P_508986,2020-03-05,2020-03-06,2020-03-08,2.96,20.6%,2.0%,1.1%,5,قبول,QMS_LAB
QLT-00000083,SL-00000277,LOT-202008-836597,,,P_565736,2020-08-13,2020-08-15,2020-08-15,3.85,31.1%,1.6%,0.8%,9,قبول,QMS_LAB
QLT-00000084,SL-00000278,LOT-202007-296706,,,P_RARE_Product_Family_04,2020-07-06,2020-07-08,2020-07-09,4.89,21.3%,1.6%,1.1%,8,قبول,QMS_LAB
QLT-00000085,SL-00000285,LOT-202109-010112,,,P_498565,2021-09-11,2021-09-12,2021-09-13,4.64,25.9%,1.5%,0.4%,3,قبول,QMS_LAB
QLT-00000086,SL-00000292,LOT-202112-468828,,,P_RARE_Product_Family_05,2021-11-25,2021-11-25,2021-11-27,3.35,28.5%,1.5%,0.6%,6,قبول,QMS_LAB
QLT-00000087,SL-00000293,LOT-202104-572254,,,P_958843,2021-03-31,2021-04-01,2021-04-02,3.58,26.9%,1.8%,0.5%,5,قبول,QMS_LAB
QLT-00000088,SL-00000299,LOT-202102-378524,,,P_RARE_Product_Family_04,2021-01-24,2021-01-24,2021-01-25,3.78,29.4%,1.5%,0.4%,3,قبول,QMS_LAB
QLT-00000089,SL-00000300,LOT-202110-247094,,,P_230552,2021-10-04,2021-10-06,2021-10-06,3.33,19.4%,1.7%,0.7%,4,قبول,QMS_LAB
QLT-00000090,SL-00000305,LOT-202005-171205,,,P_565736,2020-05-13,2020-05-14,2020-05-14,4.45,28.4%,1.7%,1.2%,7,قبول,QMS_LAB
QLT-00000091,SL-00000311,LOT-202004-747079,,,P_RARE_Product_Family_03,2020-03-31,2020-04-02,2020-04-04,3.10,24.8%,1.7%,1.2%,7,قبول,QMS_LAB
QLT-00000092,SL-00000314,LOT-202007-458638,,,P_565252,2020-07-02,2020-07-03,2020-07-05,4.23,33.7%,1.7%,0.8%,10,قبول,QMS_LAB
QLT-00000093,SL-00000326,LOT-202001-528037,,,P_RARE_Product_Family_03,2020-01-09,2020-01-09,2020-01-09,3.67,27.7%,2.4%,0.9%,6,قبول,QMS_LAB
QLT-00000094,SL-00000328,LOT-202007-103463,,,P_963457,2020-07-10,2020-07-10,2020-07-11,2.82,18.1%,1.1%,0.5%,8,قبول,QMS_LAB
QLT-00000095,SL-00000330,LOT-202108-941172,,,P_150094,2021-08-05,2021-08-06,2021-08-08,3.33,32.7%,1.4%,1.2%,10,قبول,QMS_LAB
QLT-00000096,SL-00000335,LOT-202002-694312,,,P_995713,2020-01-21,2020-01-23,2020-01-23,4.41,23.7%,1.4%,0.7%,7,قبول,QMS_LAB
QLT-00000097,SL-00000341,LOT-202006-420456,,,P_RARE_Product_Family_02,2020-05-29,2020-05-31,2020-06-02,3.24,32.9%,1.7%,0.7%,3,قبول,QMS_LAB
QLT-00000098,SL-00000342,LOT-202105-130831,,,P_146351,2021-05-13,2021-05-13,2021-05-14,3.47,31.2%,2.0%,0.6%,10,قبول,QMS_LAB
QLT-00000099,SL-00000344,LOT-202110-598973,,,P_RARE_Product_Family_03,2021-10-13,2021-10-13,2021-10-15,4.32,23.9%,1.7%,1.1%,8,قبول,QMS_LAB
QLT-00000100,SL-00000354,LOT-202203-142295,,,P_886333,2022-02-23,2022-02-24,2022-02-24,4.32,27.7%,2.0%,0.6%,10,قبول,QMS_LAB
QLT-00000101,SL-00000362,LOT-202012-205224,,,P_RARE_Product_Family_03,2020-11-25,2020-11-27,2020-11-29,2.88,30.1%,1.7%,0.8%,10,قبول,QMS_LAB
QLT-00000102,SL-00000363,LOT-202004-375169,,,P_047794,2020-04-11,2020-04-11,2020-04-11,3.10,28.5%,2.0%,0.7%,9,قبول,QMS_LAB
QLT-00000103,SL-00000366,LOT-202010-778331,,,P_434331,2020-09-27,2020-09-28,2020-09-29,4.18,19.6%,2.0%,1.1%,6,قبول,QMS_LAB
QLT-00000104,SL-00000369,LOT-202104-125188,,,P_RARE_Product_Family_05,2021-03-22,2021-03-22,2021-03-24,3.96,21.2%,1.7%,1.2%,7,قبول,QMS_LAB
QLT-00000105,SL-00000372,LOT-202106-905864,,,P_593409,2021-06-10,2021-06-12,2021-06-12,3.47,27.5%,1.7%,1.1%,8,قبول,QMS_LAB
QLT-00000106,SL-00000379,LOT-202008-770406,,,P_394235,2020-08-22,2020-08-23,2020-08-25,4.59,19.4%,1.7%,0.7%,3,قبول,QMS_LAB
QLT-00000107,SL-00000383,LOT-202110-461243,,,P_RARE_Product_Family_02,2021-10-15,2021-10-17,2021-10-18,3.22,26.1%,2.3%,0.8%,9,قبول,QMS_LAB
QLT-00000108,SL-00000384,LOT-202103-535070,,,P_989949,2021-02-18,2021-02-18,2021-02-18,3.44,24.5%,1.0%,0.8%,8,قبول,QMS_LAB
QLT-00000109,SL-00000389,LOT-202104-681855,,,P_RARE_Product_Family_05,2021-03-20,2021-03-22,2021-03-22,4.56,33.4%,1.0%,0.4%,3,قبول,QMS_LAB
QLT-00000110,SL-00000397,LOT-202007-249430,,,P_047794,2020-07-03,2020-07-04,2020-07-06,3.03,32.6%,1.0%,0.9%,5,قبول,QMS_LAB
QLT-00000111,SL-00000399,LOT-202108-547121,,,P_105041,2021-07-24,2021-07-25,2021-07-25,4.38,22.9%,1.3%,0.4%,7,قبول,QMS_LAB
QLT-00000112,SL-00000400,LOT-202003-219163,,,P_218456,2020-03-01,2020-03-01,2020-03-03,2.91,26.4%,1.0%,0.8%,4,قبول,QMS_LAB
QLT-00000113,SL-00000405,LOT-202202-175748,,,P_310017,2022-02-18,2022-02-19,2022-02-19,3.99,34.4%,1.0%,1.2%,9,قبول,QMS_LAB
QLT-00000114,SL-00000410,LOT-202010-150184,,,P_RARE_Product_Family_03,2020-09-23,2020-09-25,2020-09-26,2.91,22.6%,2.3%,1.2%,10,قبول,QMS_LAB
QLT-00000115,SL-00000411,LOT-202111-920915,,,P_128326,2021-10-30,2021-10-30,2021-10-30,3.13,21.0%,1.0%,1.2%,9,قبول,QMS_LAB
QLT-00000116,SL-00000414,LOT-202011-744746,,,P_160425,2020-11-08,2020-11-09,2020-11-09,4.21,29.1%,1.0%,0.7%,6,قبول,QMS_LAB
QLT-00000117,SL-00000423,LOT-202008-724505,,,P_RARE_Product_Family_05,2020-07-28,2020-07-30,2020-08-01,3.13,34.3%,2.3%,0.7%,7,قبول,QMS_LAB
QLT-00000118,SL-00000426,LOT-202008-657658,,,P_672805,2020-08-06,2020-08-07,2020-08-09,4.25,26.2%,2.3%,1.2%,10,قبول,QMS_LAB
QLT-00000119,SL-00000429,LOT-202004-466026,,,P_465221,2020-04-08,2020-04-10,2020-04-10,4.48,24.6%,1.0%,1.2%,9,قبول,QMS_LAB
QLT-00000120,SL-00000432,LOT-202110-867159,,,P_RARE_Product_Family_05,2021-10-07,2021-10-07,2021-10-07,4.97,18.3%,1.0%,0.4%,8,قبول,QMS_LAB
QLT-00000121,SL-00000438,LOT-202107-840058,,,P_961834,2021-07-07,2021-07-07,2021-07-08,3.62,28.0%,2.3%,0.8%,6,قبول,QMS_LAB
QLT-00000122,SL-00000439,LOT-202103-411887,,,P_RARE_Product_Family_04,2021-03-09,2021-03-10,2021-03-10,3.85,26.4%,1.0%,0.8%,5,قبول,QMS_LAB
QLT-00000123,SL-00000442,LOT-202003-574064,,,P_RARE_Product_Family_03,2020-03-26,2020-03-28,2020-03-30,4.97,31.6%,2.3%,0.8%,6,قبول,QMS_LAB
QLT-00000124,SL-00000444,LOT-202103-468666,,,P_434331,2021-02-19,2021-02-21,2021-02-21,4.12,21.9%,1.0%,0.4%,8,قبول,QMS_LAB
QLT-00000125,SL-00000445,LOT-202007-778025,,,P_441295,2020-07-11,2020-07-12,2020-07-13,3.89,23.5%,2.3%,0.4%,9,قبول,QMS_LAB
QLT-00000126,SL-00000454,LOT-202006-037477,,,P_425142,2020-06-26,2020-06-27,2020-06-29,4.12,18.2%,2.3%,0.8%,6,قبول,QMS_LAB
QLT-00000127,SL-00000459,LOT-202008-939302,,,P_RARE_Product_Family_02,2020-08-21,2020-08-23,2020-08-24,3.85,18.9%,2.0%,0.8%,9,قبول,QMS_LAB
QLT-00000128,SL-00000461,LOT-202204-955258,,,P_434331,2022-04-16,2022-04-17,2022-04-19,3,22.5%,2.0%,0.8%,9,قبول,QMS_LAB
QLT-00000129,SL-00000471,LOT-202005-793908,,,P_RARE_Product_Family_03,2020-05-09,2020-05-09,2020-05-11,3.34,34.5%,1.4%,0.6%,5,قبول,QMS_LAB
QLT-00000130,SL-00000476,LOT-202012-315015,,,P_964842,2020-12-04,2020-12-05,2020-12-06,3.56,32.9%,1.7%,0.5%,4,قبول,QMS_LAB
QLT-00000131,SL-00000483,LOT-202103-091968,,,P_305089,2021-02-26,2021-02-27,2021-02-28,4.33,23.2%,1.2%,1.2%,7,قبول,QMS_LAB
QLT-00000132,SL-00000488,LOT-202109-028108,,,P_466170,2021-09-11,2021-09-13,2021-09-15,3.21,31.2%,1.2%,0.7%,4,قبول,QMS_LAB
QLT-00000133,SL-00000489,LOT-202008-409876,,,P_RARE_Product_Family_02,2020-08-09,2020-08-10,2020-08-10,2.98,32.8%,0.9%,0.8%,5,قبول,QMS_LAB
QLT-00000134,SL-00000497,LOT-202003-027967,,,P_RARE_Product_Family_05,2020-03-02,2020-03-02,2020-03-04,4.67,18.2%,2.2%,0.9%,3,قبول,QMS_LAB
QLT-00000135,SL-00000500,LOT-202102-435167,,,P_402763,2021-01-27,2021-01-27,2021-01-27,4.26,26.1%,2.4%,0.4%,10,قبول,QMS_LAB
QLT-00000136,SL-00000501,LOT-202008-916597,,,P_RARE_Product_Family_01,2020-07-28,2020-07-29,2020-07-31,4.49,24.5%,1.1%,0.4%,9,قبول,QMS_LAB
QLT-00000137,SL-00000507,LOT-202111-966638,,,P_812406,2021-10-14,2021-10-15,2021-10-16,3.14,34.2%,2.4%,0.8%,7,قبول,QMS_LAB
QLT-00000138,SL-00000511,LOT-202011-751503,,,P_434331,2020-10-30,2020-10-31,2020-11-02,3.73,31.5%,2.4%,1.1%,5,قبول,QMS_LAB
QLT-00000139,SL-00000514,LOT-202108-080092,,,P_679203,2021-08-15,2021-08-15,2021-08-16,4.85,23.5%,2.4%,0.7%,8,قبول,QMS_LAB
QLT-00000140,SL-00000515,LOT-202002-758625,,,P_964842,2020-02-10,2020-02-12,2020-02-12,4.63,25.1%,2.1%,0.8%,9,قبول,QMS_LAB
QLT-00000141,SL-00000523,LOT-202009-855927,,,P_671927,2020-08-24,2020-08-24,2020-08-25,4.63,28.8%,2.4%,1.2%,3,قبول,QMS_LAB
QLT-00000142,SL-00000526,LOT-202111-226348,,,P_RARE_Product_Family_03,2021-11-13,2021-11-14,2021-11-15,3.50,19.9%,2.4%,0.7%,8,قبول,QMS_LAB
QLT-00000143,SL-00000528,LOT-202004-708215,,,P_572494,2020-03-25,2020-03-27,2020-03-27,3.55,20.8%,2.4%,0.8%,6,قبول,QMS_LAB
QLT-00000144,SL-00000529,LOT-202101-986258,,,P_215807,2021-01-23,2021-01-23,2021-01-25,3.77,19.2%,1.1%,0.8%,5,قبول,QMS_LAB
QLT-00000145,SL-00000532,LOT-202203-871354,,,P_947367,2022-03-12,2022-03-14,2022-03-16,3.50,23.6%,1.1%,1.2%,10,قبول,QMS_LAB
QLT-00000146,SL-00000533,LOT-202011-586962,,,P_003511,2020-11-15,2020-11-16,2020-11-16,3.28,25.3%,2.4%,1.2%,3,قبول,QMS_LAB
QLT-00000147,SL-00000538,LOT-202003-238213,,,P_RARE_Product_Family_04,2020-03-08,2020-03-08,2020-03-09,3.55,24.5%,1.1%,0.4%,8,قبول,QMS_LAB
QLT-00000148,SL-00000542,LOT-202105-941347,,,P_499327,2021-05-15,2021-05-16,2021-05-16,3.71,33.4%,1.2%,1.1%,5,قبول,QMS_LAB
QLT-00000149,SL-00000543,LOT-202006-847418,,,P_RARE_Product_Family_03,2020-06-12,2020-06-14,2020-06-16,3.94,31.8%,1.5%,1.0%,4,قبول,QMS_LAB
QLT-00000150,SL-00000544,LOT-202004-333217,,,P_672805,2020-04-12,2020-04-13,2020-04-15,2.86,23.7%,1.5%,0.6%,7,قبول,QMS_LAB
QLT-00000151,SL-00000549,LOT-202008-399568,,,P_RARE_Product_Family_03,2020-08-15,2020-08-15,2020-08-16,3.98,32.7%,1.5%,1.1%,10,قبول,QMS_LAB
QLT-00000152,SL-00000556,LOT-202006-847418,,,P_RARE_Product_Family_03,2020-06-06,2020-06-08,2020-06-09,3.71,20.1%,1.5%,0.6%,7,قبول,QMS_LAB
