Complaint_ID,Customer_ID,Product_ID,گروه کالا,Complaint_Title,Complaint_Text,Hembaft_Reference,Severity,Created_At,Available_At,Complaint_Status,Resolved_At,Resolution_Available_At,Resolution_Text,Source_System
CMP-0011,CUST-006,PRD-POY-009,Product_Family_03,خارج بودن نمره,مشتري اعلام نموده است محدوده رنج نمره نخ زياد ميباشد و اين ميزان از 240تا 260 دنير اندازه گيري شده است,1202400000,کم,2025-07-22,2025-07-23,نیازمند بررسی,,,به مشتري جهت ارسال نمونه براي بررسي در مورخ 1404/05/01 اطلاع رساني شده است.ولي با چندين بار پيگيري نمونه ارسال نگرديد با توجه به بررسي مستندات همبافت مورد مغايري که حرف مشتري را تاييد کند پيدا نشد.,QMS_COMPLAINTS
CMP-0012,CUST-008,PRD-POY-001,Product_Family_03,پیچش بسته/ تنشن پیچش,نخ  رزرو سفت مي باشد و باز نمي شود.,1200310000,کم,2025-07-23,2025-07-24,پذیرفته,2025-08-15,2025-08-16,ابتدا موضوع از داخل سازمان بررسی گردید در بازدید از خط تولید تفاوت ستینگ در یک وایندر مشاهده شد و پس از پیگیری از تولید سریعا موضوع مرتفع گردید خطا در تنظیمات ماشین رخ داده بود در پیگیری های مجدد از مشتری مشکل مرتفع شده بود,QMS_COMPLAINTS
CMP-0013,CUST-008,PRD-POY-004,Product_Family_03,شید رنگ,طبق تصاوير ارسالي محصول نهایی تک رنگ داراي رگه راه راه است.,1186010000,کم,2025-08-10,2025-08-11,ردشده,2025-08-29,2025-08-30,طبق بازديد واحد خدمات مشتریان در مورخه 19/05/1404 از اين شرکت مشکل از نفيس نخ نبوده و مشکل از پروسه توليد اين شرکت ميباشد اين شرکت نخ POY  را از نفیس نخ خرید کرده و سپس تکسچره و چند لا کني و چند لا تابي مي کرد  .مشاوره جهت تغییر ستينگ تولیدی به اين شرکت داده شد در اين پروسه فرآیند روغن زنی صورت می گرفت که اين پروسه روغن زني به صورت نايکنواخت بود و باعث ايجاد دو رنگي در محصول شده که در بازديد به عمل آمده از  اين شرکت فرآیند روغن زنی حذف گردید و مشکل مرتفع گردید .,QMS_COMPLAINTS
CMP-0014,CUST-020,PRD-POY-004,Product_Family_03,تلرانس نمره,طبق اعلام مشتري اين نخ باهمبافت 1178210000 داراي تلرانس دنير ميباشد.,1178210000,کم,2025-08-16,2025-08-17,ردشده,2025-09-03,2025-09-04,ابتدا موضوع از داخل سازمان بررسی گردید و نظرات واحدهای مرتبط دریافت گردید طی بررسی به عمل آمده از نتایج کیفی نخ تلرانس نمره در محدوده مجاز قرار داشت و شکایت پذیرفته نمی باشد.,QMS_COMPLAINTS
CMP-0015,CUST-015,PRD-POY-007,Product_Family_03,فیلامنت و پرز,طبق اعلام بازخورد مشتري نخ با همبافت 1199710000 ، نخها بسيار پرز داشته و هنگام توليد به شدت پارگي ايجاد كرده و باعث كاهش راندمان و توقفات پياپي شده است.,1199710000,کم,2025-08-30,2025-08-31,پذیرفته,2025-09-18,2025-09-19,با توجه به اینکه مشکل درچند بوبین مشاهده شده بود و محدود به همین مقدار بود.مقرر شد واحد توليد در زمان فیلامنت پارگی جداسازی و ثبت لیبل درجه را در زمان تولید نخ با دقت بیشتری انجام دهدو در تولیدات بعدی موضوع تکرار نگردد..,QMS_COMPLAINTS
CMP-0016,CUST-017,PRD-POY-004,Product_Family_03,شید رنگ,نوسان شيد رنگي دارد,1187710000,متوسط,2025-08-30,2025-08-31,پذیرفته,2025-09-17,2025-09-18,در تاريخ04/06/08 با آقاي ایکس مذاکره گرديدو اعلام نمودند پس از بازديد از محل مشتري و تکسچره 8 دوک poy بررسي شد و هيچگونه مغايرت رنگي مشاهده نشد و به مشتري اطمينان مصرف داده شد,QMS_COMPLAINTS
CMP-0017,CUST-004,PRD-POY-003,Product_Family_03,کم شدن لای نخ,لا کم کردن,1216710000,متوسط,2025-09-09,2025-09-10,نیازمند بررسی,,,"طي تماس تلفني با آقاي ایکس در تاريخ 1404/06/18 مقرر شد نمونه نخ ارسال گردد.
با بررسي هاي مجدد مشخص شد مسئله جابجايي فيلامنت و کم شدن لاي نخ بود ولي تعداد مشکل موردي بوده و قرار شد در صورت تکرار شدن اين موضوع اطلاع رساني شود. با توجه به پیگیری مجدد و عدم تکرار مشکل موضوع مرتفع گردید.",QMS_COMPLAINTS
CMP-0018,CUST-011,PRD-POY-012,Product_Family_03,نوسان دنیر,نوسان در نخ به طوري كه متراژي از نخ بدون مشكل كار ميكند مجدد به حالت خام مي شود.,1215810000,کم,2025-09-13,2025-09-14,پذیرفته,2025-09-26,2025-09-27,در تاريخ 1404/06/23 توسط واحد خدمات مشتریان از محل مشتري بازديد به عمل آمد.در بازديد صورت گرفته نخ هاي POY با همبافت 1215810000به تعداد 16 پالت مصرف نشده مشاهده شد و تعداد 9 پالت مصرف شده بود.مشاوره ستینگ جهت تولید نخ داده شد که با شرایط حاضر هم هيچگونه مشکل در فرآيند توليد نخ وجود نداشت.نخ هاي توليدي در تعداد بالا کنترل گرديد و هيچگونه مشکل لا به لا خامي و خامي مشاهده نشد.,QMS_COMPLAINTS
CMP-0019,CUST-013,PRD-POY-003,Product_Family_03,فیلامنت و پرز,گزارش واحد توليد شركتM درخصوص نخ ارسالي مبني بر سوختگي و گره دار بودن برخي از بوبين ها كه اين امر موجب پارگي شديد و افت راندمان گرديده است,1212910000,متوسط,2025-09-15,2025-09-16,پذیرفته,2025-10-08,2025-10-09,با توجه به رضايت مشتري از نخ هاي cw مقرر شد توليد هاي بعدي از وايندر هاي cw خط 2 توليد گردد.(وزن بوبین ها در محدوده 10 کیلوگرم می باشد و نخ وایند ACW در رنج 20 ک),QMS_COMPLAINTS
CMP-0020,CUST-003,PRD-POY-008,Product_Family_03,فیلامنت و پرز,"نخهاي ارسالي از اين همبافت مشكل فيلامنت و پارگي الياف ( پرز نخ ) داشته است و فيلامنت در بين نخها زياد بوده است به عبارتي :  ""  اين محموله نخ ها خيلي پرزدار و سيمي ( داراي نوسان ) بوده است.  "" كه اين پرز و فيلامنت ها ، باعث شده است كه راندمان مشتري كاهش يابد",1210210000,متوسط,2025-09-21,2025-09-22,پذیرفته,2025-10-12,2025-10-13,در بررسی صورت گرفته تعداد بالای درجات پارگی (10.8%) در زمان تولید این محصول احتمال وجود مشکلات کیفی در نخ را تایید می کند در مذاکره با مشتری مقرر شد در صورت  امکان کلیه نخ ها استفاده گردد و در صورت پارگی شدید  نخ های معیوب جداسازی و عودت داده شود که در پیگیری های بعدی اعلام شد کلیه نخ ها مصرف گردید.,QMS_COMPLAINTS
CMP-0021,CUST-015,PRD-POY-010,Product_Family_03,پیچش بسته/ تنشن پیچش,انتهاي بسته ها پارگي شديد داشته و باعث شده است كه راندمان مشتري به شدت كاهش يافته است.,1217510000,زیاد,2025-09-23,2025-09-24,پذیرفته,2025-10-10,2025-10-11,با توجه به خرابي لبه هاي دوک تعداد 80 عدد سر دوک ارسال گردید وپس از پیگیری مجدد اعلام شد مشکل مرتفع گردید,QMS_COMPLAINTS
CMP-0022,CUST-009,PRD-POY-011,Product_Family_03,بد پيچي,بد پيچي و ريزش نخ,1203700000,زیاد,2025-09-24,2025-09-25,پذیرفته,2025-10-19,2025-10-20,الزام کنترل بسته در ابتداي توليد با استروبوسکوب در نيازمندي مشتري ثبت گرديد تا در توليدات بعدي از تکرار خطا جلوگيري گردد,QMS_COMPLAINTS
CMP-0023,CUST-010,PRD-POY-011,Product_Family_03,دوک دست دوم / خرابی دوک,خرابي دوك,1215810000,متوسط,2025-09-28,2025-09-29,پذیرفته,2025-10-15,2025-10-16,با هماهنگي  30 عدد سر دوک ACW ارسال گردید  تا مشکل خرابي و شکستگي دوک ها برطرف شود.,QMS_COMPLAINTS
CMP-0024,CUST-003,PRD-POY-002,Product_Family_03,فیلامنت و پرز,بد پيچي بر روي بعضي از دوک ها و فيلامنت پارگي و پرزدار بودن در نخ هاي مات.بنابه فرموده مشتري: به نظر ميرسد نحوه شيرينگ و بسته بندي اين نخها نيز باعث بخشي از آسيب هاي مربوطه بوده است.,1220210000+1210210000,متوسط,2025-10-01,2025-10-02,پذیرفته,2025-10-11,2025-10-12,در بررسي هاي صورت گرفته از روي عکس ها و تماس تلفني ، مشخص گردید موضوعات موردي ميباشد و طبق بررسي واحد توليد روند توليد اين محصولات بررسي شد و مشکلي در حين توليد مشاهده نشده است.,QMS_COMPLAINTS
CMP-0025,CUST-002,PRD-POY-003,Product_Family_03,شید رنگ,احتراما به استحضار ميرساند اشتباها نخ درجه B1  داراي شيد رنگ ميباشد.,1222610000,متوسط,2025-10-04,2025-10-05,پذیرفته,2025-10-26,2025-10-27,مقرر گرديد جهت مرجوع 1694.65کيلوگرم نخ ارسالي اشتباه، مرجوع شود,QMS_COMPLAINTS
CMP-0026,CUST-005,PRD-POY-003,Product_Family_03,تلرانس نمره,طبق ا علام مشتري نخهاي DTY توليد شده با اين محموله داراي نوسان بسيار زياد نمره نخ بوده است. نخ DTY /300 ، بعضي از دوكها از 295 دنير تا 315 دنير متغير ميباشد.,1224910000,کم,2025-10-08,2025-10-09,پذیرفته,2025-10-29,2025-10-30,طي بررسي هاي صورت گرفته در نتايج آزمايشگاهي CV نمره در بازه 1.8 -2.6 ميباشد .به توليد اعلام گرديد جهت کنترل بيشتر و دقيقتر تعداد نمونه بيشتري به آزمايشگاه جهت تست نمره ارسال گردد. اين مسئله کنترل گرديده و خارج از رنج نمره مجاز نميباشد,QMS_COMPLAINTS
CMP-0027,CUST-013,PRD-POY-012,Product_Family_03,پیچش بسته/ تنشن پیچش,قبل از رسيدن به رزرو تمامي نخ ها پاره ميشود و موجب افت راندمان شديد ميگردد.,1215710000-1221710000,زیاد,2025-10-13,2025-10-14,پذیرفته,2025-10-27,2025-10-28,طی بررسی به عمل آمده مشکل فقط در چند بوبین رخ داده بود و شماره پوزیشن های معیوب دریافت گردید و به سرپرست سالن تولید اعلام شد .مقرر شد واحد توليد اقدامات لازم جهت جلوگیری از تکرار مجدد شکایت را انجام دهد (کنترل با استربوسکوب و تنظیم فشار باد وایندر),QMS_COMPLAINTS
CMP-0028,CUST-003,PRD-POY-007,Product_Family_03,دوک دست دوم / خرابی دوک,خرابي دوک,1229010000-1225910000,زیاد,2025-10-14,2025-10-15,پذیرفته,2025-11-01,2025-11-02,با توجه به حساسیت بالای مشتری الزام دوک نو نيز ثبت گرديد و لی به دلیل عدم امکان اجرای این الزام امکان تکرار شکایت وجود دارد.,QMS_COMPLAINTS
CMP-0029,CUST-009,PRD-POY-011,Product_Family_03,بد پيچي,طبق اعلام مشتري مشكل بد پيچي و شل پيچي در نخ به شدت وجود داشته ، به اين صورت كه هنگام باز شدن نخ از روي دوك ، چند نخ به هم گير كرده و با هم توي كار مي آيد و باعث پارگي نخ مي شود,1215400000,کم,2025-10-15,2025-10-16,نیازمند بررسی,,,"با توجه به اينکه نخ مصرف داخل جهت فروش ارسال گرديد و در بازديد صورت گرفته پيشنهاد کسرهزينه ضايعات روگيري مطرح شد .
براي رفع اين موضوع فشار پرشر رول وايندر ها افزايش داده شد. اين موضوع البته سوي ديگري هم دارد که باز نشدن نخ ها در انتهاي بسته است. مقداري فشار را زياد کرده ايم تا ببينيم وضعيت بالانس مي شود يا خير. هم اکنون روي همه خطوط جديد تغييرات داده شده و بايد منتظر بازخور جديد باشيم. نخ هايي که در سالن هاي aty و  dty توليد مي شوند رصد مي شوند و فعلا مساله نداريم.",QMS_COMPLAINTS
CMP-0030,CUST-003,PRD-POY-007,Product_Family_03,فیلامنت و پرز,فيلامنت پارگي و پرز بسيار زياد,1229010000,متوسط,2025-10-18,2025-10-19,نیازمند بررسی,,,بر اساس توافق و گفتگوي صورت گرفته مقرر شد از نمونه نخ هاي معيوب ارسال نمايد در صورت عدم ارسال شکايت خاتمه يافته تلقي ميشود. در بازديد صورت گرفته از يزد با در خواست بازديد از شرکت C از طرف ما موافقت نگرديد.,QMS_COMPLAINTS
CMP-0031,CUST-003,PRD-POY-011,Product_Family_03,نوسان دنیر,طبق اعلام مشتري نخ ها دچار مشكل بوده و علاوه بر مشكل قبلي ، كه نخ در برخي نقاط پرزدار و داراي فيلامنت بوده است ، اكنون مشكل دنير نيز در وسط بسته ها مشاهده نموده است ، به اين صورت كه در وسط دوك ، نمره نخ تغيير ميبابد و نخ نازكتر ميشود.,1234110000,کم,2025-11-08,2025-11-09,پذیرفته,2025-11-21,2025-11-22,طي تماس تلفني مقرر شد 2 عدد از دوکهاي مشکل دار جهت بررسي ارسال گردد. با درخواست بازديد از شرکت C موافقت نگرديد به دليل اينکه مشتري اعلام کرد موضوع چندان هم حاد نيست و نياز به بازديد ندارد.,QMS_COMPLAINTS
CMP-0032,CUST-019,PRD-POY-007,Product_Family_03,فیلامنت و پرز,فيلامنت پارگي،پرزدار بودن،پيچش نامنظم,1239610000,کم,2025-11-25,2025-11-26,پذیرفته,2025-12-14,2025-12-15,موارد کيفي مطرح شده برای نخ های مصرف شده گذشته: بدپيچي و فيلامنت پارگي و مشکلات پيچش ابتداي بسته در چند دوک مشاهده شد شماره وايندر و پوزيشن ها دريافت گرديد و مقرر شد در توليد آنلاين خط موارد به سرعت پيگيري و رفع گردد.در خصوص موارد کيفي خط 2 POY نيز ليبل داخل دوک ها دريافت گرديد,QMS_COMPLAINTS
CMP-0033,CUST-003,PRD-POY-011,Product_Family_03,آسیب دیدگی در حمل و نقل,1270110000 1263010000,1263010000+1270110000,زیاد,2026-02-17,2026-02-18,پذیرفته,2026-03-03,2026-03-04,به دليل اينکه تعهد حمل به عهده باربری می باشد با شرکت باربری مذاکره گردید چک های تضمین مبلغ بار دریافت گردید و نیز از طریق بیمه موضوع پیگیری گردید به دلیل خارج بودن موضوع از حیطه وظایف خدمات مشتریان موضوع از طریق انبار پیگیری گردید.,QMS_COMPLAINTS
CMP-0034,CUST-001,PRD-POY-008,Product_Family_03,اختلاف وزنی,اختلاف تناز وزني در بار ارسالي,1268610000,کم,2026-02-22,2026-02-23,ردشده,2026-03-04,2026-03-05,"طي تماس تلفني با فرد مربوطه در تاريخ 1404/12/03 آترا نخ مقرر شد مجدد وزن خالص و ناخاص اندازه گيري شود در صورت مشاهده مغايرت بازديد حضوري جهت بررسي هماهنگ گردد و در صورت عدم مغايرت شکايت پذبرفته نيست و خاتمه مي يابد.
طي تماس تلفني که مجددا در تاريخ 1404/12/04 انجام شد اعلام نمودند که اختلاف وزني وجود ندارد.",QMS_COMPLAINTS
CMP-0035,CUST-008,PRD-POY-011,Product_Family_03,فیلامنت و پرز,در تعدادي از بوبين هاي نخ دارای فیلامنت پارگی و پرز می باشد.,1271210000,متوسط,2026-02-21,2026-02-22,پذیرفته,2026-03-22,2026-03-23,طی بررسی به عمل آمده از تصاویر ارسالی مشتری چند دوک دارای فیلامنت پارگی بود که در مذاکره با مشتری مقرر شد در تولیدات بعدی اموضوع مرتفع گردد و سریعاموضوع به واحد تولید اعلام شد و مقرر شد در تولیدات بعدی  فیلامنت پارگی به صورت سختگیرانه ای در سالن تولید جداسازی گردد.,QMS_COMPLAINTS
CMP-0036,CUST-018,PRD-POY-007,Product_Family_03,شید رنگ,دورنگي در نخ,1264110000+1199910000,زیاد,2026-05-13,2026-05-14,ردشده,2026-05-31,2026-06-01,در بررسي هاي صورت گرفته در داخل سازمان (کنترل کيفيت) مغايرتي در نتايج شيد رنگ در حين توليد مشاهده نشد. در بازديداز محل مشتري که به درخواست شرکت R صورت پذيرفت، تفاوت شيد رنگ در محصول مشهود بود.در بررسي و آناليز نخ هاي موجود در محصول اختلاف در شيرينکيج نخ عامل تفاوت شيد رنگ شناسايي گرديد با توجه به اينکه فرآيند توليد تکسچرايزينگ وتابندگي توسط R انجام مي گردد.صورت جلسه اي تنظيم گرديد و موارد کارشناسي ثبت گرديد واعلام گرديد مشکل بوجود آمده مربوط به نخ نفيس نخ نمي باشد,QMS_COMPLAINTS
CMP-0037,CUST-003,PRD-POY-010,Product_Family_03,کم شدن لای نخ,در نخ نمره 500 ، نخ با نمره خيلي پايين تر ( حدودا 250 ) مشاهده شد كه هم نخ سيمي شده است و هم پرزدار.,1288510000,متوسط,2026-07-08,2026-07-09,پذیرفته,2026-08-04,2026-08-05,مقرر گرديد نمونه,QMS_COMPLAINTS
CMP-0038,CUST-018,PRD-POY-003,Product_Family_03,الصاق لیبل اشتباه,مغايرت ليبل داخل دوك و روي پالت,1266410000,متوسط,2026-07-12,2026-07-13,پذیرفته,2026-07-30,2026-07-31,ابتدا موضوع از داخل سازمان بررسی گردید و نظرات واحدهای مرتبط دریافت گردید .در مذاکره با مشتري مشخص گرديد نخ مشکل کيفي ندارد و فقط ليبل داخل دوک اشتباه الصاق شده است جهت کنترل و جلوگيري از تکرار شکايت موضوع به واحد توليد و بسته بندي اعلام گرديد.,QMS_COMPLAINTS
CMP-0039,CUST-014,PRD-POY-008,Product_Family_03,بازشدن نخ درجه C,مشتري در حال خريد نخ درجه c مي باشد ولي با اين تفاسير نخ ظاهربسيار بهم ريخته دارد. 111911100 96410000,96410000+111911100,متوسط,2026-07-23,2026-07-24,پذیرفته,2026-08-12,2026-08-13,نخ درجه C می باشدو شامل خدمات پس از فروش نمی باشد و پس از روگیری نخ مشکل مرتفع می گردد.,QMS_COMPLAINTS
CMP-0040,CUST-007,PRD-POY-011,Product_Family_03,بد پيچي,خارج شدن نخ از داخل بسته,1279210000,متوسط,2026-08-06,2026-08-07,ردشده,2026-08-31,2026-09-01,نخ درجات می باشد و مستندات موجود امکان تعداد بوبین خراب را تایید نمی کند.,QMS_COMPLAINTS
CMP-0041,C_172705,P_119677,Product_Family_04,الصاق لیبل اشتباه,مشتري اعلام نموده است ليبل داخل دوک با ليبل پالت مغايرت دارد.,,کم,2021-05-07,2021-05-09,درحال بررسی,,,,QMS_COMPLAINTS
CMP-0042,C_317124,P_RARE_Product_Family_03,Product_Family_03,فیلامنت و پرز,بر اساس تصاوير ارسالي مشتري فيلامنت پارگي و پرزدار بودن در تعدادي از بوبين,,کم,2021-11-14,2021-11-17,درحال بررسی,,,,QMS_COMPLAINTS
CMP-0043,C_376594,P_RARE_Product_Family_03,Product_Family_03,کم شدن لای نخ,در همبافت 1314300035 در بخشي از نخ تعداد فيلامنت کمتر و نخ سيمي مشاهده شده است.,,متوسط,2020-11-29,2020-11-30,بسته,2020-12-20,2020-12-21,ابتدا موضوع از داخل سازمان بررسی گردید و نظرات واحدهای مرتبط دریافت گردید. نتایج ثبت,QMS_COMPLAINTS
CMP-0044,C_746892,P_441295,Product_Family_03,اختلاف ازدیاد طول,مشتري اعلام نموده است ازدياد طول بوبين,,کم,2021-12-26,2021-12-27,درحال بررسی,,,,QMS_COMPLAINTS
CMP-0045,C_746892,P_RARE_Product_Family_05,Product_Family_05,خرابی دوک و بسته,بر اساس تصاوير ارسالي مشتري لبه دوک آسيب دارد و چند بوبين در پالت سائيدگي پيدا کرده است.,,کم,2021-10-24,2021-10-26,بسته,2021-12-10,2021-12-11,ابتدا موضوع از داخل سازمان بررسی گردید و نظرات واحدهای مرتبط دریافت گردید. نتایج ثبت,QMS_COMPLAINTS
CMP-0046,C_593639,P_RARE_Product_Family_03,Product_Family_03,استحکام پایین / پارگی,بر اساس تصاوير ارسالي مشتري نخ در قسمت تار با سرعت بالا پارگي مکرر داشته است.,,متوسط,2020-08-04,2020-08-07,بسته,2020-09-12,2020-09-13,ابتدا موضوع از داخل سازمان بررسی گردید و نظرات واحدهای مرتبط دریافت گردید. برای نتیجه,QMS_COMPLAINTS
CMP-0047,C_117580,P_769459,Product_Family_02,خرابی دوک و بسته,طبق اعلام مشتري لبه دوک آسيب دارد و چند بوبين در پالت سائيدگي پيدا کرده است. مشتري عکس ارسال نموده است.,,بحرانی,2020-08-18,2020-08-19,درحال بررسی,,,,QMS_COMPLAINTS
CMP-0048,C_664019,P_505032,Product_Family_02,اختلاف ازدیاد طول,مشتري اعلام نموده است ازدياد طول بوبين,,متوسط,2021-02-02,2021-02-03,بسته,2021-03-02,2021-03-03,ابتدا موضوع از داخل سازمان بررسی گردید و نظرات واحدهای مرتبط دریافت گردید. در بررسی مستندات تولید و کنترل کیفیت همبافت 1320200426 مشخص گردید تفاوت Draw Ratio بین پوزیشن,QMS_COMPLAINTS
CMP-0049,C_853926,P_499327,Product_Family_01,خرابی دوک و بسته,بر اساس تصاوير ارسالي مشتري لبه دوک آسيب دارد و چند بوبين در پالت سائيدگي پيدا کرده است. مشتري عکس ارسال نموده است.,,بحرانی,2020-08-04,2020-08-06,بسته,2020-08-29,2020-08-30,ابتدا موضوع از داخل سازمان بررسی گردید و نظرات واحدهای مرتبط دریافت گردید. در بررسی مستندات تولید و کنترل کیفیت همبافت 1320200443 مشخص گردید دوک معیوب یا چیدمان نامناسب. موضوع به سرپرست سالن FDY اعلام و مقرر شد تعویض دوک و اصلاح لایی پالت. پس از اجرای اقدام اصلاحی، تولید بعدی پایش و نتیجه به واحد خدمات مشتریان گزارش شود.,QMS_COMPLAINTS
CMP-0050,C_951507,P_703625,Product_Family_04,استحکام پایین / پارگی,بر اساس تصاوير ارسالي مشتري نخ در قسمت تار با سرعت بالا پارگي مکرر داشته است.,,متوسط,2022-01-10,2022-01-11,درحال بررسی,,,,QMS_COMPLAINTS
CMP-0051,C_683666,P_RARE_Product_Family_03,Product_Family_03,بدپیچی / سفتی بسته,در همبافت 1320400494 بسته,,زیاد,2021-12-06,2021-12-09,درحال بررسی,,,,QMS_COMPLAINTS
