Complaint_ID,Sales_Line_ID,شماره فاکتور,Customer_ID,Product_ID,Hembaft_ID,Lot_ID,Hembaft_Lot_Key,Purchase_Date,مقدار,مقدار برگشتی,Complaint_Result,Link_Available_At
CMP-0020,SL-CMP-000026,INV-000020,CUST-003,PRD-POY-008,"1,210,210,000",LOT-CMP-3461384433,HL-070763F83B7F408A,2025-09-06,"4,320.00",750.00,پذیرفته,2025-09-22
CMP-0021,SL-CMP-000027,INV-000021,CUST-015,PRD-POY-010,"1,217,510,000",LOT-CMP-7359251338,HL-73F7A048707CFA3A,2025-08-29,"4,320.00",0.00,پذیرفته,2025-09-24
CMP-0022,SL-CMP-000028,INV-000022,CUST-009,PRD-POY-011,"1,203,700,000",LOT-CMP-5442054845,HL-3424373808BB45C7,2025-08-29,"2,000.00",360.00,پذیرفته,2025-09-25
CMP-0023,SL-CMP-000029,INV-000023,CUST-010,PRD-POY-011,"1,215,810,000",LOT-CMP-2333974243,HL-6F4A21AFEDF3AEDC,2025-09-19,"2,020.00",310.00,پذیرفته,2025-09-29
CMP-0024,SL-CMP-000030,INV-000024,CUST-003,PRD-POY-002,"1,220,210,000",LOT-CMP-3894293078,HL-C8E1DF81A45F0D77,2025-09-04,"7,070.00",0.00,پذیرفته,2025-10-02
CMP-0024,SL-CMP-000031,INV-000024,CUST-003,PRD-POY-002,"1,210,210,000",LOT-CMP-0442938843,HL-B024F0FEFD0135C6,2025-09-04,"9,250.00","1,730.00",پذیرفته,2025-10-02
CMP-0025,SL-CMP-000032,INV-000025,CUST-002,PRD-POY-003,"1,222,610,000",LOT-CMP-3706454562,HL-72D53B1E15198E10,2025-09-08,"3,490.00",0.00,پذیرفته,2025-10-05
CMP-0026,SL-CMP-000033,INV-000026,CUST-005,PRD-POY-003,"1,224,910,000",LOT-CMP-0066472226,HL-9A6D13C48207B642,2025-09-14,"6,030.00","1,570.00",پذیرفته,2025-10-09
CMP-0027,SL-CMP-000034,INV-000027,CUST-013,PRD-POY-012,"1,215,710,000",LOT-CMP-0946690049,HL-64C938FBD020633E,2025-09-08,"2,080.00",200.00,پذیرفته,2025-10-14
CMP-0027,SL-CMP-000035,INV-000027,CUST-013,PRD-POY-012,"1,221,710,000",LOT-CMP-8324665596,HL-8D8560239DF8BA48,2025-09-08,"4,850.00",580.00,پذیرفته,2025-10-14
CMP-0028,SL-CMP-000036,INV-000028,CUST-003,PRD-POY-007,"1,229,010,000",LOT-CMP-4794675680,HL-D6F3D9A4DC297973,2025-10-02,"4,460.00",0.00,پذیرفته,2025-10-15
CMP-0028,SL-CMP-000037,INV-000028,CUST-003,PRD-POY-007,"1,225,910,000",LOT-CMP-0720941322,HL-48BDD1D302C630D9,2025-10-02,"2,910.00",0.00,پذیرفته,2025-10-15
CMP-0029,SL-CMP-000038,INV-000029,CUST-009,PRD-POY-011,"1,215,400,000",LOT-CMP-9274645386,HL-2C1A387DFB961E04,2025-09-21,"1,300.00",0.00,نیازمند بررسی,2025-10-16
CMP-0030,SL-CMP-000039,INV-000030,CUST-003,PRD-POY-007,"1,229,010,000",LOT-CMP-0887449131,HL-EEB23927D3B9A4F9,2025-09-15,"5,860.00",0.00,نیازمند بررسی,2025-10-19
CMP-0031,SL-CMP-000040,INV-000031,CUST-003,PRD-POY-011,"1,234,110,000",LOT-CMP-5615262765,HL-C5241113463A3362,2025-10-28,"6,060.00",0.00,پذیرفته,2025-11-09
CMP-0032,SL-CMP-000041,INV-000032,CUST-019,PRD-POY-007,"1,239,610,000",LOT-CMP-5922439109,HL-31CBAA2D9DEFD205,2025-10-26,"2,110.00",510.00,پذیرفته,2025-11-26
CMP-0033,SL-CMP-000042,INV-000033,CUST-003,PRD-POY-011,"1,263,010,000",LOT-CMP-4035830241,HL-929E451476CE6F2C,2026-01-21,"2,230.00",0.00,پذیرفته,2026-02-18
CMP-0033,SL-CMP-000043,INV-000033,CUST-003,PRD-POY-011,"1,270,110,000",LOT-CMP-5385808653,HL-7E070CABD89E1025,2026-01-21,"1,780.00",170.00,پذیرفته,2026-02-18
CMP-0034,SL-CMP-000044,INV-000034,CUST-001,PRD-POY-008,"1,268,610,000",LOT-CMP-2685441115,HL-D2F41F2D7D852A0E,2026-02-07,"1,270.00",0.00,ردشده,2026-02-23
CMP-0035,SL-CMP-000045,INV-000035,CUST-008,PRD-POY-011,"1,271,210,000",LOT-CMP-3793592213,HL-9A81B872C9DC5E5D,2026-01-29,"5,510.00",870.00,پذیرفته,2026-02-22
CMP-0036,SL-CMP-000046,INV-000036,CUST-018,PRD-POY-007,"1,264,110,000",LOT-CMP-4660925503,HL-2AB07EA8EA748440,2026-04-19,"4,060.00",0.00,ردشده,2026-05-14
CMP-0036,SL-CMP-000047,INV-000036,CUST-018,PRD-POY-007,"1,199,910,000",LOT-CMP-9489454100,HL-A4C3B4D9A36DEC43,2026-04-19,"7,260.00",0.00,ردشده,2026-05-14
CMP-0037,SL-CMP-000048,INV-000037,CUST-003,PRD-POY-010,"1,288,510,000",LOT-CMP-8332862443,HL-0D36986120BD7048,2026-06-10,"6,080.00",0.00,پذیرفته,2026-07-09
CMP-0038,SL-CMP-000049,INV-000038,CUST-018,PRD-POY-003,"1,266,410,000",LOT-CMP-1568886027,HL-E72ED9114D4B7591,2026-06-26,"5,000.00","1,540.00",پذیرفته,2026-07-13
CMP-0039,SL-CMP-000050,INV-000039,CUST-014,PRD-POY-008,"96,410,000",LOT-CMP-6579394401,HL-ADDD096A69480A2B,2026-07-10,"4,730.00",0.00,پذیرفته,2026-07-24
CMP-0039,SL-CMP-000051,INV-000039,CUST-014,PRD-POY-008,"111,911,100",LOT-CMP-0719179865,HL-26B170CE8EE71576,2026-07-10,"2,530.00",0.00,پذیرفته,2026-07-24
CMP-0040,SL-CMP-000052,INV-000040,CUST-007,PRD-POY-011,"1,279,210,000",LOT-CMP-7112184753,HL-8F9FE6B2E83CD5C1,2026-07-22,"3,180.00",0.00,ردشده,2026-08-07
CMP-0041,SL-00048803,T_177423,C_172705,P_119677,,LOT-202104-599685,,2021-04-26,17.80,0.00,باز,2021-05-09
CMP-0042,SL-00036570,T_571855,C_317124,P_RARE_Product_Family_03,,LOT-202111-148552,,2021-11-01,9.97,0.00,باز,2021-11-17
CMP-0043,SL-00050224,T_988870,C_376594,P_RARE_Product_Family_03,,LOT-202011-065864,,2020-11-23,3.60,0.36,رسیدگی,2020-11-30
CMP-0044,SL-00037777,T_389230,C_746892,P_441295,,LOT-202111-019435,,2021-11-15,149.27,0.00,باز,2021-12-27
CMP-0045,SL-00036628,T_586065,C_746892,P_RARE_Product_Family_05,,LOT-202110-031010,,2021-10-11,10.13,0.00,رسیدگی,2021-10-26
CMP-0045,SL-00014567,T_072880,C_746892,P_RARE_Product_Family_05,,LOT-202110-422397,,2021-10-18,152.50,0.00,رسیدگی,2021-10-26
CMP-0046,SL-00010241,T_728856,C_593639,P_RARE_Product_Family_03,,LOT-202008-135946,,2020-08-03,"1,037.41",103.74,رسیدگی,2020-08-07
CMP-0047,SL-00034289,T_493770,C_117580,P_769459,,LOT-202008-980856,,2020-08-17,124.84,0.00,باز,2020-08-19
CMP-0048,SL-00016584,T_865252,C_664019,P_505032,,LOT-202102-667477,,2021-02-01,"1,229.93",0.00,رسیدگی,2021-02-03
CMP-0049,SL-00023889,T_678734,C_853926,P_499327,,LOT-202007-580998,,2020-07-13,78.04,0.00,رسیدگی,2020-08-06
CMP-0050,SL-00041812,T_815314,C_951507,P_703625,,LOT-202112-041451,,2021-12-06,3.68,0.37,باز,2022-01-11
CMP-0051,SL-00050012,T_625408,C_683666,P_RARE_Product_Family_03,,LOT-202112-352243,,2021-12-06,1.94,0.19,باز,2021-12-09
CMP-0052,SL-00020174,T_176812,C_282979,P_RARE_Product_Family_04,,LOT-202010-349472,,2020-10-26,224.40,0.00,رسیدگی,2020-11-04
CMP-0053,SL-00005290,T_921162,C_479796,P_278460,,LOT-202009-106943,,2020-09-28,44.52,0.00,رسیدگی,2020-12-01
CMP-0054,SL-00012260,T_928597,C_812674,P_573948,,LOT-202012-690697,,2020-12-28,4.88,0.49,باز,2021-03-21
CMP-0055,SL-00005492,T_665286,C_342564,P_807860,,LOT-202009-946439,,2020-09-21,5.50,0.00,رسیدگی,2020-10-15
CMP-0056,SL-00005593,T_556503,C_582486,P_353119,,LOT-202002-890724,,2020-02-03,460.62,0.00,رسیدگی,2020-04-13
CMP-0057,SL-00013140,T_901891,C_672706,P_RARE_Product_Family_02,,LOT-202109-590269,,2021-09-20,1.29,0.00,باز,2021-10-10
CMP-0058,SL-00032546,T_858368,C_683666,P_726474,,LOT-202111-090081,,2021-11-01,279.01,0.00,رسیدگی,2021-11-07
CMP-0059,SL-00005896,T_230362,C_948070,P_287998,,LOT-202109-320369,,2021-09-13,37.09,3.71,باز,2021-11-02
CMP-0060,SL-00005997,T_324084,C_866894,P_RARE_Product_Family_05,,LOT-202003-216946,,2020-03-23,338.74,0.00,رسیدگی,2020-04-04
CMP-0061,SL-00003929,T_241475,C_683666,P_963457,,LOT-202008-271052,,2020-08-10,392.98,0.00,رسیدگی,2020-11-17
CMP-0062,SL-00041274,T_792676,C_762928,P_950323,,LOT-202011-751845,,2020-11-02,95.46,9.55,باز,2021-01-19
CMP-0063,SL-00048818,T_767309,C_342564,P_RARE_Product_Family_03,,LOT-202204-501791,,2022-04-11,8.06,0.00,رسیدگی,2022-04-27
CMP-0064,SL-00031216,T_070473,C_479796,P_RARE_Product_Family_02,,LOT-202105-933071,,2021-05-31,9.77,0.00,رسیدگی,2021-07-08
CMP-0065,SL-00015619,T_396234,C_683666,P_RARE_Product_Family_05,,LOT-202202-127809,,2022-02-21,167.88,0.00,رسیدگی,2022-03-08
CMP-0066,SL-00006603,T_703831,C_317124,P_903530,,LOT-202103-155862,,2021-03-01,6.42,0.00,باز,2021-06-13
CMP-0067,SL-00030105,T_338422,C_473035,P_RARE_Product_Family_05,,LOT-202106-338759,,2021-06-28,"1,952.99",0.00,باز,2021-08-30
CMP-0068,SL-00036871,T_814633,C_502843,P_RARE_Product_Family_03,,LOT-202103-567429,,2021-03-29,17.85,0.00,رسیدگی,2021-06-07
CMP-0069,SL-00050321,T_102110,C_984759,P_995713,,LOT-202011-794193,,2020-11-02,398.12,0.00,رسیدگی,2020-12-05
CMP-0070,SL-00028968,T_991116,C_705572,P_RARE_Product_Family_03,,LOT-202008-965396,,2020-08-24,8.19,0.00,رسیدگی,2020-09-13
CMP-0070,SL-00003023,T_991116,C_705572,P_RARE_Product_Family_03,,LOT-202008-189206,,2020-08-24,20.35,0.00,رسیدگی,2020-09-13
CMP-0071,SL-00051680,T_586649,C_633661,P_343377,,LOT-202101-010134,,2021-01-04,248.17,0.00,رسیدگی,2021-01-23
CMP-0072,SL-00050024,T_535266,C_361181,P_RARE_Product_Family_03,,LOT-202104-857920,,2021-04-12,479.07,0.00,رسیدگی,2021-04-17
CMP-0073,SL-00003501,T_581441,C_848211,P_987950,,LOT-202103-517232,,2021-03-29,163.53,0.00,باز,2021-05-10
CMP-0074,SL-00021652,T_772755,C_683666,P_RARE_Product_Family_03,,LOT-202101-572590,,2021-01-04,4.39,0.00,رسیدگی,2021-01-15
CMP-0075,SL-00007512,T_455219,C_871835,P_840489,,LOT-202107-506329,,2021-07-26,7.17,0.00,رسیدگی,2021-09-30
CMP-0076,SL-00043023,T_894529,C_361181,P_RARE_Product_Family_05,,LOT-202111-768349,,2021-11-29,17.29,0.00,رسیدگی,2021-12-02
CMP-0077,SL-00007714,T_062864,C_535756,P_253702,,LOT-202111-589730,,2021-11-22,125.36,0.00,رسیدگی,2022-03-12
CMP-0078,SL-00007815,T_005159,C_051706,P_RARE_Product_Family_05,,LOT-202103-440851,,2021-03-29,32.76,0.00,رسیدگی,2021-06-15
CMP-0078,SL-00036694,T_565322,C_051706,P_RARE_Product_Family_05,,LOT-202105-244154,,2021-05-03,9.03,0.00,رسیدگی,2021-06-15
CMP-0079,SL-00026017,T_461294,C_598080,P_771330,,LOT-202111-590321,,2021-11-29,9.15,0.00,رسیدگی,2022-02-28
CMP-0080,SL-00027638,T_571972,C_376594,P_RARE_Product_Family_03,,LOT-202011-744785,,2020-11-02,41.86,4.19,رسیدگی,2020-11-21
CMP-0081,SL-00035492,T_511063,C_245948,P_RARE_Product_Family_04,,LOT-202005-252008,,2020-05-18,173.60,0.00,رسیدگی,2020-05-24
CMP-0082,SL-00051231,T_524632,C_843031,P_RARE_Product_Family_03,,LOT-202203-687995,,2022-03-21,11.44,0.00,رسیدگی,2022-06-13
CMP-0083,SL-00013875,T_374741,C_866894,P_RARE_Product_Family_05,,LOT-202011-016585,,2020-11-16,331.47,0.00,رسیدگی,2020-12-12
CMP-0083,SL-00003602,T_795241,C_866894,P_RARE_Product_Family_05,,LOT-202012-783310,,2020-12-07,321.21,32.12,رسیدگی,2020-12-12
CMP-0084,SL-00013499,T_222909,C_317124,P_RARE_Product_Family_03,,LOT-202104-857673,,2021-04-19,13.89,0.00,رسیدگی,2021-04-22
CMP-0085,SL-00029309,T_848853,C_477520,P_RARE_Product_Family_05,,LOT-202006-111322,,2020-06-08,8.94,0.00,رسیدگی,2020-07-24
CMP-0086,SL-00008623,T_900512,C_419410,P_591650,,LOT-202109-218439,,2021-09-06,111.88,0.00,باز,2021-12-25
CMP-0086,SL-00013601,T_254254,C_419410,P_591650,,LOT-202110-527856,,2021-10-18,133.57,13.36,باز,2021-12-25
CMP-0087,SL-00046057,T_898484,C_357434,P_RARE_Product_Family_03,,LOT-202011-065864,,2020-11-23,50.69,0.00,باز,2021-01-14
CMP-0088,SL-00000119,T_625457,C_245948,P_RARE_Product_Family_04,,LOT-202012-035387,,2020-12-21,76.18,0.00,باز,2020-12-23
CMP-0088,SL-00036790,T_625457,C_245948,P_RARE_Product_Family_04,,LOT-202012-035387,,2020-12-21,206.42,0.00,باز,2020-12-22
CMP-0089,SL-00031887,T_337736,C_633661,P_850562,,LOT-202106-309654,,2021-06-28,990.57,0.00,رسیدگی,2021-07-14
CMP-0090,SL-00014572,T_193663,C_746892,P_RARE_Product_Family_03,,LOT-202103-813619,,2021-03-22,2.70,0.00,رسیدگی,2021-03-28
CMP-0091,SL-00017403,T_716128,C_317124,P_RARE_Product_Family_03,,LOT-202110-196713,,2021-10-18,91.76,0.00,رسیدگی,2021-10-21
CMP-0092,SL-00049933,T_792717,C_312584,P_RARE_Product_Family_03,,LOT-202103-452637,,2021-03-01,222.73,0.00,رسیدگی,2021-05-10
CMP-0093,SL-00010488,T_498563,C_126481,P_RARE_Product_Family_03,,LOT-202005-126765,,2020-05-11,4.06,0.00,رسیدگی,2020-05-17
CMP-0094,SL-00009708,T_574802,C_672706,P_RARE_Product_Family_02,,LOT-202111-429623,,2021-11-01,3.17,0.32,رسیدگی,2021-11-02
CMP-0094,SL-00010538,T_574802,C_672706,P_RARE_Product_Family_02,,LOT-202111-630095,,2021-11-01,1.23,0.00,رسیدگی,2021-11-03
CMP-0095,SL-00009374,T_336409,C_593639,P_RARE_Product_Family_03,,LOT-202105-068764,,2021-05-17,22.98,0.00,باز,2021-05-20
CMP-0096,SL-00005550,T_040890,C_274912,P_992126,,LOT-202008-579900,,2020-08-03,119.15,11.92,رسیدگی,2020-08-26
CMP-0097,SL-00051085,T_573487,C_258325,P_874918,,LOT-202010-586878,,2020-10-26,6.32,0.00,باز,2020-11-24
CMP-0098,SL-00021708,T_289963,C_479796,P_146351,,LOT-202008-600491,,2020-08-17,355.42,0.00,رسیدگی,2020-09-04
CMP-0099,SL-00009936,T_366128,C_603968,P_591650,,LOT-202111-408583,,2021-11-29,679.55,0.00,باز,2022-02-13
CMP-0100,SL-00049966,T_069811,C_144468,P_444447,,LOT-202005-244207,,2020-05-11,"3,347.69",0.00,رسیدگی,2020-06-17
CMP-0101,SL-00026242,T_333181,C_172705,P_490196,,LOT-202105-087605,,2021-05-10,18.58,0.00,رسیدگی,2021-05-13
CMP-0102,SL-00000620,T_700417,C_842281,P_RARE_Product_Family_03,,LOT-202008-954806,,2020-08-17,33.62,0.00,رسیدگی,2020-09-03
CMP-0102,SL-00007148,T_700417,C_842281,P_RARE_Product_Family_03,,LOT-202008-287663,,2020-08-17,24.48,0.00,رسیدگی,2020-09-03
CMP-0103,SL-00052340,T_232185,C_117580,P_RARE_Product_Family_02,,LOT-202009-320014,,2020-09-07,193.17,0.00,رسیدگی,2020-09-12
CMP-0104,SL-00016597,T_172764,C_317124,P_RARE_Product_Family_03,,LOT-202106-001942,,2021-06-14,5.14,0.00,باز,2021-06-16
CMP-0105,SL-00024694,T_592645,C_117580,P_769459,,LOT-202007-782375,,2020-07-20,17.51,0.00,رسیدگی,2020-07-22
CMP-0106,SL-00018695,T_540313,C_746892,P_339338,,LOT-202012-430548,,2020-12-07,1.96,0.00,رسیدگی,2021-02-02
CMP-0107,SL-00001103,T_033238,C_986633,P_569202,,LOT-202205-612584,,2022-05-02,21.83,0.00,رسیدگی,2022-07-07
CMP-0108,SL-00051262,T_500497,C_113139,P_RARE_Product_Family_04,,LOT-202204-718063,,2022-04-18,3.40,0.00,رسیدگی,2022-05-30
CMP-0109,SL-00009957,T_693317,C_838088,P_RARE_Product_Family_05,,LOT-202011-016585,,2020-11-16,867.01,0.00,رسیدگی,2021-01-17
CMP-0110,SL-00030773,T_443062,C_691869,P_RARE_Product_Family_04,,LOT-202007-819106,,2020-07-20,33.53,0.00,باز,2020-09-29
CMP-0111,SL-00009569,T_292133,C_683666,P_611957,,LOT-202007-968566,,2020-07-06,104.12,10.41,رسیدگی,2020-07-19
CMP-0112,SL-00026136,T_644231,C_421536,P_RARE_Product_Family_05,,LOT-202005-024435,,2020-05-11,128.27,0.00,باز,2020-06-07
CMP-0113,SL-00032008,T_168019,C_683666,P_RARE_Product_Family_03,,LOT-202109-133547,,2021-09-06,10.54,1.05,رسیدگی,2021-09-13
CMP-0113,SL-00031928,T_168019,C_683666,P_RARE_Product_Family_03,,LOT-202109-466404,,2021-09-06,402.86,0.00,رسیدگی,2021-09-13
CMP-0114,SL-00031876,T_088787,C_113139,P_809117,,LOT-202005-694039,,2020-05-04,4.20,0.00,باز,2020-07-26
CMP-0115,SL-00035492,T_511063,C_245948,P_RARE_Product_Family_04,,LOT-202005-252008,,2020-05-18,173.60,0.00,رسیدگی,2020-05-22
CMP-0116,SL-00014907,T_901891,C_672706,P_RARE_Product_Family_02,,LOT-202109-590269,,2021-09-20,2.27,0.00,باز,2021-09-24
CMP-0116,SL-00013140,T_901891,C_672706,P_RARE_Product_Family_02,,LOT-202109-590269,,2021-09-20,1.29,0.00,باز,2021-09-24
CMP-0117,SL-00019332,T_088199,C_603968,P_352669,,LOT-202111-828608,,2021-11-01,282.61,0.00,رسیدگی,2021-11-13
CMP-0118,SL-00045046,T_317219,C_117580,P_540814,,LOT-202005-216589,,2020-05-25,30.54,0.00,رسیدگی,2020-06-28
CMP-0119,SL-00023084,T_377365,C_877858,P_655926,,LOT-202007-758185,,2020-07-13,80.09,0.00,رسیدگی,2020-07-17
CMP-0120,SL-00012719,T_738385,C_042732,P_RARE_Product_Family_01,,LOT-202205-359736,,2022-05-16,2.07,0.00,باز,2022-07-24
CMP-0121,SL-00035479,T_090320,C_069492,P_011998,,LOT-202110-615543,,2021-10-04,"1,160.53",0.00,رسیدگی,2021-11-02
CMP-0121,SL-00030490,T_861571,C_069492,P_011998,,LOT-202110-546477,,2021-10-11,268.89,0.00,رسیدگی,2021-11-02
CMP-0122,SL-00036773,T_262287,C_792125,P_RARE_Product_Family_05,,LOT-202003-216946,,2020-03-23,"1,355.49",0.00,رسیدگی,2020-04-06
CMP-0123,SL-00012360,T_003420,C_113139,P_228625,,LOT-202007-994363,,2020-07-20,75.02,0.00,رسیدگی,2020-09-06
CMP-0124,SL-00014983,T_989527,C_746892,P_989994,,LOT-202102-686384,,2021-02-22,4.56,0.00,باز,2021-02-26
CMP-0125,SL-00026817,T_677686,C_519849,P_RARE_Product_Family_03,,LOT-202011-621353,,2020-11-16,31.10,0.00,باز,2020-11-22
CMP-0126,SL-00019834,T_420236,C_806376,P_672805,,LOT-202102-257099,,2021-02-08,496.44,0.00,باز,2021-02-13
CMP-0127,SL-00051716,T_611802,C_746892,P_995713,,LOT-202109-762499,,2021-09-13,259.07,0.00,رسیدگی,2021-11-05
CMP-0128,SL-00044907,T_997972,C_672256,P_RARE_Product_Family_03,,LOT-202005-793908,,2020-05-11,7.31,0.73,رسیدگی,2020-05-28
CMP-0129,SL-00036570,T_571855,C_317124,P_RARE_Product_Family_03,,LOT-202111-148552,,2021-11-01,9.97,1.00,رسیدگی,2021-11-20
CMP-0130,SL-00041944,T_427179,C_465208,P_812406,,LOT-202111-452495,,2021-11-08,"3,389.48",0.00,رسیدگی,2021-11-19
CMP-0131,SL-00039038,T_525061,C_672706,P_RARE_Product_Family_02,,LOT-202001-777703,,2020-01-27,97.26,0.00,رسیدگی,2020-03-07
CMP-0132,SL-00008955,T_749377,C_862106,P_RARE_Product_Family_03,,LOT-202111-893491,,2021-11-22,623.96,0.00,رسیدگی,2021-11-28
CMP-0133,SL-00027394,T_068906,C_806376,P_700346,,LOT-202107-680650,,2021-07-26,51.24,0.00,رسیدگی,2021-07-30
CMP-0134,SL-00013471,T_196492,C_023073,P_061764,,LOT-202007-835031,,2020-07-27,6.95,0.00,باز,2020-08-30
CMP-0135,SL-00051009,T_832405,C_144468,P_444447,,LOT-202003-596322,,2020-03-16,"4,531.02",0.00,رسیدگی,2020-03-23
CMP-0136,SL-00014983,T_989527,C_746892,P_989994,,LOT-202102-686384,,2021-02-22,4.56,0.00,رسیدگی,2021-04-06
CMP-0136,SL-00034890,T_229335,C_746892,P_989994,,LOT-202103-227718,,2021-03-01,8.55,0.00,رسیدگی,2021-04-06
CMP-0137,SL-00000630,T_230076,C_113139,P_102450,,LOT-202006-853278,,2020-06-22,9.18,0.00,رسیدگی,2020-07-19
CMP-0138,SL-00001625,T_092897,C_866894,P_RARE_Product_Family_05,,LOT-202102-164613,,2021-02-08,320.09,0.00,رسیدگی,2021-03-08
CMP-0138,SL-00052500,T_586369,C_866894,P_RARE_Product_Family_05,,LOT-202102-734929,,2021-02-22,319.40,0.00,رسیدگی,2021-03-08
