Collection_ID,Customer_ID,شماره فاکتور,تاریخ فاکتور,تاریخ سررسید,تاریخ رویداد وصول,Available_At,مبلغ وصول,روز تأخیر,چک برگشتی,Source_System
COL-00000013,C_969414,T_000777,2020-07-27,2020-07-27,2020-08-19,2020-08-20,"28,348.83",23,خیر,ERP_COLLECTIONS
COL-00000014,C_969414,T_000777,2020-07-27,2020-07-27,2020-08-12,2020-08-14,"28,348.83",16,خیر,ERP_COLLECTIONS
COL-00000015,C_937594,T_000794,2021-11-29,2021-12-29,2021-12-26,2021-12-27,"967,047.67",0,خیر,ERP_COLLECTIONS
COL-00000016,C_419410,T_000878,2021-10-25,2021-10-25,2021-10-29,2021-10-29,"363,016.28",4,خیر,ERP_COLLECTIONS
COL-00000017,C_172705,T_000912,2021-02-08,2021-02-08,2021-02-23,2021-02-25,"6,179.39",15,خیر,ERP_COLLECTIONS
COL-00000018,C_155990,T_000968,2020-09-07,2020-09-07,2020-10-04,2020-10-04,"11,507.98",27,خیر,ERP_COLLECTIONS
COL-00000019,C_155990,T_000968,2020-09-07,2020-09-07,2020-09-25,2020-09-26,"11,507.98",18,خیر,ERP_COLLECTIONS
COL-00000020,C_258325,T_001007,2020-02-17,2020-05-17,2020-05-30,2020-05-31,"49,649.91",13,بله,ERP_COLLECTIONS
COL-00000021,C_848211,T_001049,2021-05-24,2021-08-22,2021-08-17,2021-08-19,"19,481.74",0,خیر,ERP_COLLECTIONS
COL-00000022,C_633661,T_001111,2021-11-29,2021-11-29,2021-12-11,2021-12-13,"1,609,852.47",12,خیر,ERP_COLLECTIONS
COL-00000023,C_245948,T_001365,2020-11-23,2020-11-23,2020-11-27,2020-11-29,"33,061.19",4,خیر,ERP_COLLECTIONS
COL-00000024,C_172705,T_001376,2021-03-15,2021-03-15,2021-04-06,2021-04-07,"5,800.82",22,خیر,ERP_COLLECTIONS
COL-00000025,C_843031,T_001470,2022-03-21,2022-04-20,2022-04-23,2022-04-24,"3,589,980.32",3,خیر,ERP_COLLECTIONS
COL-00000026,C_937594,T_001488,2020-09-07,2020-12-06,2020-12-29,2020-12-29,"238,146.62",23,خیر,ERP_COLLECTIONS
COL-00000027,C_692721,T_001495,2022-03-14,2022-03-14,2022-03-22,2022-03-22,"2,144,324.31",8,خیر,ERP_COLLECTIONS
COL-00000028,C_986633,T_001671,2020-07-13,2020-07-13,2020-08-30,2020-08-31,"1,283.78",48,خیر,ERP_COLLECTIONS
COL-00000029,C_497112,T_001782,2021-05-31,2021-06-30,2021-07-09,2021-07-11,"465,698.06",9,خیر,ERP_COLLECTIONS
COL-00000030,C_117580,T_001807,2020-04-27,2020-04-27,2020-05-30,2020-05-30,"25,378.97",33,خیر,ERP_COLLECTIONS
COL-00000031,C_937594,T_001820,2021-05-17,2021-08-15,2021-08-15,2021-08-16,"387,245.92",0,خیر,ERP_COLLECTIONS
COL-00000032,C_937594,T_001873,2020-07-13,2020-10-11,2020-11-26,2020-11-27,"278,252.73",46,خیر,ERP_COLLECTIONS
COL-00000033,C_806376,T_001896,2021-09-13,2021-10-13,2021-10-10,2021-10-11,"146,862.79",0,خیر,ERP_COLLECTIONS
COL-00000034,C_317124,T_002010,2021-08-30,2021-08-30,2021-10-17,2021-10-19,"43,932.34",48,خیر,ERP_COLLECTIONS
COL-00000035,C_185126,T_002084,2020-06-01,2020-06-01,2020-07-14,2020-07-14,"459,324.96",43,خیر,ERP_COLLECTIONS
COL-00000036,C_421536,T_002151,2020-03-09,2020-04-08,2020-05-26,2020-05-28,"101,178.25",48,خیر,ERP_COLLECTIONS
COL-00000037,C_050237,T_002232,2020-12-21,2021-03-21,2021-04-03,2021-04-04,"207,547.87",13,خیر,ERP_COLLECTIONS
COL-00000038,C_746892,T_002249,2020-11-09,2021-02-07,2021-02-02,2021-02-04,"78,948.13",0,خیر,ERP_COLLECTIONS
COL-00000039,C_877858,T_002356,2021-09-27,2021-09-27,2021-09-29,2021-09-30,"5,909.10",2,خیر,ERP_COLLECTIONS
COL-00000040,C_877858,T_002356,2021-09-27,2021-09-27,2021-10-02,2021-10-04,"5,909.09",5,خیر,ERP_COLLECTIONS
COL-00000041,C_155990,T_002379,2020-12-14,2020-12-14,2021-01-16,2021-01-17,"32,528.58",33,خیر,ERP_COLLECTIONS
COL-00000042,C_419410,T_002404,2021-08-02,2021-08-02,2021-08-02,2021-08-03,"136,468.58",0,خیر,ERP_COLLECTIONS
COL-00000043,C_514467,T_002419,2020-04-20,2020-05-20,2020-07-08,2020-07-09,"74,273.30",49,خیر,ERP_COLLECTIONS
COL-00000044,C_703801,T_002495,2020-04-20,2020-04-20,2020-05-26,2020-05-27,"493,949.69",36,خیر,ERP_COLLECTIONS
COL-00000045,C_292582,T_002660,2021-05-03,2021-06-02,2021-06-09,2021-06-09,"557,734.98",7,خیر,ERP_COLLECTIONS
COL-00000046,C_600979,T_002728,2020-07-13,2020-07-13,2020-08-02,2020-08-03,"5,833.54",20,خیر,ERP_COLLECTIONS
COL-00000047,C_633661,T_002764,2020-07-06,2020-07-06,2020-07-26,2020-07-27,"320,863.98",20,خیر,ERP_COLLECTIONS
COL-00000048,C_828155,T_002850,2021-05-10,2021-05-10,2021-05-13,2021-05-14,"42,799.55",3,خیر,ERP_COLLECTIONS
COL-00000049,C_853926,T_002857,2020-08-03,2020-08-03,2020-09-12,2020-09-14,"66,714.84",40,خیر,ERP_COLLECTIONS
COL-00000050,C_472366,T_002877,2022-04-11,2022-04-11,2022-04-22,2022-04-22,"248,956.20",11,خیر,ERP_COLLECTIONS
COL-00000051,C_472366,T_002877,2022-04-11,2022-04-11,2022-05-18,2022-05-19,"248,956.20",37,خیر,ERP_COLLECTIONS
COL-00000052,C_662193,T_003028,2020-06-08,2020-06-08,2020-06-20,2020-06-21,"332,641.93",12,خیر,ERP_COLLECTIONS
COL-00000053,C_117580,T_003066,2020-08-24,2020-08-24,2020-08-31,2020-09-02,"32,620.31",7,خیر,ERP_COLLECTIONS
COL-00000054,C_117580,T_003066,2020-08-24,2020-08-24,2020-09-01,2020-09-01,"32,620.31",8,خیر,ERP_COLLECTIONS
COL-00000055,C_147153,T_003185,2020-12-21,2021-01-20,2021-01-18,2021-01-18,"194,570.48",0,خیر,ERP_COLLECTIONS
COL-00000056,C_147153,T_003185,2020-12-21,2021-01-20,2021-01-23,2021-01-24,"194,570.47",3,خیر,ERP_COLLECTIONS
COL-00000057,C_749821,T_003220,2022-03-14,2022-03-14,2022-03-27,2022-03-29,"76,279.94",13,خیر,ERP_COLLECTIONS
COL-00000058,C_172705,T_003259,2020-03-02,2020-03-02,2020-04-03,2020-04-03,"2,638.68",32,خیر,ERP_COLLECTIONS
COL-00000059,C_877858,T_003293,2021-08-23,2021-08-23,2021-10-09,2021-10-09,"31,878.79",47,خیر,ERP_COLLECTIONS
COL-00000060,C_512037,T_003340,2020-01-20,2020-01-20,2020-02-08,2020-02-10,"10,520.63",19,خیر,ERP_COLLECTIONS
COL-00000061,C_117580,T_003355,2020-08-31,2020-08-31,2020-10-17,2020-10-17,"61,135.94",47,خیر,ERP_COLLECTIONS
COL-00000062,C_113139,T_003420,2020-07-20,2020-10-18,2020-10-23,2020-10-24,"57,545.68",5,خیر,ERP_COLLECTIONS
COL-00000063,C_739947,T_003490,2020-12-14,2021-01-13,2021-01-21,2021-01-23,"107,022.27",8,خیر,ERP_COLLECTIONS
COL-00000064,C_739947,T_003490,2020-12-14,2021-01-13,2021-01-21,2021-01-21,"107,022.26",8,خیر,ERP_COLLECTIONS
COL-00000065,C_683666,T_003499,2020-02-24,2020-02-24,2020-03-31,2020-04-01,"159,992.17",36,خیر,ERP_COLLECTIONS
COL-00000066,C_683666,T_003588,2020-09-14,2020-09-14,2020-10-01,2020-10-03,"79,116.78",17,خیر,ERP_COLLECTIONS
COL-00000067,C_683666,T_003588,2020-09-14,2020-09-14,2020-09-27,2020-09-27,"79,116.78",13,خیر,ERP_COLLECTIONS
COL-00000068,C_943171,T_003596,2021-02-15,2021-02-15,2021-02-28,2021-03-01,"18,644.93",13,خیر,ERP_COLLECTIONS
COL-00000069,C_806376,T_003778,2020-11-23,2020-11-23,2021-01-11,2021-01-13,"38,709.96",49,خیر,ERP_COLLECTIONS
COL-00000070,C_806376,T_003778,2020-11-23,2020-11-23,2020-12-22,2020-12-22,"38,709.97",29,خیر,ERP_COLLECTIONS
COL-00000071,C_197461,T_003789,2021-06-21,2021-06-21,2021-06-21,2021-06-22,"168,908.65",0,خیر,ERP_COLLECTIONS
COL-00000072,C_197461,T_003789,2021-06-21,2021-06-21,2021-07-22,2021-07-24,"168,908.64",31,خیر,ERP_COLLECTIONS
COL-00000073,C_866894,T_003792,2020-07-20,2020-07-20,2020-08-19,2020-08-20,"109,882.13",30,خیر,ERP_COLLECTIONS
COL-00000074,C_728285,T_003895,2021-09-27,2021-10-27,2021-12-02,2021-12-04,"1,452,723.12",36,خیر,ERP_COLLECTIONS
COL-00000075,C_939370,T_003922,2021-10-18,2021-10-18,2021-11-22,2021-11-24,"20,565.03",35,خیر,ERP_COLLECTIONS
COL-00000076,C_948070,T_003926,2022-05-02,2022-05-02,2022-05-03,2022-05-03,"687,517.08",1,خیر,ERP_COLLECTIONS
COL-00000077,C_806376,T_003946,2020-12-14,2020-12-14,2020-12-20,2020-12-21,"79,015.29",6,خیر,ERP_COLLECTIONS
COL-00000078,C_113139,T_003987,2020-09-28,2020-12-27,2021-01-12,2021-01-13,"61,360.61",16,خیر,ERP_COLLECTIONS
COL-00000079,C_113139,T_003987,2020-09-28,2020-12-27,2021-01-08,2021-01-10,"61,360.60",12,خیر,ERP_COLLECTIONS
COL-00000080,C_040673,T_004044,2020-01-13,2020-01-13,2020-02-05,2020-02-05,"48,454.13",23,خیر,ERP_COLLECTIONS
COL-00000081,C_728285,T_004144,2021-06-21,2021-07-21,2021-07-24,2021-07-25,"378,970.31",3,خیر,ERP_COLLECTIONS
COL-00000082,C_421536,T_004457,2020-06-01,2020-06-01,2020-06-30,2020-07-01,"41,556.31",29,خیر,ERP_COLLECTIONS
COL-00000083,C_980626,T_004700,2021-03-08,2021-06-06,2021-07-24,2021-07-25,"43,106.74",48,خیر,ERP_COLLECTIONS
COL-00000084,C_705572,T_004792,2020-06-15,2020-06-15,2020-06-15,2020-06-17,"18,486.55",0,خیر,ERP_COLLECTIONS
COL-00000085,C_117580,T_004829,2020-08-10,2020-08-10,2020-09-22,2020-09-24,"54,375.05",43,خیر,ERP_COLLECTIONS
COL-00000086,C_150182,T_004835,2020-06-01,2020-06-01,2020-06-01,2020-06-02,327.10,0,خیر,ERP_COLLECTIONS
COL-00000087,C_190305,T_004918,2021-01-25,2021-01-25,2021-01-25,2021-01-26,"94,869.30",0,خیر,ERP_COLLECTIONS
COL-00000088,C_245948,T_005037,2020-02-03,2020-05-03,2020-05-17,2020-05-18,"399,692.18",14,خیر,ERP_COLLECTIONS
COL-00000089,C_862106,T_005043,2021-06-21,2021-06-21,2021-06-22,2021-06-22,"729,030.75",1,خیر,ERP_COLLECTIONS
COL-00000090,C_051706,T_005159,2021-03-29,2021-06-27,2021-06-27,2021-06-27,"218,684.48",0,خیر,ERP_COLLECTIONS
COL-00000091,C_749821,T_005240,2021-08-16,2021-11-14,2021-12-19,2021-12-19,"663,277.45",35,خیر,ERP_COLLECTIONS
COL-00000092,C_258325,T_005363,2021-07-05,2021-07-05,2021-08-18,2021-08-20,"52,416.86",44,خیر,ERP_COLLECTIONS
COL-00000093,C_276262,T_005399,2022-04-25,2022-04-25,2022-06-06,2022-06-08,"4,366.84",42,خیر,ERP_COLLECTIONS
COL-00000094,C_155990,T_005519,2021-09-27,2021-09-27,2021-10-06,2021-10-06,"45,252.90",9,خیر,ERP_COLLECTIONS
COL-00000095,C_514467,T_005607,2020-01-27,2020-02-26,2020-03-18,2020-03-19,"33,767.90",21,خیر,ERP_COLLECTIONS
COL-00000096,C_739258,T_005768,2020-08-10,2020-08-10,2020-09-28,2020-09-29,"15,841.92",49,خیر,ERP_COLLECTIONS
COL-00000097,C_746892,T_005789,2020-01-06,2020-04-05,2020-05-24,2020-05-26,"188,094.11",49,خیر,ERP_COLLECTIONS
COL-00000098,C_336021,T_005839,2020-10-26,2020-10-26,2020-11-25,2020-11-27,380.00,30,خیر,ERP_COLLECTIONS
COL-00000099,C_336021,T_005839,2020-10-26,2020-10-26,2020-11-14,2020-11-14,379.99,19,خیر,ERP_COLLECTIONS
COL-00000100,C_728285,T_005851,2021-03-08,2021-04-07,2021-05-16,2021-05-18,"338,291.82",39,خیر,ERP_COLLECTIONS
COL-00000101,C_245948,T_005960,2021-02-22,2021-05-23,2021-06-11,2021-06-12,"786,746.30",19,خیر,ERP_COLLECTIONS
COL-00000102,C_683666,T_005969,2020-03-16,2020-03-16,2020-04-12,2020-04-13,"386,415.10",27,خیر,ERP_COLLECTIONS
COL-00000103,C_862106,T_005996,2021-08-16,2021-08-16,2021-09-05,2021-09-07,"947,626.04",20,خیر,ERP_COLLECTIONS
COL-00000104,C_172705,T_006017,2020-12-14,2020-12-14,2021-01-16,2021-01-18,"7,513.26",33,خیر,ERP_COLLECTIONS
COL-00000105,C_385527,T_006090,2021-02-08,2021-02-08,2021-02-13,2021-02-15,"43,549.47",5,خیر,ERP_COLLECTIONS
COL-00000106,C_582486,T_006309,2021-04-12,2021-04-12,2021-05-06,2021-05-07,"219,299.84",24,خیر,ERP_COLLECTIONS
COL-00000107,C_282979,T_006466,2021-03-01,2021-03-31,2021-03-28,2021-03-29,"34,880.16",0,خیر,ERP_COLLECTIONS
COL-00000108,C_412635,T_006623,2021-06-21,2021-06-21,2021-07-25,2021-07-25,"2,080.18",34,خیر,ERP_COLLECTIONS
COL-00000109,C_535756,T_006751,2020-10-19,2020-10-19,2020-11-21,2020-11-22,"463,670.09",33,خیر,ERP_COLLECTIONS
COL-00000110,C_763443,T_006896,2021-05-17,2021-05-17,2021-05-17,2021-05-18,"2,617.95",0,خیر,ERP_COLLECTIONS
COL-00000111,C_763443,T_006896,2021-05-17,2021-05-17,2021-06-18,2021-06-20,"2,617.95",32,خیر,ERP_COLLECTIONS
COL-00000112,C_705572,T_006920,2021-06-14,2021-06-14,2021-07-11,2021-07-13,"109,334.83",27,خیر,ERP_COLLECTIONS
COL-00000113,C_692721,T_007209,2021-05-03,2021-05-03,2021-05-05,2021-05-07,"177,311.67",2,خیر,ERP_COLLECTIONS
COL-00000114,C_692721,T_007209,2021-05-03,2021-05-03,2021-05-08,2021-05-08,"177,311.67",5,خیر,ERP_COLLECTIONS
COL-00000115,C_739947,T_007261,2021-10-25,2021-10-25,2021-11-12,2021-11-14,"501,289.61",18,خیر,ERP_COLLECTIONS
COL-00000116,C_698497,T_007350,2022-03-07,2022-04-06,2022-05-19,2022-05-21,"890,570.19",43,خیر,ERP_COLLECTIONS
COL-00000117,C_258325,T_007479,2021-06-21,2021-06-21,2021-07-16,2021-07-18,"50,779.12",25,خیر,ERP_COLLECTIONS
COL-00000118,C_258325,T_007479,2021-06-21,2021-06-21,2021-07-08,2021-07-08,"50,779.11",17,خیر,ERP_COLLECTIONS
COL-00000119,C_022240,T_007536,2020-07-20,2020-07-20,2020-08-27,2020-08-29,"76,648.69",38,خیر,ERP_COLLECTIONS
COL-00000120,C_943921,T_007651,2020-09-21,2020-09-21,2020-10-13,2020-10-15,"28,432.77",22,خیر,ERP_COLLECTIONS
COL-00000121,C_698497,T_007851,2020-12-07,2021-03-07,2021-03-05,2021-03-05,"87,425.32",0,خیر,ERP_COLLECTIONS
COL-00000122,C_740649,T_007895,2020-04-27,2020-04-27,2020-04-30,2020-04-30,"3,390.54",3,خیر,ERP_COLLECTIONS
COL-00000123,C_937594,T_007916,2020-12-14,2021-03-14,2021-03-11,2021-03-11,"301,089.80",0,خیر,ERP_COLLECTIONS
COL-00000124,C_915518,T_007952,2020-07-20,2020-07-20,2020-08-28,2020-08-30,587.70,39,خیر,ERP_COLLECTIONS
COL-00000125,C_027096,T_007964,2020-04-13,2020-05-13,2020-05-10,2020-05-10,"75,546.18",0,خیر,ERP_COLLECTIONS
COL-00000126,C_117580,T_008005,2020-09-07,2020-09-07,2020-10-07,2020-10-07,"64,062.08",30,خیر,ERP_COLLECTIONS
COL-00000127,C_575381,T_008018,2020-08-17,2020-08-17,2020-09-18,2020-09-20,"124,485.55",32,خیر,ERP_COLLECTIONS
COL-00000128,C_411261,T_008123,2020-08-17,2020-08-17,2020-08-19,2020-08-20,"364,838.04",2,خیر,ERP_COLLECTIONS
COL-00000129,C_334474,T_008170,2021-11-01,2021-11-01,2021-11-01,2021-11-02,"378,418.10",0,خیر,ERP_COLLECTIONS
COL-00000130,C_334474,T_008170,2021-11-01,2021-11-01,2021-12-01,2021-12-03,"378,418.09",30,خیر,ERP_COLLECTIONS
COL-00000131,C_218295,T_008527,2021-11-08,2021-11-08,2021-12-22,2021-12-22,"21,871.19",44,خیر,ERP_COLLECTIONS
COL-00000132,C_603877,T_008719,2020-10-05,2020-10-05,2020-10-10,2020-10-12,"3,212.99",5,خیر,ERP_COLLECTIONS
COL-00000133,C_603877,T_008719,2020-10-05,2020-10-05,2020-11-08,2020-11-08,"3,212.98",34,خیر,ERP_COLLECTIONS
COL-00000134,C_042732,T_008751,2021-11-08,2021-11-08,2021-12-05,2021-12-07,"276,646.49",27,خیر,ERP_COLLECTIONS
COL-00000135,C_838088,T_008825,2020-01-27,2020-01-27,2020-03-07,2020-03-09,"62,746.19",40,خیر,ERP_COLLECTIONS
COL-00000136,C_472366,T_008960,2021-12-06,2021-12-06,2021-12-15,2021-12-17,"502,299.61",9,خیر,ERP_COLLECTIONS
COL-00000137,C_799217,T_008974,2020-03-09,2020-03-09,2020-04-06,2020-04-07,"51,868.10",28,خیر,ERP_COLLECTIONS
COL-00000138,C_421536,T_009000,2020-06-22,2020-06-22,2020-08-03,2020-08-03,"23,467.44",42,خیر,ERP_COLLECTIONS
COL-00000139,C_728285,T_009023,2022-04-04,2022-05-04,2022-05-15,2022-05-16,"4,256,213.04",11,خیر,ERP_COLLECTIONS
COL-00000140,C_762928,T_009209,2020-12-21,2021-03-21,2021-04-02,2021-04-04,"607,310.75",12,خیر,ERP_COLLECTIONS
COL-00000141,C_878590,T_009238,2021-08-23,2021-08-23,2021-09-01,2021-09-01,"5,039.80",9,خیر,ERP_COLLECTIONS
COL-00000142,C_683666,T_009384,2022-04-25,2022-04-25,2022-06-04,2022-06-04,"4,308,403.13",40,خیر,ERP_COLLECTIONS
COL-00000143,C_806376,T_009535,2021-06-28,2021-07-28,2021-09-08,2021-09-10,"99,426.79",42,خیر,ERP_COLLECTIONS
COL-00000144,C_683666,T_009707,2021-03-22,2021-03-22,2021-04-11,2021-04-11,"928,740.28",20,خیر,ERP_COLLECTIONS
COL-00000145,C_848211,T_009770,2020-12-28,2021-01-27,2021-03-12,2021-03-14,"28,460.96",44,خیر,ERP_COLLECTIONS
COL-00000146,C_862106,T_009932,2021-02-15,2021-02-15,2021-03-29,2021-03-29,"643,382.94",42,خیر,ERP_COLLECTIONS
COL-00000147,C_565612,T_009981,2020-06-08,2020-06-08,2020-07-09,2020-07-09,"298,831.33",31,خیر,ERP_COLLECTIONS
COL-00000148,C_258325,T_010009,2020-05-04,2020-08-02,2020-08-15,2020-08-16,"19,815.52",13,خیر,ERP_COLLECTIONS
COL-00000149,C_314119,T_010038,2020-08-10,2020-08-10,2020-09-18,2020-09-18,"277,687.45",39,خیر,ERP_COLLECTIONS
COL-00000150,C_951507,T_010112,2022-05-09,2022-05-09,2022-06-22,2022-06-23,"390,940.89",44,خیر,ERP_COLLECTIONS
COL-00000151,C_806376,T_010153,2020-10-19,2020-10-19,2020-10-31,2020-11-01,"73,349.55",12,خیر,ERP_COLLECTIONS
COL-00000152,C_939370,T_010308,2021-04-26,2021-05-26,2021-07-08,2021-07-10,"25,184.52",43,خیر,ERP_COLLECTIONS
COL-00000153,C_739947,T_010430,2020-10-26,2020-11-25,2020-12-09,2020-12-10,"140,960.28",14,خیر,ERP_COLLECTIONS
COL-00000154,C_714619,T_010496,2020-04-27,2020-04-27,2020-05-05,2020-05-05,"167,194.01",8,خیر,ERP_COLLECTIONS
COL-00000155,C_472366,T_010538,2021-11-15,2021-11-15,2021-12-23,2021-12-23,"211,776.55",38,خیر,ERP_COLLECTIONS
COL-00000156,C_758522,T_010561,2020-08-24,2020-08-24,2020-08-24,2020-08-25,"398,325.75",0,خیر,ERP_COLLECTIONS
COL-00000157,C_710912,T_010585,2021-11-22,2021-11-22,2021-12-30,2021-12-31,"499,828.66",38,خیر,ERP_COLLECTIONS
COL-00000158,C_710912,T_010585,2021-11-22,2021-11-22,2021-12-15,2021-12-17,"499,828.65",23,خیر,ERP_COLLECTIONS
COL-00000159,C_113139,T_010689,2020-08-03,2020-08-03,2020-08-04,2020-08-04,"89,584.16",1,خیر,ERP_COLLECTIONS
COL-00000160,C_113139,T_010689,2020-08-03,2020-08-03,2020-08-08,2020-08-09,"89,584.16",5,خیر,ERP_COLLECTIONS
COL-00000161,C_691869,T_010700,2020-03-09,2020-06-07,2020-06-02,2020-06-04,"193,271.24",0,خیر,ERP_COLLECTIONS
COL-00000162,C_691869,T_010700,2020-03-09,2020-06-07,2020-06-09,2020-06-09,"193,271.23",2,خیر,ERP_COLLECTIONS
COL-00000163,C_420849,T_010742,2020-08-03,2020-08-03,2020-09-20,2020-09-22,"142,278.77",48,خیر,ERP_COLLECTIONS
COL-00000164,C_086403,T_010786,2020-02-03,2020-02-03,2020-02-03,2020-02-04,"49,993.40",0,خیر,ERP_COLLECTIONS
COL-00000165,C_113139,T_011071,2020-03-30,2020-06-28,2020-08-16,2020-08-18,"33,747.14",49,خیر,ERP_COLLECTIONS
COL-00000166,C_939370,T_011184,2020-11-16,2020-12-16,2021-01-03,2021-01-03,"17,806.83",18,خیر,ERP_COLLECTIONS
COL-00000167,C_939370,T_011184,2020-11-16,2020-12-16,2021-01-26,2021-01-27,"17,806.83",41,خیر,ERP_COLLECTIONS
COL-00000168,C_101842,T_011212,2021-05-24,2021-06-23,2021-06-29,2021-07-01,"94,490.82",6,خیر,ERP_COLLECTIONS
COL-00000169,C_101842,T_011212,2021-05-24,2021-06-23,2021-07-28,2021-07-28,"94,490.81",35,خیر,ERP_COLLECTIONS
COL-00000170,C_900728,T_011271,2020-09-28,2020-09-28,2020-11-14,2020-11-16,"28,241.54",47,خیر,ERP_COLLECTIONS
COL-00000171,C_330550,T_011352,2020-01-20,2020-01-20,2020-02-07,2020-02-09,"126,644.89",18,خیر,ERP_COLLECTIONS
COL-00000172,C_322219,T_011385,2020-05-04,2020-05-04,2020-05-06,2020-05-06,"80,548.58",2,خیر,ERP_COLLECTIONS
COL-00000173,C_862106,T_011442,2020-03-23,2020-03-23,2020-04-21,2020-04-23,"250,085.65",29,خیر,ERP_COLLECTIONS
COL-00000174,C_746892,T_011459,2021-10-25,2022-01-23,2022-02-06,2022-02-08,"132,087.80",14,خیر,ERP_COLLECTIONS
COL-00000175,C_746892,T_011459,2021-10-25,2022-01-23,2022-03-03,2022-03-03,"132,087.79",39,خیر,ERP_COLLECTIONS
COL-00000176,C_932446,T_011543,2019-12-16,2019-12-16,2020-01-17,2020-01-18,351.58,32,خیر,ERP_COLLECTIONS
COL-00000177,C_932446,T_011543,2019-12-16,2019-12-16,2020-02-02,2020-02-04,351.57,48,خیر,ERP_COLLECTIONS
COL-00000178,C_170045,T_011556,2021-09-27,2021-09-27,2021-10-22,2021-10-23,"3,301.63",25,خیر,ERP_COLLECTIONS
COL-00000179,C_603968,T_011630,2020-04-20,2020-07-19,2020-08-03,2020-08-05,"18,325.51",15,خیر,ERP_COLLECTIONS
COL-00000180,C_265923,T_011639,2022-01-31,2022-01-31,2022-03-05,2022-03-06,"76,453.59",33,خیر,ERP_COLLECTIONS
COL-00000181,C_672256,T_011665,2021-01-11,2021-01-11,2021-01-31,2021-01-31,"300,974.83",20,خیر,ERP_COLLECTIONS
COL-00000182,C_593639,T_011669,2020-04-20,2020-05-20,2020-06-17,2020-06-17,"101,162.82",28,خیر,ERP_COLLECTIONS
COL-00000183,C_336021,T_011794,2021-08-09,2021-08-09,2021-08-18,2021-08-20,"5,593.37",9,خیر,ERP_COLLECTIONS
COL-00000184,C_412635,T_011811,2022-05-02,2022-05-02,2022-05-15,2022-05-17,"130,861.72",13,خیر,ERP_COLLECTIONS
COL-00000185,C_739258,T_011845,2020-11-09,2020-11-09,2020-11-22,2020-11-24,686.96,13,خیر,ERP_COLLECTIONS
COL-00000186,C_806376,T_011941,2021-05-03,2021-06-02,2021-06-21,2021-06-22,"75,243.83",19,خیر,ERP_COLLECTIONS
COL-00000187,C_969414,T_012009,2021-06-28,2021-06-28,2021-08-09,2021-08-09,"48,846.86",42,خیر,ERP_COLLECTIONS
COL-00000188,C_969414,T_012009,2021-06-28,2021-06-28,2021-07-23,2021-07-24,"48,846.86",25,خیر,ERP_COLLECTIONS
COL-00000189,C_180745,T_012017,2020-11-02,2020-12-02,2021-01-02,2021-01-03,"217,074.84",31,خیر,ERP_COLLECTIONS
COL-00000190,C_862106,T_012027,2020-11-02,2020-11-02,2020-11-29,2020-11-29,"227,429.02",27,خیر,ERP_COLLECTIONS
COL-00000191,C_862106,T_012027,2020-11-02,2020-11-02,2020-11-20,2020-11-21,"227,429.02",18,خیر,ERP_COLLECTIONS
COL-00000192,C_672256,T_012030,2022-01-24,2022-01-24,2022-02-27,2022-02-27,"1,664,611.07",34,خیر,ERP_COLLECTIONS
COL-00000193,C_274912,T_012074,2020-04-27,2020-04-27,2020-05-10,2020-05-10,"223,132.98",13,خیر,ERP_COLLECTIONS
COL-00000194,C_117580,T_012107,2020-06-29,2020-06-29,2020-07-28,2020-07-29,"59,697.51",29,خیر,ERP_COLLECTIONS
