Offer_ID,Customer_ID,Offer_Date,Available_At,Product_ID,گروه کالا,Base_Price_per_unit,Offered_Price_per_unit,Offer_Discount_Pct,Offer_Type,Validity_Days,Offer_Reason,Result,Decision_At,Decision_Available_At,Source_System
OFF-0000035,C_245948,2020-11-23,2020-11-24,P_RARE_Product_Family_04,Product_Family_04,100.48,95.36,5.1%,مدت,8,افزایش سهم از سبد,منقضی,2020-12-09,2020-12-10,CRM_OFFERS
OFF-0000036,C_728285,2021-03-13,2021-03-13,P_434331,Product_Family_04,103.62,97.82,5.6%,قیمتی,26,تسویه سریع,قبول,2021-04-03,2021-04-03,CRM_OFFERS
OFF-0000037,C_951507,2021-05-15,2021-05-17,P_RARE_Product_Family_05,Product_Family_05,281.57,264.37,6.1%,مدت,18,افزایش سهم از سبد,رد,2021-06-09,2021-06-11,CRM_OFFERS
OFF-0000038,C_672706,2021-07-14,2021-07-16,P_RARE_Product_Family_02,Product_Family_02,113.48,109.89,3.2%,قیمتی,24,افزایش حجم سفارش,رد,2021-07-19,2021-07-21,CRM_OFFERS
OFF-0000039,C_152040,2020-06-22,2020-06-23,P_RARE_Product_Family_04,Product_Family_04,49.25,47.44,3.7%,مدت,16,افزایش سهم از سبد,منقضی,2020-07-01,2020-07-02,CRM_OFFERS
OFF-0000040,C_806376,2021-05-04,2021-05-06,P_RARE_Product_Family_03,Product_Family_03,243.05,236.71,2.6%,قیمتی,27,آزمون محصول,رد,2021-05-13,2021-05-15,CRM_OFFERS
OFF-0000041,C_789545,2021-03-09,2021-03-09,P_615273,Product_Family_04,182.55,178.70,2.1%,حجمی,9,آزمون محصول,قبول,2021-03-14,2021-03-14,CRM_OFFERS
OFF-0000042,C_117580,2020-07-26,2020-07-26,P_672805,Product_Family_02,130.88,126.14,3.6%,قیمتی,11,افزایش سهم از سبد,قبول,2020-08-13,2020-08-13,CRM_OFFERS
OFF-0000043,C_117580,2020-07-26,2020-07-27,P_RARE_Product_Family_02,Product_Family_02,91.21,88.36,3.1%,حجمی,19,افزایش حجم سفارش,درحال مذاکره,,,CRM_OFFERS
OFF-0000044,C_749821,2022-01-07,2022-01-08,P_427325,Product_Family_05,848.30,809.02,4.6%,حجمی,21,افزایش سهم از سبد,منقضی,2022-02-03,2022-02-04,CRM_OFFERS
OFF-0000045,C_117580,2020-09-11,2020-09-13,P_047794,Product_Family_02,134.04,128.50,4.1%,مدت,29,حفظ مشتری کلیدی,رد,2020-10-04,2020-10-06,CRM_OFFERS
OFF-0000046,C_117580,2020-07-01,2020-07-03,P_RARE_Product_Family_02,Product_Family_02,130.09,122.74,5.7%,قیمتی,5,افزایش سهم از سبد,درحال مذاکره,,,CRM_OFFERS
OFF-0000047,C_691869,2021-08-25,2021-08-25,P_RARE_Product_Family_04,Product_Family_04,172.59,163.72,5.1%,مدت,13,معرفی محصول جدید,قبول,2021-09-25,2021-09-25,CRM_OFFERS
OFF-0000048,C_338236,2021-10-04,2021-10-04,P_735610,Product_Family_04,125.53,117.17,6.7%,مدت,15,افزایش حجم سفارش,قبول,2021-10-19,2021-10-19,CRM_OFFERS
OFF-0000049,C_662193,2020-04-13,2020-04-14,P_RARE_Product_Family_03,Product_Family_03,83.81,78.66,6.2%,قیمتی,23,تسویه سریع,منقضی,2020-04-23,2020-04-24,CRM_OFFERS
OFF-0000050,C_683666,2020-04-28,2020-04-28,P_241469,Product_Family_03,110.84,108.02,2.5%,مدت,5,افزایش سهم از سبد,رد,2020-05-16,2020-05-16,CRM_OFFERS
OFF-0000051,C_683666,2021-05-23,2021-05-25,P_RARE_Product_Family_01,Product_Family_01,235.43,228.27,3.0%,حجمی,23,معرفی محصول جدید,منقضی,2021-06-14,2021-06-16,CRM_OFFERS
OFF-0000052,C_317124,2021-02-04,2021-02-06,P_RARE_Product_Family_03,Product_Family_03,92.43,91.02,1.5%,قیمتی,21,تسویه سریع,منقضی,2021-02-13,2021-02-15,CRM_OFFERS
OFF-0000053,C_632933,2021-07-27,2021-07-28,P_992126,Product_Family_03,190.70,186.83,2.0%,حجمی,13,حفظ مشتری کلیدی,قبول,2021-08-09,2021-08-10,CRM_OFFERS
OFF-0000054,C_150182,2021-02-20,2021-02-21,P_655926,Product_Family_04,169.92,156.31,8.0%,حجمی,11,آزمون محصول,قبول,2021-03-22,2021-03-23,CRM_OFFERS
OFF-0000055,C_862106,2020-02-15,2020-02-15,P_850562,Product_Family_04,77.15,76.36,1.0%,مدت,29,افزایش حجم سفارش,درحال مذاکره,,,CRM_OFFERS
OFF-0000056,C_422697,2020-03-30,2020-03-30,P_RARE_Product_Family_05,Product_Family_05,192.17,178.72,7.0%,حجمی,27,تسویه سریع,رد,2020-04-20,2020-04-20,CRM_OFFERS
OFF-0000057,C_739258,2020-05-18,2020-05-20,P_709297,Product_Family_01,79.54,73.57,7.5%,حجمی,19,افزایش حجم سفارش,منقضی,2020-06-13,2020-06-15,CRM_OFFERS
OFF-0000058,C_701486,2020-08-19,2020-08-21,P_RARE_Product_Family_04,Product_Family_04,52.21,49.08,6.0%,قیمتی,17,معرفی محصول جدید,درحال مذاکره,,,CRM_OFFERS
OFF-0000059,C_350091,2020-05-20,2020-05-21,P_RARE_Product_Family_02,Product_Family_02,65.60,61.34,6.5%,مدت,9,رقابت قیمتی,قبول,2020-06-06,2020-06-07,CRM_OFFERS
OFF-0000060,C_593639,2020-06-21,2020-06-22,P_RARE_Product_Family_05,Product_Family_05,64.81,60.90,6.0%,مدت,23,حفظ مشتری کلیدی,قبول,2020-07-19,2020-07-20,CRM_OFFERS
OFF-0000061,C_334474,2021-11-21,2021-11-23,P_RARE_Product_Family_05,Product_Family_05,541.27,511.34,5.5%,قیمتی,5,معرفی محصول جدید,منقضی,2021-12-14,2021-12-16,CRM_OFFERS
OFF-0000062,C_672706,2021-05-11,2021-05-11,P_RARE_Product_Family_05,Product_Family_05,109.96,104.44,5.0%,حجمی,13,تسویه سریع,درحال مذاکره,,,CRM_OFFERS
OFF-0000063,C_806376,2020-11-03,2020-11-04,P_RARE_Product_Family_02,Product_Family_02,138.81,132.54,4.5%,حجمی,21,افزایش سهم از سبد,قبول,2020-11-17,2020-11-18,CRM_OFFERS
OFF-0000064,C_939370,2022-04-13,2022-04-13,P_569202,Product_Family_03,666.26,612.56,8.1%,مدت,17,افزایش سهم از سبد,رد,2022-04-28,2022-04-28,CRM_OFFERS
OFF-0000065,C_117580,2020-08-12,2020-08-13,P_RARE_Product_Family_02,Product_Family_02,131.67,121.73,7.6%,مدت,25,حفظ مشتری کلیدی,درحال مذاکره,,,CRM_OFFERS
OFF-0000066,C_113139,2021-02-19,2021-02-21,P_889688,Product_Family_GENERALIZED,246.72,229.33,7.0%,مدت,7,معرفی محصول جدید,منقضی,2021-02-25,2021-02-27,CRM_OFFERS
OFF-0000067,C_951507,2021-03-19,2021-03-19,P_445943,Product_Family_05,235.79,220.37,6.5%,قیمتی,15,حفظ مشتری کلیدی,رد,2021-03-21,2021-03-21,CRM_OFFERS
OFF-0000068,C_980626,2020-01-13,2020-01-13,P_569202,Product_Family_03,80.61,79.01,2.0%,قیمتی,9,حفظ مشتری کلیدی,رد,2020-02-04,2020-02-04,CRM_OFFERS
OFF-0000069,C_806376,2021-03-29,2021-03-30,P_RARE_Product_Family_03,Product_Family_03,194.17,191.30,1.5%,مدت,17,افزایش سهم از سبد,قبول,2021-04-16,2021-04-17,CRM_OFFERS
OFF-0000070,C_714619,2020-04-17,2020-04-19,P_RARE_Product_Family_03,Product_Family_03,97.82,95.83,2.0%,مدت,14,تسویه سریع,منقضی,2020-04-25,2020-04-27,CRM_OFFERS
OFF-0000071,C_317124,2021-11-10,2021-11-11,P_264883,Product_Family_03,248.64,242.32,2.5%,حجمی,6,معرفی محصول جدید,قبول,2021-11-22,2021-11-23,CRM_OFFERS
OFF-0000072,C_051535,2022-05-16,2022-05-16,P_RARE_Product_Family_06,Product_Family_06,623.89,604.92,3.0%,حجمی,24,رقابت قیمتی,رد,2022-06-01,2022-06-01,CRM_OFFERS
OFF-0000073,C_980626,2020-12-21,2020-12-23,P_655926,Product_Family_04,153.71,148.25,3.6%,حجمی,16,آزمون محصول,منقضی,2021-01-11,2021-01-13,CRM_OFFERS
OFF-0000074,C_113139,2021-01-09,2021-01-10,P_537744,Product_Family_05,183.93,176.46,4.1%,حجمی,8,آزمون محصول,درحال مذاکره,,,CRM_OFFERS
OFF-0000075,C_265163,2021-07-24,2021-07-24,P_RARE_Product_Family_04,Product_Family_04,65.23,62.26,4.6%,حجمی,26,معرفی محصول جدید,رد,2021-08-23,2021-08-23,CRM_OFFERS
OFF-0000076,C_444616,2020-01-30,2020-02-01,P_RARE_Product_Family_04,Product_Family_04,44.60,42.34,5.1%,حجمی,18,تسویه سریع,منقضی,2020-02-03,2020-02-05,CRM_OFFERS
OFF-0000077,C_672706,2021-07-15,2021-07-16,P_RARE_Product_Family_05,Product_Family_05,112.47,106.21,5.6%,حجمی,10,رقابت قیمتی,قبول,2021-07-23,2021-07-24,CRM_OFFERS
OFF-0000078,C_155990,2021-10-02,2021-10-03,P_093039,Product_Family_03,192.20,181.65,5.5%,مدت,26,معرفی محصول جدید,قبول,2021-10-04,2021-10-05,CRM_OFFERS
OFF-0000079,C_951507,2022-05-26,2022-05-26,P_635050,Product_Family_03,738.76,694.51,6.0%,مدت,18,حفظ مشتری کلیدی,درحال مذاکره,,,CRM_OFFERS
OFF-0000080,C_691869,2020-07-20,2020-07-20,P_RARE_Product_Family_04,Product_Family_04,65.71,62.08,5.5%,حجمی,6,افزایش حجم سفارش,منقضی,2020-08-07,2020-08-07,CRM_OFFERS
OFF-0000081,C_705680,2020-02-12,2020-02-13,P_033867,Product_Family_03,98.61,93.66,5.0%,مدت,14,حفظ مشتری کلیدی,درحال مذاکره,,,CRM_OFFERS
OFF-0000082,C_746892,2022-04-02,2022-04-03,P_947367,Product_Family_04,751.29,702.16,6.5%,حجمی,16,رقابت قیمتی,رد,2022-04-28,2022-04-29,CRM_OFFERS
OFF-0000083,C_683666,2020-06-29,2020-07-01,P_861507,Product_Family_03,119.45,112.24,6.0%,مدت,24,رقابت قیمتی,قبول,2020-07-21,2020-07-23,CRM_OFFERS
OFF-0000084,C_126481,2020-04-24,2020-04-25,P_989994,Product_Family_03,55.31,53.37,3.5%,حجمی,12,افزایش سهم از سبد,رد,2020-05-24,2020-05-25,CRM_OFFERS
OFF-0000085,C_984759,2020-04-19,2020-04-21,P_282386,Product_Family_03,102.35,99.28,3.0%,مدت,20,آزمون محصول,قبول,2020-05-15,2020-05-17,CRM_OFFERS
OFF-0000086,C_421536,2020-06-03,2020-06-05,P_571374,Product_Family_05,170.45,162.75,4.5%,قیمتی,22,افزایش سهم از سبد,قبول,2020-06-12,2020-06-14,CRM_OFFERS
OFF-0000087,C_980626,2021-03-19,2021-03-19,P_RARE_Product_Family_05,Product_Family_05,257.92,247.58,4.0%,حجمی,30,رقابت قیمتی,منقضی,2021-03-23,2021-03-23,CRM_OFFERS
OFF-0000088,C_566726,2020-04-19,2020-04-20,P_RARE_Product_Family_05,Product_Family_05,60.93,59.66,2.1%,قیمتی,20,آزمون محصول,رد,2020-05-12,2020-05-13,CRM_OFFERS
OFF-0000089,C_683666,2022-02-15,2022-02-17,P_047796,Product_Family_03,754.81,742.96,1.6%,مدت,28,تسویه سریع,قبول,2022-03-05,2022-03-07,CRM_OFFERS
OFF-0000090,C_282979,2020-11-05,2020-11-06,P_735610,Product_Family_04,74.02,71.02,4.1%,مدت,11,تسویه سریع,قبول,2020-11-14,2020-11-15,CRM_OFFERS
OFF-0000091,C_806376,2021-07-27,2021-07-27,P_769459,Product_Family_02,197.15,188.18,4.6%,قیمتی,29,افزایش حجم سفارش,درحال مذاکره,,,CRM_OFFERS
OFF-0000092,C_117580,2020-09-05,2020-09-05,P_RARE_Product_Family_02,Product_Family_02,131.02,127.04,3.0%,حجمی,27,تسویه سریع,رد,2020-10-05,2020-10-05,CRM_OFFERS
OFF-0000093,C_126481,2020-03-12,2020-03-14,P_RARE_Product_Family_03,Product_Family_03,56.02,54.04,3.5%,مدت,19,تسویه سریع,منقضی,2020-03-17,2020-03-19,CRM_OFFERS
OFF-0000094,C_969414,2020-09-06,2020-09-06,P_RARE_Product_Family_01,Product_Family_01,116.02,108.98,6.1%,مدت,5,افزایش سهم از سبد,رد,2020-10-03,2020-10-03,CRM_OFFERS
OFF-0000095,C_649318,2020-05-01,2020-05-03,P_431608,Product_Family_03,97.65,91.22,6.6%,قیمتی,23,تسویه سریع,منقضی,2020-06-01,2020-06-03,CRM_OFFERS
OFF-0000096,C_479796,2021-06-15,2021-06-17,P_957710,Product_Family_05,273.27,259.44,5.1%,مدت,21,تسویه سریع,منقضی,2021-07-03,2021-07-05,CRM_OFFERS
OFF-0000097,C_479796,2020-08-30,2020-08-31,P_003764,Product_Family_01,85.03,80.30,5.6%,حجمی,13,آزمون محصول,قبول,2020-09-21,2020-09-22,CRM_OFFERS
OFF-0000098,C_479796,2020-11-23,2020-11-25,P_383500,Product_Family_04,147.50,135.57,8.1%,حجمی,26,حفظ مشتری کلیدی,منقضی,2020-12-07,2020-12-09,CRM_OFFERS
OFF-0000099,C_185126,2022-03-21,2022-03-22,P_RARE_Product_Family_03,Product_Family_03,867.79,858.24,1.1%,حجمی,18,افزایش حجم سفارش,قبول,2022-04-09,2022-04-10,CRM_OFFERS
OFF-0000100,C_683666,2021-10-13,2021-10-13,P_165831,Product_Family_03,289.25,282.45,2.4%,مدت,30,معرفی محصول جدید,رد,2021-11-10,2021-11-10,CRM_OFFERS
OFF-0000101,C_871835,2021-09-13,2021-09-15,P_936652,Product_Family_03,244.25,237.29,2.9%,حجمی,22,تسویه سریع,منقضی,2021-09-16,2021-09-18,CRM_OFFERS
OFF-0000102,C_051535,2021-05-31,2021-06-01,P_639522,Product_Family_04,122.49,118.37,3.4%,حجمی,14,تسویه سریع,قبول,2021-06-07,2021-06-08,CRM_OFFERS
OFF-0000103,C_762928,2021-08-28,2021-08-28,P_434331,Product_Family_04,141.84,136.35,3.9%,مدت,6,افزایش سهم از سبد,درحال مذاکره,,,CRM_OFFERS
OFF-0000104,C_672256,2021-10-10,2021-10-11,P_RARE_Product_Family_03,Product_Family_03,328.87,303.12,7.8%,حجمی,10,افزایش سهم از سبد,قبول,2021-10-21,2021-10-22,CRM_OFFERS
OFF-0000105,C_683666,2020-12-11,2020-12-11,P_611957,Product_Family_03,154.73,141.84,8.3%,حجمی,28,افزایش حجم سفارش,رد,2020-12-26,2020-12-26,CRM_OFFERS
OFF-0000106,C_172705,2020-02-21,2020-02-23,P_RARE_Product_Family_04,Product_Family_04,87.41,86.24,1.3%,حجمی,20,معرفی محصول جدید,درحال مذاکره,,,CRM_OFFERS
OFF-0000107,C_937594,2020-06-24,2020-06-25,P_RARE_Product_Family_05,Product_Family_05,133.58,131.12,1.8%,حجمی,12,آزمون محصول,قبول,2020-07-18,2020-07-19,CRM_OFFERS
OFF-0000108,C_769450,2021-10-12,2021-10-13,P_242632,Product_Family_03,244.62,228.96,6.4%,حجمی,18,حفظ مشتری کلیدی,درحال مذاکره,,,CRM_OFFERS
OFF-0000109,C_134962,2020-05-10,2020-05-10,P_RARE_Product_Family_03,Product_Family_03,89.04,82.90,6.9%,حجمی,10,معرفی محصول جدید,رد,2020-05-18,2020-05-18,CRM_OFFERS
OFF-0000110,C_155990,2021-04-16,2021-04-18,P_376553,Product_Family_03,115.57,108.23,6.4%,قیمتی,13,حفظ مشتری کلیدی,منقضی,2021-05-04,2021-05-06,CRM_OFFERS
OFF-0000111,C_746892,2022-04-03,2022-04-03,P_459910,Product_Family_03,801.16,754.29,5.9%,حجمی,21,تسویه سریع,رد,2022-04-17,2022-04-17,CRM_OFFERS
OFF-0000112,C_664019,2020-11-22,2020-11-23,P_505032,Product_Family_02,143.64,135.97,5.3%,مدت,29,آزمون محصول,قبول,2020-12-01,2020-12-02,CRM_OFFERS
OFF-0000113,C_317124,2021-07-27,2021-07-29,P_407390,Product_Family_03,118.96,113.21,4.8%,مدت,11,معرفی محصول جدید,درحال مذاکره,,,CRM_OFFERS
OFF-0000114,C_691869,2021-10-26,2021-10-26,P_RARE_Product_Family_04,Product_Family_04,350.77,335.58,4.3%,مدت,19,حفظ مشتری کلیدی,رد,2021-11-26,2021-11-26,CRM_OFFERS
OFF-0000115,C_762928,2021-03-25,2021-03-26,P_434331,Product_Family_04,113.78,109.43,3.8%,مدت,27,معرفی محصول جدید,قبول,2021-04-20,2021-04-21,CRM_OFFERS
OFF-0000116,C_698497,2020-03-05,2020-03-07,P_444327,Product_Family_05,139.47,134.84,3.3%,حجمی,9,رقابت قیمتی,منقضی,2020-03-27,2020-03-29,CRM_OFFERS
OFF-0000117,C_421536,2020-02-08,2020-02-08,P_366749,Product_Family_03,97.33,94.60,2.8%,مدت,16,رقابت قیمتی,قبول,2020-02-25,2020-02-25,CRM_OFFERS
OFF-0000118,C_593639,2020-12-03,2020-12-03,P_RARE_Product_Family_03,Product_Family_03,159.20,154.58,2.9%,مدت,27,افزایش حجم سفارش,درحال مذاکره,,,CRM_OFFERS
OFF-0000119,C_063926,2020-10-01,2020-10-02,P_077463,Product_Family_04,58.09,56.70,2.4%,مدت,9,آزمون محصول,قبول,2020-10-20,2020-10-21,CRM_OFFERS
OFF-0000120,C_317124,2022-05-15,2022-05-16,P_967655,Product_Family_03,584.72,568.06,2.9%,قیمتی,21,افزایش حجم سفارش,منقضی,2022-05-23,2022-05-24,CRM_OFFERS
OFF-0000121,C_338236,2021-10-24,2021-10-24,P_572488,Product_Family_04,189.69,183.32,3.4%,حجمی,13,رقابت قیمتی,قبول,2021-11-06,2021-11-06,CRM_OFFERS
OFF-0000122,C_245948,2021-08-24,2021-08-24,P_RARE_Product_Family_04,Product_Family_04,163.20,160.20,1.8%,مدت,11,تسویه سریع,قبول,2021-09-22,2021-09-22,CRM_OFFERS
OFF-0000123,C_692721,2022-01-04,2022-01-06,P_RARE_Product_Family_04,Product_Family_04,553.01,540.01,2.4%,قیمتی,29,آزمون محصول,رد,2022-01-08,2022-01-10,CRM_OFFERS
OFF-0000124,C_317124,2021-09-15,2021-09-15,P_181786,Product_Family_03,217.17,206.57,4.9%,حجمی,15,تسویه سریع,قبول,2021-10-11,2021-10-11,CRM_OFFERS
OFF-0000125,C_769491,2020-10-28,2020-10-30,P_656451,Product_Family_01,114.07,107.93,5.4%,قیمتی,7,معرفی محصول جدید,رد,2020-11-27,2020-11-29,CRM_OFFERS
OFF-0000126,C_022240,2021-09-03,2021-09-05,P_372127,Product_Family_04,248.99,239.35,3.9%,قیمتی,5,افزایش حجم سفارش,درحال مذاکره,,,CRM_OFFERS
OFF-0000127,C_683666,2021-08-20,2021-08-21,P_484354,Product_Family_03,248.42,237.56,4.4%,مدت,23,حفظ مشتری کلیدی,منقضی,2021-09-10,2021-09-11,CRM_OFFERS
OFF-0000128,C_117580,2020-09-21,2020-09-21,P_700346,Product_Family_02,121.53,113.86,6.3%,مدت,7,افزایش سهم از سبد,درحال مذاکره,,,CRM_OFFERS
OFF-0000129,C_155990,2021-05-10,2021-05-12,P_RARE_Product_Family_03,Product_Family_03,114.53,106.73,6.8%,حجمی,25,معرفی محصول جدید,رد,2021-05-17,2021-05-19,CRM_OFFERS
OFF-0000130,C_419410,2021-10-02,2021-10-02,P_936652,Product_Family_03,234.21,224.05,4.3%,قیمتی,15,افزایش حجم سفارش,درحال مذاکره,,,CRM_OFFERS
OFF-0000131,C_951507,2021-11-27,2021-11-28,P_688772,Product_Family_04,380.98,366.39,3.8%,قیمتی,23,آزمون محصول,قبول,2021-12-09,2021-12-10,CRM_OFFERS
OFF-0000132,C_762928,2021-09-02,2021-09-03,P_434331,Product_Family_04,170.90,161.76,5.4%,قیمتی,25,حفظ مشتری کلیدی,قبول,2021-09-27,2021-09-28,CRM_OFFERS
OFF-0000133,C_593639,2020-04-16,2020-04-18,P_RARE_Product_Family_05,Product_Family_05,195.16,185.71,4.8%,مدت,7,افزایش سهم از سبد,منقضی,2020-05-07,2020-05-09,CRM_OFFERS
OFF-0000134,C_317124,2021-05-19,2021-05-20,P_RARE_Product_Family_03,Product_Family_03,90.10,88.02,2.3%,حجمی,21,حفظ مشتری کلیدی,قبول,2021-06-17,2021-06-18,CRM_OFFERS
OFF-0000135,C_746892,2020-01-03,2020-01-05,P_036095,Product_Family_01,85.88,84.33,1.8%,مدت,29,رقابت قیمتی,منقضی,2020-01-28,2020-01-30,CRM_OFFERS
OFF-0000136,C_806376,2020-12-07,2020-12-09,P_593409,Product_Family_02,152.59,147.51,3.3%,حجمی,5,معرفی محصول جدید,منقضی,2020-12-15,2020-12-17,CRM_OFFERS
