customer_id,monetary,sow,margin,on_time,check_quality,frequency,recency,trend,offer_accept,growth_capacity,score,value_tier,monetary_raw,sow_raw,margin_raw,on_time_raw,check_quality_raw,frequency_raw,recency_days
C_178039,0.8012,0.7676,0.6831,0.3656,0.5158,0.684,0.6458,,,0.7228,65.6,مشتری پایدار,964001.86,0.1117,0.1001,0.0,1.0,1,136.0
C_180562,0.8292,0.6699,0.7901,0.3656,0.5158,0.684,0.7941,,,0.7949,67.8,مشتری پایدار,1483205.18,0.0717,0.1186,0.0,1.0,1,73.0
C_180745,0.3121,0.3061,,,,0.3121,0.5288,,,0.8734,37.5,مشتری قرمز,0.0,0.0,,,,0,241.0
C_180817,0.7686,0.6426,0.893,0.3656,0.5158,0.684,0.7308,,0.8154,0.9712,68.3,مشتری پایدار,544773.87,0.0567,0.1488,0.0,1.0,1,87.0
C_181387,0.6475,0.6314,0.5597,0.3656,0.5158,0.684,0.7011,,,0.0849,56.8,مشتری پرچالش,22175.26,0.0517,0.0796,0.0,1.0,1,101.0
C_182241,0.3121,0.3061,,,,0.3121,0.4591,,,0.7869,36.0,مشتری قرمز,0.0,0.0,,,,0,311.0
C_183105,0.8665,0.7788,0.6626,0.9881,0.5158,0.8703,0.7011,0.7591,0.2077,0.8077,75.8,مشتری پایدار,2292931.08,0.1167,0.0956,0.7886,1.0,4,101.0
C_184726,0.3121,0.3061,,,,0.3121,0.4367,,,0.5881,34.5,مشتری قرمز,0.0,0.0,,,,0,325.0
C_185126,0.9565,0.9712,0.5679,0.3656,0.5158,0.9402,0.8774,0.5912,0.8154,0.9006,74.9,مشتری پایدار,14229824.19,0.375,0.0799,0.0,1.0,9,59.0
C_189507,0.9519,0.8734,0.5432,0.3656,0.5158,0.8346,0.8349,0.7883,,0.9631,73.1,مشتری پایدار,11946244.21,0.22,0.0774,0.0,1.0,3,66.0
C_190305,0.809,0.6619,0.8765,0.3656,0.5158,0.684,0.8349,,0.8154,0.7612,69.4,مشتری پایدار,1080128.38,0.0667,0.1427,0.0,1.0,1,66.0
C_190554,0.3121,0.3061,,,,0.3121,0.5649,,,0.5112,36.0,مشتری قرمز,0.0,0.0,,,,0,220.0
C_192142,0.3121,0.3061,,,,0.3121,0.2099,,,0.4255,30.2,مشتری قرمز,0.0,0.0,,,,0,591.0
C_193151,0.3121,0.3061,,,,0.3121,0.1394,,,0.4455,29.2,مشتری قرمز,0.0,0.0,,,,0,682.0
C_195665,0.3121,0.3061,,,,0.3121,0.0321,,,0.2933,26.7,مشتری قرمز,0.0,0.0,,,,0,857.0
C_196572,0.3121,0.3061,,,,0.3121,0.4071,,,0.0321,30.9,مشتری قرمز,0.0,0.0,,,,0,346.0
C_197461,0.9022,0.7404,0.6502,0.3656,0.5158,0.7787,0.6458,0.0584,,0.9343,63.4,مشتری پایدار,4420003.39,0.1033,0.0924,0.0,1.0,2,136.0
C_208015,0.3121,0.3061,,,,0.3121,0.5288,,,0.6843,36.4,مشتری قرمز,0.0,0.0,,,,0,241.0
C_209453,0.3121,0.3061,,,,0.3121,0.2716,,,0.4223,31.1,مشتری قرمز,0.0,0.0,,,,0,500.0
C_213928,0.8556,0.7869,0.8148,0.3656,0.5158,0.684,0.6346,,,0.8429,69.3,مشتری پایدار,2057750.38,0.12,0.1236,0.0,1.0,1,143.0
C_214224,0.3121,0.3061,,,,0.3121,0.2252,,,0.3269,29.8,مشتری قرمز,0.0,0.0,,,,0,570.0
C_216051,0.3121,0.3061,,,,0.3121,0.4952,,,0.5978,35.4,مشتری قرمز,0.0,0.0,,,,0,283.0
C_217285,0.6925,0.7468,0.0658,0.3656,0.5158,0.684,0.8349,,,0.5208,55.0,مشتری پرچالش,114769.71,0.1067,-0.0521,0.0,1.0,1,66.0
C_218295,0.7671,0.7516,0.7366,0.3656,0.5158,0.7787,0.6907,0.1898,,0.625,62.7,مشتری پایدار,522780.82,0.1067,0.1095,0.0,1.0,2,108.0
C_219026,0.3121,0.3061,,,,0.3121,0.5649,,,0.0994,33.7,مشتری قرمز,0.0,0.0,,,,0,220.0
C_221542,0.3121,0.3061,,,,0.3121,0.5385,,,0.6394,36.3,مشتری قرمز,0.0,0.0,,,,0,234.0
C_222193,0.3121,0.3061,,,,0.3121,0.2845,,,0.1979,30.0,مشتری قرمز,0.0,0.0,,,,0,486.0
C_224505,0.3121,0.3061,,,,0.3121,0.4071,,,0.7372,34.9,مشتری قرمز,0.0,0.0,,,,0,346.0
C_226745,0.3121,0.3061,,,,0.3121,0.0849,,,0.117,26.5,مشتری قرمز,0.0,0.0,,,,0,752.0
C_227683,0.3121,0.3061,,0.3656,0.5158,0.3121,0.5761,,,0.899,39.8,مشتری قرمز,0.0,0.0,,0.0,1.0,0,213.0
C_227779,0.646,0.8205,0.9465,0.3656,0.5158,0.7787,0.6811,0.4453,,0.0785,64.6,مشتری پایدار,18725.04,0.1533,0.1724,0.0,1.0,2,115.0
C_233299,0.3121,0.3061,,,,0.3121,0.4367,,,0.617,34.7,مشتری قرمز,0.0,0.0,,,,0,325.0
C_233724,0.3121,0.3061,,,,0.3121,0.0016,,,0.2604,26.1,مشتری قرمز,0.0,0.0,,,,0,906.0
C_235399,0.3121,0.3061,,,,0.3121,0.0745,,,0.3269,27.5,مشتری قرمز,0.0,0.0,,,,0,780.0
C_235625,0.3121,0.3061,,,,0.3121,0.0913,,,0.2131,27.2,مشتری قرمز,0.0,0.0,,,,0,738.0
C_237191,0.8898,0.7115,0.0412,0.3656,0.5158,0.684,0.6611,,,0.9423,58.0,مشتری پرچالش,3532179.42,0.0917,-0.1138,0.0,1.0,1,129.0
C_237751,0.3121,0.3061,,,,0.3121,0.4872,,,0.6939,35.9,مشتری قرمز,0.0,0.0,,,,0,290.0
C_238413,0.3121,0.3061,,,,0.3121,0.2308,,,0.25,29.5,مشتری قرمز,0.0,0.0,,,,0,563.0
C_239085,0.3121,0.3061,,,,0.3121,0.1226,,,0.2812,28.0,مشتری قرمز,0.0,0.0,,,,0,703.0
C_240236,0.9814,0.8558,0.3374,0.9289,0.5158,0.92,0.9511,0.1168,,0.9872,74.0,مشتری پایدار,27197210.68,0.205,0.051,0.255,1.0,7,45.0
C_242469,0.3121,0.3061,,,,0.3121,0.004,,,0.2853,26.2,مشتری قرمز,0.0,0.0,,,,0,899.0
C_242632,0.3121,0.3061,,,,0.3121,0.1883,,,0.3942,29.6,مشتری قرمز,0.0,0.0,,,,0,619.0
C_243568,0.6693,0.7853,0.5267,0.996,0.5158,0.684,0.9511,,,0.0833,70.1,مشتری پایدار,54519.02,0.1167,0.0753,1.0,1.0,1,45.0
C_244106,0.3121,0.3061,,,,0.3121,0.149,,,0.4551,29.4,مشتری قرمز,0.0,0.0,,,,0,675.0
C_244489,0.3121,0.3061,,,,0.3121,0.2364,,,0.1803,29.2,مشتری قرمز,0.0,0.0,,,,0,556.0
C_244560,0.3121,0.3061,,0.3656,0.5158,0.3121,0.5288,,,0.8926,39.3,مشتری قرمز,0.0,0.0,,0.0,1.0,0,241.0
C_245948,0.9984,0.9824,0.9588,0.913,0.5158,0.9938,0.9511,0.9927,0.2077,1.0,89.6,شریک طلایی,182462099.84,0.4167,0.1838,0.1992,1.0,39,45.0
C_247907,0.3121,0.3061,,,,0.3121,0.1939,,,0.3614,29.5,مشتری قرمز,0.0,0.0,,,,0,612.0
C_249009,0.3121,0.3061,,,,0.3121,0.1883,,,0.238,28.8,مشتری قرمز,0.0,0.0,,,,0,619.0
C_249135,0.6398,0.7612,0.9177,0.3656,0.5158,0.684,0.7556,,,0.0401,64.4,مشتری پایدار,14844.89,0.1083,0.1539,0.0,1.0,1,80.0
C_249788,0.3121,0.3061,,,,0.3121,0.5216,,,0.5321,35.5,مشتری قرمز,0.0,0.0,,,,0,248.0
C_251455,0.3121,0.3061,,,,0.3121,0.0064,,,0.3838,26.8,مشتری قرمز,0.0,0.0,,,,0,892.0
C_257237,0.3121,0.3061,,,,0.3121,0.4071,,,0.0304,30.9,مشتری قرمز,0.0,0.0,,,,0,346.0
C_257260,0.3121,0.3061,,,,0.3121,0.4688,,,0.3766,33.8,مشتری قرمز,0.0,0.0,,,,0,304.0
C_258325,0.6366,0.6587,0.3251,0.3656,0.5158,0.684,0.7011,,,0.867,56.3,مشتری پرچالش,12969.41,0.065,0.0498,0.0,1.0,1,101.0
C_258818,0.3121,0.3061,,0.3656,0.5158,0.3121,0.5873,,,0.7115,39.2,مشتری قرمز,0.0,0.0,,0.0,1.0,0,206.0
C_263291,0.3121,0.3061,,,,0.3121,0.1394,,,0.254,28.1,مشتری قرمز,0.0,0.0,,,,0,682.0
C_265163,0.3121,0.3061,,,,0.3121,0.4688,,,0.9439,37.0,مشتری قرمز,0.0,0.0,,,,0,304.0
C_265923,0.7034,0.7644,0.0453,0.3656,0.5158,0.7787,0.6346,0.5182,,0.5577,54.4,مشتری پرچالش,164060.15,0.11,-0.1017,0.0,1.0,2,143.0
C_267443,0.6941,0.6202,0.177,0.3656,0.5158,0.684,0.8349,,,0.5513,54.8,مشتری پرچالش,129369.71,0.045,0.0177,0.0,1.0,1,66.0
C_268031,0.3121,0.3061,,,,0.3121,0.5385,,,0.0288,32.9,مشتری قرمز,0.0,0.0,,,,0,234.0
C_269097,0.9239,0.8942,0.4115,0.3656,0.5158,0.8346,0.8774,0.8467,0.2077,0.8718,69.6,مشتری پایدار,6470749.02,0.245,0.061,0.0,1.0,3,59.0
C_272108,0.3121,0.3061,,,,0.3121,0.2364,,,0.2163,29.4,مشتری قرمز,0.0,0.0,,,,0,556.0
C_274912,0.3121,0.3061,,,,0.3121,0.5505,,,0.9119,38.0,مشتری قرمز,0.0,0.0,,,,0,227.0
C_276262,0.705,0.899,0.1975,0.8063,0.0198,0.9596,0.9191,0.438,0.2077,0.3654,60.1,مشتری پایدار,167289.7,0.2583,0.0244,0.0706,0.9333,12,52.0
C_276942,0.823,0.6282,0.8354,0.3656,0.5158,0.684,0.8349,,,0.7997,68.1,مشتری پایدار,1395792.38,0.05,0.1265,0.0,1.0,1,66.0
C_277610,0.8075,0.6218,0.1111,0.3656,0.5158,0.684,0.621,,,0.7917,55.0,مشتری پرچالش,1074032.6,0.0467,-0.0027,0.0,1.0,1,157.0
C_281145,0.3121,0.3061,,,,0.3121,0.4776,,,0.6026,35.2,مشتری قرمز,0.0,0.0,,,,0,297.0
C_282539,0.3121,0.3061,,0.3656,0.5158,0.3121,0.5873,,,0.7147,39.2,مشتری قرمز,0.0,0.0,,0.0,1.0,0,206.0
C_282979,0.8742,0.9247,0.3951,0.8775,0.5158,0.9651,0.8774,0.1752,0.8154,0.7885,73.2,مشتری پایدار,2623740.35,0.3,0.058,0.1506,1.0,13,59.0
C_284990,0.7407,0.726,0.6132,0.3656,0.5158,0.684,0.6458,,,0.6699,62.5,مشتری پایدار,359688.46,0.1,0.086,0.0,1.0,1,136.0
C_287115,0.3121,0.3061,,,,0.3121,0.1667,,,0.3782,29.2,مشتری قرمز,0.0,0.0,,,,0,654.0
C_287361,0.3121,0.3061,,,,0.3121,0.3934,,,0.6442,34.2,مشتری قرمز,0.0,0.0,,,,0,353.0
C_292582,0.3121,0.3061,,,,0.3121,0.4263,,,0.9455,36.4,مشتری قرمز,0.0,0.0,,,,0,332.0
C_297913,0.6755,0.8574,0.2222,0.9012,0.5158,0.8703,0.8349,0.4818,,0.0865,65.1,مشتری پایدار,70697.9,0.2067,0.0309,0.1925,1.0,4,66.0
C_298468,0.7547,0.8862,0.4156,0.3656,0.5158,0.7787,0.6811,0.4891,,0.5256,62.2,مشتری پایدار,472681.79,0.2333,0.0611,0.0,1.0,2,115.0
C_298813,0.3121,0.3061,,,,0.3121,0.2949,,,0.4639,31.7,مشتری قرمز,0.0,0.0,,,,0,472.0
C_299317,0.9938,0.8686,0.6214,0.3656,0.5158,0.9596,0.9191,0.9197,,0.9936,78.1,مشتری پایدار,47184800.12,0.2167,0.0888,0.0,1.0,12,52.0
C_299825,0.3121,0.3061,,,,0.3121,0.1226,,,0.4255,28.8,مشتری قرمز,0.0,0.0,,,,0,703.0
C_302517,0.6988,0.7628,0.6996,0.3656,0.5158,0.7787,0.7155,,0.2077,0.5417,62.9,مشتری پایدار,148567.14,0.11,0.1029,0.0,1.0,2,94.0
C_303006,0.854,0.6987,0.3498,,,0.684,0.7556,,,0.8125,68.2,مشتری پایدار,2037167.82,0.0883,0.0518,,,1,80.0
C_304036,0.9224,0.9583,0.5473,0.8182,0.5158,0.9301,0.8774,0.2263,,0.766,75.6,مشتری پایدار,6306364.72,0.3567,0.0775,0.0802,1.0,8,59.0
C_304462,0.3121,0.3061,,,,0.3121,0.5505,,,0.0096,32.9,مشتری قرمز,0.0,0.0,,,,0,227.0
C_307303,0.3121,0.3061,,,,0.3121,0.4263,,,0.5224,34.0,مشتری قرمز,0.0,0.0,,,,0,332.0
C_310107,0.3121,0.3061,,,,0.3121,0.5873,,,0.9247,38.7,مشتری قرمز,0.0,0.0,,,,0,206.0
C_312584,0.3121,0.3061,,,,0.3121,0.2845,,,0.2853,30.5,مشتری قرمز,0.0,0.0,,,,0,486.0
C_314119,0.3121,0.3061,,,,0.3121,0.2252,,,0.2067,29.1,مشتری قرمز,0.0,0.0,,,,0,570.0
C_315505,0.8587,0.6122,0.9959,0.3656,0.5158,0.684,0.617,,,0.8686,69.2,مشتری پایدار,2143625.52,0.0417,0.2683,0.0,1.0,1,164.0
