Customer_ID,Customer_Segment,Customer_Status,Location_ID,Sales_Rep_ID,Credit_Limit,Payment_Terms_Days,Recency_Days,Days_Since_Last_Order,Frequency_Orders,Monetary_Total_Revenue,R_Score,F_Score,M_Score,RFM_Score,RFM_Segment,Last_Order_Date,First_Order_Date,Avg_Order_Interval_Days,Order_Interval_Std_Days,Avg_Payment_Delay_Days,Max_Payment_Delay_Days,Collections_Count,Bounced_Check_Rate,Lifetime_Days,Lifetime_Years,Annual_Sales_Trailing12M,Revenue_Total_Lifetime,Cost_Total_Lifetime,Margin_Total_Lifetime,Margin_Pct,Margin_Cost_Basis_Actual_Pct,Margin_RARE_Revenue_Pct,Margin_Confidence,LTV,Revenue_Share_As_Of_Month,Revenue_Share_Pct_Latest,Revenue_Share_Pct_Avg,Lifetime_Complaints,Recent_Complaints_12M,Biggest_Problem,Expected_Next_Order_Date,Days_Until_Expected_Next_Order,Risk_Score,Risk_Level,Recommended_Action
C_018593,A,غیرفعال,LOC-006,REP-006,125000,0,808.0,808.0,3,122493.07999999999,5.0,3.0,4.0,534,Loyal Customers,2020-04-13,2020-03-23,10.5,4.9,37.0,56.0,4,0.0,21,0.06,0.0,122493.07999999999,106843.0894,15649.990599999994,0.1278,0.0,1.0,Low,15649.99,2022-06,0.0,0.0,0,0,,2020-04-23 12:00:00,-798.0,7.0,Critical,"Reactivation outreach — inactive, no recent orders"
C_021668,A,غیرفعال,LOC-004,REP-003,442000,0,689.0,689.0,1,294161.08,5.0,5.0,3.0,553,Loyal Customers,2020-08-10,2020-08-10,,,49.0,49.0,1,0.0,0,0.0,0.0,294161.08,253683.693,40477.386999999995,0.1376,0.2,1.0,Low,40477.39,2022-06,0.0,0.0,0,0,,,,7.0,Critical,"Reactivation outreach — inactive, no recent orders"
C_021985,B,فعال,LOC-004,REP-003,28000,0,52.0,52.0,19,97047.07,1.0,2.0,4.0,124,Lost / Churned,2022-05-09,2021-01-25,26.1,33.2,28.2,51.0,22,0.0,469,1.28,55961.11,97047.07,90759.41159999999,6287.658400000002,0.0648,0.391,0.0,Medium,6287.66,2022-06,0.0,0.175,0,0,,2022-06-04 02:24:00,-26.0,2.0,Medium,Upsell / grow share-of-wallet — low share vs estimated potential
C_022240,C,فعال,LOC-001,REP-007,520000,0,45.0,45.0,59,3403821.12,1.0,1.0,2.0,112,Lost / Churned,2022-05-16,2020-02-17,14.1,16.5,21.5,47.0,65,0.031,819,2.24,1838524.06,3403821.12,3177888.1365,225932.98350000003,0.0664,0.336,0.011,Medium,225932.98,2022-06,0.0,0.2992,1,1,اختلاف شید بین لاها,2022-05-30 02:24:00,-31.0,3.0,Medium,Upsell / grow share-of-wallet — low share vs estimated potential
C_022746,A,فعال,LOC-004,REP-005,304000,0,185.0,185.0,3,569157.04,2.0,3.0,3.0,233,Regular,2021-12-27,2021-09-20,49.0,69.3,15.3,41.0,3,0.0,98,0.27,569157.04,569157.04,548413.3062999999,20743.733700000008,0.0364,0.364,0.083,Medium,20743.73,2022-06,0.0,0.0583,0,0,,2022-02-14 00:00:00,-136.0,4.0,High,Upsell / grow share-of-wallet — low share vs estimated potential
C_023073,C,فعال,LOC-004,REP-006,37000,0,80.0,80.0,17,105840.84999999999,2.0,2.0,4.0,224,Regular,2022-04-11,2020-05-11,43.8,62.6,22.6,48.0,18,0.0,700,1.92,65100.81,105840.84999999999,90376.3628,15464.487199999996,0.1461,0.28,0.036,Medium,15464.49,2022-06,0.0,0.2525,2,0,جداشدن مغزی و افکت,2022-05-24 19:12:00,-37.0,2.0,Medium,Upsell / grow share-of-wallet — low share vs estimated potential
C_027096,A,غیرفعال,LOC-016,REP-001,313000,30,416.0,416.0,11,1368085.47,4.0,2.0,2.0,422,New / Recent,2021-05-10,2020-01-27,46.9,46.9,20.4,41.0,11,0.0,469,1.28,0.0,1368085.47,1254670.4386,113415.03140000007,0.0829,0.364,0.644,Low,113415.03,2022-06,0.0,0.0,0,0,,2021-06-25 21:36:00,-370.0,6.0,Critical,"Reactivation outreach — inactive, no recent orders"
C_028208,A,فعال,LOC-006,REP-005,7000,0,185.0,185.0,6,13726.08,2.0,3.0,5.0,235,Regular,2021-12-27,2020-11-02,84.0,89.5,22.8,49.0,6,0.0,420,1.15,1922.1,13726.08,12940.610299999998,785.4697000000006,0.0572,0.25,0.0,Medium,785.47,2022-06,0.0,0.06,0,0,,2022-03-21 00:00:00,-101.0,4.0,High,Upsell / grow share-of-wallet — low share vs estimated potential
C_029626,B,غیرفعال,LOC-012,REP-007,15000,0,717.0,717.0,2,11183.09,5.0,4.0,5.0,545,Champions,2020-07-13,2020-06-22,21.0,,37.0,37.0,1,0.0,21,0.06,0.0,11183.09,9619.1985,1563.8914999999997,0.1398,0.4,0.0,Medium,1563.89,2022-06,0.0,0.0,0,0,,2020-08-03 00:00:00,-696.0,7.0,Critical,"Reactivation outreach — inactive, no recent orders"
C_031511,A,فعال,LOC-010,REP-004,302000,0,38.0,38.0,1,201011.7,1.0,5.0,4.0,154,At Risk (High Value),2022-05-23,2022-05-23,,,31.0,31.0,1,0.0,0,0.0,201011.7,201011.7,200272.95620000002,738.7437999999966,0.0037,0.0,0.0,Low,738.74,2022-06,0.0,0.0383,0,0,,,,3.0,Medium,Review credit terms / collections follow-up — chronic late payment
C_034287,B,غیرفعال,LOC-007,REP-002,33000,0,710.0,710.0,3,36375.94,5.0,4.0,5.0,545,Champions,2020-07-20,2020-04-27,42.0,19.8,13.2,30.0,4,0.0,84,0.23,0.0,36375.94,32428.385799999996,3947.5542000000023,0.1085,0.5,0.0,High,3947.55,2022-06,0.0,0.0,0,0,,2020-08-31 00:00:00,-668.0,5.0,High,"Reactivation outreach — inactive, no recent orders"
C_035154,A,غیرفعال,LOC-007,REP-005,5000,0,318.0,318.0,2,2762.71,3.0,4.0,5.0,345,Regular,2021-08-16,2021-07-26,21.0,,27.3,34.0,3,0.0,21,0.06,2762.71,2762.71,2260.4994,502.2105999999999,0.1818,0.0,0.0,Low,502.21,2022-06,0.0,0.1025,0,0,,2021-09-06 00:00:00,-297.0,6.0,Critical,"Reactivation outreach — inactive, no recent orders"
C_035718,B,غیرفعال,LOC-014,REP-007,9000,0,283.0,283.0,4,12119.79,3.0,3.0,5.0,335,Regular,2021-09-20,2020-02-03,198.3,113.2,28.0,47.0,6,0.0,595,1.63,2692.63,12119.79,11510.0839,609.706100000001,0.0503,0.5,0.0,High,609.71,2022-06,0.0,0.0592,0,0,,2022-04-06 07:12:00,-85.0,6.0,Critical,"Reactivation outreach — inactive, no recent orders"
C_039413,A,غیرفعال,LOC-008,REP-001,603000,0,731.0,731.0,11,3920011.1,5.0,2.0,2.0,522,Loyal Customers,2020-06-29,2019-12-30,18.2,14.8,28.2,55.0,12,0.0,182,0.5,0.0,3920011.1,3750967.6643,169043.43570000003,0.0431,0.25,0.205,Medium,169043.44,2022-06,0.0,0.0,0,0,,2020-07-17 04:48:00,-713.0,6.0,Critical,"Reactivation outreach — inactive, no recent orders"
C_040673,A,فعال,LOC-014,REP-006,885000,0,94.0,94.0,14,1097178.28,2.0,2.0,2.0,222,Lost / Churned,2022-03-28,2019-12-16,64.1,104.5,18.2,48.0,17,0.0,833,2.28,611944.53,1097178.28,1045500.6365000001,51677.643499999955,0.0471,0.238,0.004,Medium,51677.64,2022-06,0.0,0.1133,0,0,,2022-05-31 02:24:00,-30.0,3.0,Medium,Upsell / grow share-of-wallet — low share vs estimated potential
C_042732,B,فعال,LOC-007,REP-004,711000,0,45.0,45.0,8,2101350.96,1.0,2.0,2.0,122,Lost / Churned,2022-05-16,2021-09-20,34.0,42.1,12.6,36.0,9,0.0,238,0.65,2101350.96,2101350.96,2299943.9272,-198592.96719999996,-0.0945,0.298,0.607,Low,-198592.97,2022-06,0.0,0.2033,3,2,فیلامنت پارگی و پرز,2022-06-19 00:00:00,-11.0,2.0,Medium,Upsell / grow share-of-wallet — low share vs estimated potential
C_049314,C,غیرفعال,LOC-003,REP-008,9000,0,703.0,703.0,1,5663.97,5.0,5.0,5.0,555,Champions,2020-07-27,2020-07-27,,,,,0,,0,0.0,0.0,5663.97,5261.6815,402.28850000000057,0.071,1.0,1.0,Low,402.29,2022-06,0.0,0.0,0,0,,,,5.0,High,"Reactivation outreach — inactive, no recent orders"
C_050237,C,فعال,LOC-005,REP-003,7459000,0,38.0,38.0,121,130730080.31,1.0,1.0,1.0,111,Lost / Churned,2022-05-23,2020-02-03,7.0,9.9,20.6,49.0,133,0.0,840,2.3,100534251.4,130730080.31,118421887.5898,12308192.720199998,0.0941,0.3,0.978,Low,12308192.72,2022-06,0.0,0.3958,1,0,پرز و حلقه‌های بلند,2022-05-30 00:00:00,-31.0,2.0,Medium,Upsell / grow share-of-wallet — low share vs estimated potential
C_051392,C,غیرفعال,LOC-008,REP-008,16000,0,514.0,514.0,2,10771.52,4.0,4.0,5.0,445,Champions,2021-02-01,2020-06-22,224.0,,30.7,51.0,3,0.0,224,0.61,0.0,10771.52,9628.2509,1143.269100000001,0.1061,0.4,0.042,Medium,1143.27,2022-06,0.0,0.0,0,0,,2021-09-13 00:00:00,-290.0,7.0,Critical,"Reactivation outreach — inactive, no recent orders"
C_051535,C,فعال,LOC-003,REP-002,7122000,30,66.0,66.0,122,118339269.43,1.0,1.0,1.0,111,Lost / Churned,2022-04-25,2020-01-13,6.9,7.2,24.1,54.0,133,0.008,833,2.28,78348106.97,118339269.43,104485971.5223,13853297.907699998,0.1171,0.304,0.239,Medium,13853297.91,2022-06,0.0,0.3833,2,1,تلرانس نمره,2022-05-01 21:36:00,-60.0,3.0,Medium,Upsell / grow share-of-wallet — low share vs estimated potential
C_051706,C,فعال,LOC-011,REP-008,1734000,90,52.0,52.0,164,12015589.49,1.0,1.0,1.0,111,Lost / Churned,2022-05-09,2020-01-20,5.2,16.2,23.3,56.0,169,0.006,840,2.3,6274807.47,12015589.49,11260710.5092,754878.9807999999,0.0628,0.34,0.021,Medium,754878.98,2022-06,0.0,0.2375,5,1,استحکام پایین / پارگی,2022-05-14 04:48:00,-47.0,3.0,Medium,Upsell / grow share-of-wallet — low share vs estimated potential
C_054476,C,فعال,LOC-002,REP-004,2733000,0,59.0,59.0,1,1821473.44,1.0,5.0,2.0,152,Regular,2022-05-02,2022-05-02,,,19.0,19.0,1,0.0,0,0.0,1821473.44,1821473.44,1630246.2288,191227.21120000002,0.105,1.0,0.0,High,191227.21,2022-06,0.0,0.0492,1,0,آسیب حمل و نقل,,,2.0,Medium,Upsell / grow share-of-wallet — low share vs estimated potential
C_054737,B,غیرفعال,LOC-009,REP-004,220000,30,367.0,367.0,2,185846.89,4.0,4.0,4.0,444,Champions,2021-06-28,2021-06-14,14.0,,31.0,48.0,2,0.0,14,0.04,0.0,185846.89,186076.06170000002,-229.17169999999896,-0.0012,0.0,0.0,Low,-229.17,2022-06,0.0,0.0,0,0,,2021-07-12 00:00:00,-353.0,7.0,Critical,"Reactivation outreach — inactive, no recent orders"
C_058218,B,فعال,LOC-006,REP-008,7599000,30,87.0,87.0,54,45975927.57,2.0,1.0,1.0,211,Lost / Churned,2022-04-04,2020-05-04,13.2,13.4,20.7,54.0,55,0.0,700,1.92,41963204.42,45975927.57,36101618.3659,9874309.204100002,0.2148,0.26,1.0,Low,9874309.2,2022-06,0.0,0.44,0,0,,2022-04-17 04:48:00,-74.0,2.0,Medium,Upsell / grow share-of-wallet — low share vs estimated potential
C_058685,A,غیرفعال,LOC-001,REP-005,784000,0,682.0,682.0,1,522639.96,5.0,5.0,3.0,553,Loyal Customers,2020-08-17,2020-08-17,,,5.0,5.0,1,0.0,0,0.0,0.0,522639.96,497809.12919999997,24830.830800000054,0.0475,1.0,0.0,High,24830.83,2022-06,0.0,0.0,0,0,,,,5.0,High,"Reactivation outreach — inactive, no recent orders"
C_059511,B,غیرفعال,LOC-004,REP-005,484000,0,486.0,486.0,4,1251917.8599999999,4.0,3.0,2.0,432,Loyal Customers,2021-03-01,2021-02-15,4.7,4.0,19.2,32.0,4,0.0,14,0.04,0.0,1251917.8599999999,1273864.9611,-21947.101100000033,-0.0175,0.357,1.0,Low,-21947.1,2022-06,0.0,0.0,0,0,,2021-03-05 16:48:00,-482.0,6.0,Critical,"Reactivation outreach — inactive, no recent orders"
C_063809,A,فعال,LOC-007,REP-007,202000,0,73.0,73.0,34,1123963.58,1.0,1.0,2.0,112,Lost / Churned,2022-04-18,2020-01-20,24.8,32.3,22.6,46.0,41,0.024,819,2.24,785991.6,1123963.58,1030663.7191,93299.8609,0.083,0.333,0.01,Medium,93299.86,2022-06,0.0,0.185,0,0,,2022-05-12 19:12:00,-49.0,2.0,Medium,Upsell / grow share-of-wallet — low share vs estimated potential
C_063926,B,فعال,LOC-001,REP-007,735000,0,80.0,80.0,59,5253469.59,2.0,1.0,2.0,212,Lost / Churned,2022-04-11,2019-12-16,14.6,10.8,23.9,51.0,71,0.014,847,2.32,3209432.59,5253469.59,5515222.7663,-261753.1763,-0.0498,0.36,0.46,Medium,-261753.18,2022-06,0.0,0.3625,1,0,جمع‌شدگی خارج از محدوده,2022-04-25 14:24:00,-66.0,2.0,Medium,Upsell / grow share-of-wallet — low share vs estimated potential
C_066978,B,فعال,LOC-008,REP-002,296000,0,171.0,171.0,8,674691.65,2.0,2.0,3.0,223,Lost / Churned,2022-01-10,2021-01-04,53.0,72.3,30.0,47.0,6,0.0,371,1.02,428797.62,674691.65,628648.8439,46042.80610000002,0.0682,0.327,0.534,Low,46042.81,2022-06,0.0,0.1225,0,0,,2022-03-04 00:00:00,-118.0,3.0,Medium,Upsell / grow share-of-wallet — low share vs estimated potential
C_069492,B,فعال,LOC-014,REP-002,5925000,30,52.0,52.0,61,39431571.92,1.0,1.0,1.0,111,Lost / Churned,2022-05-09,2019-12-23,14.5,32.0,25.4,56.0,70,0.0,868,2.38,13695611.950000001,39431571.92,35513855.5415,3917716.3784999996,0.0994,0.344,0.121,Medium,3917716.38,2022-06,0.0,0.205,3,3,تنشن و تاب مجازی,2022-05-23 12:00:00,-38.0,4.0,High,Escalate to service recovery — recent complaints + high risk
C_070220,A,غیرفعال,LOC-003,REP-004,37000,0,451.0,451.0,2,32032.739999999998,4.0,4.0,5.0,445,Champions,2021-04-05,2021-03-22,14.0,,36.5,49.0,2,0.0,14,0.04,0.0,32032.739999999998,24895.9575,7136.782499999999,0.2228,0.235,0.774,Low,7136.78,2022-06,0.0,0.0,0,0,,2021-04-19 00:00:00,-437.0,7.0,Critical,"Reactivation outreach — inactive, no recent orders"
C_070712,C,فعال,LOC-005,REP-005,293000,0,80.0,80.0,15,1849404.09,2.0,2.0,2.0,222,Lost / Churned,2022-04-11,2021-08-23,16.5,10.8,25.2,51.0,18,0.0,231,0.63,1849404.09,1849404.09,1694386.9355,155017.15450000003,0.0838,0.325,0.0,Medium,155017.15,2022-06,0.0,0.3167,0,0,,2022-04-27 12:00:00,-64.0,2.0,Medium,Upsell / grow share-of-wallet — low share vs estimated potential
C_074947,A,فعال,LOC-013,REP-004,1048000,90,31.0,31.0,82,6481936.69,1.0,1.0,1.0,111,Lost / Churned,2022-05-30,2020-02-03,10.5,13.4,21.7,49.0,77,0.0,847,2.32,4818504.81,6481936.69,5958314.4612,523622.22880000004,0.0808,0.339,0.197,Medium,523622.23,2022-06,0.0,0.3517,0,0,,2022-06-09 12:00:00,-21.0,2.0,Medium,Upsell / grow share-of-wallet — low share vs estimated potential
C_076411,B,غیرفعال,LOC-003,REP-007,444000,0,423.0,423.0,7,1130173.06,4.0,3.0,2.0,432,Loyal Customers,2021-05-03,2020-11-02,30.3,33.6,27.2,41.0,9,0.0,182,0.5,0.0,1130173.06,1003786.6551,126386.40490000002,0.1118,0.276,0.23,Medium,126386.4,2022-06,0.0,0.0,0,0,,2021-06-02 07:12:00,-393.0,6.0,Critical,"Reactivation outreach — inactive, no recent orders"
C_077505,C,غیرفعال,LOC-001,REP-001,20000,0,430.0,430.0,1,13304.62,4.0,5.0,5.0,455,Champions,2021-04-26,2021-04-26,,,36.0,36.0,1,0.0,0,0.0,0.0,13304.62,11648.519999999999,1656.1000000000022,0.1245,1.0,1.0,Low,1656.1,2022-06,0.0,0.0,0,0,,,,7.0,Critical,"Reactivation outreach — inactive, no recent orders"
C_080312,A,غیرفعال,LOC-002,REP-008,144000,0,815.0,815.0,1,95762.78,5.0,5.0,4.0,554,Champions,2020-04-06,2020-04-06,,,30.0,30.0,1,0.0,0,0.0,0.0,95762.78,89526.1915,6236.588499999996,0.0651,0.333,1.0,Low,6236.59,2022-06,0.0,0.0,0,0,,,,6.0,Critical,"Reactivation outreach — inactive, no recent orders"
C_081235,B,فعال,LOC-013,REP-003,278000,0,129.0,129.0,2,287689.49,2.0,4.0,3.0,243,Regular,2022-02-21,2022-02-14,7.0,,27.5,43.0,2,0.0,7,0.02,287689.49,287689.49,280676.9621,7012.5279,0.0244,0.375,0.229,Medium,7012.53,2022-06,0.0,0.0308,0,0,,2022-02-28 00:00:00,-122.0,3.0,Medium,Upsell / grow share-of-wallet — low share vs estimated potential
C_081456,B,فعال,LOC-001,REP-006,2265000,0,136.0,136.0,5,2201447.14,2.0,3.0,2.0,232,Lost / Churned,2022-02-14,2020-09-07,131.2,35.9,27.0,44.0,5,0.0,525,1.44,1821698.0299999998,2201447.14,1595626.5927000002,605820.5473,0.2752,0.267,0.754,Low,605820.55,2022-06,0.0,0.0592,0,0,,2022-06-25 04:48:00,-5.0,3.0,Medium,Upsell / grow share-of-wallet — low share vs estimated potential
C_082643,A,غیرفعال,LOC-010,REP-001,108000,0,570.0,570.0,1,71701.56,4.0,5.0,4.0,454,Champions,2020-12-07,2020-12-07,,,17.0,20.0,2,0.0,0,0.0,0.0,71701.56,71100.209,601.351000000002,0.0084,0.333,1.0,Low,601.35,2022-06,0.0,0.0,0,0,,,,6.0,Critical,"Reactivation outreach — inactive, no recent orders"
C_083552,C,فعال,LOC-005,REP-004,425000,0,66.0,66.0,14,841275.92,1.0,2.0,3.0,123,Lost / Churned,2022-04-25,2020-01-13,64.1,109.5,26.7,48.0,15,0.0,833,2.28,177137.61,841275.92,737930.4483,103345.47169999997,0.1228,0.219,0.539,Low,103345.47,2022-06,0.0,0.0217,0,0,,2022-06-28 02:24:00,-2.0,2.0,Medium,Upsell / grow share-of-wallet — low share vs estimated potential
C_086403,B,فعال,LOC-013,REP-006,489000,0,73.0,73.0,29,1391470.0799999998,1.0,1.0,2.0,112,Lost / Churned,2022-04-18,2020-02-03,28.8,36.4,17.3,49.0,30,0.033,805,2.2,501099.27999999997,1391470.0799999998,1269586.0375,121884.04249999997,0.0876,0.286,0.04,Medium,121884.04,2022-06,0.0,0.1208,0,0,,2022-05-16 19:12:00,-45.0,2.0,Medium,Upsell / grow share-of-wallet — low share vs estimated potential
C_086972,C,غیرفعال,LOC-008,REP-006,536000,0,878.0,878.0,2,499440.87,5.0,4.0,3.0,543,Loyal Customers,2020-02-03,2020-01-27,7.0,,22.0,22.0,1,0.0,7,0.02,0.0,499440.87,449516.23120000004,49924.638800000015,0.1,0.5,1.0,Low,49924.64,2022-06,0.0,0.0,0,0,,2020-02-10 00:00:00,-871.0,6.0,Critical,"Reactivation outreach — inactive, no recent orders"
C_091932,C,غیرفعال,LOC-009,REP-008,59000,0,745.0,745.0,1,38789.17,5.0,5.0,5.0,555,Champions,2020-06-15,2020-06-15,,,26.0,26.0,1,0.0,0,0.0,0.0,38789.17,37402.411,1386.7589999999966,0.0358,0.0,0.0,Low,1386.76,2022-06,0.0,0.0,0,0,,,,6.0,Critical,"Reactivation outreach — inactive, no recent orders"
C_091997,B,غیرفعال,LOC-003,REP-002,1486000,0,269.0,269.0,12,2402362.23,3.0,2.0,2.0,322,Regular,2021-10-04,2020-02-17,54.1,74.2,25.6,49.0,13,0.0,595,1.63,410025.62,2402362.23,2041149.7002,361212.5298,0.1504,0.28,0.887,Low,361212.53,2022-06,0.0,0.0425,0,0,,2021-11-27 02:24:00,-215.0,6.0,Critical,"Reactivation outreach — inactive, no recent orders"
C_094312,C,فعال,LOC-012,REP-005,1590000,30,192.0,192.0,4,2880493.16,2.0,3.0,2.0,232,Lost / Churned,2021-12-20,2021-11-15,11.7,10.7,32.2,45.0,4,0.0,35,0.1,2880493.16,2880493.16,2440035.3751999997,440457.7848000001,0.1529,0.474,1.0,Low,440457.78,2022-06,0.0,0.0533,0,0,,2021-12-31 16:48:00,-181.0,5.0,High,Review credit terms / collections follow-up — chronic late payment
C_095017,C,فعال,LOC-007,REP-005,1871000,0,66.0,66.0,20,7629007.779999999,1.0,2.0,1.0,121,Lost / Churned,2022-04-25,2020-01-13,43.8,35.1,24.9,54.0,24,0.0,833,2.28,5330792.859999999,7629007.779999999,7499968.2429,129039.53709999956,0.0169,0.418,0.812,Low,129039.54,2022-06,0.0,0.175,1,0,شید رنگ,2022-06-07 19:12:00,-23.0,2.0,Medium,Upsell / grow share-of-wallet — low share vs estimated potential
C_097158,C,غیرفعال,LOC-007,REP-006,189000,0,689.0,689.0,2,127513.14,5.0,4.0,4.0,544,Champions,2020-08-10,2020-07-20,21.0,,24.5,32.0,2,0.0,21,0.06,0.0,127513.14,109052.02620000001,18461.1138,0.1448,0.5,0.0,High,18461.11,2022-06,0.0,0.0,0,0,,2020-08-31 00:00:00,-668.0,6.0,Critical,"Reactivation outreach — inactive, no recent orders"
C_099163,C,غیرفعال,LOC-007,REP-003,58000,0,696.0,696.0,4,106765.14,5.0,3.0,4.0,534,Loyal Customers,2020-08-03,2020-03-02,51.3,8.1,24.7,46.0,6,0.0,154,0.42,0.0,106765.14,106848.70319999999,-83.56319999999573,-0.0008,0.253,0.74,Low,-83.56,2022-06,0.0,0.0,1,0,تلرانس نمره,2020-09-23 07:12:00,-645.0,6.0,Critical,"Reactivation outreach — inactive, no recent orders"
C_101421,C,غیرفعال,LOC-011,REP-003,86000,0,325.0,325.0,4,95224.84,3.0,3.0,4.0,334,Regular,2021-08-09,2020-03-02,175.0,176.7,20.8,28.0,4,0.0,525,1.44,756.38,95224.84,75527.09749999999,19697.74250000001,0.2069,0.222,0.382,Medium,19697.74,2022-06,0.0,0.0442,0,0,,2022-01-31 00:00:00,-150.0,6.0,Critical,"Reactivation outreach — inactive, no recent orders"
