Cost_Record_ID,Sales_Line_ID,شماره فاکتور,Product_ID,هزینه کل به ازای واحد,مقدار برگشتی,مبلغ برگشتی,Cost_Close_Date,Available_At,Source_System
COST-SL-00000218,SL-00000218,T_295013,P_591650,"1,059.17",0.00,0.00,2022-05-06,2022-05-08,ERP_COSTING
COST-SL-00000222,SL-00000222,T_651526,P_037045,48.13,0.00,0.00,2020-04-26,2020-04-26,ERP_COSTING
COST-SL-00000227,SL-00000227,T_321276,P_RARE_Product_Family_04,261.59,0.00,0.00,2021-11-11,2021-11-12,ERP_COSTING
COST-SL-00000228,SL-00000228,T_933342,P_RARE_Product_Family_03,123.12,0.00,0.00,2021-09-06,2021-09-08,ERP_COSTING
COST-SL-00000229,SL-00000229,T_794965,P_573948,424.85,0.00,0.00,2021-12-25,2021-12-26,ERP_COSTING
COST-SL-00000232,SL-00000232,T_712667,P_174951,197.79,0.00,0.00,2021-05-21,2021-05-22,ERP_COSTING
COST-SL-00000236,SL-00000236,T_622325,P_RARE_Product_Family_03,56.39,0.00,0.00,2020-08-15,2020-08-17,ERP_COSTING
COST-SL-00000237,SL-00000237,T_719540,P_RARE_Product_Family_03,91.46,0.00,0.00,2020-09-07,2020-09-07,ERP_COSTING
COST-SL-00000238,SL-00000238,T_241367,P_RARE_Product_Family_04,322.97,0.00,0.00,2022-01-09,2022-01-10,ERP_COSTING
COST-SL-00000239,SL-00000239,T_463387,P_769459,114.53,0.00,0.00,2020-02-25,2020-02-27,ERP_COSTING
COST-SL-00000243,SL-00000243,T_309612,P_RARE_Product_Family_03,411.46,0.00,0.00,2022-01-02,2022-01-03,ERP_COSTING
COST-SL-00000244,SL-00000244,T_593775,P_569202,77.78,0.00,0.00,2020-02-07,2020-02-07,ERP_COSTING
COST-SL-00000249,SL-00000249,T_066739,P_809117,306.47,0.00,0.00,2021-12-07,2021-12-08,ERP_COSTING
COST-SL-00000256,SL-00000256,T_812760,P_950323,69.60,0.00,0.00,2020-11-01,2020-11-02,ERP_COSTING
COST-SL-00000257,SL-00000257,T_543877,P_RARE_Product_Family_04,40.19,0.00,0.00,2020-09-15,2020-09-17,ERP_COSTING
COST-SL-00000259,SL-00000259,T_151524,P_RARE_Product_Family_05,247.14,0.00,0.00,2021-07-29,2021-07-31,ERP_COSTING
COST-SL-00000261,SL-00000261,T_230350,P_RARE_Product_Family_04,67.73,0.00,0.00,2020-11-02,2020-11-03,ERP_COSTING
COST-SL-00000264,SL-00000264,T_140873,P_979926,304.61,0.00,0.00,2021-09-02,2021-09-02,ERP_COSTING
COST-SL-00000267,SL-00000267,T_822587,P_RARE_Product_Family_03,92.05,0.00,0.00,2021-08-28,2021-08-29,ERP_COSTING
COST-SL-00000270,SL-00000270,T_925748,P_593409,364.14,0.00,0.00,2021-12-07,2021-12-08,ERP_COSTING
COST-SL-00000273,SL-00000273,T_800970,P_508986,33.41,0.00,0.00,2020-04-05,2020-04-05,ERP_COSTING
COST-SL-00000276,SL-00000276,T_669269,P_454916,103.38,0.00,0.00,2021-06-24,2021-06-25,ERP_COSTING
COST-SL-00000277,SL-00000277,T_650338,P_565736,150.97,0.00,0.00,2020-09-05,2020-09-07,ERP_COSTING
COST-SL-00000282,SL-00000282,T_953145,P_310017,220.21,0.00,0.00,2021-04-14,2021-04-16,ERP_COSTING
COST-SL-00000283,SL-00000283,T_353741,P_146351,230.41,0.00,0.00,2021-02-01,2021-02-02,ERP_COSTING
COST-SL-00000285,SL-00000285,T_914744,P_498565,254.79,0.00,0.00,2021-10-02,2021-10-03,ERP_COSTING
COST-SL-00000288,SL-00000288,T_421277,P_596778,48.42,0.00,0.00,2020-07-03,2020-07-05,ERP_COSTING
COST-SL-00000293,SL-00000293,T_751944,P_958843,58.73,0.00,0.00,2021-04-23,2021-04-23,ERP_COSTING
COST-SL-00000294,SL-00000294,T_930207,P_769459,125.32,0.00,0.00,2020-08-23,2020-08-24,ERP_COSTING
COST-SL-00000299,SL-00000299,T_566128,P_RARE_Product_Family_04,52.60,0.00,0.00,2021-02-27,2021-03-01,ERP_COSTING
COST-SL-00000306,SL-00000306,T_659325,P_444447,101.62,0.00,0.00,2020-05-19,2020-05-19,ERP_COSTING
COST-SL-00000308,SL-00000308,T_869081,P_003764,323.34,0.00,0.00,2022-01-19,2022-01-21,ERP_COSTING
COST-SL-00000310,SL-00000310,T_715183,P_156887,127.39,0.00,0.00,2021-04-25,2021-04-27,ERP_COSTING
COST-SL-00000311,SL-00000311,T_099684,P_RARE_Product_Family_03,122.64,0.00,0.00,2020-05-15,2020-05-16,ERP_COSTING
COST-SL-00000315,SL-00000315,T_879501,P_817472,"1,023.98",0.00,0.00,2022-04-14,2022-04-14,ERP_COSTING
COST-SL-00000320,SL-00000320,T_983909,P_278460,172.21,0.00,0.00,2021-06-27,2021-06-28,ERP_COSTING
COST-SL-00000324,SL-00000324,T_068149,P_542809,112.28,0.00,0.00,2020-08-03,2020-08-05,ERP_COSTING
COST-SL-00000325,SL-00000325,T_596020,P_RARE_Product_Family_03,103.13,0.00,0.00,2020-05-27,2020-05-27,ERP_COSTING
COST-SL-00000331,SL-00000331,T_781493,P_091085,407.70,0.00,0.00,2021-11-27,2021-11-28,ERP_COSTING
COST-SL-00000334,SL-00000334,T_613470,P_RARE_Product_Family_04,58.02,0.00,0.00,2021-06-29,2021-06-29,ERP_COSTING
COST-SL-00000344,SL-00000344,T_310876,P_RARE_Product_Family_03,182.94,0.00,0.00,2021-11-05,2021-11-06,ERP_COSTING
COST-SL-00000345,SL-00000345,T_280791,P_RARE_Product_Family_04,161.63,0.00,0.00,2021-11-21,2021-11-23,ERP_COSTING
COST-SL-00000348,SL-00000348,T_887750,P_RARE_Product_Family_04,88.88,0.00,0.00,2021-07-26,2021-07-27,ERP_COSTING
COST-SL-00000352,SL-00000352,T_384320,P_494409,533.31,0.00,0.00,2021-12-09,2021-12-11,ERP_COSTING
COST-SL-00000353,SL-00000353,T_586402,P_693439,102.91,0.00,0.00,2020-03-17,2020-03-18,ERP_COSTING
COST-SL-00000359,SL-00000359,T_030704,P_652993,138.76,0.00,0.00,2021-05-12,2021-05-12,ERP_COSTING
COST-SL-00000361,SL-00000361,T_425672,P_672380,113.21,0.00,0.00,2020-04-08,2020-04-10,ERP_COSTING
COST-SL-00000364,SL-00000364,T_657324,P_989994,94.00,0.00,0.00,2020-11-22,2020-11-22,ERP_COSTING
COST-SL-00000370,SL-00000370,T_306219,P_285147,296.62,0.00,0.00,2021-07-27,2021-07-29,ERP_COSTING
COST-SL-00000374,SL-00000374,T_815314,P_499327,324.75,0.00,0.00,2021-12-27,2021-12-28,ERP_COSTING
COST-SL-00000375,SL-00000375,T_420045,P_568483,253.22,0.00,0.00,2021-11-20,2021-11-20,ERP_COSTING
COST-SL-00000382,SL-00000382,T_127282,P_RARE_Product_Family_03,221.68,0.00,0.00,2021-12-15,2021-12-15,ERP_COSTING
COST-SL-00000383,SL-00000383,T_183472,P_RARE_Product_Family_02,442.91,0.00,0.00,2021-12-03,2021-12-04,ERP_COSTING
COST-SL-00000384,SL-00000384,T_762088,P_989949,181.13,0.00,0.00,2021-03-15,2021-03-15,ERP_COSTING
COST-SL-00000387,SL-00000387,T_157192,P_444447,92.57,0.00,0.00,2020-05-09,2020-05-11,ERP_COSTING
COST-SL-00000388,SL-00000388,T_222909,P_RARE_Product_Family_03,87.87,0.00,0.00,2021-04-27,2021-04-28,ERP_COSTING
COST-SL-00000389,SL-00000389,T_915536,P_RARE_Product_Family_05,327.48,0.00,0.00,2021-04-29,2021-05-01,ERP_COSTING
COST-SL-00000396,SL-00000396,T_795458,P_672805,158.21,0.00,0.00,2020-12-10,2020-12-11,ERP_COSTING
COST-SL-00000397,SL-00000397,T_561897,P_047794,116.44,0.00,0.00,2020-07-14,2020-07-14,ERP_COSTING
COST-SL-00000398,SL-00000398,T_910550,P_335773,149.57,0.00,0.00,2021-03-03,2021-03-05,ERP_COSTING
COST-SL-00000403,SL-00000403,T_743057,P_542809,913.37,0.00,0.00,2022-03-19,2022-03-19,ERP_COSTING
COST-SL-00000404,SL-00000404,T_907132,P_650055,131.48,0.00,0.00,2021-06-30,2021-07-01,ERP_COSTING
COST-SL-00000405,SL-00000405,T_969729,P_310017,985.46,0.00,0.00,2022-03-14,2022-03-14,ERP_COSTING
COST-SL-00000409,SL-00000409,T_856685,P_703184,955.34,0.00,0.00,2022-04-07,2022-04-07,ERP_COSTING
COST-SL-00000411,SL-00000411,T_951256,P_128326,205.87,0.00,0.00,2021-11-12,2021-11-14,ERP_COSTING
COST-SL-00000416,SL-00000416,T_631901,P_RARE_Product_Family_04,322.84,0.00,0.00,2021-10-31,2021-10-31,ERP_COSTING
COST-SL-00000422,SL-00000422,T_681064,P_888064,96.51,0.00,0.00,2021-02-03,2021-02-05,ERP_COSTING
COST-SL-00000424,SL-00000424,T_282377,P_RARE_Product_Family_04,504.25,0.00,0.00,2022-05-23,2022-05-25,ERP_COSTING
COST-SL-00000425,SL-00000425,T_755616,P_577968,171.56,0.00,0.00,2021-07-17,2021-07-18,ERP_COSTING
COST-SL-00000434,SL-00000434,T_631014,P_787809,106.02,0.00,0.00,2020-11-22,2020-11-23,ERP_COSTING
COST-SL-00000439,SL-00000439,T_431173,P_RARE_Product_Family_04,154.28,0.00,0.00,2021-04-03,2021-04-05,ERP_COSTING
COST-SL-00000442,SL-00000442,T_781447,P_RARE_Product_Family_03,91.55,0.00,0.00,2020-04-21,2020-04-23,ERP_COSTING
COST-SL-00000443,SL-00000443,T_792676,P_742720,72.92,0.00,0.00,2020-12-13,2020-12-14,ERP_COSTING
COST-SL-00000446,SL-00000446,T_482509,P_RARE_Product_Family_05,218.20,0.00,0.00,2020-12-23,2020-12-23,ERP_COSTING
COST-SL-00000449,SL-00000449,T_662236,P_159680,67.84,0.00,0.00,2020-09-11,2020-09-12,ERP_COSTING
COST-SL-00000452,SL-00000452,T_275754,P_RARE_Product_Family_01,159.41,0.00,0.00,2021-05-13,2021-05-13,ERP_COSTING
COST-SL-00000455,SL-00000455,T_072164,P_531226,54.08,0.00,0.00,2020-07-21,2020-07-23,ERP_COSTING
COST-SL-00000458,SL-00000458,T_135281,P_003764,338.38,0.00,0.00,2022-01-01,2022-01-01,ERP_COSTING
COST-SL-00000459,SL-00000459,T_241845,P_RARE_Product_Family_02,139.03,0.00,0.00,2020-09-21,2020-09-22,ERP_COSTING
COST-SL-00000460,SL-00000460,T_883917,P_RARE_Product_Family_02,95.27,0.00,0.00,2021-08-08,2021-08-10,ERP_COSTING
COST-SL-00000465,SL-00000465,T_427179,P_108570,283.39,0.00,0.00,2021-11-25,2021-11-25,ERP_COSTING
COST-SL-00000470,SL-00000470,T_698706,P_RARE_Product_Family_03,108.73,0.00,0.00,2020-05-02,2020-05-03,ERP_COSTING
COST-SL-00000471,SL-00000471,T_196303,P_RARE_Product_Family_03,118.50,0.00,0.00,2020-05-18,2020-05-20,ERP_COSTING
COST-SL-00000474,SL-00000474,T_438924,P_RARE_Product_Family_03,116.33,0.00,0.00,2020-07-24,2020-07-24,ERP_COSTING
COST-SL-00000482,SL-00000482,T_228971,P_505032,86.49,0.00,0.00,2020-02-16,2020-02-16,ERP_COSTING
COST-SL-00000486,SL-00000486,T_397123,P_569454,174.63,0.00,0.00,2021-04-10,2021-04-12,ERP_COSTING
COST-SL-00000487,SL-00000487,T_791464,P_RARE_Product_Family_04,46.98,0.00,0.00,2020-02-06,2020-02-07,ERP_COSTING
COST-SL-00000488,SL-00000488,T_868237,P_466170,274.88,0.00,0.00,2021-11-01,2021-11-03,ERP_COSTING
COST-SL-00000490,SL-00000490,T_855773,P_RARE_Product_Family_04,69.54,0.00,0.00,2020-09-14,2020-09-14,ERP_COSTING
COST-SL-00000493,SL-00000493,T_918886,P_RARE_Product_Family_04,72.99,0.00,0.00,2020-09-19,2020-09-21,ERP_COSTING
COST-SL-00000495,SL-00000495,T_001782,P_RARE_Product_Family_03,205.71,0.00,0.00,2021-07-08,2021-07-10,ERP_COSTING
COST-SL-00000500,SL-00000500,T_114720,P_402763,179.23,0.00,0.00,2021-02-08,2021-02-10,ERP_COSTING
COST-SL-00000507,SL-00000507,T_525659,P_812406,237.51,0.00,0.00,2021-11-27,2021-11-28,ERP_COSTING
COST-SL-00000511,SL-00000511,T_357380,P_434331,92.80,0.00,0.00,2020-11-29,2020-12-01,ERP_COSTING
COST-SL-00000516,SL-00000516,T_630533,P_RARE_Product_Family_03,132.70,0.00,0.00,2020-10-08,2020-10-08,ERP_COSTING
COST-SL-00000517,SL-00000517,T_536423,P_735610,104.40,0.00,0.00,2021-09-21,2021-09-23,ERP_COSTING
COST-SL-00000525,SL-00000525,T_511600,P_RARE_Product_Family_05,"1,002.96",0.00,0.00,2022-05-14,2022-05-14,ERP_COSTING
COST-SL-00000528,SL-00000528,T_183711,P_572494,78.06,0.00,0.00,2020-05-17,2020-05-19,ERP_COSTING
COST-SL-00000532,SL-00000532,T_739742,P_947367,726.21,0.00,0.00,2022-04-06,2022-04-06,ERP_COSTING
COST-SL-00000533,SL-00000533,T_656570,P_003511,131.88,0.00,0.00,2020-12-28,2020-12-30,ERP_COSTING
COST-SL-00000538,SL-00000538,T_964097,P_RARE_Product_Family_04,64.35,0.00,0.00,2020-04-09,2020-04-11,ERP_COSTING
COST-SL-00000539,SL-00000539,T_300922,P_RARE_Product_Family_03,177.40,0.00,0.00,2021-10-12,2021-10-13,ERP_COSTING
COST-SL-00000543,SL-00000543,T_553527,P_RARE_Product_Family_03,61.36,0.00,0.00,2020-07-14,2020-07-15,ERP_COSTING
COST-SL-00000544,SL-00000544,T_762594,P_672805,118.51,0.00,0.00,2020-06-04,2020-06-06,ERP_COSTING
COST-SL-00000548,SL-00000548,T_937312,P_RARE_Product_Family_03,163.56,0.00,0.00,2021-01-22,2021-01-22,ERP_COSTING
COST-SL-00000549,SL-00000549,T_768551,P_RARE_Product_Family_03,92.39,0.00,0.00,2020-08-30,2020-08-31,ERP_COSTING
COST-SL-00000552,SL-00000552,T_656697,P_RARE_Product_Family_02,173.84,0.00,0.00,2021-07-25,2021-07-25,ERP_COSTING
COST-SL-00000553,SL-00000553,T_929545,P_107385,94.52,0.00,0.00,2021-05-07,2021-05-09,ERP_COSTING
COST-SL-00000555,SL-00000555,T_605720,P_003511,195.32,0.00,0.00,2021-06-30,2021-07-02,ERP_COSTING
COST-SL-00000556,SL-00000556,T_553527,P_RARE_Product_Family_03,64.35,0.00,0.00,2020-06-29,2020-06-30,ERP_COSTING
COST-SL-00000558,SL-00000558,T_371416,P_769459,183.96,0.00,0.00,2021-08-14,2021-08-15,ERP_COSTING
COST-SL-00000560,SL-00000560,T_506194,P_RARE_Product_Family_04,74.69,0.00,0.00,2020-07-17,2020-07-19,ERP_COSTING
COST-SL-00000561,SL-00000561,T_182854,P_230552,85.34,0.00,0.00,2020-11-15,2020-11-15,ERP_COSTING
COST-SL-00000565,SL-00000565,T_006090,P_425142,151.18,0.00,0.00,2021-03-01,2021-03-02,ERP_COSTING
COST-SL-00000570,SL-00000570,T_173480,P_964660,656.57,0.00,0.00,2022-05-14,2022-05-14,ERP_COSTING
COST-SL-00000571,SL-00000571,T_030596,P_138220,45.46,0.00,0.00,2020-11-05,2020-11-07,ERP_COSTING
COST-SL-00000575,SL-00000575,T_897167,P_RARE_Product_Family_03,83.49,0.00,0.00,2020-08-05,2020-08-06,ERP_COSTING
COST-SL-00000583,SL-00000583,T_957553,P_869644,169.47,0.00,0.00,2021-03-08,2021-03-08,ERP_COSTING
COST-SL-00000585,SL-00000585,T_516278,P_086593,114.24,0.00,0.00,2020-09-30,2020-09-30,ERP_COSTING
COST-SL-00000586,SL-00000586,T_540260,P_573948,120.00,0.00,0.00,2020-04-24,2020-04-25,ERP_COSTING
COST-SL-00000588,SL-00000588,T_886452,P_661344,81.23,0.00,0.00,2020-04-02,2020-04-04,ERP_COSTING
COST-SL-00000589,SL-00000589,T_107053,P_706427,97.97,0.00,0.00,2020-10-03,2020-10-03,ERP_COSTING
COST-SL-00000590,SL-00000590,T_477902,P_RARE_Product_Family_03,194.70,0.00,0.00,2021-07-01,2021-07-02,ERP_COSTING
COST-SL-00000594,SL-00000594,T_445088,P_635050,94.06,0.00,0.00,2020-10-07,2020-10-07,ERP_COSTING
COST-SL-00000595,SL-00000595,T_625094,P_337281,109.17,0.00,0.00,2021-01-11,2021-01-13,ERP_COSTING
COST-SL-00000601,SL-00000601,T_291004,P_285147,347.02,0.00,0.00,2021-09-20,2021-09-21,ERP_COSTING
COST-SL-00000602,SL-00000602,T_360443,P_RARE_Product_Family_03,105.08,0.00,0.00,2020-08-08,2020-08-08,ERP_COSTING
COST-SL-00000606,SL-00000606,T_262270,P_421045,156.77,0.00,0.00,2020-11-20,2020-11-22,ERP_COSTING
COST-SL-00000607,SL-00000607,T_732996,P_RARE_Product_Family_03,44.50,0.00,0.00,2020-06-17,2020-06-18,ERP_COSTING
COST-SL-00000611,SL-00000611,T_425481,P_003843,100.65,52.74,"5,438.55",2020-07-12,2020-07-12,ERP_COSTING
COST-SL-00000614,SL-00000614,T_442604,P_404680,54.81,0.00,0.00,2021-03-25,2021-03-26,ERP_COSTING
COST-SL-00000622,SL-00000622,T_122977,P_314550,33.71,0.00,0.00,2020-03-23,2020-03-23,ERP_COSTING
COST-SL-00000623,SL-00000623,T_087516,P_RARE_Product_Family_03,431.99,0.00,0.00,2022-01-15,2022-01-17,ERP_COSTING
COST-SL-00000626,SL-00000626,T_584025,P_769459,274.05,0.00,0.00,2021-10-19,2021-10-20,ERP_COSTING
COST-SL-00000629,SL-00000629,T_785004,P_RARE_Product_Family_04,390.90,0.00,0.00,2022-03-17,2022-03-19,ERP_COSTING
COST-SL-00000631,SL-00000631,T_875264,P_RARE_Product_Family_02,114.58,0.00,0.00,2020-08-22,2020-08-22,ERP_COSTING
COST-SL-00000634,SL-00000634,T_355971,P_339338,75.17,0.00,0.00,2020-08-19,2020-08-20,ERP_COSTING
COST-SL-00000635,SL-00000635,T_939587,P_706670,87.95,0.00,0.00,2021-01-08,2021-01-10,ERP_COSTING
COST-SL-00000641,SL-00000641,T_241862,P_770391,81.70,0.00,0.00,2020-07-05,2020-07-05,ERP_COSTING
