شماره فاکتور,تاریخ,Customer_ID,ماه,سال,Available_At,Source_System
T_001807,2020-04-27,C_117580,M04,SY02,2020-04-28,ERP_SALES
T_001820,2021-05-17,C_937594,M05,SY03,2021-05-18,ERP_SALES
T_001873,2020-07-13,C_937594,M07,SY02,2020-07-14,ERP_SALES
T_001896,2021-09-13,C_806376,M09,SY03,2021-09-14,ERP_SALES
T_002010,2021-08-30,C_317124,M08,SY03,2021-08-31,ERP_SALES
T_002084,2020-06-01,C_185126,M06,SY02,2020-06-02,ERP_SALES
T_002151,2020-03-09,C_421536,M03,SY02,2020-03-10,ERP_SALES
T_002223,2021-08-30,C_150182,M08,SY03,2021-08-31,ERP_SALES
T_002232,2020-12-21,C_050237,M12,SY02,2020-12-22,ERP_SALES
T_002249,2020-11-09,C_746892,M11,SY02,2020-11-10,ERP_SALES
T_002356,2021-09-27,C_877858,M09,SY03,2021-09-28,ERP_SALES
T_002379,2020-12-14,C_155990,M12,SY02,2020-12-15,ERP_SALES
T_002404,2021-08-02,C_419410,M08,SY03,2021-08-03,ERP_SALES
T_002419,2020-04-20,C_514467,M04,SY02,2020-04-21,ERP_SALES
T_002495,2020-04-20,C_703801,M04,SY02,2020-04-21,ERP_SALES
T_002660,2021-05-03,C_292582,M05,SY03,2021-05-04,ERP_SALES
T_002728,2020-07-13,C_600979,M07,SY02,2020-07-14,ERP_SALES
T_002764,2020-07-06,C_633661,M07,SY02,2020-07-07,ERP_SALES
T_002850,2021-05-10,C_828155,M05,SY03,2021-05-11,ERP_SALES
T_002857,2020-08-03,C_853926,M08,SY02,2020-08-04,ERP_SALES
T_002877,2022-04-11,C_472366,M04,SY04,2022-04-12,ERP_SALES
T_003028,2020-06-08,C_662193,M06,SY02,2020-06-09,ERP_SALES
T_003066,2020-08-24,C_117580,M08,SY02,2020-08-25,ERP_SALES
T_003185,2020-12-21,C_147153,M12,SY02,2020-12-22,ERP_SALES
T_003220,2022-03-14,C_749821,M03,SY04,2022-03-15,ERP_SALES
T_003259,2020-03-02,C_172705,M03,SY02,2020-03-03,ERP_SALES
T_003293,2021-08-23,C_877858,M08,SY03,2021-08-24,ERP_SALES
T_003340,2020-01-20,C_512037,M01,SY02,2020-01-21,ERP_SALES
T_003355,2020-08-31,C_117580,M08,SY02,2020-09-01,ERP_SALES
T_003420,2020-07-20,C_113139,M07,SY02,2020-07-21,ERP_SALES
T_003490,2020-12-14,C_739947,M12,SY02,2020-12-15,ERP_SALES
T_003499,2020-02-24,C_683666,M02,SY02,2020-02-25,ERP_SALES
T_003509,2021-06-14,C_258325,M06,SY03,2021-06-15,ERP_SALES
T_003588,2020-09-14,C_683666,M09,SY02,2020-09-15,ERP_SALES
T_003596,2021-02-15,C_943171,M02,SY03,2021-02-16,ERP_SALES
T_003778,2020-11-23,C_806376,M11,SY02,2020-11-24,ERP_SALES
T_003789,2021-06-21,C_197461,M06,SY03,2021-06-22,ERP_SALES
T_003792,2020-07-20,C_866894,M07,SY02,2020-07-21,ERP_SALES
T_003895,2021-09-27,C_728285,M09,SY03,2021-09-28,ERP_SALES
T_003922,2021-10-18,C_939370,M10,SY03,2021-10-19,ERP_SALES
T_003926,2022-05-02,C_948070,M05,SY04,2022-05-03,ERP_SALES
T_003946,2020-12-14,C_806376,M12,SY02,2020-12-15,ERP_SALES
T_003987,2020-09-28,C_113139,M09,SY02,2020-09-29,ERP_SALES
T_004044,2020-01-13,C_040673,M01,SY02,2020-01-14,ERP_SALES
T_004144,2021-06-21,C_728285,M06,SY03,2021-06-22,ERP_SALES
T_004362,2021-11-15,C_472366,M11,SY03,2021-11-16,ERP_SALES
T_004423,2021-11-15,C_691869,M11,SY03,2021-11-16,ERP_SALES
T_004457,2020-06-01,C_421536,M06,SY02,2020-06-02,ERP_SALES
T_004615,2020-12-14,C_806376,M12,SY02,2020-12-15,ERP_SALES
T_004700,2021-03-08,C_980626,M03,SY03,2021-03-09,ERP_SALES
T_004792,2020-06-15,C_705572,M06,SY02,2020-06-16,ERP_SALES
T_004829,2020-08-10,C_117580,M08,SY02,2020-08-11,ERP_SALES
T_004835,2020-06-01,C_150182,M06,SY02,2020-06-02,ERP_SALES
T_004918,2021-01-25,C_190305,M01,SY03,2021-01-26,ERP_SALES
T_005037,2020-02-03,C_245948,M02,SY02,2020-02-04,ERP_SALES
T_005043,2021-06-21,C_862106,M06,SY03,2021-06-22,ERP_SALES
T_005159,2021-03-29,C_051706,M03,SY03,2021-03-30,ERP_SALES
T_005240,2021-08-16,C_749821,M08,SY03,2021-08-17,ERP_SALES
T_005363,2021-07-05,C_258325,M07,SY03,2021-07-06,ERP_SALES
T_005399,2022-04-25,C_276262,M04,SY04,2022-04-26,ERP_SALES
T_005440,2020-11-30,C_593639,M11,SY02,2020-12-01,ERP_SALES
T_005478,2021-01-04,C_938531,M01,SY03,2021-01-05,ERP_SALES
T_005519,2021-09-27,C_155990,M09,SY03,2021-09-28,ERP_SALES
T_005582,2020-02-10,C_039413,M02,SY02,2020-02-11,ERP_SALES
T_005607,2020-01-27,C_514467,M01,SY02,2020-01-28,ERP_SALES
T_005768,2020-08-10,C_739258,M08,SY02,2020-08-11,ERP_SALES
T_005789,2020-01-06,C_746892,M01,SY02,2020-01-07,ERP_SALES
T_005839,2020-10-26,C_336021,M10,SY02,2020-10-27,ERP_SALES
T_005851,2021-03-08,C_728285,M03,SY03,2021-03-09,ERP_SALES
T_005960,2021-02-22,C_245948,M02,SY03,2021-02-23,ERP_SALES
T_005969,2020-03-16,C_683666,M03,SY02,2020-03-17,ERP_SALES
T_005996,2021-08-16,C_862106,M08,SY03,2021-08-17,ERP_SALES
T_006017,2020-12-14,C_172705,M12,SY02,2020-12-15,ERP_SALES
T_006090,2021-02-08,C_385527,M02,SY03,2021-02-09,ERP_SALES
T_006309,2021-04-12,C_582486,M04,SY03,2021-04-13,ERP_SALES
T_006314,2020-08-17,C_263291,M08,SY02,2020-08-18,ERP_SALES
T_006398,2020-09-28,C_387172,M09,SY02,2020-09-29,ERP_SALES
T_006466,2021-03-01,C_282979,M03,SY03,2021-03-02,ERP_SALES
T_006623,2021-06-21,C_412635,M06,SY03,2021-06-22,ERP_SALES
T_006751,2020-10-19,C_535756,M10,SY02,2020-10-20,ERP_SALES
T_006896,2021-05-17,C_763443,M05,SY03,2021-05-18,ERP_SALES
T_006920,2021-06-14,C_705572,M06,SY03,2021-06-15,ERP_SALES
T_007209,2021-05-03,C_692721,M05,SY03,2021-05-04,ERP_SALES
T_007261,2021-10-25,C_739947,M10,SY03,2021-10-26,ERP_SALES
T_007350,2022-03-07,C_698497,M03,SY04,2022-03-08,ERP_SALES
T_007479,2021-06-21,C_258325,M06,SY03,2021-06-22,ERP_SALES
T_007536,2020-07-20,C_022240,M07,SY02,2020-07-21,ERP_SALES
T_007651,2020-09-21,C_943921,M09,SY02,2020-09-22,ERP_SALES
T_007726,2021-07-26,C_342153,M07,SY03,2021-07-27,ERP_SALES
T_007851,2020-12-07,C_698497,M12,SY02,2020-12-08,ERP_SALES
T_007895,2020-04-27,C_740649,M04,SY02,2020-04-28,ERP_SALES
T_007916,2020-12-14,C_937594,M12,SY02,2020-12-15,ERP_SALES
T_007952,2020-07-20,C_915518,M07,SY02,2020-07-21,ERP_SALES
T_007964,2020-04-13,C_027096,M04,SY02,2020-04-14,ERP_SALES
T_008005,2020-09-07,C_117580,M09,SY02,2020-09-08,ERP_SALES
T_008018,2020-08-17,C_575381,M08,SY02,2020-08-18,ERP_SALES
T_008123,2020-08-17,C_411261,M08,SY02,2020-08-18,ERP_SALES
T_008170,2021-11-01,C_334474,M11,SY03,2021-11-02,ERP_SALES
T_008232,2021-12-27,C_113139,M12,SY03,2021-12-28,ERP_SALES
T_008456,2020-05-04,C_593639,M05,SY02,2020-05-05,ERP_SALES
T_008527,2021-11-08,C_218295,M11,SY03,2021-11-09,ERP_SALES
T_008719,2020-10-05,C_603877,M10,SY02,2020-10-06,ERP_SALES
T_008722,2020-02-24,C_980626,M02,SY02,2020-02-25,ERP_SALES
T_008751,2021-11-08,C_042732,M11,SY03,2021-11-09,ERP_SALES
T_008825,2020-01-27,C_838088,M01,SY02,2020-01-28,ERP_SALES
T_008960,2021-12-06,C_472366,M12,SY03,2021-12-07,ERP_SALES
T_008974,2020-03-09,C_799217,M03,SY02,2020-03-10,ERP_SALES
T_009000,2020-06-22,C_421536,M06,SY02,2020-06-23,ERP_SALES
T_009023,2022-04-04,C_728285,M04,SY04,2022-04-05,ERP_SALES
T_009055,2021-03-15,C_806376,M03,SY03,2021-03-16,ERP_SALES
T_009209,2020-12-21,C_762928,M12,SY02,2020-12-22,ERP_SALES
T_009238,2021-08-23,C_878590,M08,SY03,2021-08-24,ERP_SALES
T_009384,2022-04-25,C_683666,M04,SY04,2022-04-26,ERP_SALES
T_009535,2021-06-28,C_806376,M06,SY03,2021-06-29,ERP_SALES
T_009707,2021-03-22,C_683666,M03,SY03,2021-03-23,ERP_SALES
T_009770,2020-12-28,C_848211,M12,SY02,2020-12-29,ERP_SALES
T_009932,2021-02-15,C_862106,M02,SY03,2021-02-16,ERP_SALES
T_009952,2020-04-27,C_980626,M04,SY02,2020-04-28,ERP_SALES
T_009981,2020-06-08,C_565612,M06,SY02,2020-06-09,ERP_SALES
T_010009,2020-05-04,C_258325,M05,SY02,2020-05-05,ERP_SALES
T_010038,2020-08-10,C_314119,M08,SY02,2020-08-11,ERP_SALES
T_010112,2022-05-09,C_951507,M05,SY04,2022-05-10,ERP_SALES
T_010153,2020-10-19,C_806376,M10,SY02,2020-10-20,ERP_SALES
T_010308,2021-04-26,C_939370,M04,SY03,2021-04-27,ERP_SALES
T_010430,2020-10-26,C_739947,M10,SY02,2020-10-27,ERP_SALES
T_010496,2020-04-27,C_714619,M04,SY02,2020-04-28,ERP_SALES
T_010538,2021-11-15,C_472366,M11,SY03,2021-11-16,ERP_SALES
T_010561,2020-08-24,C_758522,M08,SY02,2020-08-25,ERP_SALES
T_010585,2021-11-22,C_710912,M11,SY03,2021-11-23,ERP_SALES
T_010689,2020-08-03,C_113139,M08,SY02,2020-08-04,ERP_SALES
T_010700,2020-03-09,C_691869,M03,SY02,2020-03-10,ERP_SALES
T_010742,2020-08-03,C_420849,M08,SY02,2020-08-04,ERP_SALES
T_010786,2020-02-03,C_086403,M02,SY02,2020-02-04,ERP_SALES
T_011071,2020-03-30,C_113139,M03,SY02,2020-03-31,ERP_SALES
T_011143,2021-05-17,C_233299,M05,SY03,2021-05-18,ERP_SALES
T_011184,2020-11-16,C_939370,M11,SY02,2020-11-17,ERP_SALES
T_011212,2021-05-24,C_101842,M05,SY03,2021-05-25,ERP_SALES
T_011271,2020-09-28,C_900728,M09,SY02,2020-09-29,ERP_SALES
T_011352,2020-01-20,C_330550,M01,SY02,2020-01-21,ERP_SALES
T_011385,2020-05-04,C_322219,M05,SY02,2020-05-05,ERP_SALES
T_011442,2020-03-23,C_862106,M03,SY02,2020-03-24,ERP_SALES
T_011459,2021-10-25,C_746892,M10,SY03,2021-10-26,ERP_SALES
T_011543,2019-12-16,C_932446,M12,SY01,2019-12-17,ERP_SALES
T_011556,2021-09-27,C_170045,M09,SY03,2021-09-28,ERP_SALES
T_011630,2020-04-20,C_603968,M04,SY02,2020-04-21,ERP_SALES
T_011639,2022-01-31,C_265923,M01,SY04,2022-02-01,ERP_SALES
T_011665,2021-01-11,C_672256,M01,SY03,2021-01-12,ERP_SALES
T_011669,2020-04-20,C_593639,M04,SY02,2020-04-21,ERP_SALES
T_011794,2021-08-09,C_336021,M08,SY03,2021-08-10,ERP_SALES
T_011811,2022-05-02,C_412635,M05,SY04,2022-05-03,ERP_SALES
T_011845,2020-11-09,C_739258,M11,SY02,2020-11-10,ERP_SALES
T_011941,2021-05-03,C_806376,M05,SY03,2021-05-04,ERP_SALES
T_012009,2021-06-28,C_969414,M06,SY03,2021-06-29,ERP_SALES
T_012017,2020-11-02,C_180745,M11,SY02,2020-11-03,ERP_SALES
T_012027,2020-11-02,C_862106,M11,SY02,2020-11-03,ERP_SALES
T_012030,2022-01-24,C_672256,M01,SY04,2022-01-25,ERP_SALES
T_012074,2020-04-27,C_274912,M04,SY02,2020-04-28,ERP_SALES
T_012107,2020-06-29,C_117580,M06,SY02,2020-06-30,ERP_SALES
T_012123,2021-09-27,C_633661,M09,SY03,2021-09-28,ERP_SALES
T_012322,2021-07-19,C_932446,M07,SY03,2021-07-20,ERP_SALES
T_012330,2021-08-09,C_329432,M08,SY03,2021-08-10,ERP_SALES
T_012564,2021-07-19,C_806376,M07,SY03,2021-07-20,ERP_SALES
T_012660,2020-11-02,C_897743,M11,SY02,2020-11-03,ERP_SALES
T_012672,2021-11-08,C_185126,M11,SY03,2021-11-09,ERP_SALES
T_012688,2021-11-22,C_113139,M11,SY03,2021-11-23,ERP_SALES
T_012712,2020-09-28,C_535756,M09,SY02,2020-09-29,ERP_SALES
T_012798,2020-08-24,C_862106,M08,SY02,2020-08-25,ERP_SALES
T_012824,2020-04-13,C_633661,M04,SY02,2020-04-14,ERP_SALES
T_012832,2020-07-27,C_117580,M07,SY02,2020-07-28,ERP_SALES
T_012849,2020-12-07,C_144468,M12,SY02,2020-12-08,ERP_SALES
T_012920,2021-10-04,C_258325,M10,SY03,2021-10-05,ERP_SALES
T_013165,2021-08-16,C_937594,M08,SY03,2021-08-17,ERP_SALES
T_013215,2020-01-20,C_245948,M01,SY02,2020-01-21,ERP_SALES
T_013247,2020-04-13,C_144468,M04,SY02,2020-04-14,ERP_SALES
T_013290,2021-10-11,C_113139,M10,SY03,2021-10-12,ERP_SALES
T_013291,2020-04-20,C_244106,M04,SY02,2020-04-21,ERP_SALES
T_013323,2021-03-15,C_806376,M03,SY03,2021-03-16,ERP_SALES
T_013342,2021-02-22,C_937594,M02,SY03,2021-02-23,ERP_SALES
T_013350,2021-02-08,C_249135,M02,SY03,2021-02-09,ERP_SALES
T_013401,2021-03-01,C_980626,M03,SY03,2021-03-02,ERP_SALES
T_013405,2021-06-28,C_172705,M06,SY03,2021-06-29,ERP_SALES
T_013433,2020-06-01,C_980626,M06,SY02,2020-06-02,ERP_SALES
T_013440,2020-10-26,C_683666,M10,SY02,2020-10-27,ERP_SALES
T_013468,2021-11-15,C_937594,M11,SY03,2021-11-16,ERP_SALES
T_013622,2020-06-08,C_633661,M06,SY02,2020-06-09,ERP_SALES
T_013713,2020-09-14,C_603968,M09,SY02,2020-09-15,ERP_SALES
T_013815,2021-09-06,C_058218,M09,SY03,2021-09-07,ERP_SALES
T_013959,2020-09-21,C_915518,M09,SY02,2020-09-22,ERP_SALES
T_014014,2021-01-04,C_633661,M01,SY03,2021-01-05,ERP_SALES
T_014032,2022-04-04,C_888956,M04,SY04,2022-04-05,ERP_SALES
T_014039,2021-08-23,C_806376,M08,SY03,2021-08-24,ERP_SALES
T_014073,2020-08-10,C_117580,M08,SY02,2020-08-11,ERP_SALES
T_014142,2021-03-22,C_051706,M03,SY03,2021-03-23,ERP_SALES
T_014194,2021-08-16,C_746892,M08,SY03,2021-08-17,ERP_SALES
T_014231,2021-07-12,C_806376,M07,SY03,2021-07-13,ERP_SALES
T_014413,2022-03-14,C_419410,M03,SY04,2022-03-15,ERP_SALES
T_014415,2021-04-26,C_800815,M04,SY03,2021-04-27,ERP_SALES
T_014489,2020-04-27,C_185126,M04,SY02,2020-04-28,ERP_SALES
T_014513,2020-01-27,C_258325,M01,SY02,2020-01-28,ERP_SALES
T_014538,2020-01-20,C_249788,M01,SY02,2020-01-21,ERP_SALES
T_014544,2021-03-08,C_196572,M03,SY03,2021-03-09,ERP_SALES
T_014578,2021-06-28,C_514318,M06,SY03,2021-06-29,ERP_SALES
T_014652,2020-07-13,C_117580,M07,SY02,2020-07-14,ERP_SALES
T_014702,2020-07-20,C_310107,M07,SY02,2020-07-21,ERP_SALES
T_014753,2021-07-12,C_593639,M07,SY03,2021-07-13,ERP_SALES
T_014895,2020-10-26,C_113139,M10,SY02,2020-10-27,ERP_SALES
T_014966,2021-11-08,C_603968,M11,SY03,2021-11-09,ERP_SALES
T_015004,2021-08-23,C_465481,M08,SY03,2021-08-24,ERP_SALES
T_015029,2021-06-28,C_739947,M06,SY03,2021-06-29,ERP_SALES
T_015112,2020-07-13,C_746892,M07,SY02,2020-07-14,ERP_SALES
T_015264,2021-07-12,C_698497,M07,SY03,2021-07-13,ERP_SALES
T_015331,2020-03-16,C_705572,M03,SY02,2020-03-17,ERP_SALES
T_015451,2020-05-04,C_172705,M05,SY02,2020-05-05,ERP_SALES
T_015522,2021-02-22,C_594561,M02,SY03,2021-02-23,ERP_SALES
T_015524,2021-12-13,C_420849,M12,SY03,2021-12-14,ERP_SALES
T_015758,2021-07-26,C_023073,M07,SY03,2021-07-27,ERP_SALES
T_015779,2020-11-30,C_633661,M11,SY02,2020-12-01,ERP_SALES
T_015839,2020-08-17,C_600979,M08,SY02,2020-08-18,ERP_SALES
T_015841,2020-03-30,C_322315,M03,SY02,2020-03-31,ERP_SALES
T_016289,2021-12-20,C_352205,M12,SY03,2021-12-21,ERP_SALES
T_016349,2020-11-30,C_939370,M11,SY02,2020-12-01,ERP_SALES
T_016412,2020-04-27,C_155990,M04,SY02,2020-04-28,ERP_SALES
T_016559,2020-11-02,C_731802,M11,SY02,2020-11-03,ERP_SALES
T_016590,2020-04-27,C_051706,M04,SY02,2020-04-28,ERP_SALES
T_016640,2020-03-02,C_074947,M03,SY02,2020-03-03,ERP_SALES
T_016659,2021-08-23,C_691869,M08,SY03,2021-08-24,ERP_SALES
T_016825,2020-08-24,C_519849,M08,SY02,2020-08-25,ERP_SALES
T_016855,2020-04-20,C_862106,M04,SY02,2020-04-21,ERP_SALES
T_016893,2020-12-07,C_806376,M12,SY02,2020-12-08,ERP_SALES
T_016905,2021-10-11,C_858384,M10,SY03,2021-10-12,ERP_SALES
T_016916,2021-08-16,C_465481,M08,SY03,2021-08-17,ERP_SALES
T_017059,2020-03-23,C_797326,M03,SY02,2020-03-24,ERP_SALES
T_017130,2020-10-26,C_746892,M10,SY02,2020-10-27,ERP_SALES
T_017256,2021-04-19,C_603968,M04,SY03,2021-04-20,ERP_SALES
T_017401,2021-03-22,C_633661,M03,SY03,2021-03-23,ERP_SALES
T_017439,2020-06-08,C_421536,M06,SY02,2020-06-09,ERP_SALES
T_017589,2021-03-15,C_352205,M03,SY03,2021-03-16,ERP_SALES
T_017676,2021-11-22,C_535756,M11,SY03,2021-11-23,ERP_SALES
T_017769,2021-03-01,C_535756,M03,SY03,2021-03-02,ERP_SALES
T_017817,2020-11-09,C_683666,M11,SY02,2020-11-10,ERP_SALES
T_017857,2021-03-22,C_245948,M03,SY03,2021-03-23,ERP_SALES
T_017962,2021-11-15,C_051706,M11,SY03,2021-11-16,ERP_SALES
T_018029,2020-03-09,C_051706,M03,SY02,2020-03-10,ERP_SALES
T_018264,2021-06-28,C_909326,M06,SY03,2021-06-29,ERP_SALES
T_018277,2020-08-10,C_101842,M08,SY02,2020-08-11,ERP_SALES
T_018413,2021-04-12,C_937594,M04,SY03,2021-04-13,ERP_SALES
T_018480,2020-01-27,C_172705,M01,SY02,2020-01-28,ERP_SALES
T_018585,2020-11-16,C_951507,M11,SY02,2020-11-17,ERP_SALES
T_018589,2020-09-07,C_314119,M09,SY02,2020-09-08,ERP_SALES
T_018606,2020-01-13,C_357434,M01,SY02,2020-01-14,ERP_SALES
T_018675,2021-12-06,C_951507,M12,SY03,2021-12-07,ERP_SALES
T_018763,2020-09-28,C_633661,M09,SY02,2020-09-29,ERP_SALES
T_018768,2022-02-28,C_440132,M02,SY04,2022-03-01,ERP_SALES
T_018782,2021-06-21,C_806376,M06,SY03,2021-06-22,ERP_SALES
T_018793,2021-03-15,C_800815,M03,SY03,2021-03-16,ERP_SALES
T_018795,2021-02-15,C_113139,M02,SY03,2021-02-16,ERP_SALES
T_018824,2020-09-14,C_412635,M09,SY02,2020-09-15,ERP_SALES
T_018989,2021-05-10,C_398853,M05,SY03,2021-05-11,ERP_SALES
T_019109,2020-05-04,C_051706,M05,SY02,2020-05-05,ERP_SALES
T_019300,2020-11-16,C_891574,M11,SY02,2020-11-17,ERP_SALES
T_019304,2020-08-10,C_593639,M08,SY02,2020-08-11,ERP_SALES
T_019509,2021-11-01,C_740649,M11,SY03,2021-11-02,ERP_SALES
T_019591,2020-12-07,C_282979,M12,SY02,2020-12-08,ERP_SALES
T_019610,2021-03-22,C_937594,M03,SY03,2021-03-23,ERP_SALES
T_019630,2021-05-10,C_683666,M05,SY03,2021-05-11,ERP_SALES
T_019733,2021-06-21,C_806376,M06,SY03,2021-06-22,ERP_SALES
T_019759,2021-11-08,C_746892,M11,SY03,2021-11-09,ERP_SALES
T_019822,2020-08-24,C_768792,M08,SY02,2020-08-25,ERP_SALES
T_019901,2021-04-19,C_705572,M04,SY03,2021-04-20,ERP_SALES
T_019961,2020-08-31,C_622797,M08,SY02,2020-09-01,ERP_SALES
T_019990,2021-10-11,C_603968,M10,SY03,2021-10-12,ERP_SALES
T_020016,2021-11-29,C_664019,M11,SY03,2021-11-30,ERP_SALES
T_020031,2021-09-27,C_479796,M09,SY03,2021-09-28,ERP_SALES
T_020038,2020-08-31,C_939370,M08,SY02,2020-09-01,ERP_SALES
T_020043,2020-02-17,C_172705,M02,SY02,2020-02-18,ERP_SALES
T_020164,2020-08-10,C_086403,M08,SY02,2020-08-11,ERP_SALES
T_020292,2020-05-18,C_357434,M05,SY02,2020-05-19,ERP_SALES
T_020322,2020-03-09,C_126481,M03,SY02,2020-03-10,ERP_SALES
T_020401,2020-11-23,C_590257,M11,SY02,2020-11-24,ERP_SALES
T_020547,2021-03-22,C_705680,M03,SY03,2021-03-23,ERP_SALES
T_020635,2022-04-18,C_703200,M04,SY04,2022-04-19,ERP_SALES
T_020637,2020-03-16,C_282979,M03,SY02,2020-03-17,ERP_SALES
T_020664,2020-08-03,C_113139,M08,SY02,2020-08-04,ERP_SALES
T_020712,2021-03-22,C_382534,M03,SY03,2021-03-23,ERP_SALES
T_020784,2022-04-04,C_473035,M04,SY04,2022-04-05,ERP_SALES
T_020819,2021-11-08,C_472366,M11,SY03,2021-11-09,ERP_SALES
T_020920,2021-05-03,C_746892,M05,SY03,2021-05-04,ERP_SALES
T_021141,2020-02-17,C_126481,M02,SY02,2020-02-18,ERP_SALES
T_021154,2020-01-06,C_233724,M01,SY02,2020-01-07,ERP_SALES
T_021204,2021-10-25,C_806376,M10,SY03,2021-10-26,ERP_SALES
T_021290,2022-05-30,C_937594,M05,SY04,2022-05-31,ERP_SALES
T_021561,2021-11-01,C_677190,M11,SY03,2021-11-02,ERP_SALES
T_021601,2022-02-14,C_336021,M02,SY04,2022-02-15,ERP_SALES
T_021710,2021-06-14,C_705572,M06,SY03,2021-06-15,ERP_SALES
T_021711,2022-04-25,C_352205,M04,SY04,2022-04-26,ERP_SALES
T_021741,2022-04-25,C_827200,M04,SY04,2022-04-26,ERP_SALES
T_021797,2020-05-11,C_633661,M05,SY02,2020-05-12,ERP_SALES
T_021802,2020-02-17,C_342564,M02,SY02,2020-02-18,ERP_SALES
T_021922,2021-04-05,C_853926,M04,SY03,2021-04-06,ERP_SALES
T_021963,2020-04-13,C_672706,M04,SY02,2020-04-14,ERP_SALES
T_022170,2020-02-17,C_473035,M02,SY02,2020-02-18,ERP_SALES
T_022205,2021-04-12,C_282979,M04,SY03,2021-04-13,ERP_SALES
T_022306,2021-12-06,C_180817,M12,SY03,2021-12-07,ERP_SALES
T_022335,2021-02-15,C_376594,M02,SY03,2021-02-16,ERP_SALES
T_022346,2021-02-01,C_914687,M02,SY03,2021-02-02,ERP_SALES
T_022460,2021-07-05,C_119382,M07,SY03,2021-07-06,ERP_SALES
T_022497,2021-09-20,C_042732,M09,SY03,2021-09-21,ERP_SALES
T_022708,2021-06-28,C_632933,M06,SY03,2021-06-29,ERP_SALES
T_022722,2021-04-05,C_730174,M04,SY03,2021-04-06,ERP_SALES
T_022752,2021-09-06,C_074947,M09,SY03,2021-09-07,ERP_SALES
T_022908,2020-08-31,C_698497,M08,SY02,2020-09-01,ERP_SALES
T_022976,2020-02-24,C_776671,M02,SY02,2020-02-25,ERP_SALES
T_023020,2021-10-11,C_829082,M10,SY03,2021-10-12,ERP_SALES
T_023041,2021-03-01,C_465481,M03,SY03,2021-03-02,ERP_SALES
T_023064,2022-05-09,C_016617,M05,SY04,2022-05-10,ERP_SALES
T_023157,2022-02-21,C_101842,M02,SY04,2022-02-22,ERP_SALES
T_023190,2020-08-31,C_258325,M08,SY02,2020-09-01,ERP_SALES
T_023254,2020-01-27,C_705572,M01,SY02,2020-01-28,ERP_SALES
T_023335,2020-06-22,C_502843,M06,SY02,2020-06-23,ERP_SALES
T_023374,2020-02-17,C_482570,M02,SY02,2020-02-18,ERP_SALES
T_023398,2022-02-28,C_050237,M02,SY04,2022-03-01,ERP_SALES
T_023408,2020-11-16,C_806376,M11,SY02,2020-11-17,ERP_SALES
T_023645,2021-03-01,C_633661,M03,SY03,2021-03-02,ERP_SALES
T_023682,2021-09-27,C_812674,M09,SY03,2021-09-28,ERP_SALES
T_023687,2022-05-16,C_245948,M05,SY04,2022-05-17,ERP_SALES
T_024012,2021-05-24,C_706708,M05,SY03,2021-05-25,ERP_SALES
T_024018,2020-03-30,C_420287,M03,SY02,2020-03-31,ERP_SALES
T_024177,2021-09-13,C_352205,M09,SY03,2021-09-14,ERP_SALES
