Week_ID,Report_Date,Available_At,Product_Market,Customer_ID,Competitor,Customer_Signal,Price_Index,Demand_Change,Market_Trend,Analysis,Source_System
W-038,2020-08-31,2020-09-01,Product_Family_GENERALIZED,,تأمین,ظرفیت محدود,102.80,کاهش,فشار قیمتی,در گزارش بازار Product_Family_GENERALIZED، وضعیت فشار قیمتی ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-039,2020-09-07,2020-09-08,Product_Family_05,,تأمین,وصول متمرکز,114.50,ثابت,فشار قیمتی,در گزارش بازار Product_Family_05، وضعیت فشار قیمتی ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-040,2020-09-14,2020-09-14,Product_Family_04,C_412635,تأمین,ظرفیت محدود,109.60,ثابت,کاهش تقاضا,در گزارش بازار Product_Family_04، وضعیت کاهش تقاضا ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-041,2020-09-21,2020-09-21,Product_Family_06,C_445916,تأمین,قیمت رقابتی,104.40,کاهش,کاهش تقاضا,در گزارش بازار Product_Family_06، وضعیت کاهش تقاضا ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-042,2020-09-28,2020-09-28,Product_Family_02,,رقیب X,قیمت رقابتی,120,کاهش,تقاضای ثابت,در گزارش بازار Product_Family_02، وضعیت تقاضای ثابت ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-043,2020-10-05,2020-10-06,Product_Family_02,,رقیب X,تحویل سریع,124.70,ثابت,افزایش تقاضا,در گزارش بازار Product_Family_02، وضعیت افزایش تقاضا ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-044,2020-10-12,2020-10-12,Product_Family_01,C_174878,رقیب Y,قیمت رقابتی,119.70,ثابت,تقاضای ثابت,در گزارش بازار Product_Family_01، وضعیت تقاضای ثابت ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-045,2020-10-19,2020-10-21,Product_Family_02,C_842281,رقیب Y,قیمت رقابتی,125.10,افزایش,فشار قیمتی,در گزارش بازار Product_Family_02، وضعیت فشار قیمتی ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-046,2020-10-26,2020-10-26,Product_Family_05,,تأمین,وصول متمرکز,91.90,ثابت,تقاضای ثابت,در گزارش بازار Product_Family_05، وضعیت تقاضای ثابت ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-047,2020-11-02,2020-11-04,Product_Family_01,,رقیب Y,قیمت رقابتی,113.50,کاهش,تقاضای ثابت,در گزارش بازار Product_Family_01، وضعیت تقاضای ثابت ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-048,2020-11-09,2020-11-09,Product_Family_GENERALIZED,C_040673,تأمین,قیمت رقابتی,118.50,افزایش,تقاضای ثابت,در گزارش بازار Product_Family_GENERALIZED، وضعیت تقاضای ثابت ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-049,2020-11-16,2020-11-18,Product_Family_01,,رقیب Z,ظرفیت محدود,126.20,ثابت,تقاضای ثابت,در گزارش بازار Product_Family_01، وضعیت تقاضای ثابت ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-050,2020-11-23,2020-11-23,Product_Family_02,C_808942,رقیب Y,وصول متمرکز,90.10,ثابت,افزایش تقاضا,در گزارش بازار Product_Family_02، وضعیت افزایش تقاضا ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-051,2020-11-30,2020-12-01,Product_Family_03,,رقیب X,ظرفیت محدود,95.10,کاهش,کاهش تقاضا,در گزارش بازار Product_Family_03، وضعیت کاهش تقاضا ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-052,2020-12-07,2020-12-07,Product_Family_GENERALIZED,C_495457,رقیب Y,ظرفیت محدود,113.40,ثابت,کاهش تقاضا,در گزارش بازار Product_Family_GENERALIZED، وضعیت کاهش تقاضا ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-053,2020-12-14,2020-12-16,Product_Family_02,C_334349,رقیب Y,ظرفیت محدود,111.70,افزایش,فشار قیمتی,در گزارش بازار Product_Family_02، وضعیت فشار قیمتی ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-054,2020-12-21,2020-12-22,Product_Family_01,,رقیب Y,وصول متمرکز,106.70,افزایش,کاهش تقاضا,در گزارش بازار Product_Family_01، وضعیت کاهش تقاضا ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-055,2020-12-28,2020-12-28,Product_Family_02,,رقیب X,قیمت رقابتی,121.90,کاهش,افزایش تقاضا,در گزارش بازار Product_Family_02، وضعیت افزایش تقاضا ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-056,2021-01-04,2021-01-05,Product_Family_01,C_491628,رقیب Y,قیمت رقابتی,130.80,ثابت,کاهش تقاضا,در گزارش بازار Product_Family_01، وضعیت کاهش تقاضا ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-057,2021-01-11,2021-01-11,Product_Family_04,,رقیب Y,تحویل سریع,104.90,کاهش,کاهش تقاضا,در گزارش بازار Product_Family_04، وضعیت کاهش تقاضا ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-058,2021-01-18,2021-01-20,Product_Family_05,C_022746,رقیب X,تحویل سریع,120.10,ثابت,افزایش تقاضا,در گزارش بازار Product_Family_05، وضعیت افزایش تقاضا ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-059,2021-01-25,2021-01-27,Product_Family_04,,رقیب Z,ظرفیت محدود,124.70,افزایش,فشار قیمتی,در گزارش بازار Product_Family_04، وضعیت فشار قیمتی ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-060,2021-02-01,2021-02-03,Product_Family_05,,رقیب Z,تحویل سریع,97.60,ثابت,کاهش تقاضا,در گزارش بازار Product_Family_05، وضعیت کاهش تقاضا ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-061,2021-02-08,2021-02-09,Product_Family_GENERALIZED,,رقیب Y,تحویل سریع,112.80,افزایش,افزایش تقاضا,در گزارش بازار Product_Family_GENERALIZED، وضعیت افزایش تقاضا ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-062,2021-02-15,2021-02-16,Product_Family_04,,رقیب X,تحویل سریع,101.10,افزایش,کاهش تقاضا,در گزارش بازار Product_Family_04، وضعیت کاهش تقاضا ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-063,2021-02-22,2021-02-22,Product_Family_03,,رقیب X,ظرفیت محدود,126.80,افزایش,فشار قیمتی,در گزارش بازار Product_Family_03، وضعیت فشار قیمتی ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-064,2021-03-01,2021-03-02,Product_Family_03,C_360737,رقیب Z,تحویل سریع,117.20,کاهش,تقاضای ثابت,در گزارش بازار Product_Family_03، وضعیت تقاضای ثابت ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-065,2021-03-08,2021-03-09,Product_Family_GENERALIZED,C_251455,رقیب Y,وصول متمرکز,101.60,کاهش,کاهش تقاضا,در گزارش بازار Product_Family_GENERALIZED، وضعیت کاهش تقاضا ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-066,2021-03-15,2021-03-16,Product_Family_02,C_749821,رقیب X,تحویل سریع,120.10,ثابت,تقاضای ثابت,در گزارش بازار Product_Family_02، وضعیت تقاضای ثابت ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-067,2021-03-22,2021-03-24,Product_Family_05,C_943415,تأمین,وصول متمرکز,91.60,ثابت,افزایش تقاضا,در گزارش بازار Product_Family_05، وضعیت افزایش تقاضا ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-068,2021-03-29,2021-03-30,Product_Family_06,C_658292,تأمین,تحویل سریع,97,افزایش,تقاضای ثابت,در گزارش بازار Product_Family_06، وضعیت تقاضای ثابت ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-069,2021-04-05,2021-04-06,Product_Family_02,C_063926,تأمین,قیمت رقابتی,109.70,ثابت,کاهش تقاضا,در گزارش بازار Product_Family_02، وضعیت کاهش تقاضا ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-070,2021-04-12,2021-04-12,Product_Family_01,,رقیب X,وصول متمرکز,104.70,ثابت,افزایش تقاضا,در گزارش بازار Product_Family_01، وضعیت افزایش تقاضا ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-071,2021-04-19,2021-04-20,Product_Family_GENERALIZED,,رقیب Z,وصول متمرکز,109.70,کاهش,افزایش تقاضا,در گزارش بازار Product_Family_GENERALIZED، وضعیت افزایش تقاضا ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-072,2021-04-26,2021-04-27,Product_Family_GENERALIZED,C_467314,تأمین,وصول متمرکز,117.10,کاهش,تقاضای ثابت,در گزارش بازار Product_Family_GENERALIZED، وضعیت تقاضای ثابت ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-073,2021-05-03,2021-05-05,Product_Family_04,,تأمین,وصول متمرکز,112.10,کاهش,تقاضای ثابت,در گزارش بازار Product_Family_04، وضعیت تقاضای ثابت ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-074,2021-05-10,2021-05-11,Product_Family_05,C_058685,رقیب Z,تحویل سریع,93.40,ثابت,افزایش تقاضا,در گزارش بازار Product_Family_05، وضعیت افزایش تقاضا ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-075,2021-05-17,2021-05-17,Product_Family_06,C_011055,رقیب X,تحویل سریع,129.40,افزایش,افزایش تقاضا,در گزارش بازار Product_Family_06، وضعیت افزایش تقاضا ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-076,2021-05-24,2021-05-25,Product_Family_GENERALIZED,,رقیب Z,قیمت رقابتی,124,افزایش,فشار قیمتی,در گزارش بازار Product_Family_GENERALIZED، وضعیت فشار قیمتی ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-077,2021-05-31,2021-06-02,Product_Family_01,C_312584,تأمین,تحویل سریع,98.30,افزایش,فشار قیمتی,در گزارش بازار Product_Family_01، وضعیت فشار قیمتی ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-078,2021-06-07,2021-06-09,Product_Family_03,C_302517,تأمین,قیمت رقابتی,129.90,افزایش,تقاضای ثابت,در گزارش بازار Product_Family_03، وضعیت تقاضای ثابت ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-079,2021-06-14,2021-06-15,Product_Family_02,,رقیب X,وصول متمرکز,124.90,کاهش,تقاضای ثابت,در گزارش بازار Product_Family_02، وضعیت تقاضای ثابت ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-080,2021-06-21,2021-06-22,Product_Family_06,C_870695,تأمین,وصول متمرکز,116.80,افزایش,تقاضای ثابت,در گزارش بازار Product_Family_06، وضعیت تقاضای ثابت ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-081,2021-06-28,2021-06-29,Product_Family_03,,تأمین,تحویل سریع,91.40,افزایش,کاهش تقاضا,در گزارش بازار Product_Family_03، وضعیت کاهش تقاضا ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-082,2021-07-05,2021-07-05,Product_Family_01,C_263291,رقیب X,ظرفیت محدود,99.50,افزایش,افزایش تقاضا,در گزارش بازار Product_Family_01، وضعیت افزایش تقاضا ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-083,2021-07-12,2021-07-12,Product_Family_GENERALIZED,,رقیب Y,وصول متمرکز,124.80,کاهش,تقاضای ثابت,در گزارش بازار Product_Family_GENERALIZED، وضعیت تقاضای ثابت ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-084,2021-07-19,2021-07-21,Product_Family_01,,رقیب X,قیمت رقابتی,99.10,ثابت,فشار قیمتی,در گزارش بازار Product_Family_01، وضعیت فشار قیمتی ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-085,2021-07-26,2021-07-27,Product_Family_03,C_851161,رقیب Y,تحویل سریع,114.90,افزایش,افزایش تقاضا,در گزارش بازار Product_Family_03، وضعیت افزایش تقاضا ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-086,2021-08-02,2021-08-04,Product_Family_02,,رقیب X,قیمت رقابتی,92.90,کاهش,کاهش تقاضا,در گزارش بازار Product_Family_02، وضعیت کاهش تقاضا ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-087,2021-08-09,2021-08-09,Product_Family_01,,رقیب Y,ظرفیت محدود,128.50,افزایش,تقاضای ثابت,در گزارش بازار Product_Family_01، وضعیت تقاضای ثابت ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-088,2021-08-16,2021-08-16,Product_Family_05,,رقیب X,ظرفیت محدود,120.40,افزایش,تقاضای ثابت,در گزارش بازار Product_Family_05، وضعیت تقاضای ثابت ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-089,2021-08-23,2021-08-25,Product_Family_03,,رقیب Z,قیمت رقابتی,118.20,افزایش,کاهش تقاضا,در گزارش بازار Product_Family_03، وضعیت کاهش تقاضا ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-090,2021-08-30,2021-08-31,Product_Family_02,C_579810,تأمین,تحویل سریع,113.20,افزایش,افزایش تقاضا,در گزارش بازار Product_Family_02، وضعیت افزایش تقاضا ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-091,2021-09-06,2021-09-06,Product_Family_GENERALIZED,C_237191,رقیب Z,ظرفیت محدود,130.20,افزایش,فشار قیمتی,در گزارش بازار Product_Family_GENERALIZED، وضعیت فشار قیمتی ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-092,2021-09-13,2021-09-13,Product_Family_05,C_432760,رقیب X,وصول متمرکز,125,کاهش,افزایش تقاضا,در گزارش بازار Product_Family_05، وضعیت افزایش تقاضا ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-093,2021-09-20,2021-09-22,Product_Family_06,C_776671,رقیب X,وصول متمرکز,122.90,ثابت,افزایش تقاضا,در گزارش بازار Product_Family_06، وضعیت افزایش تقاضا ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-094,2021-09-27,2021-09-28,Product_Family_GENERALIZED,,رقیب Y,تحویل سریع,101.30,ثابت,کاهش تقاضا,در گزارش بازار Product_Family_GENERALIZED، وضعیت کاهش تقاضا ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-095,2021-10-04,2021-10-05,Product_Family_05,,تأمین,ظرفیت محدود,95.90,ثابت,افزایش تقاضا,در گزارش بازار Product_Family_05، وضعیت افزایش تقاضا ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-096,2021-10-11,2021-10-11,Product_Family_01,,تأمین,وصول متمرکز,111.10,کاهش,تقاضای ثابت,در گزارش بازار Product_Family_01، وضعیت تقاضای ثابت ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-097,2021-10-18,2021-10-18,Product_Family_04,C_867370,تأمین,تحویل سریع,126.70,کاهش,کاهش تقاضا,در گزارش بازار Product_Family_04، وضعیت کاهش تقاضا ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-098,2021-10-25,2021-10-25,Product_Family_04,C_624339,رقیب X,تحویل سریع,129.60,کاهش,کاهش تقاضا,در گزارش بازار Product_Family_04، وضعیت کاهش تقاضا ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-099,2021-11-01,2021-11-03,Product_Family_03,C_593639,رقیب X,تحویل سریع,105.10,کاهش,کاهش تقاضا,در گزارش بازار Product_Family_03، وضعیت کاهش تقاضا ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-100,2021-11-08,2021-11-09,Product_Family_04,,تأمین,تحویل سریع,120.30,ثابت,افزایش تقاضا,در گزارش بازار Product_Family_04، وضعیت افزایش تقاضا ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-101,2021-11-15,2021-11-17,Product_Family_01,,تأمین,قیمت رقابتی,105.20,کاهش,افزایش تقاضا,در گزارش بازار Product_Family_01، وضعیت افزایش تقاضا ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
W-102,2021-11-22,2021-11-22,Product_Family_04,C_939370,تأمین,تحویل سریع,90,ثابت,افزایش تقاضا,در گزارش بازار Product_Family_04، وضعیت افزایش تقاضا ثبت شد و اثر آن بر برنامه فروش نیازمند بررسی است.,MARKET_3C
